CG Iteration #1, relres 0.2981423969999720, actualerr(2-norm) 0.9928447717245333, actualerr(A-norm) 0.2222222222222222
CG Iteration #2, relres 0.1246959372777099, actualerr(2-norm) 0.9888837932045327, actualerr(A-norm) 0.0816326530612245
CG Iteration #3, relres 0.0578481220849750, actualerr(2-norm) 0.9857433474743551, actualerr(A-norm) 0.0355555555555556
CG Iteration #4, relres 0.0279499541199423, actualerr(2-norm) 0.9829202931371998, actualerr(A-norm) 0.0166493236212279
CG Iteration #5, relres 0.0137481133196385, actualerr(2-norm) 0.9802362085033784, actualerr(A-norm) 0.0080624842529604
CG Iteration #6, relres 0.0068193057794665, actualerr(2-norm) 0.9776147712921402, actualerr(A-norm) 0.0039680079360159
CG Iteration #7, relres 0.0033962039651354, actualerr(2-norm) 0.9750205115855082, actualerr(A-norm) 0.0019684736639754
CG Iteration #8, relres 0.0016947691890441, actualerr(2-norm) 0.9724362764808694, actualerr(A-norm) 0.0009803884023116
CG Iteration #9, relres 0.0008465550505746, actualerr(2-norm) 0.9698535983956732, actualerr(A-norm) 0.0004892363231215
CG Iteration #10, relres 0.0004230705945397, actualerr(2-norm) 0.9672682440493062, actualerr(A-norm) 0.0002443792183158
CG Iteration #11, relres 0.0002114836213905, actualerr(2-norm) 0.9646780731666312, actualerr(A-norm) 0.0001221299389798
CG Iteration #12, relres 0.0001057288988203, actualerr(2-norm) 0.9620819870580624, actualerr(A-norm) 0.0000610500601401
CG Iteration #13, relres 0.0000528612223279, actualerr(2-norm) 0.9594794069903648, actualerr(A-norm) 0.0000305213037564
CG Iteration #14, relres 0.0000264298045042, actualerr(2-norm) 0.9568700140456287, actualerr(A-norm) 0.0000152597204277
CG Iteration #15, relres 0.0000132147006010, actualerr(2-norm) 0.9542536190439003, actualerr(A-norm) 0.0000076296273672
CG Iteration #16, relres 0.0000066072998894, actualerr(2-norm) 0.9516300974116825, actualerr(A-norm) 0.0000038147554740
CG Iteration #17, relres 0.0000033036373422, actualerr(2-norm) 0.9489993565440238, actualerr(A-norm) 0.0000019073631848
CG Iteration #18, relres 0.0000016518155205, actualerr(2-norm) 0.9463613194397265, actualerr(A-norm) 0.0000009536779544
CG Iteration #19, relres 0.0000008259069726, actualerr(2-norm) 0.9437159164902837, actualerr(A-norm) 0.0000004768380677
CG Iteration #20, relres 0.0000004129532894, actualerr(2-norm) 0.9410630813552311, actualerr(A-norm) 0.0000002384188065
CG Iteration #21, relres 0.0000002064765955, actualerr(2-norm) 0.9384027488856570, actualerr(A-norm) 0.0000001192093464
CG Iteration #22, relres 0.0000001032382854, actualerr(2-norm) 0.9357348540742380, actualerr(A-norm) 0.0000000596046590
CG Iteration #23, relres 0.0000000516191396, actualerr(2-norm) 0.9330593315196652, actualerr(A-norm) 0.0000000298023259
CG Iteration #24, relres 0.0000000258095690, actualerr(2-norm) 0.9303761151487172, actualerr(A-norm) 0.0000000149011621
CG Iteration #25, relres 0.0000000129047843, actualerr(2-norm) 0.9276851380672574, actualerr(A-norm) 0.0000000074505808
CG Iteration #26, relres 0.0000000064523921, actualerr(2-norm) 0.9249863324756156, actualerr(A-norm) 0.0000000037252904
CG Iteration #27, relres 0.0000000032261960, actualerr(2-norm) 0.9222796296159869, actualerr(A-norm) 0.0000000018626452
CG Iteration #28, relres 0.0000000016130980, actualerr(2-norm) 0.9195649597356120, actualerr(A-norm) 0.0000000009313226
CG Iteration #29, relres 0.0000000008065490, actualerr(2-norm) 0.9168422520575913, actualerr(A-norm) 0.0000000004656613
CG Iteration #30, relres 0.0000000004032745, actualerr(2-norm) 0.9141114347552353, actualerr(A-norm) 0.0000000002328306
