Avgstr = 18.8267828034014109
CG Iteration #1, relres 0.9991302619392738
CG Iteration #2, relres 0.9981141790709589
CG Iteration #3, relres 0.9963031098259467
CG Iteration #4, relres 0.9935671734689646
CG Iteration #5, relres 0.9903922571666296
CG Iteration #6, relres 0.9819550339869136
CG Iteration #7, relres 0.9745975628799091
CG Iteration #8, relres 0.9654579821106355
CG Iteration #9, relres 0.9568679049531805
CG Iteration #10, relres 0.9449577618672407
CG Iteration #11, relres 0.9314777698358961
CG Iteration #12, relres 0.9158895251876488
CG Iteration #13, relres 0.8989598641522343
CG Iteration #14, relres 0.8840628142950095
CG Iteration #15, relres 0.8799778627392754
CG Iteration #16, relres 0.8566887767469075
CG Iteration #17, relres 0.8318975640268373
CG Iteration #18, relres 0.8086741253720027
CG Iteration #19, relres 0.7851775768262338
CG Iteration #20, relres 0.7464816377187544
CG Iteration #21, relres 0.7140260168068524
CG Iteration #22, relres 0.7054356862675109
CG Iteration #23, relres 0.6804103833176899
CG Iteration #24, relres 0.6392204583306788
CG Iteration #25, relres 0.6184714018951212
CG Iteration #26, relres 0.5983275594691378
CG Iteration #27, relres 0.5643211547066008
CG Iteration #28, relres 0.5240132888217229
CG Iteration #29, relres 0.4908601256765027
CG Iteration #30, relres 0.4779225432777460
CG Iteration #31, relres 0.4487832067438456
CG Iteration #32, relres 0.4207664721637819
CG Iteration #33, relres 0.4086953872045919
CG Iteration #34, relres 0.3808028066893762
CG Iteration #35, relres 0.3609022251287303
CG Iteration #36, relres 0.3472217459688223
CG Iteration #37, relres 0.3205527773942630
CG Iteration #38, relres 0.3158524579432602
CG Iteration #39, relres 0.2896383141616998
CG Iteration #40, relres 0.2746984115454275
CG Iteration #41, relres 0.2575500043575545
CG Iteration #42, relres 0.2309446261624764
CG Iteration #43, relres 0.2115418550105416
CG Iteration #44, relres 0.2051576436021989
CG Iteration #45, relres 0.1870311365859363
CG Iteration #46, relres 0.1857084393619653
CG Iteration #47, relres 0.1679074855538987
CG Iteration #48, relres 0.1621132605899933
CG Iteration #49, relres 0.1518005735520545
CG Iteration #50, relres 0.1380965908361670
CG Iteration #51, relres 0.1254388281505067
CG Iteration #52, relres 0.1236953675040230
CG Iteration #53, relres 0.1166400449859030
CG Iteration #54, relres 0.1123341364776277
CG Iteration #55, relres 0.1064962274829882
CG Iteration #56, relres 0.1044603433947160
CG Iteration #57, relres 0.1005411402109468
CG Iteration #58, relres 0.0985621334244280
CG Iteration #59, relres 0.0895018105311465
CG Iteration #60, relres 0.0841573532125855
CG Iteration #61, relres 0.0806037237787571
CG Iteration #62, relres 0.0755408248376326
CG Iteration #63, relres 0.0683234086906897
CG Iteration #64, relres 0.0631722764562946
CG Iteration #65, relres 0.0616186710506446
CG Iteration #66, relres 0.0608299226137489
CG Iteration #67, relres 0.0559749812776372
CG Iteration #68, relres 0.0546660178877915
CG Iteration #69, relres 0.0521728497683391
CG Iteration #70, relres 0.0508138152919932
CG Iteration #71, relres 0.0488619262626699
CG Iteration #72, relres 0.0455940790274308
CG Iteration #73, relres 0.0429990261130548
CG Iteration #74, relres 0.0419895839619459
CG Iteration #75, relres 0.0410980097066657
CG Iteration #76, relres 0.0395297564263315
CG Iteration #77, relres 0.0378808969659065
CG Iteration #78, relres 0.0353648793101612
CG Iteration #79, relres 0.0343176798575232
CG Iteration #80, relres 0.0316894705115819
CG Iteration #81, relres 0.0307698670795653
CG Iteration #82, relres 0.0284314423411219
CG Iteration #83, relres 0.0278356801054806
CG Iteration #84, relres 0.0258501908188046
CG Iteration #85, relres 0.0256937318105744
CG Iteration #86, relres 0.0243777013421690
CG Iteration #87, relres 0.0235953829564451
CG Iteration #88, relres 0.0227453823344081
CG Iteration #89, relres 0.0213950985280619
CG Iteration #90, relres 0.0195024557978123
CG Iteration #91, relres 0.0181448299725145
CG Iteration #92, relres 0.0175028577853395
CG Iteration #93, relres 0.0171515968228423
CG Iteration #94, relres 0.0162510310083668
CG Iteration #95, relres 0.0159992290886482
CG Iteration #96, relres 0.0159105982458839
CG Iteration #97, relres 0.0150903972887526
CG Iteration #98, relres 0.0145253404372427
CG Iteration #99, relres 0.0133184909982264
CG Iteration #100, relres 0.0131136992182450
CG Iteration #101, relres 0.0128054712096302
CG Iteration #102, relres 0.0121604806033364
CG Iteration #103, relres 0.0117025711942261
CG Iteration #104, relres 0.0109243148459646
CG Iteration #105, relres 0.0108148100760553
CG Iteration #106, relres 0.0107599892400917
CG Iteration #107, relres 0.0100619959440891
CG Iteration #108, relres 0.0096984187988158
CG Iteration #109, relres 0.0094557009808308
CG Iteration #110, relres 0.0087722927775707
CG Iteration #111, relres 0.0080825960842103
CG Iteration #112, relres 0.0078904261915570
CG Iteration #113, relres 0.0075490147687631
CG Iteration #114, relres 0.0073515292268821
CG Iteration #115, relres 0.0072246954080492
CG Iteration #116, relres 0.0071876086503745
CG Iteration #117, relres 0.0071136863458037
CG Iteration #118, relres 0.0069220834772098
CG Iteration #119, relres 0.0064243739533948
CG Iteration #120, relres 0.0061917759676823
CG Iteration #121, relres 0.0057562691474296
CG Iteration #122, relres 0.0055847357346083
CG Iteration #123, relres 0.0052538362089777
CG Iteration #124, relres 0.0048532302323267
CG Iteration #125, relres 0.0047901215689355
CG Iteration #126, relres 0.0047747084260253
CG Iteration #127, relres 0.0045152243639196
CG Iteration #128, relres 0.0042309776798581
CG Iteration #129, relres 0.0041874624430002
CG Iteration #130, relres 0.0039074836126988
CG Iteration #131, relres 0.0038875780948781
CG Iteration #132, relres 0.0035769272832423
CG Iteration #133, relres 0.0032965923670271
CG Iteration #134, relres 0.0032690325736660
CG Iteration #135, relres 0.0031387437607344
CG Iteration #136, relres 0.0031061111367112
CG Iteration #137, relres 0.0029912087395738
CG Iteration #138, relres 0.0028742991344643
CG Iteration #139, relres 0.0028156196812065
CG Iteration #140, relres 0.0026245305234807
CG Iteration #141, relres 0.0024765220017636
CG Iteration #142, relres 0.0023264341825640
CG Iteration #143, relres 0.0022608705742352
CG Iteration #144, relres 0.0021424371807617
CG Iteration #145, relres 0.0021264005511887
CG Iteration #146, relres 0.0020935145424241
CG Iteration #147, relres 0.0020757246929595
CG Iteration #148, relres 0.0019790735716623
CG Iteration #149, relres 0.0018675659609853
CG Iteration #150, relres 0.0017531176865982
CG Iteration #151, relres 0.0016978962723463
CG Iteration #152, relres 0.0016542331910318
CG Iteration #153, relres 0.0015319473336023
CG Iteration #154, relres 0.0015089452545020
CG Iteration #155, relres 0.0014162659082960
CG Iteration #156, relres 0.0013854536957582
CG Iteration #157, relres 0.0013744930141848
CG Iteration #158, relres 0.0013416112653997
CG Iteration #159, relres 0.0012334965195789
CG Iteration #160, relres 0.0012020281895871
CG Iteration #161, relres 0.0011396527270431
CG Iteration #162, relres 0.0011281648920720
CG Iteration #163, relres 0.0010882226984305
CG Iteration #164, relres 0.0010292766715555
CG Iteration #165, relres 0.0009821329393204
CG Iteration #166, relres 0.0009527816621943
CG Iteration #167, relres 0.0009487162929651
CG Iteration #168, relres 0.0008986444760856
CG Iteration #169, relres 0.0008737040955893
CG Iteration #170, relres 0.0008546465450635
CG Iteration #171, relres 0.0008178686476530
CG Iteration #172, relres 0.0007649336030675
CG Iteration #173, relres 0.0007314104671891
CG Iteration #174, relres 0.0007233776868825
CG Iteration #175, relres 0.0006852662030912
CG Iteration #176, relres 0.0006767290312401
CG Iteration #177, relres 0.0006493454341402
CG Iteration #178, relres 0.0006122308902160
CG Iteration #179, relres 0.0006066540571586
CG Iteration #180, relres 0.0005935698828971
CG Iteration #181, relres 0.0005690684379455
CG Iteration #182, relres 0.0005511296263307
