Avgstr = 351.9578400458365195
CG Iteration #1, relres 0.9997318314931514
CG Iteration #2, relres 0.9947530476967080
CG Iteration #3, relres 0.9924828216041264
CG Iteration #4, relres 0.9891058340421295
CG Iteration #5, relres 0.9877256286617924
CG Iteration #6, relres 0.9835911705890615
CG Iteration #7, relres 0.9739175708067288
CG Iteration #8, relres 0.9666627495512848
CG Iteration #9, relres 0.9664508177128538
CG Iteration #10, relres 0.9633068017550559
CG Iteration #11, relres 0.9571712258447905
CG Iteration #12, relres 0.9468013333592965
CG Iteration #13, relres 0.9361553303148396
CG Iteration #14, relres 0.9307583282144691
CG Iteration #15, relres 0.9274677756582196
CG Iteration #16, relres 0.9190562448731798
CG Iteration #17, relres 0.9186081599876015
CG Iteration #18, relres 0.9017374200174623
CG Iteration #19, relres 0.8964030417371794
CG Iteration #20, relres 0.8909737055976391
CG Iteration #21, relres 0.8851626019067967
CG Iteration #22, relres 0.8773806445752753
CG Iteration #23, relres 0.8647998222736214
CG Iteration #24, relres 0.8638579180689056
CG Iteration #25, relres 0.8545897688336861
CG Iteration #26, relres 0.8497707384822127
CG Iteration #27, relres 0.8419575476778186
CG Iteration #28, relres 0.8325905860400153
CG Iteration #29, relres 0.8260316361263356
CG Iteration #30, relres 0.8173518127789242
CG Iteration #31, relres 0.8116345883844940
CG Iteration #32, relres 0.8105552278664041
CG Iteration #33, relres 0.8037737054714880
CG Iteration #34, relres 0.7989199363692100
CG Iteration #35, relres 0.7901940396636847
CG Iteration #36, relres 0.7837244744266003
CG Iteration #37, relres 0.7722709581999424
CG Iteration #38, relres 0.7611071969757389
CG Iteration #39, relres 0.7560727778245458
CG Iteration #40, relres 0.7559865710189273
CG Iteration #41, relres 0.7507360358861191
CG Iteration #42, relres 0.7448329372933175
CG Iteration #43, relres 0.7314400509550270
CG Iteration #44, relres 0.7204962850647431
CG Iteration #45, relres 0.7148964355759011
CG Iteration #46, relres 0.7126114126379414
CG Iteration #47, relres 0.7118151702695821
CG Iteration #48, relres 0.7062827107858969
CG Iteration #49, relres 0.6873190672713518
CG Iteration #50, relres 0.6739622691530684
CG Iteration #51, relres 0.6698125780950620
CG Iteration #52, relres 0.6680481931814189
CG Iteration #53, relres 0.6600838916109487
CG Iteration #54, relres 0.6574928740878960
CG Iteration #55, relres 0.6431918183065269
CG Iteration #56, relres 0.6361194456560962
CG Iteration #57, relres 0.6319227874849698
CG Iteration #58, relres 0.6238247969769716
CG Iteration #59, relres 0.6128083827601325
CG Iteration #60, relres 0.6032594493605193
CG Iteration #61, relres 0.6016150526529170
CG Iteration #62, relres 0.6012740861565280
CG Iteration #63, relres 0.5992469981131714
CG Iteration #64, relres 0.5922054672448488
CG Iteration #65, relres 0.5784157158146350
CG Iteration #66, relres 0.5693335715046078
CG Iteration #67, relres 0.5663172112722055
CG Iteration #68, relres 0.5626475641080361
CG Iteration #69, relres 0.5623256440931381
CG Iteration #70, relres 0.5498576233601905
CG Iteration #71, relres 0.5397816025893130
CG Iteration #72, relres 0.5340582708351773
CG Iteration #73, relres 0.5310261904397322
CG Iteration #74, relres 0.5256330245328208
CG Iteration #75, relres 0.5214538605783301
CG Iteration #76, relres 0.5185626095229579
CG Iteration #77, relres 0.5184551791136133
CG Iteration #78, relres 0.5086879994853887
CG Iteration #79, relres 0.5038279603966328
CG Iteration #80, relres 0.4967443845185796
CG Iteration #81, relres 0.4816232876798212
CG Iteration #82, relres 0.4744239034998515
CG Iteration #83, relres 0.4710691555509026
CG Iteration #84, relres 0.4706319157306501
CG Iteration #85, relres 0.4634915924074525
CG Iteration #86, relres 0.4528924863914198
CG Iteration #87, relres 0.4479072879188535
CG Iteration #88, relres 0.4469183205268844
CG Iteration #89, relres 0.4442831533191920
CG Iteration #90, relres 0.4342612962303904
CG Iteration #91, relres 0.4341467554405053
CG Iteration #92, relres 0.4260939299649714
CG Iteration #93, relres 0.4226786895743885
CG Iteration #94, relres 0.4191922830222454
CG Iteration #95, relres 0.4133850671530102
CG Iteration #96, relres 0.4070226432581067
CG Iteration #97, relres 0.3992300550051576
CG Iteration #98, relres 0.3991421279017467
CG Iteration #99, relres 0.3950410514197321
CG Iteration #100, relres 0.3913692633709563
CG Iteration #101, relres 0.3873002355705765
CG Iteration #102, relres 0.3821454853653858
CG Iteration #103, relres 0.3743781392664197
CG Iteration #104, relres 0.3701673266533043
CG Iteration #105, relres 0.3694881843006242
CG Iteration #106, relres 0.3684752172885501
CG Iteration #107, relres 0.3648034720840499
CG Iteration #108, relres 0.3566789597971761
CG Iteration #109, relres 0.3515140391632369
CG Iteration #110, relres 0.3492463212236162
CG Iteration #111, relres 0.3458298848070650
CG Iteration #112, relres 0.3456487592429518
CG Iteration #113, relres 0.3370171856175329
CG Iteration #114, relres 0.3256922723655987
CG Iteration #115, relres 0.3247297122861259
CG Iteration #116, relres 0.3224565780066019
CG Iteration #117, relres 0.3169414715697983
CG Iteration #118, relres 0.3131217661218058
CG Iteration #119, relres 0.3089589532582264
CG Iteration #120, relres 0.3079555200529553
CG Iteration #121, relres 0.3063943351760742
CG Iteration #122, relres 0.3041170162518185
CG Iteration #123, relres 0.2977284345563421
CG Iteration #124, relres 0.2914939725776076
CG Iteration #125, relres 0.2888779924827735
CG Iteration #126, relres 0.2881639509971179
CG Iteration #127, relres 0.2869181399233452
CG Iteration #128, relres 0.2849446353479837
CG Iteration #129, relres 0.2812463801824295
CG Iteration #130, relres 0.2792042212423704
CG Iteration #131, relres 0.2721595817997051
