Avgstr = 11.2189287804313000
CG Iteration #1, relres 0.9975023339477190
CG Iteration #2, relres 0.9853611017253117
CG Iteration #3, relres 0.9756991476201387
CG Iteration #4, relres 0.9623101296533103
CG Iteration #5, relres 0.9431107914861788
CG Iteration #6, relres 0.9267784202161904
CG Iteration #7, relres 0.9033411806897464
CG Iteration #8, relres 0.8869825704254879
CG Iteration #9, relres 0.8598374284663874
CG Iteration #10, relres 0.8446266394089211
CG Iteration #11, relres 0.8217192384968419
CG Iteration #12, relres 0.8007760555170100
CG Iteration #13, relres 0.7694143510125416
CG Iteration #14, relres 0.7421643771006623
CG Iteration #15, relres 0.7147208714741629
CG Iteration #16, relres 0.7096721594795140
CG Iteration #17, relres 0.6901953072926571
CG Iteration #18, relres 0.6604712258003752
CG Iteration #19, relres 0.6327948337599421
CG Iteration #20, relres 0.6261622264920361
CG Iteration #21, relres 0.5989426577544548
CG Iteration #22, relres 0.5663130043245057
CG Iteration #23, relres 0.5405661615141407
CG Iteration #24, relres 0.5086969737238530
CG Iteration #25, relres 0.4826686743580444
CG Iteration #26, relres 0.4516154598864422
CG Iteration #27, relres 0.4281918153379742
CG Iteration #28, relres 0.4249148856957771
CG Iteration #29, relres 0.4181007435153333
CG Iteration #30, relres 0.3975798764446286
CG Iteration #31, relres 0.3671756291552044
CG Iteration #32, relres 0.3434351946488290
CG Iteration #33, relres 0.3380498768007059
CG Iteration #34, relres 0.3340642090463851
CG Iteration #35, relres 0.3141440417859740
CG Iteration #36, relres 0.2869916933343192
CG Iteration #37, relres 0.2774299904661574
CG Iteration #38, relres 0.2648282012333403
CG Iteration #39, relres 0.2444820161799673
CG Iteration #40, relres 0.2389680280521329
CG Iteration #41, relres 0.2330168464951107
CG Iteration #42, relres 0.2260625556741603
CG Iteration #43, relres 0.2084284150790193
CG Iteration #44, relres 0.1915444373097036
CG Iteration #45, relres 0.1833665262173342
CG Iteration #46, relres 0.1726580348470577
CG Iteration #47, relres 0.1681693688846895
CG Iteration #48, relres 0.1575339440678609
CG Iteration #49, relres 0.1464741412514904
CG Iteration #50, relres 0.1444160456014643
CG Iteration #51, relres 0.1355553058293796
CG Iteration #52, relres 0.1313914250854867
CG Iteration #53, relres 0.1261202556165149
CG Iteration #54, relres 0.1201122656806615
CG Iteration #55, relres 0.1103450090802615
CG Iteration #56, relres 0.1088583973137535
CG Iteration #57, relres 0.0983853418435977
CG Iteration #58, relres 0.0902140907550451
CG Iteration #59, relres 0.0829630212447111
CG Iteration #60, relres 0.0814318124860315
CG Iteration #61, relres 0.0749710076277824
CG Iteration #62, relres 0.0743249962587750
CG Iteration #63, relres 0.0722411800276734
CG Iteration #64, relres 0.0664639291978568
CG Iteration #65, relres 0.0623700594937645
CG Iteration #66, relres 0.0615101272326707
CG Iteration #67, relres 0.0584659411790013
CG Iteration #68, relres 0.0559437851400442
CG Iteration #69, relres 0.0543893951028084
CG Iteration #70, relres 0.0514386149384217
CG Iteration #71, relres 0.0490432691997880
CG Iteration #72, relres 0.0459881840778740
CG Iteration #73, relres 0.0438415345538148
CG Iteration #74, relres 0.0402031618400074
CG Iteration #75, relres 0.0378770571532725
CG Iteration #76, relres 0.0369972555391593
CG Iteration #77, relres 0.0361595807947135
CG Iteration #78, relres 0.0354058736897672
CG Iteration #79, relres 0.0349307464754835
CG Iteration #80, relres 0.0326607430979192
CG Iteration #81, relres 0.0314556559404810
CG Iteration #82, relres 0.0289280684620852
CG Iteration #83, relres 0.0277534446085749
CG Iteration #84, relres 0.0249685442721017
CG Iteration #85, relres 0.0234411554953054
CG Iteration #86, relres 0.0225129513309302
CG Iteration #87, relres 0.0208170750361937
CG Iteration #88, relres 0.0200819754739593
CG Iteration #89, relres 0.0199282713731900
CG Iteration #90, relres 0.0193168799407090
CG Iteration #91, relres 0.0188619859595311
CG Iteration #92, relres 0.0177547931363381
CG Iteration #93, relres 0.0176643165996516
CG Iteration #94, relres 0.0158368384557343
CG Iteration #95, relres 0.0143269277398047
CG Iteration #96, relres 0.0133130655048396
CG Iteration #97, relres 0.0130361909831495
CG Iteration #98, relres 0.0122946835121110
CG Iteration #99, relres 0.0119685348611103
CG Iteration #100, relres 0.0113353678164460
CG Iteration #101, relres 0.0112163413922513
CG Iteration #102, relres 0.0103104931843168
