Avgstr = 21.7643275051927318
CG Iteration #1, relres 0.9986992890648303
CG Iteration #2, relres 0.9958815657647432
CG Iteration #3, relres 0.9870855153678908
CG Iteration #4, relres 0.9761742794769768
CG Iteration #5, relres 0.9610642496544289
CG Iteration #6, relres 0.9473755497796819
CG Iteration #7, relres 0.9368191093732630
CG Iteration #8, relres 0.9273537845150963
CG Iteration #9, relres 0.9102336570444191
CG Iteration #10, relres 0.8939996906662704
CG Iteration #11, relres 0.8752849097853651
CG Iteration #12, relres 0.8597256470354719
CG Iteration #13, relres 0.8350608440871907
CG Iteration #14, relres 0.8153654136410953
CG Iteration #15, relres 0.8122299049219559
CG Iteration #16, relres 0.7937960899646803
CG Iteration #17, relres 0.7728387185817549
CG Iteration #18, relres 0.7535758197688137
CG Iteration #19, relres 0.7352095127095960
CG Iteration #20, relres 0.7265539131956901
CG Iteration #21, relres 0.7121529819056039
CG Iteration #22, relres 0.6842121883179735
CG Iteration #23, relres 0.6625121858917821
CG Iteration #24, relres 0.6374058179343490
CG Iteration #25, relres 0.6176031400689684
CG Iteration #26, relres 0.6130620654007055
CG Iteration #27, relres 0.5942545898943226
CG Iteration #28, relres 0.5865733125072198
CG Iteration #29, relres 0.5674470984091918
CG Iteration #30, relres 0.5420269339584474
CG Iteration #31, relres 0.5276917152690056
CG Iteration #32, relres 0.5178983383060735
CG Iteration #33, relres 0.5003328248504374
CG Iteration #34, relres 0.4951171170567426
CG Iteration #35, relres 0.4737354905383748
CG Iteration #36, relres 0.4577244908406616
CG Iteration #37, relres 0.4556442097995427
CG Iteration #38, relres 0.4493393031565567
CG Iteration #39, relres 0.4329544466502068
CG Iteration #40, relres 0.4143594625921527
CG Iteration #41, relres 0.3974823628196342
CG Iteration #42, relres 0.3780178945846989
CG Iteration #43, relres 0.3657478649735905
CG Iteration #44, relres 0.3548588425417281
CG Iteration #45, relres 0.3408294381980461
CG Iteration #46, relres 0.3381818786292132
CG Iteration #47, relres 0.3291478658122251
CG Iteration #48, relres 0.3231774985132200
