Avgstr = 41.7596708310898492
CG Iteration #1, relres 0.9999837562271995
CG Iteration #2, relres 0.9998874576783348
CG Iteration #3, relres 0.9997680511624549
CG Iteration #4, relres 0.9993890723697220
CG Iteration #5, relres 0.9992520697142735
CG Iteration #6, relres 0.9986175629650754
CG Iteration #7, relres 0.9979182490297004
CG Iteration #8, relres 0.9973504734200299
CG Iteration #9, relres 0.9964378817281344
CG Iteration #10, relres 0.9953807694505182
CG Iteration #11, relres 0.9942658960475707
CG Iteration #12, relres 0.9930646715229130
CG Iteration #13, relres 0.9916649228750422
CG Iteration #14, relres 0.9897006667200160
CG Iteration #15, relres 0.9873158815225653
CG Iteration #16, relres 0.9855367346586326
CG Iteration #17, relres 0.9832336654228736
CG Iteration #18, relres 0.9811690735322736
CG Iteration #19, relres 0.9774273247922081
CG Iteration #20, relres 0.9745311852730733
CG Iteration #21, relres 0.9713812497243307
CG Iteration #22, relres 0.9677552917674226
CG Iteration #23, relres 0.9642412565806803
CG Iteration #24, relres 0.9594307834811041
CG Iteration #25, relres 0.9546351716603871
CG Iteration #26, relres 0.9494343116882665
CG Iteration #27, relres 0.9433047370621183
CG Iteration #28, relres 0.9392945510588065
CG Iteration #29, relres 0.9336755878269422
CG Iteration #30, relres 0.9284870434486904
CG Iteration #31, relres 0.9228646063338519
CG Iteration #32, relres 0.9153236756639948
CG Iteration #33, relres 0.9067001507592866
CG Iteration #34, relres 0.8985164172753021
CG Iteration #35, relres 0.8910073350811715
CG Iteration #36, relres 0.8834669409862106
CG Iteration #37, relres 0.8747409643350479
CG Iteration #38, relres 0.8653334331334301
CG Iteration #39, relres 0.8563721535983345
CG Iteration #40, relres 0.8453907005611970
CG Iteration #41, relres 0.8344860711207077
CG Iteration #42, relres 0.8215893071897736
CG Iteration #43, relres 0.8120805509332749
CG Iteration #44, relres 0.8011528632287979
CG Iteration #45, relres 0.7878183535856459
CG Iteration #46, relres 0.7737617988142603
CG Iteration #47, relres 0.7713190459158915
CG Iteration #48, relres 0.7627799780192138
CG Iteration #49, relres 0.7459472715001417
CG Iteration #50, relres 0.7293048315101716
CG Iteration #51, relres 0.7141993267187983
CG Iteration #52, relres 0.7122624415462512
CG Iteration #53, relres 0.6926520031131016
CG Iteration #54, relres 0.6744337363804030
CG Iteration #55, relres 0.6581650934334535
CG Iteration #56, relres 0.6431869478844412
CG Iteration #57, relres 0.6242652759067164
CG Iteration #58, relres 0.6065095223494552
CG Iteration #59, relres 0.5908068481336293
CG Iteration #60, relres 0.5858506622955969
CG Iteration #61, relres 0.5735317581091305
CG Iteration #62, relres 0.5563785479370275
CG Iteration #63, relres 0.5389237659049069
CG Iteration #64, relres 0.5228446721036332
CG Iteration #65, relres 0.5063846925235946
CG Iteration #66, relres 0.4904293694655420
CG Iteration #67, relres 0.4749870583729233
CG Iteration #68, relres 0.4600347719431197
CG Iteration #69, relres 0.4451317970596390
CG Iteration #70, relres 0.4284154804678906
CG Iteration #71, relres 0.4259094731416730
CG Iteration #72, relres 0.4091250830936465
CG Iteration #73, relres 0.3925012355063350
CG Iteration #74, relres 0.3752342164630829
CG Iteration #75, relres 0.3610688414196059
CG Iteration #76, relres 0.3458993030978684
CG Iteration #77, relres 0.3344117325766978
CG Iteration #78, relres 0.3319840001324472
CG Iteration #79, relres 0.3196928845444555
CG Iteration #80, relres 0.3085908737995429
CG Iteration #81, relres 0.2947642090711002
CG Iteration #82, relres 0.2832510050533402
CG Iteration #83, relres 0.2809084558810519
CG Iteration #84, relres 0.2711995412928845
CG Iteration #85, relres 0.2706412854855786
CG Iteration #86, relres 0.2604898957693456
CG Iteration #87, relres 0.2501313901934241
CG Iteration #88, relres 0.2460554474470503
CG Iteration #89, relres 0.2395027285760914
CG Iteration #90, relres 0.2282148613657257
CG Iteration #91, relres 0.2201901447165464
CG Iteration #92, relres 0.2182217392487220
CG Iteration #93, relres 0.2096606216876175
CG Iteration #94, relres 0.2012275814137536
CG Iteration #95, relres 0.1934154261422821
CG Iteration #96, relres 0.1859033420289265
CG Iteration #97, relres 0.1820049745959654
CG Iteration #98, relres 0.1770084353113123
CG Iteration #99, relres 0.1700944071239131
CG Iteration #100, relres 0.1627152801226164
CG Iteration #101, relres 0.1608198039935882
CG Iteration #102, relres 0.1557671562917786
CG Iteration #103, relres 0.1489047672461407
CG Iteration #104, relres 0.1429585495690119
CG Iteration #105, relres 0.1371486947991977
CG Iteration #106, relres 0.1368073512275001
CG Iteration #107, relres 0.1360920231807647
CG Iteration #108, relres 0.1306637484101330
CG Iteration #109, relres 0.1250697549870362
CG Iteration #110, relres 0.1215833018926255
CG Iteration #111, relres 0.1197807412803745
CG Iteration #112, relres 0.1148770000133354
CG Iteration #113, relres 0.1101304244353899
CG Iteration #114, relres 0.1076462934536649
CG Iteration #115, relres 0.1056084727914962
CG Iteration #116, relres 0.1015164511745226
CG Iteration #117, relres 0.0971909410659063
CG Iteration #118, relres 0.0935895861600637
CG Iteration #119, relres 0.0894018698183628
CG Iteration #120, relres 0.0875251841834333
CG Iteration #121, relres 0.0855646159265171
CG Iteration #122, relres 0.0854402620161044
CG Iteration #123, relres 0.0819303597738380
CG Iteration #124, relres 0.0787585794378902
CG Iteration #125, relres 0.0785934065674729
CG Iteration #126, relres 0.0759842889859621
CG Iteration #127, relres 0.0731587779276705
CG Iteration #128, relres 0.0700157737440846
CG Iteration #129, relres 0.0679587471907815
CG Iteration #130, relres 0.0671510196027180
CG Iteration #131, relres 0.0664352673381332
CG Iteration #132, relres 0.0646305326786278
CG Iteration #133, relres 0.0623690215369796
CG Iteration #134, relres 0.0618653943293457
CG Iteration #135, relres 0.0594674135523244
CG Iteration #136, relres 0.0569607218221919
CG Iteration #137, relres 0.0545458350574682
CG Iteration #138, relres 0.0542458035141421
CG Iteration #139, relres 0.0540231231467481
CG Iteration #140, relres 0.0521165215595466
CG Iteration #141, relres 0.0501611652109936
CG Iteration #142, relres 0.0479487362347773
CG Iteration #143, relres 0.0460618293614354
CG Iteration #144, relres 0.0457316437057103
CG Iteration #145, relres 0.0438515079301840
CG Iteration #146, relres 0.0433346469797859
CG Iteration #147, relres 0.0420198846072727
CG Iteration #148, relres 0.0404711506658439
CG Iteration #149, relres 0.0400441075329554
CG Iteration #150, relres 0.0382413536165915
CG Iteration #151, relres 0.0377218646205237
CG Iteration #152, relres 0.0373317684951329
CG Iteration #153, relres 0.0365660194570833
CG Iteration #154, relres 0.0351447916071935
CG Iteration #155, relres 0.0350524779247147
CG Iteration #156, relres 0.0337263917060874
CG Iteration #157, relres 0.0322822762226726
CG Iteration #158, relres 0.0316252468848005
CG Iteration #159, relres 0.0315551141008450
CG Iteration #160, relres 0.0308526471253433
CG Iteration #161, relres 0.0295460815520935
CG Iteration #162, relres 0.0286338809413750
CG Iteration #163, relres 0.0281765469801711
CG Iteration #164, relres 0.0270158482031348
