iter=10      res2=0.982946      err2=1.13996      errA=0.976319
iter=20      res2=0.916302      err2=1.15511      errA=0.908219
iter=30      res2=0.827538      err2=1.15812      errA=0.83051
iter=40      res2=0.744092      err2=1.13129      errA=0.762276
iter=50      res2=0.631635      err2=1.05915      errA=0.672926
iter=60      res2=0.528547      err2=1.04224      errA=0.590035
iter=70      res2=0.414565      err2=0.921173      errA=0.493298
iter=80      res2=0.340176      err2=0.844295      errA=0.425624
iter=90      res2=0.269295      err2=0.695607      errA=0.356068
iter=100      res2=0.210395      err2=0.62518      errA=0.293477
iter=110      res2=0.178968      err2=0.549533      errA=0.257523
iter=120      res2=0.146642      err2=0.474579      errA=0.21814
iter=130      res2=0.122098      err2=0.407432      errA=0.186772
iter=140      res2=0.10101      err2=0.344397      errA=0.158384
iter=150      res2=0.083649      err2=0.277094      errA=0.133933
iter=160      res2=0.0714943      err2=0.241201      errA=0.116242
iter=170      res2=0.0608137      err2=0.208997      errA=0.100233
iter=180      res2=0.0521622      err2=0.182987      errA=0.0869917
iter=190      res2=0.0448318      err2=0.160705      errA=0.0755638
iter=200      res2=0.0375908      err2=0.136427      errA=0.063982
iter=210      res2=0.0331015      err2=0.118737      errA=0.0567288
iter=220      res2=0.0275561      err2=0.100973      errA=0.0476454
iter=230      res2=0.0237104      err2=0.0842836      errA=0.0412589
iter=240      res2=0.020485      err2=0.0758318      errA=0.0359078
iter=250      res2=0.0176282      err2=0.0664443      errA=0.0310923
iter=260      res2=0.0150985      err2=0.0558618      errA=0.0267881
iter=270      res2=0.0132522      err2=0.0501382      errA=0.0236287
iter=280      res2=0.0111606      err2=0.0431512      errA=0.0200147
iter=290      res2=0.00970907      err2=0.0379309      errA=0.0174807
iter=300      res2=0.00840192      err2=0.030613      errA=0.0151686
iter=310      res2=0.00728912      err2=0.0270761      errA=0.0132207
iter=320      res2=0.00632342      err2=0.0238094      errA=0.0115147
iter=330      res2=0.00548741      err2=0.020587      errA=0.0100414
iter=340      res2=0.00479865      err2=0.018158      errA=0.00881052
iter=350      res2=0.00410033      err2=0.0160613      errA=0.00755626
iter=360      res2=0.00354743      err2=0.0136899      errA=0.0065654
iter=370      res2=0.00307383      err2=0.011732      errA=0.00570314
iter=380      res2=0.00267894      err2=0.0105351      errA=0.00498705
iter=390      res2=0.00232068      err2=0.00937885      errA=0.00433163
iter=400      res2=0.00201252      err2=0.00787263      errA=0.00376409
iter=410      res2=0.00174688      err2=0.00682959      errA=0.00327348
iter=420      res2=0.00151962      err2=0.0061837      errA=0.00285392
iter=430      res2=0.00132042      err2=0.00528532      errA=0.00248717
iter=440      res2=0.00116792      err2=0.00462136      errA=0.00220448
iter=450      res2=0.0010032      err2=0.004119      errA=0.00189848
iter=460      res2=0.00085986      err2=0.00335904      errA=0.00162831
iter=470      res2=0.000751195      err2=0.00309592      errA=0.00142489
iter=480      res2=0.000631802      err2=0.00257325      errA=0.00120039
iter=490      res2=0.000556298      err2=0.00224703      errA=0.00105855
iter=500      res2=0.000493705      err2=0.00200092      errA=0.000939879
iter=510      res2=0.000426961      err2=0.00173735      errA=0.000813652
iter=520      res2=0.000374184      err2=0.00150904      errA=0.000713983
iter=530      res2=0.000328314      err2=0.00129948      errA=0.000626301
iter=540      res2=0.000286046      err2=0.0011689      errA=0.000545447
iter=550      res2=0.000248087      err2=0.0010248      errA=0.000473525
iter=560      res2=0.000217636      err2=0.000855962      errA=0.000416118
iter=570      res2=0.000187362      err2=0.000775305      errA=0.000359006
iter=580      res2=0.000163037      err2=0.000654552      errA=0.000312468
iter=590      res2=0.000144697      err2=0.000574014      errA=0.00027767
iter=600      res2=0.000125845      err2=0.000537751      errA=0.000242245
iter=610      res2=0.000109799      err2=0.000441646      errA=0.000211762
iter=620      res2=9.48361e-05      err2=0.000385458      errA=0.000183014
iter=630      res2=8.39446e-05      err2=0.000336575      errA=0.000162131
iter=640      res2=7.27178e-05      err2=0.000292536      errA=0.000140466
iter=650      res2=6.25952e-05      err2=0.000247307      errA=0.00012113
iter=660      res2=5.61354e-05      err2=0.000234575      errA=0.000108761
iter=670      res2=4.69667e-05      err2=0.00020183      errA=9.10989e-05
iter=680      res2=4.2126e-05      err2=0.000170527      errA=8.17348e-05
iter=690      res2=3.70338e-05      err2=0.000154712      errA=7.19077e-05
iter=700      res2=3.17091e-05      err2=0.000129825      errA=6.16835e-05
iter=710      res2=2.78433e-05      err2=0.000113474      errA=5.4168e-05
iter=720      res2=2.41203e-05      err2=0.000100222      errA=4.69778e-05
iter=730      res2=2.10628e-05      err2=8.66849e-05      errA=4.0964e-05
iter=740      res2=1.80354e-05      err2=7.59606e-05      errA=3.49854e-05
iter=750      res2=1.61091e-05      err2=6.62518e-05      errA=3.11963e-05
iter=760      res2=1.39017e-05      err2=5.85657e-05      errA=2.68303e-05
iter=770      res2=1.23073e-05      err2=5.08537e-05      errA=2.36375e-05
iter=780      res2=1.08351e-05      err2=4.5929e-05      errA=2.06496e-05
iter=790      res2=9.48314e-06      err2=4.15221e-05      errA=1.79076e-05
iter=800      res2=8.35192e-06      err2=3.6344e-05      errA=1.56287e-05
iter=810      res2=7.35116e-06      err2=3.16628e-05      errA=1.35691e-05
iter=820      res2=6.66071e-06      err2=2.65661e-05      errA=1.20702e-05
iter=830      res2=5.92405e-06      err2=2.50257e-05      errA=1.0506e-05
iter=840      res2=5.3491e-06      err2=2.18288e-05      errA=9.19891e-06
