iter=10      res2=0.976879      err2=1.13163      errA=0.969273
iter=20      res2=0.87065      err2=1.10879      errA=0.866993
iter=30      res2=0.751347      err2=1.14792      errA=0.768097
iter=40      res2=0.581405      err2=1.07907      errA=0.633046
iter=50      res2=0.434031      err2=0.941716      errA=0.510359
iter=60      res2=0.31317      err2=0.801568      errA=0.399906
iter=70      res2=0.214088      err2=0.628676      errA=0.297532
iter=80      res2=0.158537      err2=0.491046      errA=0.232836
iter=90      res2=0.116447      err2=0.389224      errA=0.179287
iter=100      res2=0.0933681      err2=0.307253      errA=0.147716
iter=110      res2=0.0682491      err2=0.231059      errA=0.111452
iter=120      res2=0.0549629      err2=0.193403      errA=0.0913051
iter=130      res2=0.0414947      err2=0.148117      errA=0.070223
iter=140      res2=0.0342188      err2=0.122987      errA=0.0585332
iter=150      res2=0.0264408      err2=0.0940354      errA=0.045773
iter=160      res2=0.0212192      err2=0.0782784      errA=0.03714
iter=170      res2=0.0161986      err2=0.0620801      errA=0.0286809
iter=180      res2=0.0129818      err2=0.0486671      errA=0.0231678
iter=190      res2=0.0102117      err2=0.0393467      errA=0.0183622
iter=200      res2=0.00818791      err2=0.0305425      errA=0.0147994
iter=210      res2=0.00660307      err2=0.0251089      errA=0.0120095
iter=220      res2=0.00522785      err2=0.0202369      errA=0.00957846
iter=230      res2=0.00421818      err2=0.0162117      errA=0.00776998
iter=240      res2=0.00327082      err2=0.0128288      errA=0.00606277
iter=250      res2=0.00252405      err2=0.00976005      errA=0.00470384
iter=260      res2=0.00203554      err2=0.0078575      errA=0.00380783
iter=270      res2=0.00170151      err2=0.00673276      errA=0.00319056
iter=280      res2=0.00129638      err2=0.0052382      errA=0.00244295
iter=290      res2=0.00104367      err2=0.00437372      errA=0.00197396
iter=300      res2=0.000847738      err2=0.00343636      errA=0.00160645
iter=310      res2=0.00066649      err2=0.00267238      errA=0.00126574
iter=320      res2=0.000540688      err2=0.00219918      errA=0.00102855
iter=330      res2=0.000413928      err2=0.00167892      errA=0.000789583
iter=340      res2=0.00031591      err2=0.00126672      errA=0.000602551
iter=350      res2=0.000272503      err2=0.00110765      errA=0.000519702
iter=360      res2=0.000209997      err2=0.000849559      errA=0.000401995
iter=370      res2=0.00016994      err2=0.000689595      errA=0.000325863
iter=380      res2=0.000132218      err2=0.000542258      errA=0.000254462
iter=390      res2=0.000111566      err2=0.000456289      errA=0.000215223
iter=400      res2=8.64124e-05      err2=0.000344492      errA=0.000167021
iter=410      res2=7.21623e-05      err2=0.000289677      errA=0.000139732
iter=420      res2=5.87034e-05      err2=0.000241857      errA=0.000113898
iter=430      res2=4.46962e-05      err2=0.000180723      errA=8.69526e-05
iter=440      res2=3.56949e-05      err2=0.000146253      errA=6.97103e-05
iter=450      res2=2.84445e-05      err2=0.000120179      errA=5.57363e-05
iter=460      res2=2.2924e-05      err2=9.56634e-05      errA=4.50785e-05
iter=470      res2=1.86056e-05      err2=7.88772e-05      errA=3.66373e-05
iter=480      res2=1.5381e-05      err2=6.41236e-05      errA=3.0324e-05
iter=490      res2=1.25363e-05      err2=5.26747e-05      errA=2.47313e-05
iter=500      res2=9.76343e-06      err2=4.04389e-05      errA=1.93017e-05
iter=510      res2=7.86593e-06      err2=3.32889e-05      errA=1.56032e-05
iter=520      res2=6.53824e-06      err2=2.74397e-05      errA=1.29961e-05
iter=530      res2=5.0458e-06      err2=2.14504e-05      errA=1.00505e-05
iter=540      res2=4.16894e-06      err2=1.75231e-05      errA=8.31506e-06
iter=550      res2=3.44526e-06      err2=1.43963e-05      errA=6.87243e-06
iter=560      res2=2.79358e-06      err2=1.22243e-05      errA=5.57714e-06
iter=570      res2=2.32091e-06      err2=9.64878e-06      errA=4.64403e-06
iter=580      res2=1.82032e-06      err2=7.95879e-06      errA=3.65308e-06
iter=590      res2=1.50841e-06      err2=6.18364e-06      errA=3.03084e-06
iter=600      res2=1.25938e-06      err2=5.46382e-06      errA=2.53306e-06
iter=610      res2=1.03632e-06      err2=4.36845e-06      errA=2.08747e-06
iter=620      res2=8.68733e-07      err2=3.58021e-06      errA=1.7523e-06
iter=630      res2=7.24782e-07      err2=3.12504e-06      errA=1.466e-06
iter=640      res2=6.08148e-07      err2=2.7211e-06      errA=1.23045e-06
iter=650      res2=5.09779e-07      err2=2.27624e-06      errA=1.0341e-06
iter=660      res2=4.14432e-07      err2=1.86992e-06      errA=8.44049e-07
iter=670      res2=3.57102e-07      err2=1.58281e-06      errA=7.29081e-07
iter=680      res2=2.90319e-07      err2=1.29012e-06      errA=5.93991e-07
iter=690      res2=2.47954e-07      err2=1.05137e-06      errA=5.07753e-07
iter=700      res2=2.10202e-07      err2=9.36893e-07      errA=4.31146e-07
iter=710      res2=1.71595e-07      err2=7.74063e-07      errA=3.52705e-07
iter=720      res2=1.5022e-07      err2=6.59191e-07      errA=3.08898e-07
iter=730      res2=1.24832e-07      err2=5.5296e-07      errA=2.56833e-07
iter=740      res2=1.09095e-07      err2=4.84108e-07      errA=2.24587e-07
iter=750      res2=9.1864e-08      err2=3.94741e-07      errA=1.8937e-07
iter=760      res2=7.95172e-08      err2=3.38758e-07      errA=1.6421e-07
iter=770      res2=6.58156e-08      err2=2.82612e-07      errA=1.36096e-07
iter=780      res2=5.64692e-08      err2=2.42593e-07      errA=1.16646e-07
iter=790      res2=4.86906e-08      err2=2.07775e-07      errA=1.00577e-07
iter=800      res2=4.30641e-08      err2=1.84429e-07      errA=8.88939e-08
iter=810      res2=3.67427e-08      err2=1.54629e-07      errA=7.5695e-08
iter=820      res2=3.26095e-08      err2=1.398e-07      errA=6.70253e-08
iter=830      res2=2.78759e-08      err2=1.22222e-07      errA=5.69392e-08
iter=840      res2=2.41809e-08      err2=1.04271e-07      errA=4.89415e-08
iter=850      res2=2.1219e-08      err2=8.71302e-08      errA=4.24015e-08
iter=860      res2=1.92776e-08      err2=7.81192e-08      errA=3.80103e-08
iter=870      res2=1.70714e-08      err2=6.70188e-08      errA=3.29104e-08
iter=880      res2=1.55043e-08      err2=5.82118e-08      errA=2.91857e-08
iter=890      res2=1.42041e-08      err2=4.96268e-08      errA=2.59278e-08
iter=900      res2=1.31928e-08      err2=4.35161e-08      errA=2.32749e-08
iter=910      res2=1.23698e-08      err2=3.76944e-08      errA=2.09675e-08
iter=920      res2=1.1916e-08      err2=3.40555e-08      errA=1.9593e-08
iter=930      res2=1.16926e-08      err2=3.23833e-08      errA=1.88997e-08
