Avgstr = 13.9502492543417436
CG Iteration #1, relres 0.9971377937701044
CG Iteration #2, relres 0.9953035007210224
CG Iteration #3, relres 0.9886890706791299
CG Iteration #4, relres 0.9814302892850996
CG Iteration #5, relres 0.9765086618413822
CG Iteration #6, relres 0.9686696904489327
CG Iteration #7, relres 0.9614384021617701
CG Iteration #8, relres 0.9492360109671167
CG Iteration #9, relres 0.9387516503344775
CG Iteration #10, relres 0.9253029537330079
CG Iteration #11, relres 0.9077170305808530
CG Iteration #12, relres 0.8948940665552723
CG Iteration #13, relres 0.8802080630329991
CG Iteration #14, relres 0.8677890129083315
CG Iteration #15, relres 0.8503183415657917
CG Iteration #16, relres 0.8435441754051203
CG Iteration #17, relres 0.8340625179948643
CG Iteration #18, relres 0.8203626135455161
CG Iteration #19, relres 0.8044554864021378
CG Iteration #20, relres 0.7892809558131701
CG Iteration #21, relres 0.7720883186313591
CG Iteration #22, relres 0.7567427000601372
CG Iteration #23, relres 0.7436877252116039
CG Iteration #24, relres 0.7389614133020506
CG Iteration #25, relres 0.7235624758761608
CG Iteration #26, relres 0.7093838707749819
CG Iteration #27, relres 0.7051165701552234
CG Iteration #28, relres 0.6921227544806988
CG Iteration #29, relres 0.6881958279599911
CG Iteration #30, relres 0.6719079903294061
CG Iteration #31, relres 0.6561847046725061
CG Iteration #32, relres 0.6509038120030177
CG Iteration #33, relres 0.6373801478567640
CG Iteration #34, relres 0.6209552527273087
CG Iteration #35, relres 0.6036842745144669
CG Iteration #36, relres 0.5862245025111793
CG Iteration #37, relres 0.5728702277223772
CG Iteration #38, relres 0.5602660346803420
CG Iteration #39, relres 0.5553358088128582
CG Iteration #40, relres 0.5531504749586290
CG Iteration #41, relres 0.5369150882584787
CG Iteration #42, relres 0.5346308559399430
CG Iteration #43, relres 0.5176549380189949
CG Iteration #44, relres 0.5125014533627430
CG Iteration #45, relres 0.4975426056548810
CG Iteration #46, relres 0.4818220992436920
CG Iteration #47, relres 0.4669856914465531
CG Iteration #48, relres 0.4647924876871377
CG Iteration #49, relres 0.4470780594370857
CG Iteration #50, relres 0.4362582160163798
CG Iteration #51, relres 0.4298120050677816
CG Iteration #52, relres 0.4264769424376995
CG Iteration #53, relres 0.4121209544408406
CG Iteration #54, relres 0.3984368242718065
CG Iteration #55, relres 0.3864560914735603
CG Iteration #56, relres 0.3821797236768854
CG Iteration #57, relres 0.3681365524823280
CG Iteration #58, relres 0.3560136115519137
CG Iteration #59, relres 0.3541425174880852
CG Iteration #60, relres 0.3490918863164098
CG Iteration #61, relres 0.3386587622132993
CG Iteration #62, relres 0.3245066622786453
CG Iteration #63, relres 0.3241392128230240
CG Iteration #64, relres 0.3145103303987134
CG Iteration #65, relres 0.3072676152833078
CG Iteration #66, relres 0.2962883769971467
CG Iteration #67, relres 0.2910777420230019
CG Iteration #68, relres 0.2861877963059631
CG Iteration #69, relres 0.2829978670070135
CG Iteration #70, relres 0.2795086011546887
CG Iteration #71, relres 0.2685037027305859
CG Iteration #72, relres 0.2575806315667524
CG Iteration #73, relres 0.2468657414207662
CG Iteration #74, relres 0.2461271019666623
CG Iteration #75, relres 0.2435369571468423
CG Iteration #76, relres 0.2366453625277125
CG Iteration #77, relres 0.2359572643547739
CG Iteration #78, relres 0.2268919725516438
CG Iteration #79, relres 0.2242074828968749
CG Iteration #80, relres 0.2172730152808916
CG Iteration #81, relres 0.2133327826112206
CG Iteration #82, relres 0.2057883134052530
CG Iteration #83, relres 0.1977216976297983
CG Iteration #84, relres 0.1901981949157724
CG Iteration #85, relres 0.1884636001494271
CG Iteration #86, relres 0.1880185485085670
CG Iteration #87, relres 0.1811351434816258
CG Iteration #88, relres 0.1762110876796120
CG Iteration #89, relres 0.1737830259650561
CG Iteration #90, relres 0.1703617643649463
CG Iteration #91, relres 0.1638118979802610
CG Iteration #92, relres 0.1570435404027114
CG Iteration #93, relres 0.1565511572530565
CG Iteration #94, relres 0.1507223557619190
CG Iteration #95, relres 0.1476234624916649
CG Iteration #96, relres 0.1454557946364960
CG Iteration #97, relres 0.1423051653271734
CG Iteration #98, relres 0.1419963516286030
CG Iteration #99, relres 0.1356958183948998
CG Iteration #100, relres 0.1328995168729859
CG Iteration #101, relres 0.1291799827349412
CG Iteration #102, relres 0.1257347069890478
CG Iteration #103, relres 0.1229217756777854
CG Iteration #104, relres 0.1210829608390560
CG Iteration #105, relres 0.1180140418725412
CG Iteration #106, relres 0.1156265993102014
CG Iteration #107, relres 0.1111147555129327
CG Iteration #108, relres 0.1091385445958835
CG Iteration #109, relres 0.1075458265815245
CG Iteration #110, relres 0.1065201461389089
CG Iteration #111, relres 0.1053213050979674
CG Iteration #112, relres 0.1041610537989657
CG Iteration #113, relres 0.1018696619828815
CG Iteration #114, relres 0.0993313054703178
CG Iteration #115, relres 0.0950104719486385
CG Iteration #116, relres 0.0920324968741623
CG Iteration #117, relres 0.0895343892413071
CG Iteration #118, relres 0.0881263924784241
CG Iteration #119, relres 0.0849082027366079
CG Iteration #120, relres 0.0826144218092528
CG Iteration #121, relres 0.0822557805055684
CG Iteration #122, relres 0.0809742397620053
CG Iteration #123, relres 0.0805249175568867
CG Iteration #124, relres 0.0773025454396644
CG Iteration #125, relres 0.0747194972830649
CG Iteration #126, relres 0.0737473412603505
