Avgstr = 337.5315329489777696
CG Iteration #1, relres 0.9984621258098728
CG Iteration #2, relres 0.9976496606867769
CG Iteration #3, relres 0.9936357498474300
CG Iteration #4, relres 0.9911413392268615
CG Iteration #5, relres 0.9890465562762014
CG Iteration #6, relres 0.9868259122005406
CG Iteration #7, relres 0.9801673221263435
CG Iteration #8, relres 0.9773729323646362
CG Iteration #9, relres 0.9761008106436473
CG Iteration #10, relres 0.9704428309966345
CG Iteration #11, relres 0.9649844560869743
CG Iteration #12, relres 0.9632000891952267
CG Iteration #13, relres 0.9615601387263385
CG Iteration #14, relres 0.9582707989155086
CG Iteration #15, relres 0.9551143650246589
CG Iteration #16, relres 0.9537780705965015
CG Iteration #17, relres 0.9522558170775888
CG Iteration #18, relres 0.9471982199686447
CG Iteration #19, relres 0.9453383192515397
CG Iteration #20, relres 0.9444177759041408
CG Iteration #21, relres 0.9403705990055319
CG Iteration #22, relres 0.9353149454412736
CG Iteration #23, relres 0.9344214291314064
CG Iteration #24, relres 0.9286926052247523
CG Iteration #25, relres 0.9257347402896475
CG Iteration #26, relres 0.9181631442679252
CG Iteration #27, relres 0.9168450011443455
CG Iteration #28, relres 0.9073701970899043
CG Iteration #29, relres 0.9046933753238886
CG Iteration #30, relres 0.8962386860689820
CG Iteration #31, relres 0.8855154974462619
CG Iteration #32, relres 0.8768756838859617
CG Iteration #33, relres 0.8654207763724222
CG Iteration #34, relres 0.8527950591392925
CG Iteration #35, relres 0.8470406445586000
CG Iteration #36, relres 0.8368721987838027
CG Iteration #37, relres 0.8282584450753111
CG Iteration #38, relres 0.8198565038870451
CG Iteration #39, relres 0.8102938209062197
CG Iteration #40, relres 0.7995613965907269
CG Iteration #41, relres 0.7912232596791799
CG Iteration #42, relres 0.7775050982834998
CG Iteration #43, relres 0.7678610054055275
CG Iteration #44, relres 0.7597690424759064
CG Iteration #45, relres 0.7465457732222276
CG Iteration #46, relres 0.7359903496173942
CG Iteration #47, relres 0.7293202374785330
CG Iteration #48, relres 0.7147501347507175
CG Iteration #49, relres 0.7089811160175488
CG Iteration #50, relres 0.6988397829429398
CG Iteration #51, relres 0.6863539089876095
CG Iteration #52, relres 0.6795164389483068
CG Iteration #53, relres 0.6662194633318509
CG Iteration #54, relres 0.6576911771025242
CG Iteration #55, relres 0.6508372410954411
CG Iteration #56, relres 0.6375754473317464
CG Iteration #57, relres 0.6283153621344083
CG Iteration #58, relres 0.6219603377211010
CG Iteration #59, relres 0.6107732776654242
CG Iteration #60, relres 0.5969980140537120
CG Iteration #61, relres 0.5903115424501887
CG Iteration #62, relres 0.5820437221969836
CG Iteration #63, relres 0.5677348403084378
CG Iteration #64, relres 0.5619247791326785
CG Iteration #65, relres 0.5504308551527858
CG Iteration #66, relres 0.5374423396726079
CG Iteration #67, relres 0.5250527943237856
CG Iteration #68, relres 0.5153546970930223
CG Iteration #69, relres 0.5055661127622118
CG Iteration #70, relres 0.4964971215850803
CG Iteration #71, relres 0.4875612079637426
CG Iteration #72, relres 0.4775509054155216
CG Iteration #73, relres 0.4686274867978202
CG Iteration #74, relres 0.4589974756656283
CG Iteration #75, relres 0.4492427339418500
CG Iteration #76, relres 0.4402670422777317
CG Iteration #77, relres 0.4277125206092455
CG Iteration #78, relres 0.4198770444916934
CG Iteration #79, relres 0.4105351269337371
CG Iteration #80, relres 0.4006870315203408
CG Iteration #81, relres 0.3918220467423015
CG Iteration #82, relres 0.3828987678927466
CG Iteration #83, relres 0.3761242493794125
CG Iteration #84, relres 0.3663308983749110
CG Iteration #85, relres 0.3575749108444817
CG Iteration #86, relres 0.3517623759669268
CG Iteration #87, relres 0.3460127680880121
CG Iteration #88, relres 0.3376414430515011
CG Iteration #89, relres 0.3306739966900865
CG Iteration #90, relres 0.3230214440967275
CG Iteration #91, relres 0.3147500129260399
CG Iteration #92, relres 0.3060402663264503
CG Iteration #93, relres 0.2972010125627135
CG Iteration #94, relres 0.2883535303187471
CG Iteration #95, relres 0.2798483749581152
CG Iteration #96, relres 0.2726763750949940
CG Iteration #97, relres 0.2654320578618505
CG Iteration #98, relres 0.2584671369606476
CG Iteration #99, relres 0.2503144625829573
CG Iteration #100, relres 0.2440221948615436
CG Iteration #101, relres 0.2375688019351489
CG Iteration #102, relres 0.2315048491916549
CG Iteration #103, relres 0.2249407393180544
CG Iteration #104, relres 0.2184248334465211
CG Iteration #105, relres 0.2115611544814701
CG Iteration #106, relres 0.2061589215180184
CG Iteration #107, relres 0.2007508639718621
CG Iteration #108, relres 0.1942148810716838
CG Iteration #109, relres 0.1882102066245812
CG Iteration #110, relres 0.1834463302997092
CG Iteration #111, relres 0.1778534888236491
CG Iteration #112, relres 0.1721030985703581
CG Iteration #113, relres 0.1673985932612761
CG Iteration #114, relres 0.1623628470538810
CG Iteration #115, relres 0.1571138740741957
CG Iteration #116, relres 0.1524837275252070
CG Iteration #117, relres 0.1485949994288285
CG Iteration #118, relres 0.1439260205763346
CG Iteration #119, relres 0.1391715057227702
CG Iteration #120, relres 0.1357723280838507
CG Iteration #121, relres 0.1315520151806243
CG Iteration #122, relres 0.1268751811325238
CG Iteration #123, relres 0.1230533259866771
CG Iteration #124, relres 0.1192668917431275
CG Iteration #125, relres 0.1151819371346309
CG Iteration #126, relres 0.1114799341158005
CG Iteration #127, relres 0.1080215024102403
CG Iteration #128, relres 0.1042705207686680
CG Iteration #129, relres 0.1005402662353268
CG Iteration #130, relres 0.0972307930302855
CG Iteration #131, relres 0.0937724965501181
CG Iteration #132, relres 0.0907853748436428
CG Iteration #133, relres 0.0869835804829402
CG Iteration #134, relres 0.0843019397644443
CG Iteration #135, relres 0.0812682725998898
CG Iteration #136, relres 0.0787509055773646
CG Iteration #137, relres 0.0757815782853659
CG Iteration #138, relres 0.0733577959093683
CG Iteration #139, relres 0.0710737921413623
CG Iteration #140, relres 0.0684176725320955
CG Iteration #141, relres 0.0661112045008636
CG Iteration #142, relres 0.0640432349903847
CG Iteration #143, relres 0.0615493874497962
CG Iteration #144, relres 0.0593950725248066
CG Iteration #145, relres 0.0572904727986838
CG Iteration #146, relres 0.0554819452258190
CG Iteration #147, relres 0.0537891287678579
CG Iteration #148, relres 0.0520366174571278
CG Iteration #149, relres 0.0503742301244215
CG Iteration #150, relres 0.0485435822528696
CG Iteration #151, relres 0.0466642534008374
CG Iteration #152, relres 0.0451737680936267
CG Iteration #153, relres 0.0437661857941830
CG Iteration #154, relres 0.0420454246383770
CG Iteration #155, relres 0.0405336137906810
CG Iteration #156, relres 0.0390252751062145
CG Iteration #157, relres 0.0373790887024668
CG Iteration #158, relres 0.0359073591403391
CG Iteration #159, relres 0.0346304828839551
CG Iteration #160, relres 0.0346298969192249
CG Iteration #161, relres 0.0332767625131885
CG Iteration #162, relres 0.0332712118063895
CG Iteration #163, relres 0.0319445715693919
CG Iteration #164, relres 0.0319406337850007
CG Iteration #165, relres 0.0307670023890858
CG Iteration #166, relres 0.0295144554260009
CG Iteration #167, relres 0.0295052044748525
CG Iteration #168, relres 0.0282530679629393
CG Iteration #169, relres 0.0278721860900925
CG Iteration #170, relres 0.0271280308054066
CG Iteration #171, relres 0.0263554050282345
CG Iteration #172, relres 0.0260445719087055
CG Iteration #173, relres 0.0250733071478215
CG Iteration #174, relres 0.0250362057334943
CG Iteration #175, relres 0.0239571984626738
CG Iteration #176, relres 0.0229588051814260
CG Iteration #177, relres 0.0229339086152492
CG Iteration #178, relres 0.0220499577490084
CG Iteration #179, relres 0.0211629508255352
CG Iteration #180, relres 0.0208753245270348
CG Iteration #181, relres 0.0204456122793172
CG Iteration #182, relres 0.0196874146274960
CG Iteration #183, relres 0.0189091584310433
CG Iteration #184, relres 0.0188910649552161
CG Iteration #185, relres 0.0180687966340695
CG Iteration #186, relres 0.0173002167762942
CG Iteration #187, relres 0.0172651212326189
CG Iteration #188, relres 0.0166467720174165
CG Iteration #189, relres 0.0160427173812934
CG Iteration #190, relres 0.0154766048349805
CG Iteration #191, relres 0.0154685792017026
CG Iteration #192, relres 0.0148591467178124
CG Iteration #193, relres 0.0142998560924130
CG Iteration #194, relres 0.0139262355072394
CG Iteration #195, relres 0.0137302175124268
CG Iteration #196, relres 0.0132238369435144
CG Iteration #197, relres 0.0127075119973660
CG Iteration #198, relres 0.0122401658576583
CG Iteration #199, relres 0.0122320929206179
CG Iteration #200, relres 0.0116898480584211
CG Iteration #201, relres 0.0112459542958434
CG Iteration #202, relres 0.0107964851190178
CG Iteration #203, relres 0.0107860753582328
CG Iteration #204, relres 0.0103737099670163
CG Iteration #205, relres 0.0099433263998939
CG Iteration #206, relres 0.0094933627674444
CG Iteration #207, relres 0.0091179680317813
CG Iteration #208, relres 0.0090752535249928
CG Iteration #209, relres 0.0087207388758264
CG Iteration #210, relres 0.0086976319009253
CG Iteration #211, relres 0.0083878172217239
CG Iteration #212, relres 0.0080252873016795
CG Iteration #213, relres 0.0080187388107771
CG Iteration #214, relres 0.0076557474947023
CG Iteration #215, relres 0.0072949596993280
CG Iteration #216, relres 0.0072821558924642
CG Iteration #217, relres 0.0069824074112458
CG Iteration #218, relres 0.0069609997600869
CG Iteration #219, relres 0.0067020965871410
CG Iteration #220, relres 0.0064059358793899
CG Iteration #221, relres 0.0060884526035432
CG Iteration #222, relres 0.0058236243109443
CG Iteration #223, relres 0.0055781820638796
CG Iteration #224, relres 0.0053390179376765
CG Iteration #225, relres 0.0050888365861940
CG Iteration #226, relres 0.0048584724706838
CG Iteration #227, relres 0.0046463328519442
CG Iteration #228, relres 0.0044369896851600
CG Iteration #229, relres 0.0042556430758813
CG Iteration #230, relres 0.0040384816698223
CG Iteration #231, relres 0.0038573257655195
CG Iteration #232, relres 0.0036848890532627
CG Iteration #233, relres 0.0035257761722961
CG Iteration #234, relres 0.0033854051882012
CG Iteration #235, relres 0.0032512570367064
CG Iteration #236, relres 0.0030843902643202
CG Iteration #237, relres 0.0029494980931108
CG Iteration #238, relres 0.0028196423804729
CG Iteration #239, relres 0.0026797672332923
CG Iteration #240, relres 0.0025591852377974
CG Iteration #241, relres 0.0024433378503959
CG Iteration #242, relres 0.0023262773647686
CG Iteration #243, relres 0.0022250435103380
CG Iteration #244, relres 0.0021154590252385
CG Iteration #245, relres 0.0020148855687169
CG Iteration #246, relres 0.0019203644471421
CG Iteration #247, relres 0.0018304086282226
CG Iteration #248, relres 0.0017305965289693
CG Iteration #249, relres 0.0016439099452586
CG Iteration #250, relres 0.0015673110149442
CG Iteration #251, relres 0.0014892781543087
CG Iteration #252, relres 0.0014156710087769
CG Iteration #253, relres 0.0013380863784265
CG Iteration #254, relres 0.0012745143869829
CG Iteration #255, relres 0.0012169735337206
CG Iteration #256, relres 0.0011556418370509
