iter=10      res2=879.093      err2=3234.77      errA=564.38
iter=20      res2=2511.61      err2=15904.9      errA=1715.15
iter=30      res2=5468.22      err2=34358.8      errA=3545.7
iter=40      res2=12801.1      err2=132967      errA=7506.82
iter=50      res2=17701.7      err2=227389      errA=9900.62
iter=60      res2=21719      err2=373439      errA=12114.6
iter=70      res2=27157.6      err2=2.35155e+06      errA=14945.4
iter=80      res2=31778.2      err2=3.94332e+06      errA=17245.8
iter=90      res2=35781.7      err2=3.28758e+06      errA=19227.9
iter=100      res2=40259.4      err2=6.54293e+06      errA=21287
iter=110      res2=44576.1      err2=4.19163e+06      errA=23081.1
iter=120      res2=47800.7      err2=4.25198e+06      errA=24377.2
iter=130      res2=50999.9      err2=6.2884e+06      errA=25670.8
iter=140      res2=54261.9      err2=5.58709e+06      errA=26819.2
iter=150      res2=56602.6      err2=6.6677e+06      errA=27791.9
iter=160      res2=59251.4      err2=3.53597e+06      errA=28901.4
iter=170      res2=62633.7      err2=1.15295e+06      errA=30525.8
iter=180      res2=64915.6      err2=1.25523e+07      errA=31659.1
iter=190      res2=67133.1      err2=7.70885e+06      errA=32645
iter=200      res2=69300.5      err2=6.31963e+06      errA=33806.3
iter=210      res2=70929.7      err2=9.77487e+06      errA=34553.5
iter=220      res2=72780.7      err2=8.21914e+06      errA=35462.4
iter=230      res2=74014.4      err2=3.09362e+06      errA=36136.1
iter=240      res2=75962.3      err2=5.39832e+06      errA=37622.2
iter=250      res2=78220.8      err2=8.69716e+06      errA=38642.5
iter=260      res2=80275.1      err2=6.83254e+06      errA=39861.9
iter=270      res2=82201.3      err2=9.44613e+06      errA=41138.6
iter=280      res2=84163.2      err2=1.61055e+07      errA=41909.9
iter=290      res2=87168.5      err2=1.51808e+07      errA=43577.4
iter=300      res2=89052.3      err2=7.71079e+06      errA=44593.1
iter=310      res2=91515.3      err2=8.85131e+06      errA=46198.1
iter=320      res2=93661.9      err2=9.73652e+06      errA=47481.4
iter=330      res2=94864.4      err2=9.39432e+06      errA=47949.6
iter=340      res2=96061.9      err2=8.94988e+06      errA=48577
