iter=10      res2=195.522      err2=790.891      errA=124.523
iter=20      res2=91.5236      err2=511.142      errA=60.8703
iter=30      res2=48.4279      err2=480.414      errA=31.8235
iter=40      res2=24.4192      err2=1108.45      errA=14.9742
iter=50      res2=16.0981      err2=402.444      errA=9.30769
iter=60      res2=12.7741      err2=517.785      errA=7.32796
iter=70      res2=10.0824      err2=414.526      errA=6.03211
iter=80      res2=8.9699      err2=997.277      errA=5.20411
iter=90      res2=7.99061      err2=784.996      errA=4.76109
iter=100      res2=7.90451      err2=678.396      errA=4.58273
iter=110      res2=8.19886      err2=768.908      errA=4.7291
iter=120      res2=8.54425      err2=881.393      errA=4.73169
iter=130      res2=8.92011      err2=583.618      errA=4.84879
iter=140      res2=8.86207      err2=930.284      errA=4.87833
iter=150      res2=8.72114      err2=811.128      errA=4.80474
iter=160      res2=8.29462      err2=330.298      errA=4.47105
iter=170      res2=7.74229      err2=424.731      errA=4.17785
iter=180      res2=7.07706      err2=1193.08      errA=3.84864
iter=190      res2=6.71277      err2=506.35      errA=3.68427
iter=200      res2=6.31465      err2=864.574      errA=3.47974
iter=210      res2=6.02501      err2=304.882      errA=3.33599
iter=220      res2=5.85754      err2=290.464      errA=3.21013
iter=230      res2=5.71141      err2=312.847      errA=3.13581
iter=240      res2=5.65198      err2=859.273      errA=3.10445
iter=250      res2=5.58057      err2=566.878      errA=3.06309
iter=260      res2=5.54547      err2=840.543      errA=3.06665
iter=270      res2=5.61111      err2=1230.04      errA=3.09448
iter=280      res2=5.53288      err2=644.154      errA=3.06257
iter=290      res2=5.58854      err2=539.848      errA=3.09094
iter=300      res2=5.61902      err2=31.6593      errA=3.11864
iter=310      res2=5.59889      err2=167.553      errA=3.10929
iter=320      res2=5.60206      err2=251.982      errA=3.13515
iter=330      res2=5.6485      err2=477.43      errA=3.15604
iter=340      res2=5.70072      err2=116.358      errA=3.17678
iter=350      res2=5.67425      err2=429.703      errA=3.17536
iter=360      res2=5.6792      err2=596.598      errA=3.1809
iter=370      res2=5.68251      err2=900.689      errA=3.18535
iter=380      res2=5.70772      err2=1354.97      errA=3.18943
iter=390      res2=5.74872      err2=1003.26      errA=3.20091
iter=400      res2=5.73801      err2=872.931      errA=3.20455
iter=410      res2=5.75164      err2=609.514      errA=3.22942
iter=420      res2=5.7866      err2=950      errA=3.24939
iter=430      res2=5.82024      err2=690.301      errA=3.2587
iter=440      res2=5.86189      err2=498.356      errA=3.3004
iter=450      res2=5.83033      err2=304.113      errA=3.29423
iter=460      res2=5.85179      err2=160.689      errA=3.30949
iter=470      res2=5.86735      err2=78.5509      errA=3.32608
iter=480      res2=5.86912      err2=41.7867      errA=3.32882
iter=490      res2=5.96999      err2=48.7004      errA=3.3739
iter=500      res2=5.97512      err2=118.776      errA=3.38495
iter=510      res2=5.97645      err2=211.278      errA=3.40336
iter=520      res2=6.03052      err2=328.892      errA=3.42872
iter=530      res2=6.03485      err2=488.672      errA=3.4409
iter=540      res2=5.98885      err2=517.74      errA=3.42959
iter=550      res2=6.05136      err2=750.423      errA=3.46462
iter=560      res2=6.06822      err2=933.867      errA=3.48106
iter=570      res2=6.06455      err2=535.049      errA=3.49099
iter=580      res2=6.11665      err2=775.006      errA=3.50424
iter=590      res2=6.10743      err2=887.006      errA=3.50661
iter=600      res2=6.13477      err2=1184.75      errA=3.5294
iter=610      res2=6.13393      err2=1402.32      errA=3.5403
iter=620      res2=6.17828      err2=955.39      errA=3.55055
iter=630      res2=6.19974      err2=702.732      errA=3.56502
iter=640      res2=6.21759      err2=569.633      errA=3.57426
iter=650      res2=6.2548      err2=335.425      errA=3.60026
iter=660      res2=6.27335      err2=99.7452      errA=3.61224
iter=670      res2=6.25103      err2=572.93      errA=3.58549
iter=680      res2=6.28907      err2=427.961      errA=3.60929
iter=690      res2=6.32988      err2=330.876      errA=3.62438
iter=700      res2=6.27007      err2=244.736      errA=3.59353
iter=710      res2=6.29409      err2=186.71      errA=3.62514
iter=720      res2=6.32584      err2=166.032      errA=3.6491
iter=730      res2=6.32558      err2=180.271      errA=3.64904
iter=740      res2=6.35301      err2=225.228      errA=3.65986
iter=750      res2=6.37175      err2=287.146      errA=3.67434
iter=760      res2=6.37869      err2=369.327      errA=3.68606
iter=770      res2=6.35936      err2=447.72      errA=3.6749
iter=780      res2=6.37361      err2=571.86      errA=3.68952
iter=790      res2=6.37776      err2=709.318      errA=3.69159
iter=800      res2=6.38289      err2=213.026      errA=3.70527
iter=810      res2=6.40072      err2=375.913      errA=3.70409
iter=820      res2=6.39198      err2=491.382      errA=3.69879
iter=830      res2=6.38047      err2=639.434      errA=3.70644
iter=840      res2=6.39371      err2=650.771      errA=3.69803
iter=850      res2=6.39056      err2=813.2      errA=3.71538
iter=860      res2=6.41984      err2=969.173      errA=3.71941
iter=870      res2=6.40962      err2=84.8423      errA=3.71511
iter=880      res2=6.41866      err2=1366.85      errA=3.72025
iter=890      res2=6.41273      err2=1232.09      errA=3.71734
iter=900      res2=6.45097      err2=1166.97      errA=3.73628
iter=910      res2=6.42604      err2=1080.42      errA=3.73718
iter=920      res2=6.42975      err2=1013.6      errA=3.73785
iter=930      res2=6.43068      err2=947.366      errA=3.74339
iter=940      res2=6.45721      err2=910.15      errA=3.74541
iter=950      res2=6.4285      err2=893.217      errA=3.72613
iter=960      res2=6.43353      err2=891.955      errA=3.71602
iter=970      res2=6.4101      err2=904.699      errA=3.70731
iter=980      res2=6.44534      err2=934.777      errA=3.72342
iter=990      res2=6.41369      err2=981.57      errA=3.7158
