Avgstr = 29.5470115383396923
CG Iteration #1, relres 0.9995913536809544
CG Iteration #2, relres 0.9991940895653333
CG Iteration #3, relres 0.9985368317464498
CG Iteration #4, relres 0.9975279009171863
CG Iteration #5, relres 0.9968063276021145
CG Iteration #6, relres 0.9957907726207766
CG Iteration #7, relres 0.9946873620143039
CG Iteration #8, relres 0.9938097449194350
CG Iteration #9, relres 0.9926092254263558
CG Iteration #10, relres 0.9914171345697632
CG Iteration #11, relres 0.9902972179125095
CG Iteration #12, relres 0.9889142698163240
CG Iteration #13, relres 0.9870997403895025
CG Iteration #14, relres 0.9857281527928925
CG Iteration #15, relres 0.9838473368595247
CG Iteration #16, relres 0.9819511211869615
CG Iteration #17, relres 0.9803376626396323
CG Iteration #18, relres 0.9797209444316172
CG Iteration #19, relres 0.9778485643287899
CG Iteration #20, relres 0.9755381779104584
CG Iteration #21, relres 0.9730031808096895
CG Iteration #22, relres 0.9691439249184496
CG Iteration #23, relres 0.9677866479550749
CG Iteration #24, relres 0.9654502890195412
CG Iteration #25, relres 0.9610894582364971
CG Iteration #26, relres 0.9571154255521914
CG Iteration #27, relres 0.9528794125852059
CG Iteration #28, relres 0.9493566785471036
CG Iteration #29, relres 0.9473391264815723
CG Iteration #30, relres 0.9416147003388059
CG Iteration #31, relres 0.9410942115030239
CG Iteration #32, relres 0.9363258121434089
CG Iteration #33, relres 0.9299566898636441
CG Iteration #34, relres 0.9252735284750462
CG Iteration #35, relres 0.9193775552163337
CG Iteration #36, relres 0.9111148539154404
CG Iteration #37, relres 0.9080535309212947
CG Iteration #38, relres 0.9023079889660847
CG Iteration #39, relres 0.8983597981811987
CG Iteration #40, relres 0.8932525279759960
CG Iteration #41, relres 0.8918837605335994
CG Iteration #42, relres 0.8837894651892222
CG Iteration #43, relres 0.8804572335787547
CG Iteration #44, relres 0.8772896963227417
CG Iteration #45, relres 0.8730158526715428
CG Iteration #46, relres 0.8650354894055703
CG Iteration #47, relres 0.8613957739549776
CG Iteration #48, relres 0.8552881779511926
CG Iteration #49, relres 0.8452666385785458
CG Iteration #50, relres 0.8366780039145191
CG Iteration #51, relres 0.8322521479655890
CG Iteration #52, relres 0.8209483060911589
CG Iteration #53, relres 0.8123928929579777
CG Iteration #54, relres 0.8079923412443636
CG Iteration #55, relres 0.7989813936740181
CG Iteration #56, relres 0.7974138111919092
CG Iteration #57, relres 0.7846362486306800
CG Iteration #58, relres 0.7806235375976223
CG Iteration #59, relres 0.7774199827123153
CG Iteration #60, relres 0.7654846202196466
CG Iteration #61, relres 0.7535816484559695
CG Iteration #62, relres 0.7383858089612592
CG Iteration #63, relres 0.7310163892531212
CG Iteration #64, relres 0.7216333730148575
CG Iteration #65, relres 0.7186530894198768
CG Iteration #66, relres 0.7021676438981892
CG Iteration #67, relres 0.6886145591707156
CG Iteration #68, relres 0.6861282854211783
CG Iteration #69, relres 0.6821294360326344
CG Iteration #70, relres 0.6774246344604369
CG Iteration #71, relres 0.6692756203608773
CG Iteration #72, relres 0.6623952350945036
CG Iteration #73, relres 0.6473328595497309
CG Iteration #74, relres 0.6358773989902398
CG Iteration #75, relres 0.6312370451730617
CG Iteration #76, relres 0.6280108454408252
CG Iteration #77, relres 0.6130098816564644
CG Iteration #78, relres 0.6054126568227470
CG Iteration #79, relres 0.5960031686084455
CG Iteration #80, relres 0.5810674954048315
CG Iteration #81, relres 0.5739336649383766
CG Iteration #82, relres 0.5726224202575164
CG Iteration #83, relres 0.5576263919247259
CG Iteration #84, relres 0.5449530342615928
CG Iteration #85, relres 0.5355364885196026
CG Iteration #86, relres 0.5203178495452129
CG Iteration #87, relres 0.5069617296266647
CG Iteration #88, relres 0.5026950193094796
CG Iteration #89, relres 0.4992071025997367
CG Iteration #90, relres 0.4945699806017966
CG Iteration #91, relres 0.4866814524292313
CG Iteration #92, relres 0.4823181189062477
CG Iteration #93, relres 0.4773873487510553
CG Iteration #94, relres 0.4624017056536356
CG Iteration #95, relres 0.4614635619102813
CG Iteration #96, relres 0.4556406108209415
CG Iteration #97, relres 0.4426614972817449
CG Iteration #98, relres 0.4380312201645153
CG Iteration #99, relres 0.4255950029424505
CG Iteration #100, relres 0.4226302801463569
CG Iteration #101, relres 0.4148636762304908
CG Iteration #102, relres 0.4048555268197369
CG Iteration #103, relres 0.3916455066211059
CG Iteration #104, relres 0.3888886864199894
CG Iteration #105, relres 0.3730370333609040
CG Iteration #106, relres 0.3706066578023628
CG Iteration #107, relres 0.3621343870028338
CG Iteration #108, relres 0.3586878462794493
CG Iteration #109, relres 0.3562467855718063
CG Iteration #110, relres 0.3510040294279325
CG Iteration #111, relres 0.3461586337869632
CG Iteration #112, relres 0.3419169419463491
CG Iteration #113, relres 0.3394651257715690
CG Iteration #114, relres 0.3271032223051211
CG Iteration #115, relres 0.3177046278623649
CG Iteration #116, relres 0.3113093618294681
CG Iteration #117, relres 0.3095688938725267
CG Iteration #118, relres 0.3004321250074965
CG Iteration #119, relres 0.2974413997992333
CG Iteration #120, relres 0.2969011545701501
CG Iteration #121, relres 0.2849868791404803
CG Iteration #122, relres 0.2804900302404995
CG Iteration #123, relres 0.2698414384780156
CG Iteration #124, relres 0.2625802688901867
CG Iteration #125, relres 0.2591210912360113
CG Iteration #126, relres 0.2577054546824574
CG Iteration #127, relres 0.2522637469603650
CG Iteration #128, relres 0.2478229840861690
CG Iteration #129, relres 0.2438487720148652
CG Iteration #130, relres 0.2358561004870683
CG Iteration #131, relres 0.2338096650912099
CG Iteration #132, relres 0.2325105998021397
CG Iteration #133, relres 0.2273078514342692
CG Iteration #134, relres 0.2237368044077927
CG Iteration #135, relres 0.2208408745186213
CG Iteration #136, relres 0.2170834743045447
CG Iteration #137, relres 0.2132216982357036
CG Iteration #138, relres 0.2108540740266945
CG Iteration #139, relres 0.2012705336246280
CG Iteration #140, relres 0.1989664357322679
CG Iteration #141, relres 0.1956502750985283
CG Iteration #142, relres 0.1942922476169296
CG Iteration #143, relres 0.1916685135328382
CG Iteration #144, relres 0.1895975709352536
CG Iteration #145, relres 0.1829305924556594
CG Iteration #146, relres 0.1818988139457211
CG Iteration #147, relres 0.1782537366259183
CG Iteration #148, relres 0.1714518328529187
CG Iteration #149, relres 0.1698006134082604
CG Iteration #150, relres 0.1637240067688336
CG Iteration #151, relres 0.1626241597924205
CG Iteration #152, relres 0.1611022457249048
CG Iteration #153, relres 0.1574739013111153
CG Iteration #154, relres 0.1541666565599191
CG Iteration #155, relres 0.1528300376741792
CG Iteration #156, relres 0.1509196335177208
CG Iteration #157, relres 0.1494138953214849
CG Iteration #158, relres 0.1457907366418472
CG Iteration #159, relres 0.1449455887034408
CG Iteration #160, relres 0.1411587860552447
CG Iteration #161, relres 0.1385260867830425
CG Iteration #162, relres 0.1332550489549002
CG Iteration #163, relres 0.1317938319856304
CG Iteration #164, relres 0.1302910151102348
CG Iteration #165, relres 0.1287814545647551
CG Iteration #166, relres 0.1264693130984973
CG Iteration #167, relres 0.1251770148125611
CG Iteration #168, relres 0.1242531754468607
CG Iteration #169, relres 0.1228517039788827
CG Iteration #170, relres 0.1220805497047842
CG Iteration #171, relres 0.1192406480946120
CG Iteration #172, relres 0.1150929093791085
CG Iteration #173, relres 0.1145411200715240
CG Iteration #174, relres 0.1136950709785861
CG Iteration #175, relres 0.1122887706452468
CG Iteration #176, relres 0.1113945927680242
CG Iteration #177, relres 0.1079931473927345
CG Iteration #178, relres 0.1051629353726831
CG Iteration #179, relres 0.1030617845323892
CG Iteration #180, relres 0.0993086523046730
CG Iteration #181, relres 0.0978632399646669
CG Iteration #182, relres 0.0976389388314326
CG Iteration #183, relres 0.0965329749274776
CG Iteration #184, relres 0.0952950694883961
CG Iteration #185, relres 0.0932084096701796
CG Iteration #186, relres 0.0916726391353677
CG Iteration #187, relres 0.0891790142229058
CG Iteration #188, relres 0.0857515390966590
CG Iteration #189, relres 0.0848037495724425
CG Iteration #190, relres 0.0844786705368048
CG Iteration #191, relres 0.0813317462314818
CG Iteration #192, relres 0.0810916031065330
CG Iteration #193, relres 0.0802072338887097
CG Iteration #194, relres 0.0793367335971852
CG Iteration #195, relres 0.0790347099690874
CG Iteration #196, relres 0.0779297507383987
CG Iteration #197, relres 0.0765533268685165
CG Iteration #198, relres 0.0750713168158816
CG Iteration #199, relres 0.0735538508588684
CG Iteration #200, relres 0.0724287398893360
CG Iteration #201, relres 0.0716673494480558
CG Iteration #202, relres 0.0697070794742050
CG Iteration #203, relres 0.0693212480087171
CG Iteration #204, relres 0.0684917395005922
CG Iteration #205, relres 0.0659459225449860
CG Iteration #206, relres 0.0658513623175081
CG Iteration #207, relres 0.0651123605478557
CG Iteration #208, relres 0.0642440831440236
CG Iteration #209, relres 0.0629541501377581
CG Iteration #210, relres 0.0625366334078741
CG Iteration #211, relres 0.0618056585433498
CG Iteration #212, relres 0.0609417364274466
CG Iteration #213, relres 0.0594855410158770
CG Iteration #214, relres 0.0583499614803084
CG Iteration #215, relres 0.0572709465120221
CG Iteration #216, relres 0.0566532602571362
CG Iteration #217, relres 0.0561745629438893
CG Iteration #218, relres 0.0548450397263001
CG Iteration #219, relres 0.0545510102534248
CG Iteration #220, relres 0.0538772643632629
CG Iteration #221, relres 0.0535957158857393
CG Iteration #222, relres 0.0525655868663924
CG Iteration #223, relres 0.0508681683635480
CG Iteration #224, relres 0.0507148885360502
CG Iteration #225, relres 0.0503694500884290
CG Iteration #226, relres 0.0490334368067945
CG Iteration #227, relres 0.0481587360592687
CG Iteration #228, relres 0.0474275577396816
CG Iteration #229, relres 0.0467368163420675
CG Iteration #230, relres 0.0463478498776118
CG Iteration #231, relres 0.0454939062122641
CG Iteration #232, relres 0.0453681456799540
CG Iteration #233, relres 0.0444283866196968
CG Iteration #234, relres 0.0438889440814768
CG Iteration #235, relres 0.0432687339013201
CG Iteration #236, relres 0.0429367699363499
CG Iteration #237, relres 0.0424894334709818
CG Iteration #238, relres 0.0421805900172499
CG Iteration #239, relres 0.0414355267320378
CG Iteration #240, relres 0.0409123959104171
CG Iteration #241, relres 0.0408089964768742
CG Iteration #242, relres 0.0405622286935284
CG Iteration #243, relres 0.0392245200315623
CG Iteration #244, relres 0.0389791671790746
CG Iteration #245, relres 0.0383746866192032
CG Iteration #246, relres 0.0380534081686129
CG Iteration #247, relres 0.0370623055756287
CG Iteration #248, relres 0.0367751404386395
CG Iteration #249, relres 0.0358903575317334
CG Iteration #250, relres 0.0351829324481558
CG Iteration #251, relres 0.0339779862818471
CG Iteration #252, relres 0.0333909527556771
CG Iteration #253, relres 0.0328503664195447
CG Iteration #254, relres 0.0325730241073682
CG Iteration #255, relres 0.0321125444546635
CG Iteration #256, relres 0.0320076370478152
CG Iteration #257, relres 0.0318770606286470
CG Iteration #258, relres 0.0318090493152180
CG Iteration #259, relres 0.0311918532270375
CG Iteration #260, relres 0.0307667886045655
CG Iteration #261, relres 0.0303135136960386
CG Iteration #262, relres 0.0296527128203465
CG Iteration #263, relres 0.0292955608959879
CG Iteration #264, relres 0.0288373258480591
CG Iteration #265, relres 0.0286893484678890
CG Iteration #266, relres 0.0277882768423679
CG Iteration #267, relres 0.0275167395767011
CG Iteration #268, relres 0.0267504133452927
CG Iteration #269, relres 0.0266240614164731
CG Iteration #270, relres 0.0263299261934817
CG Iteration #271, relres 0.0262062168326196
CG Iteration #272, relres 0.0258842709425286
CG Iteration #273, relres 0.0252010347971396
CG Iteration #274, relres 0.0249769655521149
CG Iteration #275, relres 0.0248417464377660
CG Iteration #276, relres 0.0245928775727629
CG Iteration #277, relres 0.0242944295041083
CG Iteration #278, relres 0.0239694381626782
CG Iteration #279, relres 0.0237015587721046
CG Iteration #280, relres 0.0233379330455487
CG Iteration #281, relres 0.0230121866873950
CG Iteration #282, relres 0.0223427951240224
CG Iteration #283, relres 0.0221732378438093
CG Iteration #284, relres 0.0220946746101985
CG Iteration #285, relres 0.0215016333272290
CG Iteration #286, relres 0.0213487080829335
CG Iteration #287, relres 0.0207882811156778
CG Iteration #288, relres 0.0206065033477969
CG Iteration #289, relres 0.0204016312458173
CG Iteration #290, relres 0.0202621562456181
CG Iteration #291, relres 0.0201419747319012
CG Iteration #292, relres 0.0197456720527756
CG Iteration #293, relres 0.0194521003574523
CG Iteration #294, relres 0.0192449653457444
CG Iteration #295, relres 0.0191115562757038
CG Iteration #296, relres 0.0188276516488143
CG Iteration #297, relres 0.0186514903921000
CG Iteration #298, relres 0.0183650400508438
