Avgstr = 2.3432481676793904
CG Iteration #1, relres 0.9987825903241291
CG Iteration #2, relres 0.9981527593414818
CG Iteration #3, relres 0.9974881579988668
CG Iteration #4, relres 0.9746495152995865
CG Iteration #5, relres 0.9609939126911350
CG Iteration #6, relres 0.8917034587831011
CG Iteration #7, relres 0.7134736670080573
CG Iteration #8, relres 0.3207705506237341
CG Iteration #9, relres 0.1944839572767560
CG Iteration #10, relres 0.0554867797922617
CG Iteration #11, relres 0.0295253615615282
CG Iteration #12, relres 0.0154690803386308
CG Iteration #13, relres 0.0023360348239480
CG Iteration #14, relres 0.0015862997425270
CG Iteration #15, relres 0.0013046075922312
CG Iteration #16, relres 0.0011130064308141
CG Iteration #17, relres 0.0011462880225948
CG Iteration #18, relres 0.0016612262978928
CG Iteration #19, relres 0.0022333129541463
CG Iteration #20, relres 0.0027025354770361
CG Iteration #21, relres 0.0026439582218360
CG Iteration #22, relres 0.0011619572230058
CG Iteration #23, relres 0.0008352950851166
CG Iteration #24, relres 0.0003415740145819
CG Iteration #25, relres 0.0002058123921934
CG Iteration #26, relres 0.0001883221722900
CG Iteration #27, relres 0.0001881551124988
CG Iteration #28, relres 0.0003675580504799
CG Iteration #29, relres 0.0004814756696838
CG Iteration #30, relres 0.0001969959126208
CG Iteration #31, relres 0.0000807244770950
CG Iteration #32, relres 0.0000801471925744
CG Iteration #33, relres 0.0000805056501505
CG Iteration #34, relres 0.0000844545773145
CG Iteration #35, relres 0.0000949817337701
CG Iteration #36, relres 0.0001721087731075
CG Iteration #37, relres 0.0001037553390843
CG Iteration #38, relres 0.0000321447956480
CG Iteration #39, relres 0.0000248104195699
CG Iteration #40, relres 0.0000231510589444
CG Iteration #41, relres 0.0000222380604702
CG Iteration #42, relres 0.0000234813791924
CG Iteration #43, relres 0.0000285117692896
CG Iteration #44, relres 0.0000392884918713
CG Iteration #45, relres 0.0000208143094994
CG Iteration #46, relres 0.0000088024924398
CG Iteration #47, relres 0.0000067492501056
CG Iteration #48, relres 0.0000063870910228
CG Iteration #49, relres 0.0000064016709393
CG Iteration #50, relres 0.0000100819737728
CG Iteration #51, relres 0.0000125640745905
CG Iteration #52, relres 0.0000087255749229
CG Iteration #53, relres 0.0000016085704727
CG Iteration #54, relres 0.0000015090962774
CG Iteration #55, relres 0.0000016517975886
CG Iteration #56, relres 0.0000022685606999
CG Iteration #57, relres 0.0000007561344484
n = 125000 iter = 57 time = 1.561s relres = 0.0000007561344484
