iter=10      res2=0.000124973      err2=4.42012      errA=0.000884934
iter=20      res2=9.42129e-05      err2=7.09088      errA=0.000740221
iter=30      res2=4.16679e-05      err2=4.47946      errA=0.00054217
iter=40      res2=4.54755e-05      err2=11.1271      errA=0.000734676
iter=50      res2=8.12696e-05      err2=5.95341      errA=0.000642681
iter=60      res2=0.00020698      err2=25.5687      errA=0.00188641
iter=70      res2=0.000325643      err2=28.5021      errA=0.00255395
iter=80      res2=0.000486694      err2=34.0467      errA=0.00332443
iter=90      res2=0.000701249      err2=96.8532      errA=0.00639363
iter=100      res2=0.000847436      err2=106.513      errA=0.00740181
iter=110      res2=0.00134151      err2=246.744      errA=0.014266
iter=120      res2=0.00158295      err2=248.313      errA=0.0151544
iter=130      res2=0.00187144      err2=342.479      errA=0.0200257
iter=140      res2=0.00202478      err2=396.844      errA=0.0233908
iter=150      res2=0.00216218      err2=374.872      errA=0.0231437
iter=160      res2=0.00261822      err2=496.384      errA=0.0293672
iter=170      res2=0.00291755      err2=623.214      errA=0.0345501
iter=180      res2=0.0031394      err2=664.565      errA=0.0372093
iter=190      res2=0.00335112      err2=633.216      errA=0.03735
iter=200      res2=0.00357535      err2=674.267      errA=0.0399052
iter=210      res2=0.00407313      err2=872.499      errA=0.0494776
iter=220      res2=0.00426852      err2=1007.07      errA=0.0541248
iter=230      res2=0.00447272      err2=1136.28      errA=0.0600516
iter=240      res2=0.00498343      err2=1272.61      errA=0.0650646
iter=250      res2=0.0054319      err2=1253.92      errA=0.0683464
iter=260      res2=0.00588189      err2=1426.55      errA=0.0757045
iter=270      res2=0.00624728      err2=1623.21      errA=0.0842488
iter=280      res2=0.00679265      err2=1730.16      errA=0.0902419
iter=290      res2=0.00708846      err2=1641.27      errA=0.089518
iter=300      res2=0.0076876      err2=1692.86      errA=0.0956979
iter=310      res2=0.00865299      err2=2061.9      errA=0.116318
iter=320      res2=0.00992092      err2=2612.63      errA=0.138391
iter=330      res2=0.0106982      err2=2870.61      errA=0.147735
iter=340      res2=0.0115358      err2=3127.69      errA=0.165795
iter=350      res2=0.0124771      err2=3356.28      errA=0.172713
iter=360      res2=0.0132031      err2=3456.97      errA=0.171848
iter=370      res2=0.0138195      err2=3457.39      errA=0.180989
iter=380      res2=0.0147687      err2=3416.21      errA=0.184243
iter=390      res2=0.0165158      err2=3546.23      errA=0.200468
iter=400      res2=0.0175653      err2=3661.21      errA=0.205924
