iter=10      res2=0.000133212      err2=8.61091      errA=0.00101881
iter=20      res2=0.000105739      err2=8.19186      errA=0.000669232
iter=30      res2=7.97367e-05      err2=4.54125      errA=0.000456153
iter=40      res2=3.83473e-05      err2=3.11993      errA=0.000301783
iter=50      res2=2.39681e-05      err2=3.65204      errA=0.000299733
iter=60      res2=1.73882e-05      err2=4.22972      errA=0.000319547
iter=70      res2=1.2864e-05      err2=3.87971      errA=0.00031887
iter=80      res2=9.80795e-06      err2=3.94092      errA=0.000312814
iter=90      res2=9.03283e-06      err2=3.99573      errA=0.000313203
iter=100      res2=8.88527e-06      err2=3.94376      errA=0.000305324
iter=110      res2=9.01114e-06      err2=3.9783      errA=0.000308509
iter=120      res2=9.15646e-06      err2=4.02521      errA=0.00030604
iter=130      res2=9.25793e-06      err2=4.00351      errA=0.000310525
iter=140      res2=9.36929e-06      err2=4.01042      errA=0.000305659
iter=150      res2=9.45016e-06      err2=4.01972      errA=0.000312482
iter=160      res2=9.5604e-06      err2=4.01373      errA=0.000304474
iter=170      res2=9.64269e-06      err2=4.01101      errA=0.000310162
iter=180      res2=9.72118e-06      err2=4.00392      errA=0.000308445
iter=190      res2=9.80391e-06      err2=4.00837      errA=0.000309371
iter=200      res2=9.87842e-06      err2=4.00826      errA=0.000306771
iter=210      res2=9.94633e-06      err2=4.00798      errA=0.000309549
iter=220      res2=1.00106e-05      err2=4.00638      errA=0.00031108
iter=230      res2=1.00926e-05      err2=4.0076      errA=0.00030986
iter=240      res2=1.01324e-05      err2=4.00715      errA=0.000309461
iter=250      res2=1.02099e-05      err2=4.00705      errA=0.000307947
iter=260      res2=1.03099e-05      err2=4.00726      errA=0.000311997
iter=270      res2=1.03674e-05      err2=4.00724      errA=0.0003102
iter=280      res2=1.03882e-05      err2=4.00731      errA=0.000310829
iter=290      res2=1.04515e-05      err2=4.0073      errA=0.000310654
iter=300      res2=1.0517e-05      err2=4.00727      errA=0.00031307
iter=310      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=320      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=330      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=340      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=350      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=360      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=370      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=380      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=390      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=400      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=410      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=420      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=430      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=440      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=450      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=460      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=470      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=480      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=490      res2=1.05471e-05      err2=4.00727      errA=0.000312291
iter=500      res2=1.05471e-05      err2=4.00727      errA=0.000312291
