anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 1      errA=1.782240272304816e6      err2_a=0.9999999304370879      err2_b=500.0941504408228
iter = 2      errA=1.7822337548051688e6      err2_a=0.9999933162239972      err2_b=500.5001422045707
iter = 3      errA=1.7822138559568783e6      err2_a=0.999972128966662      err2_b=501.87404433668144
iter = 4      errA=1.7820715500360106e6      err2_a=0.9998176433944924      err2_b=511.98985206855014
iter = 5      errA=1.7810752009128218e6      err2_a=0.9987188032693658      err2_b=579.8625452486529
iter = 6      errA=1.780093858498359e6      err2_a=0.9976344764560237      err2_b=639.8330233138263
iter = 7      errA=1.777128341323597e6      err2_a=0.9943495780841121      err2_b=794.2295683221653
iter = 8      errA=1.7770871894195068e6      err2_a=0.9943039243682684      err2_b=796.1626220183346
iter = 9      errA=1.7712969042254374e6      err2_a=0.9878869789555272      err2_b=1031.19359559979
iter = 10      errA=1.7659963699318417e6      err2_a=0.9820267346606105      err2_b=1204.526083325731
iter = 11      errA=1.7568713941017517e6      err2_a=0.9719686587509887      err2_b=1451.0865367664946
iter = 12      errA=1.735454066585782e6      err2_a=0.9485481148376727      err2_b=1891.346678833938
iter = 13      errA=1.703003330910031e6      err2_a=0.913584436049569      err2_b=2373.699393488323
iter = 14      errA=1.700680694100764e6      err2_a=0.9111071933104898      err2_b=2402.8686013315482
iter = 15      errA=1.6957945379599023e6      err2_a=0.9059067417130587      err2_b=2462.4189090275663
iter = 16      errA=1.6505058148984793e6      err2_a=0.8583989836536416      err2_b=2922.064165667758
iter = 17      errA=1.5864051348068954e6      err2_a=0.7933323363171896      err2_b=3379.8183671067263
iter = 18      errA=1.5803535685616082e6      err2_a=0.7873209233439205      err2_b=3414.7213981563864
iter = 19      errA=1.5187944309197352e6      err2_a=0.7274698087425245      err2_b=3708.002339800365
iter = 20      errA=1.5145346205173067e6      err2_a=0.7234151715551438      err2_b=3724.6487654243397
iter = 21      errA=1.4430106197120843e6      err2_a=0.6570367374803695      err2_b=3946.507260268402
iter = 22      errA=1.314100705324622e6      err2_a=0.5454687957196652      err2_b=4131.3908412520495
iter = 23      errA=1.205323575038211e6      err2_a=0.45942189788865245      err2_b=4128.862552432448
iter = 24      errA=1.202036004457003e6      err2_a=0.45693686894460717      err2_b=4126.948477578894
iter = 25      errA=1.1829842060436246e6      err2_a=0.44266669514120366      err2_b=4114.008525411498
iter = 26      errA=1.1693526837805728e6      err2_a=0.43259586977896325      err2_b=4102.798219380046
iter = 27      errA=1.1091605498234718e6      err2_a=0.38952213702404503      err2_b=4034.914676530739
iter = 28      errA=1.0230945544654949e6      err2_a=0.3318725416237788      err2_b=3891.356936940148
iter = 29      errA=914283.1966626841      err2_a=0.2656280578545844      err2_b=3643.099988720485
iter = 30      errA=900566.184951585      err2_a=0.2578033366294396      err2_b=3607.164896513675
iter = 31      errA=810185.6270929758      err2_a=0.20920309470475962      err2_b=3347.16193509857
iter = 32      errA=809364.8252533794      err2_a=0.20878525265749012      err2_b=3344.626765019553
iter = 33      errA=799790.2545412903      err2_a=0.20394174893782713      err2_b=3314.863277256115
iter = 34      errA=730517.4383242502      err2_a=0.17061055691300359      err2_b=3088.276892837152
iter = 35      errA=727645.646301567      err2_a=0.16929388397445913      err2_b=3078.470555461121
iter = 36      errA=668106.7462461898      err2_a=0.14315600770346332      err2_b=2868.6468543380593
