anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
100 iterations
iter = 1      errA=368786.40373520023      err2_a=0.001598471174130249      err2_b=76418.46601588711
iter = 2      errA=33913.33937970082      err2_a=0.00034604099531921885      err2_b=105.15665805971854
iter = 3      errA=25999.733859891545      err2_a=0.0002491224012592438      err2_b=3367.029940209172
iter = 4      errA=6197.6638746434755      err2_a=0.00011962820688754053      err2_b=494.81185197388237
iter = 5      errA=5418.229711135321      err2_a=0.0001126928929886372      err2_b=198.77995629117345
iter = 6      errA=5324.853880430886      err2_a=0.00011053773271281624      err2_b=230.68977058312876
iter = 7      errA=4954.383861946951      err2_a=0.00010235360859970697      err2_b=281.7373294146159
iter = 8      errA=1558.2223098695024      err2_a=2.9833594551649027e-5      err2_b=190.21199651815982
iter = 9      errA=1024.7007140598735      err2_a=2.269248597767981e-5      err2_b=64.10500313236444
iter = 10      errA=685.3270151033629      err2_a=1.4596224189579479e-5      err2_b=51.20397586788737
iter = 11      errA=685.2912298082341      err2_a=1.4595159842930304e-5      err2_b=51.20916857134912
iter = 12      errA=346.0015057647686      err2_a=5.804969793763332e-6      err2_b=44.116477451217655
iter = 13      errA=130.50564572033716      err2_a=2.3692654541404717e-6      err2_b=8.181145092834246
iter = 14      errA=73.2190793398002      err2_a=1.2785730506896385e-6      err2_b=6.409765099111083
iter = 15      errA=70.75608788074364      err2_a=1.219266252476761e-6      err2_b=6.856897320833037
iter = 16      errA=53.5029334796628      err2_a=8.60999093225953e-7      err2_b=6.812147502043496
iter = 17      errA=35.701195977524335      err2_a=5.883518802173409e-7      err2_b=3.027875604233063
iter = 18      errA=15.815437082463287      err2_a=2.570824585135924e-7      err2_b=1.514285331768545
iter = 19      errA=7.514398764542579      err2_a=1.3866716276453304e-7      err2_b=0.5407375550726427
iter = 20      errA=7.5140876295801355      err2_a=1.3866231234014865e-7      err2_b=0.540698171098216
iter = 21      errA=3.686709378970886      err2_a=7.134240000768276e-8      err2_b=0.26080459956125795
iter = 22      errA=1.453229745739028      err2_a=2.8722099695571425e-8      err2_b=0.10132721725392138
iter = 23      errA=0.5686506959628924      err2_a=1.2224301965636362e-8      err2_b=0.046894636074943014
iter = 24      errA=0.5658584353077842      err2_a=1.2173871837072745e-8      err2_b=0.04654437423384402
iter = 25      errA=0.5131390822757017      err2_a=1.1266731241235595e-8      err2_b=0.036448345043387155
iter = 26      errA=0.2510117452849432      err2_a=5.601381242621357e-9      err2_b=0.017291220509560456
iter = 27      errA=0.1051028623636962      err2_a=2.147445876324511e-9      err2_b=0.009784216622420102
iter = 28      errA=0.09707423833501992      err2_a=2.026537834393716e-9      err2_b=0.0066491837044989795
iter = 29      errA=0.09706993497803132      err2_a=2.0264351826030906e-9      err2_b=0.006649513751543918
iter = 30      errA=0.03494978788891758      err2_a=7.554392192445499e-10      err2_b=0.0016815708601268455
iter = 31      errA=0.023405569303237783      err2_a=4.426718188885085e-10      err2_b=0.002893052462274592
iter = 32      errA=0.011363363194371855      err2_a=2.150250304541547e-10      err2_b=0.0007148769074304664
iter = 33      errA=0.011360310554465586      err2_a=2.1493928678874416e-10      err2_b=0.0007162962464586517
iter = 34      errA=0.004271934544197057      err2_a=7.550038353876975e-11      err2_b=0.0002927673464677445
iter = 35      errA=0.0016372006856921004      err2_a=2.8852389667580745e-11      err2_b=8.80798323322946e-5
iter = 36      errA=0.0006015582611985906      err2_a=9.867184039957868e-12      err2_b=3.957367890800263e-5
iter = 37      errA=0.0006013859449414274      err2_a=9.863208280620062e-12      err2_b=3.9649134386094686e-5
iter = 38      errA=0.00024041706586840964      err2_a=3.9379530885158694e-12      err2_b=2.44549570024324e-5
iter = 39      errA=0.00020053336044311055      err2_a=3.377077540098111e-12      err2_b=1.914431989100178e-5
iter = 40      errA=0.0001682515848779878      err2_a=2.9641621399267494e-12      err2_b=1.0615834328039452e-5
iter = 41      errA=0.0001507785665025648      err2_a=2.5472146817366125e-12      err2_b=1.5762707281589452e-5
iter = 42      errA=6.15607160275629e-5      err2_a=1.1354774746434065e-12      err2_b=3.675288402162788e-6
iter = 43      errA=5.582830723462786e-5      err2_a=1.0192428254131644e-12      err2_b=4.187865651276647e-6
iter = 44      errA=1.9942094715450137e-5      err2_a=3.936330688720683e-13      err2_b=1.0608662540511132e-6
iter = 45      errA=1.9422368634538562e-5      err2_a=3.7922561755668507e-13      err2_b=1.346676148551604e-6
iter = 46      errA=6.564073408297347e-6      err2_a=1.446409976474348e-13      err2_b=2.799315311260142e-7
iter = 47      errA=2.158514626938893e-6      err2_a=4.780013177276047e-14      err2_b=1.191044350904636e-7
iter = 48      errA=9.852544221750412e-7      err2_a=2.040644523348721e-14      err2_b=1.2354272844586642e-7
iter = 49      errA=9.84452822885789e-7      err2_a=2.0393991623337465e-14      err2_b=1.233461422397627e-7
iter = 50      errA=8.527538258322056e-7      err2_a=1.8514914431954685e-14      err2_b=8.515600195117114e-8
iter = 51      errA=5.748109559393885e-7      err2_a=1.2961769908627126e-14      err2_b=4.922154507364356e-8
iter = 52      errA=2.464158534445845e-7      err2_a=4.99289478464686e-15      err2_b=4.07889532008896e-8
iter = 53      errA=2.2475517363644525e-7      err2_a=4.6893858227664305e-15      err2_b=3.566369144552521e-8
iter = 54      errA=1.907767414589878e-7      err2_a=3.904290300772684e-15      err2_b=3.4304160285037246e-8
iter = 55      errA=8.446044494954236e-8      err2_a=1.3187060042888391e-15      err2_b=3.210940020100518e-8
iter = 56      errA=8.445269605009642e-8      err2_a=1.3186440483837505e-15      err2_b=3.210864281775406e-8
iter = 57      errA=8.089054087489893e-8      err2_a=1.1865807672441453e-15      err2_b=3.222208664992365e-8
iter = 58      errA=5.809375395650854e-8      err2_a=4.57849472856831e-16      err2_b=3.1840661355028045e-8
iter = 59      errA=5.805083494030058e-8      err2_a=4.569922541070109e-16      err2_b=3.183805043484935e-8
iter = 60      errA=5.7076311047476856e-8      err2_a=4.429090258934946e-16      err2_b=3.177370791635657e-8
iter = 61      errA=5.4480893213921915e-8      err2_a=1.5819912728178547e-16      err2_b=3.180210777179393e-8
iter = 62      errA=5.405772265594063e-8      err2_a=1.3553687468381444e-16      err2_b=3.17957490502013e-8
iter = 63      errA=5.311886313925553e-8      err2_a=7.984703952632283e-17      err2_b=3.1771062721099656e-8
iter = 64      errA=5.3193133855611496e-8      err2_a=3.880898818698775e-17      err2_b=3.178516361130382e-8
iter = 65      errA=5.3220211877532255e-8      err2_a=3.4560671101304474e-17      err2_b=3.1786919810231784e-8
iter = 66      errA=5.328631603115092e-8      err2_a=1.8847031496264926e-17      err2_b=3.178959047615466e-8
iter = 67      errA=5.324311355315933e-8      err2_a=1.752971696404306e-17      err2_b=3.178636583531269e-8
iter = 68      errA=5.322804367086433e-8      err2_a=1.2176831414402386e-17      err2_b=3.1785148596753826e-8
iter = 69      errA=5.322765998617783e-8      err2_a=1.2168828788308037e-17      err2_b=3.178512024084255e-8
iter = 70      errA=5.3200680906464734e-8      err2_a=1.0244900837732378e-17      err2_b=3.178369661698959e-8
iter = 71      errA=5.320049983155609e-8      err2_a=1.0240427717434498e-17      err2_b=3.178368461808027e-8
iter = 72      errA=5.319840103189619e-8      err2_a=7.746659136614e-18      err2_b=3.1784168516413974e-8
iter = 73      errA=5.3203857578303766e-8      err2_a=7.470900304494503e-18      err2_b=3.178457378725786e-8
iter = 74      errA=5.3208243705038386e-8      err2_a=7.332066693844556e-18      err2_b=3.178489564045867e-8
iter = 75      errA=5.320179356193315e-8      err2_a=7.141680733864943e-18      err2_b=3.178444460168767e-8
iter = 76      errA=5.3201828188564655e-8      err2_a=7.141700156673327e-18      err2_b=3.1784447041716176e-8
iter = 77      errA=5.320243609699839e-8      err2_a=7.100071876548186e-18      err2_b=3.1784479090973204e-8
iter = 78      errA=5.320245217848748e-8      err2_a=7.100156177360967e-18      err2_b=3.178448024094238e-8
iter = 79      errA=5.3203255865330416e-8      err2_a=7.058452251318826e-18      err2_b=3.1784525246158654e-8
iter = 80      errA=5.3203244797021384e-8      err2_a=7.058711932160267e-18      err2_b=3.178452443912092e-8
iter = 81      errA=5.320216821671113e-8      err2_a=7.056060366049656e-18      err2_b=3.1784446143503235e-8
iter = 82      errA=5.320200942783024e-8      err2_a=7.056141763849228e-18      err2_b=3.178443459931889e-8
iter = 83      errA=5.3202011610465124e-8      err2_a=7.05624291529206e-18      err2_b=3.17844347515878e-8
iter = 84      errA=5.320202159844875e-8      err2_a=7.056132328463806e-18      err2_b=3.178443539374486e-8
iter = 85      errA=5.3202053835116586e-8      err2_a=7.056082306898641e-18      err2_b=3.178443693414626e-8
iter = 86      errA=5.320205305964195e-8      err2_a=7.056049565635959e-18      err2_b=3.178443648260786e-8
iter = 87      errA=5.32020498961192e-8      err2_a=7.055967679104112e-18      err2_b=3.1784436234271494e-8
iter = 88      errA=5.3202049695594826e-8      err2_a=7.056131189298635e-18      err2_b=3.178443621978905e-8
iter = 89      errA=5.3202049465289506e-8      err2_a=7.056268985903174e-18      err2_b=3.178443620555778e-8
iter = 90      errA=5.3202049326621226e-8      err2_a=7.056075708183514e-18      err2_b=3.1784436195172996e-8
iter = 91      errA=5.320204919113836e-8      err2_a=7.05616421858651e-18      err2_b=3.1784436184682645e-8
iter = 92      errA=5.320204906484741e-8      err2_a=7.05616090846247e-18      err2_b=3.178443617472668e-8
iter = 93      errA=5.320204890323611e-8      err2_a=7.056129197556316e-18      err2_b=3.1784436164350916e-8
iter = 94      errA=5.3202048747607794e-8      err2_a=7.056222901780584e-18      err2_b=3.178443615430249e-8
iter = 95      errA=5.320204860330078e-8      err2_a=7.056361721025216e-18      err2_b=3.1784436144134927e-8
iter = 96      errA=5.320204846649097e-8      err2_a=7.056209761621647e-18      err2_b=3.178443613359063e-8
iter = 97      errA=5.320204830848345e-8      err2_a=7.056109939433027e-18      err2_b=3.178443612316369e-8
iter = 98      errA=5.320204818283749e-8      err2_a=7.056173288043372e-18      err2_b=3.178443611334824e-8
iter = 99      errA=5.3202048035326195e-8      err2_a=7.056222205914653e-18      err2_b=3.178443610246361e-8
iter = 100      errA=5.3202047871259295e-8      err2_a=7.05625767818404e-18      err2_b=3.1784436090903723e-8
