Avgstr = 2.3432481676794139
CG Iteration #1, relres 0.9987825903241361
CG Iteration #2, relres 0.9981527593414796
CG Iteration #3, relres 0.9974881579988765
CG Iteration #4, relres 0.9746495152995839
CG Iteration #5, relres 0.9609939126911342
CG Iteration #6, relres 0.8917034587830713
CG Iteration #7, relres 0.7134736670079852
CG Iteration #8, relres 0.3207705506236695
CG Iteration #9, relres 0.1944839572767127
CG Iteration #10, relres 0.0554867797923621
CG Iteration #11, relres 0.0295253615608529
CG Iteration #12, relres 0.0154690803399678
CG Iteration #13, relres 0.0023360348087930
CG Iteration #14, relres 0.0015862998807616
CG Iteration #15, relres 0.0013046072001900
CG Iteration #16, relres 0.0011130087352231
CG Iteration #17, relres 0.0011462159260119
CG Iteration #18, relres 0.0016657302483731
CG Iteration #19, relres 0.0024407058148051
CG Iteration #20, relres 0.0027577277405023
CG Iteration #21, relres 0.0012869640220090
CG Iteration #22, relres 0.0003931401151791
CG Iteration #23, relres 0.0002927838652767
CG Iteration #24, relres 0.0002129748416428
CG Iteration #25, relres 0.0001912019877392
CG Iteration #26, relres 0.0001872959517594
CG Iteration #27, relres 0.0001915501991399
CG Iteration #28, relres 0.0003675538160281
CG Iteration #29, relres 0.0004814749809750
CG Iteration #30, relres 0.0001969963341912
CG Iteration #31, relres 0.0000807305775160
CG Iteration #32, relres 0.0000800612843196
CG Iteration #33, relres 0.0000834565514744
CG Iteration #34, relres 0.0001449998510932
CG Iteration #35, relres 0.0000459629224974
CG Iteration #36, relres 0.0000290998414127
CG Iteration #37, relres 0.0000254879988069
CG Iteration #38, relres 0.0000240741273964
CG Iteration #39, relres 0.0000222468261235
CG Iteration #40, relres 0.0000224349149807
CG Iteration #41, relres 0.0000229709185706
CG Iteration #42, relres 0.0000410064441515
CG Iteration #43, relres 0.0000398175059335
CG Iteration #44, relres 0.0000271877192295
CG Iteration #45, relres 0.0000084402403554
CG Iteration #46, relres 0.0000064576036778
CG Iteration #47, relres 0.0000063659016528
CG Iteration #48, relres 0.0000067631085988
CG Iteration #49, relres 0.0000125096314616
CG Iteration #50, relres 0.0000020347265028
CG Iteration #51, relres 0.0000015344519522
CG Iteration #52, relres 0.0000015088731648
CG Iteration #53, relres 0.0000015462944860
CG Iteration #54, relres 0.0000017485754992
CG Iteration #55, relres 0.0000030994561243
CG Iteration #56, relres 0.0000011003489217
CG Iteration #57, relres 0.0000003797755370
n = 125000 iter = 57 time = 65.813s relres = 0.0000003797755370
