lemon@Arch:~/335final$ ./treepcgsolver ~/TreePCG/graphs/se_1
Avgstr = 43537813.9168765693902969
CG Iteration #1, relres 0.3275599229923141
CG Iteration #2, relres 0.2105192653772558
CG Iteration #3, relres 0.1152770283452108
CG Iteration #4, relres 0.0791404317593692
CG Iteration #5, relres 0.0526496047586156
CG Iteration #6, relres 0.0544060851355290
CG Iteration #7, relres 0.0410560150245776
CG Iteration #8, relres 0.0390145387112637
CG Iteration #9, relres 0.0338615242784544
CG Iteration #10, relres 0.0300404776202018
CG Iteration #11, relres 0.0262093489855543
CG Iteration #12, relres 0.0204540468204354
CG Iteration #13, relres 0.0167652865373492
CG Iteration #14, relres 0.0172425218083108
CG Iteration #15, relres 0.0185422366804063
CG Iteration #16, relres 0.0151812511519943
CG Iteration #17, relres 0.0134271147265327
CG Iteration #18, relres 0.0106949502240317
CG Iteration #19, relres 0.0101894239098449
CG Iteration #20, relres 0.0099287217421093
CG Iteration #21, relres 0.0086253605705492
CG Iteration #22, relres 0.0073573316674724
CG Iteration #23, relres 0.0073870506362612
CG Iteration #24, relres 0.0065947325901327
CG Iteration #25, relres 0.0060393068236753
CG Iteration #26, relres 0.0055368897633657
CG Iteration #27, relres 0.0054700936506006
CG Iteration #28, relres 0.0049011454940775
CG Iteration #29, relres 0.0046867323048800
CG Iteration #30, relres 0.0042337226530029
CG Iteration #31, relres 0.0040596629565478
CG Iteration #32, relres 0.0031217594771815
CG Iteration #33, relres 0.0027826107098077
CG Iteration #34, relres 0.0031843435352495
CG Iteration #35, relres 0.0033776804568286
CG Iteration #36, relres 0.0026250563075265
CG Iteration #37, relres 0.0026166950112645
CG Iteration #38, relres 0.0031641739669439
CG Iteration #39, relres 0.0028587989154352
CG Iteration #40, relres 0.0029276334835933
CG Iteration #41, relres 0.0024041302334858
CG Iteration #42, relres 0.0026090514361846
CG Iteration #43, relres 0.0024756404037300
CG Iteration #44, relres 0.0021052282594855
CG Iteration #45, relres 0.0025348670034150
CG Iteration #46, relres 0.0026158526444053
CG Iteration #47, relres 0.0017687723361943
CG Iteration #48, relres 0.0025487701219349
CG Iteration #49, relres 0.0013763584483838
CG Iteration #50, relres 0.0017951565331320
CG Iteration #51, relres 0.0015507505381748
CG Iteration #52, relres 0.0014556478152668
CG Iteration #53, relres 0.0018743530505339
CG Iteration #54, relres 0.0023434791224718
CG Iteration #55, relres 0.0014228929823995
CG Iteration #56, relres 0.0025705035298794
CG Iteration #57, relres 0.0013569742281278
CG Iteration #58, relres 0.0022199315603365
CG Iteration #59, relres 0.0010757669333002
CG Iteration #60, relres 0.0013075658672708
CG Iteration #61, relres 0.0007646702811277
CG Iteration #62, relres 0.0009511263111208
CG Iteration #63, relres 0.0020339435637797
CG Iteration #64, relres 0.0011592033041021
CG Iteration #65, relres 0.0018288110205130
CG Iteration #66, relres 0.0006171699350251
CG Iteration #67, relres 0.0018536568408460
CG Iteration #68, relres 0.0009734476745082
CG Iteration #69, relres 0.0010139940909832
CG Iteration #70, relres 0.0008887166164155
CG Iteration #71, relres 0.0013122940929251
CG Iteration #72, relres 0.0005593672624461
CG Iteration #73, relres 0.0015468847444459
CG Iteration #74, relres 0.0008217754753649
CG Iteration #75, relres 0.0006408022711453
CG Iteration #76, relres 0.0012920530795289
CG Iteration #77, relres 0.0005030852487855
CG Iteration #78, relres 0.0019847469014007
CG Iteration #79, relres 0.0013673279670294
CG Iteration #80, relres 0.0007720131075257
CG Iteration #81, relres 0.0012976812821694
CG Iteration #82, relres 0.0007978121826400
CG Iteration #83, relres 0.0013720636092626
CG Iteration #84, relres 0.0005659334826949
CG Iteration #85, relres 0.0003907897220964
CG Iteration #86, relres 0.0010515536531440
CG Iteration #87, relres 0.0004944344452429
CG Iteration #88, relres 0.0006372076186229
CG Iteration #89, relres 0.0009927652321713
CG Iteration #90, relres 0.0006196873431450
CG Iteration #91, relres 0.0006787130130176
CG Iteration #92, relres 0.0005848653038734
CG Iteration #93, relres 0.0009639087945794
CG Iteration #94, relres 0.0013190055486653
CG Iteration #95, relres 0.0006387591021065
CG Iteration #96, relres 0.0003085662792643
CG Iteration #97, relres 0.0009919714308987
CG Iteration #98, relres 0.0013135108731743
CG Iteration #99, relres 0.0010767299461079
CG Iteration #100, relres 0.0004294532284813
CG Iteration #101, relres 0.0004433645098205
CG Iteration #102, relres 0.0012848542423490
CG Iteration #103, relres 0.0006711803487619
CG Iteration #104, relres 0.0002928688502667
CG Iteration #105, relres 0.0007589424392343
CG Iteration #106, relres 0.0010903735076713
CG Iteration #107, relres 0.0005456395130197
CG Iteration #108, relres 0.0002843618857406
CG Iteration #109, relres 0.0006283746565381
CG Iteration #110, relres 0.0007442522975356
CG Iteration #111, relres 0.0003032576927710
CG Iteration #112, relres 0.0005919343164614
CG Iteration #113, relres 0.0007181247396217
CG Iteration #114, relres 0.0003169082111855
CG Iteration #115, relres 0.0004383335587304
CG Iteration #116, relres 0.0004745860126041
CG Iteration #117, relres 0.0009326705213018
CG Iteration #118, relres 0.0003390707625461
CG Iteration #119, relres 0.0002640265925110
CG Iteration #120, relres 0.0001846661582755
CG Iteration #121, relres 0.0004719982056755
CG Iteration #122, relres 0.0001901764665808
CG Iteration #123, relres 0.0002736990641107
CG Iteration #124, relres 0.0004878038273733
CG Iteration #125, relres 0.0005252682331261
CG Iteration #126, relres 0.0005759313273150
CG Iteration #127, relres 0.0002045927065518
CG Iteration #128, relres 0.0006087916553854
CG Iteration #129, relres 0.0006464406380028
CG Iteration #130, relres 0.0006138123188824
CG Iteration #131, relres 0.0005943117258135
CG Iteration #132, relres 0.0001928107510376
CG Iteration #133, relres 0.0003751246087673
CG Iteration #134, relres 0.0005201096055668
CG Iteration #135, relres 0.0008594098160370
CG Iteration #136, relres 0.0005043228758071
CG Iteration #137, relres 0.0002771817260047
CG Iteration #138, relres 0.0001971768960945
CG Iteration #139, relres 0.0004363453514157
CG Iteration #140, relres 0.0005528428359375
CG Iteration #141, relres 0.0004476120841722
CG Iteration #142, relres 0.0003137979763966
CG Iteration #143, relres 0.0001160435858527
CG Iteration #144, relres 0.0002456195860760
CG Iteration #145, relres 0.0002922268196429
CG Iteration #146, relres 0.0003844251999871
CG Iteration #147, relres 0.0002698072840444
CG Iteration #148, relres 0.0003364020658016
CG Iteration #149, relres 0.0003437307552172
CG Iteration #150, relres 0.0001868689434291
CG Iteration #151, relres 0.0003325201900789
CG Iteration #152, relres 0.0003054451581673
CG Iteration #153, relres 0.0003508045837793
CG Iteration #154, relres 0.0001895751248904
CG Iteration #155, relres 0.0001439697751148
CG Iteration #156, relres 0.0001816411684196
CG Iteration #157, relres 0.0001842437910267
CG Iteration #158, relres 0.0003191449564156
CG Iteration #159, relres 0.0005475542100404
CG Iteration #160, relres 0.0003735937457108
CG Iteration #161, relres 0.0004059187452223
CG Iteration #162, relres 0.0001147629694353
CG Iteration #163, relres 0.0002839599706467
CG Iteration #164, relres 0.0002012664916742
CG Iteration #165, relres 0.0005406905767524
CG Iteration #166, relres 0.0004332403951527
CG Iteration #167, relres 0.0002077436049404
CG Iteration #168, relres 0.0001712400494079
CG Iteration #169, relres 0.0003306498895084
CG Iteration #170, relres 0.0001687974890438
CG Iteration #171, relres 0.0004668011520738
CG Iteration #172, relres 0.0002423503960152
CG Iteration #173, relres 0.0002066966439904
CG Iteration #174, relres 0.0002853542424033
CG Iteration #175, relres 0.0001412432501849
CG Iteration #176, relres 0.0001141499754412
CG Iteration #177, relres 0.0003850180216569
CG Iteration #178, relres 0.0002886490384900
CG Iteration #179, relres 0.0001715236493005
CG Iteration #180, relres 0.0001699272902725
CG Iteration #181, relres 0.0002391763951868
CG Iteration #182, relres 0.0001456063220420
