anorm = sqrt(((x-truex)' * la * (x-truex))/(truex' * la * truex)), 2norm = norm(la*x-b)/norm(b)
50000 iterations
iter = 1      errA=0.5008401507327658      err2=0.3275599229923138
iter = 2      errA=0.33673512098796393      err2=0.21051926537725543
iter = 3      errA=0.23969668522636947      err2=0.11527702834521017
iter = 4      errA=0.19447609901717708      err2=0.07914043175936886
iter = 5      errA=0.17056621757933044      err2=0.052649604758615576
iter = 6      errA=0.15148098510270402      err2=0.05440608513552854
iter = 7      errA=0.13314382090496296      err2=0.041056015024578195
iter = 8      errA=0.12283443948434723      err2=0.03901453871126407
iter = 9      errA=0.1086671439846808      err2=0.03386152427845549
iter = 10      errA=0.09494489650896003      err2=0.030040477620202073
iter = 11      errA=0.08600692092716068      err2=0.02620934898555565
iter = 12      errA=0.07882787340123014      err2=0.02045404682043554
iter = 13      errA=0.07444515284199064      err2=0.0167652865373489
iter = 14      errA=0.06948152419569385      err2=0.01724252180831067
iter = 15      errA=0.06497524770798521      err2=0.018542236680406925
iter = 16      errA=0.0602473710141826      err2=0.015181251151993067
iter = 17      errA=0.056273430803462206      err2=0.013427114726532302
iter = 18      errA=0.053756190356772114      err2=0.010694950224030844
iter = 19      errA=0.04929320437451347      err2=0.010189423909844666
iter = 20      errA=0.04652537618180239      err2=0.009928721742109212
iter = 21      errA=0.04434816393371557      err2=0.00862536057054978
iter = 22      errA=0.04209408446372533      err2=0.007357331667472466
iter = 23      errA=0.04054627037469678      err2=0.007387050636261088
iter = 24      errA=0.03823732861599575      err2=0.006594732590133841
iter = 25      errA=0.03721260317979981      err2=0.006039306823675293
iter = 26      errA=0.03595303721547176      err2=0.005536889763365844
iter = 27      errA=0.03449827130801771      err2=0.005470093650600427
iter = 28      errA=0.0334223421494137      err2=0.00490114549407729
iter = 29      errA=0.0320599553608367      err2=0.004686732304879275
iter = 30      errA=0.031073226117995824      err2=0.004233722653002563
iter = 31      errA=0.029729653409410032      err2=0.00405966295654727
iter = 32      errA=0.028801776576142937      err2=0.003121759477176676
iter = 33      errA=0.028164980039054655      err2=0.0027826107096613254
iter = 34      errA=0.02752792617362861      err2=0.003184343530410022
iter = 35      errA=0.02672037503385832      err2=0.0033776802995718214
iter = 36      errA=0.02602326490180201      err2=0.0026250524823206783
iter = 37      errA=0.024917144739912425      err2=0.0026160002901570397
iter = 38      errA=0.02413842792819354      err2=0.0031279312824862506
iter = 39      errA=0.02349152209865049      err2=0.0021988243725279207
iter = 40      errA=0.022711824636951036      err2=0.003807197584706495
iter = 41      errA=0.02239354908468514      err2=0.0027212619038149226
iter = 42      errA=0.02151234057177341      err2=0.002042626534698307
iter = 43      errA=0.021096216206336203      err2=0.00261448115890262
iter = 44      errA=0.020884255803084093      err2=0.002586759612956307
iter = 45      errA=0.019962019005943157      err2=0.0022421295802624716
iter = 46      errA=0.019670571113575466      err2=0.0029515440252816747
iter = 47      errA=0.019320340456403226      err2=0.0017360802885466066
iter = 48      errA=0.01900915417832198      err2=0.0023309897188192757
iter = 49      errA=0.018856992800363688      err2=0.001445350355095595
iter = 50      errA=0.018570352949144803      err2=0.0017405571275167385
iter = 51      errA=0.018467981237855778      err2=0.001600806804295245
iter = 52      errA=0.017884083509710276      err2=0.0014540435693378825
iter = 53      errA=0.01723879290121588      err2=0.0016062214188141734
iter = 54      errA=0.016652065343316758      err2=0.0018048032702505424
iter = 55      errA=0.016495557102285827      err2=0.0018584117101457037
iter = 56      errA=0.015918841056753657      err2=0.001530413888130392
iter = 57      errA=0.015757357968655544      err2=0.0019470892636713401
iter = 58      errA=0.015275729865194867      err2=0.0011686573031467115
iter = 59      errA=0.015135083932390924      err2=0.001544931926300024
iter = 60      errA=0.014990627631372143      err2=0.0007371117750582152
iter = 61      errA=0.014897371384719277      err2=0.0016516025851937288
iter = 62      errA=0.014601773696431381      err2=0.0009466550772599659
iter = 63      errA=0.014206676728944337      err2=0.0014960087657366061
iter = 64      errA=0.01408805374675199      err2=0.0013469873385691968
iter = 65      errA=0.013687505212722887      err2=0.0012477389640293
iter = 66      errA=0.013618137546583187      err2=0.000661484715977669
iter = 67      errA=0.013203694944654619      err2=0.0007819542189597934
iter = 68      errA=0.013110768736634117      err2=0.0013489183409746161
iter = 69      errA=0.012754533901737189      err2=0.0009526536114731563
iter = 70      errA=0.01265656207244698      err2=0.0015303791170831844
iter = 71      errA=0.012489401955957906      err2=0.0009524043072502979
iter = 72      errA=0.012441303940433857      err2=0.0006023801341429117
iter = 73      errA=0.012152819901384537      err2=0.0009454190977101924
iter = 74      errA=0.012089563269667652      err2=0.0006071755702129515
iter = 75      errA=0.011977419007237455      err2=0.0013131720765219943
iter = 76      errA=0.01190968827589263      err2=0.0004966577714321923
iter = 77      errA=0.011721712451472488      err2=0.001680513180676606
iter = 78      errA=0.011432612345001805      err2=0.0016783700336238593
iter = 79      errA=0.011311147328542926      err2=0.0007630136278115244
iter = 80      errA=0.011108230546338181      err2=0.0015730014520824957
iter = 81      errA=0.01092532153981846      err2=0.001356018834608892
iter = 82      errA=0.010803480115405766      err2=0.000768595417367898
iter = 83      errA=0.010559782627044776      err2=0.0009464958729544976
iter = 84      errA=0.01052394147727394      err2=0.00040733283196531624
iter = 85      errA=0.010497083996725564      err2=0.0005553205312131085
iter = 86      errA=0.010257296500844332      err2=0.0012400670407613377
iter = 87      errA=0.010100079449567496      err2=0.0004594385944656385
iter = 88      errA=0.010034541367440688      err2=0.0007812116699657346
iter = 89      errA=0.009789165840544543      err2=0.0006043477512207617
iter = 90      errA=0.009722467828703965      err2=0.0006375221361513175
iter = 91      errA=0.00958391150514609      err2=0.000512361460914432
iter = 92      errA=0.00946887463316379      err2=0.0010833295000927381
iter = 93      errA=0.009221930570692      err2=0.0016019347381513748
iter = 94      errA=0.009032637086495317      err2=0.0003814897082152384
iter = 95      errA=0.009010226319870095      err2=0.00037331682118617044
iter = 96      errA=0.008673643256571245      err2=0.0015943280715824417
iter = 97      errA=0.008510884881489638      err2=0.00044982978614294204
iter = 98      errA=0.008479082762053535      err2=0.0005604665965585946
iter = 99      errA=0.008452168163538299      err2=0.0005699665548114628
iter = 100      errA=0.008183601372429967      err2=0.0013046435971251695
iter = 101      errA=0.00806162404787758      err2=0.0004321804902180253
iter = 102      errA=0.008033894538768193      err2=0.00038756849648876896
iter = 103      errA=0.008011953000939305      err2=0.0005233556799695441
iter = 104      errA=0.007666153944515115      err2=0.0009750968390844048
iter = 105      errA=0.007617695407453371      err2=0.00029904075622876107
iter = 106      errA=0.007603300585838509      err2=0.0004964122012211154
iter = 107      errA=0.0075178567558556505      err2=0.0007393617764845378
iter = 108      errA=0.007300246410968944      err2=0.0005967412268936652
iter = 109      errA=0.007282480435172194      err2=0.0003046094887926044
iter = 110      errA=0.007201971959308113      err2=0.0006045609754354946
iter = 111      errA=0.0070896356968110615      err2=0.0009838481788483875
iter = 112      errA=0.006938654041524438      err2=0.0005275427357169069
iter = 113      errA=0.006922109168461522      err2=0.00026776579405168605
iter = 114      errA=0.006864632608294329      err2=0.0005566299942559744
iter = 115      errA=0.006621202482959379      err2=0.0012657259210694923
iter = 116      errA=0.006412499304111154      err2=0.00040100870359868594
iter = 117      errA=0.006394755959481063      err2=0.0003495212383446134
iter = 118      errA=0.006378005764902607      err2=0.00016768629890878177
iter = 119      errA=0.006318250596500729      err2=0.0007562073225840455
iter = 120      errA=0.006172320525367381      err2=0.0003460751588842506
iter = 121      errA=0.006131265450648978      err2=0.0001626679369937633
iter = 122      errA=0.006061474873236534      err2=0.00041042128422474954
iter = 123      errA=0.005946712801580172      err2=0.0002692754012243046
iter = 124      errA=0.005922675684330442      err2=0.00031014244188649464
iter = 125      errA=0.005893123155483118      err2=0.00035927472039553064
iter = 126      errA=0.0057656193113252915      err2=0.0011162423511247301
iter = 127      errA=0.005653978718075697      err2=0.00022839454455735375
iter = 128      errA=0.00563486982239916      err2=0.00030793392050285697
iter = 129      errA=0.005615360661184519      err2=0.00033837181057482386
iter = 130      errA=0.005583052240909849      err2=0.0005040922652354132
iter = 131      errA=0.005362881766403494      err2=0.0003993694568048793
iter = 132      errA=0.005312448087392249      err2=0.00042234354180549553
iter = 133      errA=0.0052982868916052975      err2=0.00019880446482118137
iter = 134      errA=0.00527991362688144      err2=0.0003779990718006409
iter = 135      errA=0.005229531338227999      err2=0.0004836546167311836
iter = 136      errA=0.005178794615025156      err2=0.0005101325453733878
iter = 137      errA=0.005110358214404371      err2=0.0006133747468126685
iter = 138      errA=0.005074493811216276      err2=0.00014463004924170945
iter = 139      errA=0.005066699940031913      err2=0.0001695824224607101
iter = 140      errA=0.005055118431107316      err2=0.00021498880217149906
iter = 141      errA=0.0050461715023516875      err2=0.00026350365588341046
iter = 142      errA=0.004955875168236403      err2=0.0008228815568170954
iter = 143      errA=0.004858757964492053      err2=0.0004140225436384893
iter = 144      errA=0.004800933282813301      err2=0.0004245389911174103
iter = 145      errA=0.004778874818613338      err2=0.00017505568291175218
iter = 146      errA=0.004768838035356007      err2=0.00023970808894187144
iter = 147      errA=0.004734443260690601      err2=0.0005192480165832406
iter = 148      errA=0.004606897692293651      err2=0.00030687112815981453
iter = 149      errA=0.004560030607013061      err2=0.00033154624002280973
iter = 150      errA=0.004538373848212553      err2=0.00024871738653851276
iter = 151      errA=0.004530810614172494      err2=0.0001361199999486518
iter = 152      errA=0.004511697041600932      err2=0.0001401627478764736
iter = 153      errA=0.004501191697342072      err2=0.00021476177085265642
iter = 154      errA=0.00434423155448486      err2=0.0003986245777167854
iter = 155      errA=0.004311125553868448      err2=0.00018296859917994057
iter = 156      errA=0.004303172687102457      err2=0.00018271071499330059
iter = 157      errA=0.004282629165846192      err2=0.00019142886480680085
iter = 158      errA=0.004276650378440906      err2=0.0002280653040515359
iter = 159      errA=0.004210772509027126      err2=0.00026265265234198066
iter = 160      errA=0.004165177493639624      err2=0.0004703456817856491
iter = 161      errA=0.0040976696808645695      err2=0.00012737740871575817
iter = 162      errA=0.004077352705135699      err2=0.00024348230500291265
iter = 163      errA=0.004042031346880281      err2=0.0003255276819415127
iter = 164      errA=0.004027596719157932      err2=0.0002554653703800196
iter = 165      errA=0.003979775375169431      err2=0.0004545285697962795
iter = 166      errA=0.003930080768828747      err2=0.00020187597794818127
iter = 167      errA=0.003913885855219479      err2=0.0003268774558969231
iter = 168      errA=0.0038960549124545385      err2=0.00013029498433706537
iter = 169      errA=0.0038873687210759173      err2=0.00013526283439118725
iter = 170      errA=0.0038595816887014448      err2=0.0004336036953189078
iter = 171      errA=0.0038156578227430387      err2=0.0002132592145336668
iter = 172      errA=0.0037767413406943023      err2=0.0004571312336135093
iter = 173      errA=0.0037442113173052835      err2=0.00017388143951294513
iter = 174      errA=0.0037326691367911397      err2=0.00010132768265138521
iter = 175      errA=0.003697327582858355      err2=0.00035542028608822744
iter = 176      errA=0.003671146399110875      err2=0.0002430395330928209
iter = 177      errA=0.0036344331502399323      err2=0.00027348711374997997
iter = 178      errA=0.003520533187371787      err2=0.00020631634901588649
iter = 179      errA=0.0035131090255294713      err2=0.00017413099909888272
iter = 180      errA=0.0034970070805259348      err2=0.00018728682514691778
iter = 181      errA=0.0034889970840283834      err2=0.00010090034187118642
iter = 182      errA=0.003485043061590656      err2=0.00016025636680504023
iter = 183      errA=0.0033641962120665053      err2=0.00018568329297361156
iter = 184      errA=0.003356101387726459      err2=0.00016574900330221953
iter = 185      errA=0.0033431523153004943      err2=0.00020352023716311126
iter = 186      errA=0.0033266291756274416      err2=0.00017837237513524672
iter = 187      errA=0.003316890752345721      err2=0.00015392253465465843
iter = 188      errA=0.0033120825532309108      err2=0.00012419549518647907
iter = 189      errA=0.0033059128275774183      err2=0.00019056293910857218
iter = 190      errA=0.0032820574974301692      err2=0.00011871326275839848
iter = 191      errA=0.0032384038410663827      err2=0.00027706103220358924
iter = 192      errA=0.003219234884455751      err2=8.924262201894259e-5
iter = 193      errA=0.003209150964633242      err2=0.00019479940657341909
iter = 194      errA=0.0032040377491164137      err2=6.051163979362602e-5
iter = 195      errA=0.003197763564739115      err2=0.00010305454188390201
iter = 196      errA=0.0031948612455715013      err2=0.0001330483100169186
iter = 197      errA=0.00318580949227126      err2=0.00011191717959938063
iter = 198      errA=0.0031735767786327867      err2=0.00024655451556649294
iter = 199      errA=0.003113636117702599      err2=0.00026578990888594226
iter = 200      errA=0.0030962622761979775      err2=7.019196033858838e-5
iter = 201      errA=0.0030950931516282995      err2=7.855262796433104e-5
iter = 202      errA=0.00308798754080279      err2=0.00017692770730592128
iter = 203      errA=0.0030714464036612167      err2=0.00017408596615631672
iter = 204      errA=0.0030485485223606524      err2=0.00015671940326569058
iter = 205      errA=0.003035877269924479      err2=0.00013518766795171048
iter = 206      errA=0.003004239705898938      err2=0.00023841401892220053
iter = 207      errA=0.0029946362273537653      err2=8.928252746890624e-5
iter = 208      errA=0.002991918697512042      err2=8.639662392817416e-5
iter = 209      errA=0.002984802851195154      err2=0.00015122673967387626
iter = 210      errA=0.0029678313927032187      err2=0.00018013605186713622
iter = 211      errA=0.002933250790681724      err2=0.0001444393073381001
iter = 212      errA=0.002916684993418808      err2=0.00014051158500240715
iter = 213      errA=0.0029077803156936743      err2=0.00011239499434557964
iter = 214      errA=0.0029056233647602224      err2=6.691516479781349e-5
iter = 215      errA=0.0028924611799746557      err2=0.00019115523541442386
iter = 216      errA=0.0028847328606483405      err2=0.00013629306665891854
iter = 217      errA=0.0028790865525875455      err2=0.00011709475907531347
iter = 218      errA=0.0028733038760304325      err2=0.0001456702134574009
iter = 219      errA=0.002859581707883098      err2=0.00015751669390454715
iter = 220      errA=0.002800693954082618      err2=8.047246045853762e-5
iter = 221      errA=0.0027962503453969325      err2=6.0196603920235134e-5
iter = 222      errA=0.0027952803247559164      err2=7.620113881549496e-5
iter = 223      errA=0.0027845499874812082      err2=0.00010061554513445717
iter = 224      errA=0.002780893767867499      err2=9.94143283350115e-5
iter = 225      errA=0.002777791471544995      err2=7.987558692263264e-5
iter = 226      errA=0.0027732237349284952      err2=0.00013852674082144638
iter = 227      errA=0.0027673675635462624      err2=0.00012694612509384795
iter = 228      errA=0.002746292299893051      err2=0.00024113757161675297
iter = 229      errA=0.002733007874113672      err2=6.326895150373494e-5
iter = 230      errA=0.0027301422374261513      err2=0.00011778754870338206
iter = 231      errA=0.0027192100250376804      err2=0.0001333692994665694
iter = 232      errA=0.002657855719229927      err2=0.0005677067878176996
iter = 233      errA=0.0025711201125463595      err2=9.718676838966863e-5
iter = 234      errA=0.0025639120322765983      err2=8.566712710174312e-5
iter = 235      errA=0.0025601560823347923      err2=8.332096692065164e-5
iter = 236      errA=0.0025426284314860994      err2=0.0001290842913517369
iter = 237      errA=0.002532033095132931      err2=7.50908567956444e-5
iter = 238      errA=0.0025227153307705408      err2=0.00019258839622708583
iter = 239      errA=0.0024648423171673736      err2=0.00024598101917800645
iter = 240      errA=0.0024458089802521037      err2=0.00014632129310921792
iter = 241      errA=0.002432491848656321      err2=0.00011623823058191358
iter = 242      errA=0.0024299348058747228      err2=4.570446130015725e-5
iter = 243      errA=0.0024278658191640586      err2=8.066893591627357e-5
iter = 244      errA=0.002424574646548635      err2=0.00013438129418036893
iter = 245      errA=0.0023847231768746786      err2=0.0002747032508391589
iter = 246      errA=0.002353216846955539      err2=9.438668385781068e-5
iter = 247      errA=0.002347799082914084      err2=0.00013064913120115865
iter = 248      errA=0.0023384800499202983      err2=0.00012319271898157485
