=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/pathDisjoint_1000_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 647190228.579261
||xbar||_A = 31928.356634
i=  1, err2=0.32756, errA = 0.50084
i=  2, err2=0.210519, errA = 0.336735
i=  3, err2=0.115277, errA = 0.239697
i=  4, err2=0.0791404, errA = 0.194476
i=  5, err2=0.0526496, errA = 0.170566
i=  6, err2=0.0544061, errA = 0.151481
i=  7, err2=0.041056, errA = 0.133144
i=  8, err2=0.0390145, errA = 0.122834
i=  9, err2=0.0338615, errA = 0.108667
i= 10, err2=0.0300405, errA = 0.0949449
i= 11, err2=0.0262093, errA = 0.0860069
i= 12, err2=0.020454, errA = 0.0788279
i= 13, err2=0.0167653, errA = 0.0744452
i= 14, err2=0.0172425, errA = 0.0694815
i= 15, err2=0.0185422, errA = 0.0649752
i= 16, err2=0.0151813, errA = 0.0602474
i= 17, err2=0.0134271, errA = 0.0562734
i= 18, err2=0.010695, errA = 0.0537562
i= 19, err2=0.0101894, errA = 0.0492932
i= 20, err2=0.00992872, errA = 0.0465254
i= 21, err2=0.00862536, errA = 0.0443482
i= 22, err2=0.00735733, errA = 0.0420941
i= 23, err2=0.00738705, errA = 0.0405463
i= 24, err2=0.00659473, errA = 0.0382373
i= 25, err2=0.00603931, errA = 0.0372126
i= 26, err2=0.00553689, errA = 0.035953
i= 27, err2=0.00547009, errA = 0.0344983
i= 28, err2=0.00490115, errA = 0.0334223
i= 29, err2=0.00468673, errA = 0.03206
i= 30, err2=0.00423372, errA = 0.0310732
i= 31, err2=0.00405966, errA = 0.0297297
i= 32, err2=0.00312176, errA = 0.0288018
i= 33, err2=0.00278261, errA = 0.028165
i= 34, err2=0.00318434, errA = 0.0275279
i= 35, err2=0.00337768, errA = 0.0267204
i= 36, err2=0.00262505, errA = 0.0260233
i= 37, err2=0.00261635, errA = 0.0249172
i= 38, err2=0.00314586, errA = 0.0241402
i= 39, err2=0.00257551, errA = 0.023519
i= 40, err2=0.00336684, errA = 0.0232742
i= 41, err2=0.00243313, errA = 0.0224176
i= 42, err2=0.00374474, errA = 0.021693
i= 43, err2=0.0020469, errA = 0.0213957
i= 44, err2=0.00209044, errA = 0.02092
i= 45, err2=0.00242044, errA = 0.0199757
i= 46, err2=0.00273599, errA = 0.0197388
i= 47, err2=0.00174261, errA = 0.019325
i= 48, err2=0.00254504, errA = 0.0190581
i= 49, err2=0.00138601, errA = 0.0188624
i= 50, err2=0.00139942, errA = 0.0185494
i= 51, err2=0.00216613, errA = 0.0184212
i= 52, err2=0.00145945, errA = 0.0178839
i= 53, err2=0.00174067, errA = 0.0172493
i= 54, err2=0.00263614, errA = 0.0169802
i= 55, err2=0.00141631, errA = 0.0165359
i= 56, err2=0.00232371, errA = 0.0160236
i= 57, err2=0.00140747, errA = 0.0158162
i= 58, err2=0.00175198, errA = 0.01533
i= 59, err2=0.00115382, errA = 0.0152055
i= 60, err2=0.00108847, errA = 0.0150116
i= 61, err2=0.000836385, errA = 0.014962
i= 62, err2=0.00109406, errA = 0.0146121
i= 63, err2=0.00152023, errA = 0.0145121
i= 64, err2=0.00115102, errA = 0.0141152
i= 65, err2=0.00183962, errA = 0.0139102
i= 66, err2=0.000615656, errA = 0.0136217
i= 67, err2=0.00180317, errA = 0.0134317
i= 68, err2=0.00107971, errA = 0.0131818
i= 69, err2=0.000907196, errA = 0.0131369
i= 70, err2=0.000880558, errA = 0.0127198
i= 71, err2=0.00161744, errA = 0.012593
i= 72, err2=0.000698117, errA = 0.0124607
i= 73, err2=0.000758676, errA = 0.0124159
i= 74, err2=0.00120437, errA = 0.0121643
i= 75, err2=0.000551928, errA = 0.0120799
i= 76, err2=0.00102551, errA = 0.0119365
i= 77, err2=0.000566604, errA = 0.0118993
i= 78, err2=0.00121719, errA = 0.0118129
i= 79, err2=0.00201852, errA = 0.0114704
i= 80, err2=0.000782338, errA = 0.011294
i= 81, err2=0.00119324, errA = 0.011163
i= 82, err2=0.000842213, errA = 0.0108231
i= 83, err2=0.00110846, errA = 0.0107515
i= 84, err2=0.000966352, errA = 0.010594
i= 85, err2=0.000393539, errA = 0.0105128
i= 86, err2=0.000568162, errA = 0.0104817
i= 87, err2=0.000803928, errA = 0.0101353
i= 88, err2=0.000447883, errA = 0.010072
i= 89, err2=0.0010284, errA = 0.00985152
i= 90, err2=0.000749552, errA = 0.00976394
i= 91, err2=0.000585013, errA = 0.00971899
i= 92, err2=0.000587784, errA = 0.00957579
i= 93, err2=0.000921107, errA = 0.00950519
i= 94, err2=0.00125557, errA = 0.00939317
i= 95, err2=0.0013779, errA = 0.00910663
i= 96, err2=0.000368961, errA = 0.00902071
i= 97, err2=0.000430814, errA = 0.00900088
i= 98, err2=0.000892842, errA = 0.00895289
i= 99, err2=0.000989496, errA = 0.00859762
i=100, err2=0.000476467, errA = 0.00847257
i=101, err2=0.000422399, errA = 0.00845645
i=102, err2=0.00124971, errA = 0.00836735
i=103, err2=0.000866418, errA = 0.00815168
i=104, err2=0.000393859, errA = 0.00802898
i=105, err2=0.000356536, errA = 0.00801484
i=106, err2=0.00130934, errA = 0.00789832
i=107, err2=0.000854735, errA = 0.00774412
i=108, err2=0.000327755, errA = 0.00759525
i=109, err2=0.000422427, errA = 0.0075703
i=110, err2=0.00061968, errA = 0.00753602
i=111, err2=0.00118733, errA = 0.0074184
i=112, err2=0.000262241, errA = 0.00724665
i=113, err2=0.000871841, errA = 0.00712411
i=114, err2=0.000719531, errA = 0.00699097
i=115, err2=0.000338471, errA = 0.00690502
i=116, err2=0.000360028, errA = 0.00689309
i=117, err2=0.000550344, errA = 0.00681832
i=118, err2=0.000614277, errA = 0.00641417
i=119, err2=0.000219239, errA = 0.00638261
i=120, err2=0.000187848, errA = 0.00636462
i=121, err2=0.000924135, errA = 0.00629446
i=122, err2=0.000488513, errA = 0.00620807
i=123, err2=0.000212862, errA = 0.00612291
i=124, err2=0.000210095, errA = 0.00611468
i=125, err2=0.000451124, errA = 0.00602611
i=126, err2=0.000723878, errA = 0.0059719
i=127, err2=0.000290727, errA = 0.00591318
i=128, err2=0.000273116, errA = 0.00589934
i=129, err2=0.000660569, errA = 0.00585843
i=130, err2=0.000505903, errA = 0.00575163
i=131, err2=0.000652078, errA = 0.005652
i=132, err2=0.000222226, errA = 0.00562258
i=133, err2=0.000287544, errA = 0.00560941
i=134, err2=0.000496688, errA = 0.0055687
i=135, err2=0.000582097, errA = 0.00551516
i=136, err2=0.000439811, errA = 0.00531916
i=137, err2=0.000287693, errA = 0.00530028
i=138, err2=0.000271706, errA = 0.00527036
i=139, err2=0.000269637, errA = 0.0052599
i=140, err2=0.000407882, errA = 0.00523453
i=141, err2=0.000450775, errA = 0.00511209
i=142, err2=0.000289565, errA = 0.00508817
i=143, err2=0.000145826, errA = 0.00506017
i=144, err2=0.000154739, errA = 0.00505362
i=145, err2=0.00029056, errA = 0.00504267
i=146, err2=0.000367611, errA = 0.00500156
