Avgstr = 2663456154357.2446289062500000
CG Iteration #1, relres 0.8489640190440777
CG Iteration #2, relres 0.3967631710108184
CG Iteration #3, relres 0.1941757827214886
CG Iteration #4, relres 0.1791412862056355
CG Iteration #5, relres 0.1235487811697413
CG Iteration #6, relres 0.0650964706281669
CG Iteration #7, relres 0.0453191905667753
CG Iteration #8, relres 0.0367307259789459
CG Iteration #9, relres 0.0364115084307052
CG Iteration #10, relres 0.0267796057961409
CG Iteration #11, relres 0.0205800977749327
CG Iteration #12, relres 0.0164817314162063
CG Iteration #13, relres 0.0141073783034970
CG Iteration #14, relres 0.0169582426051244
CG Iteration #15, relres 0.0146177648765959
CG Iteration #16, relres 0.0145529217905722
CG Iteration #17, relres 0.0095846843982841
CG Iteration #18, relres 0.0102833222933728
CG Iteration #19, relres 0.0106359278383846
CG Iteration #20, relres 0.0113168174928029
CG Iteration #21, relres 0.0112394480916560
CG Iteration #22, relres 0.0084371409023220
CG Iteration #23, relres 0.0094790988505147
CG Iteration #24, relres 0.0079129069459122
CG Iteration #25, relres 0.0069852717598642
CG Iteration #26, relres 0.0032934618275798
CG Iteration #27, relres 0.0025335294063617
CG Iteration #28, relres 0.0033973683179216
CG Iteration #29, relres 0.0035210914338157
CG Iteration #30, relres 0.0027804836729912
CG Iteration #31, relres 0.0032593313850053
CG Iteration #32, relres 0.0033947053129952
CG Iteration #33, relres 0.0019794027639236
CG Iteration #34, relres 0.0021513485602086
CG Iteration #35, relres 0.0024424232269623
CG Iteration #36, relres 0.0033618928034314
CG Iteration #37, relres 0.0019910586432687
CG Iteration #38, relres 0.0018255573220934
CG Iteration #39, relres 0.0016088902736133
CG Iteration #40, relres 0.0023213851074774
CG Iteration #41, relres 0.0024610042094017
CG Iteration #42, relres 0.0015747635239863
CG Iteration #43, relres 0.0011787576214968
CG Iteration #44, relres 0.0013296864904497
CG Iteration #45, relres 0.0013964475386415
CG Iteration #46, relres 0.0008913941769188
CG Iteration #47, relres 0.0032638027654471
CG Iteration #48, relres 0.0008207059834968
CG Iteration #49, relres 0.0006345565533115
CG Iteration #50, relres 0.0014812855381842
CG Iteration #51, relres 0.0005888685517753
CG Iteration #52, relres 0.0017278621692302
CG Iteration #53, relres 0.0004944853007359
CG Iteration #54, relres 0.0008178181630486
CG Iteration #55, relres 0.0005659214217867
CG Iteration #56, relres 0.0004554696699384
CG Iteration #57, relres 0.0008276790682511
CG Iteration #58, relres 0.0004685693748195
CG Iteration #59, relres 0.0014062256353668
CG Iteration #60, relres 0.0002597014788428
CG Iteration #61, relres 0.0006401191755915
CG Iteration #62, relres 0.0002734529348197
CG Iteration #63, relres 0.0003681447046511
CG Iteration #64, relres 0.0020079252585910
CG Iteration #65, relres 0.0004437009374962
CG Iteration #66, relres 0.0002647751749225
CG Iteration #67, relres 0.0014131626399896
CG Iteration #68, relres 0.0002447849694001
CG Iteration #69, relres 0.0008178970046322
CG Iteration #70, relres 0.0001970527107317
CG Iteration #71, relres 0.0012853364952197
CG Iteration #72, relres 0.0002191067845133
CG Iteration #73, relres 0.0008890296923659
CG Iteration #74, relres 0.0009257141129260
CG Iteration #75, relres 0.0001876602424553
CG Iteration #76, relres 0.0001195778336504
CG Iteration #77, relres 0.0007768868641237
CG Iteration #78, relres 0.0008312624712847
CG Iteration #79, relres 0.0006108746091634
CG Iteration #80, relres 0.0000817318165113
CG Iteration #81, relres 0.0001049989842647
CG Iteration #82, relres 0.0003922754428857
CG Iteration #83, relres 0.0001467328081548
CG Iteration #84, relres 0.0001119843969111
CG Iteration #85, relres 0.0005781926184712
CG Iteration #86, relres 0.0005244398114239
CG Iteration #87, relres 0.0000782419496972
CG Iteration #88, relres 0.0001206667291859
CG Iteration #89, relres 0.0001360531866287
CG Iteration #90, relres 0.0001458300338426
CG Iteration #91, relres 0.0002918189110413
CG Iteration #92, relres 0.0000650668930556
CG Iteration #93, relres 0.0000736777246934
