anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
20 iterations
iter = 1      errA=0.4233101201651029      err2=0.16231692340838838
iter = 2      errA=0.14401467043899238      err2=0.012345968022567948
iter = 3      errA=0.05408807516119922      err2=0.0032204685295732474
iter = 4      errA=0.03191986815086413      err2=0.0018976552765291553
iter = 5      errA=0.01773856180746937      err2=0.0010041337406894834
iter = 6      errA=0.011399890807953806      err2=0.00014349235153528274
iter = 7      errA=0.006161215748205889      err2=0.004321573994729655
iter = 8      errA=0.0044957008195649385      err2=3.879752755091636e-5
iter = 9      errA=0.004007207210565452      err2=1.2269027474475075e-5
iter = 10      errA=0.004006917513157316      err2=1.5125319384205042e-5
iter = 11      errA=0.0011679605474096417      err2=1.5712399507935976e-6
iter = 12      errA=0.0011679597184994903      err2=4.7369419907116425e-7
iter = 13      errA=0.0010967224870812198      err2=5.855438775372878e-7
iter = 14      errA=0.0010967095646027339      err2=4.2810642566963237e-7
iter = 15      errA=0.0010947450042933485      err2=1.4407236617418905e-5
iter = 16      errA=0.0010938286828087534      err2=1.6324768425008105e-5
iter = 17      errA=0.001093686190163277      err2=9.49238502018325e-6
iter = 18      errA=0.00011259892632449513      err2=7.91864702285647e-6
iter = 19      errA=3.464818849554989e-5      err2=1.676160520909501e-6
iter = 20      errA=8.027790111959812e-9      err2=1.5778853925566082e-10
