=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/pathDisjoint_30_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 10038889.327132
||xbar||_A = 1870.562683
i=  1, err2=0.162317, errA = 0.42331
i=  2, err2=0.012346, errA = 0.144015
i=  3, err2=0.00322047, errA = 0.0540881
i=  4, err2=0.00189766, errA = 0.0319199
i=  5, err2=0.00100413, errA = 0.0177386
i=  6, err2=0.000143503, errA = 0.0113999
i=  7, err2=0.00585023, errA = 0.00890911
i=  8, err2=3.87968e-05, errA = 0.0044957
i=  9, err2=2.26015e-05, errA = 0.00400749
i= 10, err2=1.05365e-05, errA = 0.00400701
i= 11, err2=8.89916e-07, errA = 0.00116796
i= 12, err2=5.01392e-07, errA = 0.00116796
i= 13, err2=1.06749e-06, errA = 0.00109677
i= 14, err2=2.08072e-06, errA = 0.00109672
i= 15, err2=5.89496e-07, errA = 0.00109671
i= 16, err2=4.52117e-07, errA = 0.00109671
i= 17, err2=3.41319e-06, errA = 0.00109613
i= 18, err2=1.02528e-05, errA = 0.00108952
i= 19, err2=0.000178409, errA = 0.000383758
i= 20, err2=1.54866e-05, errA = 0.000347978
i= 21, err2=3.01364e-07, errA = 9.47834e-07
i= 22, err2=1.17609e-08, errA = 5.81567e-07
i= 23, err2=1.71407e-07, errA = 5.5929e-07
i= 24, err2=4.14548e-10, errA = 4.48372e-09
i= 25, err2=1.30079e-11, errA = 9.68666e-10
i= 26, err2=2.09137e-10, errA = 9.36022e-10
i= 27, err2=1.10537e-10, errA = 8.9607e-10
i= 28, err2=4.86504e-11, errA = 8.00493e-10
i= 29, err2=3.36627e-12, errA = 4.98631e-11
i= 30, err2=1.6331e-11, errA = 5.42126e-11
i= 31, err2=1.29494e-13, errA = 3.60952e-11
i= 32, err2=2.64042e-14, errA = 3.58906e-11
i= 33, err2=2.78045e-14, errA = 3.58696e-11
i= 34, err2=6.96218e-13, errA = 3.53994e-11
i= 35, err2=1.42239e-13, errA = 3.5652e-11
i= 36, err2=2.76631e-13, errA = 3.54374e-11
i= 37, err2=2.1839e-13, errA = 3.51552e-11
i= 38, err2=1.37175e-12, errA = 3.4869e-11
i= 39, err2=1.56407e-13, errA = 3.56574e-11
i= 40, err2=9.95651e-13, errA = 3.59053e-11
i= 41, err2=9.30166e-13, errA = 3.3822e-11
i= 42, err2=2.36338e-12, errA = 3.31637e-11
i= 43, err2=3.22504e-13, errA = 3.46897e-11
