,,,,||xbar||_A,1870.562683,,,,,,,,,,
Julia_default,Julia_64,Julia_128,Julia_1024,Matlab_default,Matlab_1024,,Matlab_default_absolute^2,Matlab_1024_absolute^2,,Julia_default,Julia_64,Julia_128,Julia_1024,Matlab_default,Matlab_1024
0.42331012,0.42331012,0.42331012,0.42331012,0.4233102,0.4233102,,626992,626992,,-0.373341349,-0.373341349,-0.373341349,-0.373341349,-0.373341266,-0.373341266
0.14401467,0.14401467,0.14401467,0.14401467,0.144014624,0.144014624,,72570.1,72570.1,,-0.841593265,-0.841593265,-0.841593265,-0.841593265,-0.841593405,-0.841593405
0.054088075,0.054088075,0.054088075,0.054088075,0.054088054,0.054088054,,10236.4,10236.4,,-1.266898474,-1.266898474,-1.266898474,-1.266898474,-1.266898642,-1.266898642
0.031919868,0.031919868,0.031919868,0.031919868,0.031919873,0.031919873,,3565.06,3565.06,,-1.495938911,-1.495938911,-1.495938911,-1.495938911,-1.495938844,-1.495938844
0.017738562,0.017738562,0.017738562,0.017738562,0.017738523,0.017738523,,1100.98,1100.98,,-1.751081594,-1.751081594,-1.751081594,-1.751081594,-1.751082551,-1.751082551
0.011399891,0.011399891,0.011399891,0.011399891,0.011399891,0.011399891,,454.722,454.722,,-1.943099308,-1.943099309,-1.943099309,-1.943099309,-1.943099283,-1.943099283
0.006161216,0.004495976,0.004495967,0.004495967,0.008909112,0.009454583,,277.724,312.773,,-2.210333583,-2.347175971,-2.347176895,-2.347176895,-2.05016556,-2.024357638
0.004495701,0.004493859,0.00400718,0.00400718,0.0044957,0.0044957,,70.7195,70.7195,,-2.347202598,-2.347380571,-2.397161122,-2.397161122,-2.347202675,-2.347202675
0.004007207,0.004007162,0.001167961,0.001167961,0.004007485,0.004007307,,56.1938,56.1888,,-2.3971582,-2.39716306,-2.93257184,-2.93257184,-2.397128065,-2.397147388
0.004006918,0.001180623,0.001096716,0.001096716,0.004007011,0.00400699,,56.1805,56.1799,,-2.397189598,-2.927888737,-2.95990567,-2.95990567,-2.397179466,-2.397181785
0.001167961,0.00116796,0.000999632,1.07E-12,0.00116796,0.00116796,,4.7731,4.7731,,-2.932571827,-2.932572104,-3.000159697,-11.97133754,-2.932571999,-2.932571999
0.00116796,0.001096716,1.77E-12,1.07E-12,0.00116796,0.00116796,,4.7731,4.7731,,-2.932572135,-2.959905835,-11.7512519,-11.97133754,-2.932571999,-2.932571999
0.001096722,0.001096689,1.07E-12,1.07E-12,0.001096769,0.001096787,,4.20896,4.2091,,-2.959903252,-2.959916614,-11.97133754,-11.97133754,-2.959884867,-2.959877644
0.00109671,0.000805453,1.07E-12,1.07E-12,0.001096725,0.001096731,,4.20862,4.20867,,-2.959908369,-3.093959771,-11.97133754,-11.97133754,-2.959902409,-2.959899829
0.001094745,3.09E-05,1.07E-12,1.07E-12,0.001096709,0.001096709,,4.2085,4.2085,,-2.960687028,-4.510430036,-11.97133754,-11.97133754,-2.9599086,-2.9599086
0.001093829,3.24E-07,1.07E-12,1.07E-12,0.001096709,0.001096709,,4.2085,4.2085,,-2.961050693,-6.489095233,-11.97133754,-11.97133754,-2.9599086,-2.9599086
0.001093686,1.22E-07,1.07E-12,1.07E-12,0.001096129,0.00109668,,4.20405,4.20828,,-2.961107272,-6.913502027,-11.97133754,-11.97133754,-2.96013833,-2.959919952
0.000112599,1.34E-08,1.07E-12,1.07E-12,0.001089519,0.001095275,,4.1535,4.1975,,-3.948465751,-7.871967638,-11.97133754,-11.97133754,-2.962765159,-2.960476914
3.46E-05,9.80E-09,1.07E-12,1.07E-12,0.000383758,0.000583582,,0.515299,1.19165,,-4.460319467,-8.008581955,-11.97133754,-11.97133754,-3.415942616,-3.233897907
8.03E-09,3.29E-12,1.07E-12,1.07E-12,0.000347978,0.00058009,,0.423689,1.17743,,-8.095403991,-11.48231741,-11.97133754,-11.97133754,-3.458448672,-3.236504718
8.01E-09,1.23E-12,1.07E-12,1.07E-12,9.47834E-07,3.53922E-06,,3.14E-06,4.38E-05,,-8.096629703,-11.91109271,-11.97133754,-11.97133754,-6.023267606,-5.451091981
5.02E-09,1.07E-12,1.07E-12,1.07E-12,5.81566E-07,9.0586E-07,,1.18E-06,2.87E-06,,-8.299584474,-11.97091674,-11.97133754,-11.97133753,-6.235400979,-6.042939031
1.92E-09,1.07E-12,1.07E-12,1.26E+116,5.59291E-07,2.61067E-08,,1.09E-06,2.38E-09,,-8.717487714,-11.97138151,-11.97133754,116.0989574,-6.252362399,-7.583248106
3.97E-11,1.07E-12,1.07E-12,9.52E+137,4.48372E-09,2.29075E-08,,7.03E-11,1.84E-09,,-10.40068712,-11.97152975,-11.97133754,137.9787754,-8.348361206,-7.640021735
6.74E-12,1.07E-12,1.07E-12,6.01E+137,9.68667E-10,2.19081E-08,,3.28E-12,1.68E-09,,-11.17106631,-11.97153025,-11.97133754,137.7790037,-9.013825581,-7.659395192
5.00E-12,1.07E-12,1.07E-12,6.02E+137,9.36022E-10,1.1604E-09,,3.07E-12,4.71E-12,,-11.30115271,-11.97153025,-11.97133754,137.7796193,-9.028713814,-8.935392207
4.97E-12,1.07E-12,1.07E-12,1.55E+138,8.96071E-10,1.05008E-09,,2.81E-12,3.86E-12,,-11.30344449,-11.97152919,-11.97133754,138.189926,-9.047657748,-8.978778772
4.97E-12,1.07E-12,1.07E-12,7.03E+137,8.00492E-10,8.58992E-10,,2.24E-12,2.58E-12,,,,,,,
4.97E-12,1.07E-12,1.07E-12,5.36E+137,4.98631E-11,5.46753E-11,,8.70E-15,1.05E-14,,,,,,,
4.76E-12,1.07E-12,1.07E-12,1.21E+138,5.42126E-11,5.19685E-11,,1.03E-14,9.45E-15,,,,,,,
4.76E-12,1.07E-12,1.07E-12,4.00E+137,3.60952E-11,5.29124E-11,,4.56E-15,9.80E-15,,,,,,,
4.76E-12,1.07E-12,1.07E-12,7.89E+137,3.58906E-11,5.32525E-11,,4.51E-15,9.92E-15,,,,,,,
4.81E-12,1.07E-12,1.07E-12,8.08E+137,3.58696E-11,5.63295E-11,,4.50E-15,1.11E-14,,,,,,,
4.82E-12,1.07E-12,1.07E-12,3.97E+137,3.53994E-11,3.68677E-11,,4.38E-15,4.76E-15,,,,,,,
4.82E-12,1.07E-12,1.07E-12,3.60E+137,3.56519E-11,3.3893E-11,,4.45E-15,4.02E-15,,,,,,,
4.82E-12,1.07E-12,1.07E-12,9.94E+137,3.54373E-11,3.39371E-11,,4.39E-15,4.03E-15,,,,,,,
4.82E-12,1.07E-12,1.07E-12,9.32E+137,3.51552E-11,3.64046E-11,,4.32E-15,4.64E-15,,,,,,,
4.82E-12,1.07E-12,1.07E-12,7.50E+137,3.48689E-11,3.57634E-11,,4.25E-15,4.48E-15,,,,,,,
5.02E-12,1.07E-12,1.07E-12,5.26E+137,3.56574E-11,3.59658E-11,,4.45E-15,4.53E-15,,,,,,,
5.36E-12,1.07E-12,1.07E-12,1.22E+138,3.59053E-11,3.46817E-11,,4.51E-15,4.21E-15,,,,,,,
