anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
100 iterations
iter = 1      errA=0.9984896177415457      err2=0.9969856716044583
iter = 2      errA=0.9962226224725477      err2=0.9930022977193995
iter = 3      errA=0.9876530285956243      err2=0.9780528323355365
iter = 4      errA=0.9797101215284599      err2=0.9640598912052957
iter = 5      errA=0.9714626010433208      err2=0.9513945591674856
iter = 6      errA=0.9651636969238031      err2=0.9372101611388088
iter = 7      errA=0.9497603897344844      err2=0.9169825007596935
iter = 8      errA=0.9349158873671084      err2=0.8927185045544201
iter = 9      errA=0.9225073081246585      err2=0.8707142323525793
iter = 10      errA=0.9149879712025398      err2=0.8560275784717746
iter = 11      errA=0.9004681195851393      err2=0.8355991759030561
iter = 12      errA=0.8869751323210794      err2=0.8129469796877099
iter = 13      errA=0.8642116732305692      err2=0.787044949311478
iter = 14      errA=0.8508812393606409      err2=0.7719756338167469
iter = 15      errA=0.8359022058055755      err2=0.7538640136729026
iter = 16      errA=0.8098297745695012      err2=0.726854292546779
iter = 17      errA=0.7783332575337834      err2=0.6850569988835431
iter = 18      errA=0.7481317067527817      err2=0.6451996893318821
iter = 19      errA=0.7318401968505754      err2=0.6320571939852391
iter = 20      errA=0.7116364324858723      err2=0.6105022416003834
iter = 21      errA=0.6933574995933833      err2=0.5963154029933093
iter = 22      errA=0.6648106659304571      err2=0.5667939558171255
iter = 23      errA=0.6363086877152482      err2=0.5425714023375421
iter = 24      errA=0.6075770744484962      err2=0.5103432631553179
iter = 25      errA=0.5780191208811912      err2=0.4901295028558873
iter = 26      errA=0.5563556332513611      err2=0.4634035357244852
iter = 27      errA=0.5349056283730818      err2=0.4424106018562932
iter = 28      errA=0.49700249015208037      err2=0.4107149573746978
iter = 29      errA=0.4674609748751346      err2=0.3925336581339621
iter = 30      errA=0.4402319214331958      err2=0.364825127594712
iter = 31      errA=0.4146339772921893      err2=0.34284100246481053
iter = 32      errA=0.4145775463528743      err2=0.3428791498307802
iter = 33      errA=0.3834844231531479      err2=0.31558433607377806
iter = 34      errA=0.3579262179479038      err2=0.2925075156908749
iter = 35      errA=0.3331026711082922      err2=0.2714920463970183
iter = 36      errA=0.2999758880451159      err2=0.24069266409854606
iter = 37      errA=0.2791768890420271      err2=0.22353915036179448
iter = 38      errA=0.25517384202705756      err2=0.20263339293535082
iter = 39      errA=0.2374486065101288      err2=0.19234585379461389
iter = 40      errA=0.2371079928472322      err2=0.1919763071223618
iter = 41      errA=0.21496250426444755      err2=0.17121594330938528
iter = 42      errA=0.19361338675556547      err2=0.151026881284199
iter = 43      errA=0.1756344859669596      err2=0.13753592729359107
iter = 44      errA=0.15767024471578872      err2=0.1247143782681109
iter = 45      errA=0.14493132014455232      err2=0.1182973451389042
iter = 46      errA=0.13307837856533672      err2=0.1108930096241198
iter = 47      errA=0.1321915726627587      err2=0.1099998483405115
iter = 48      errA=0.11733454868823698      err2=0.09604472864458849
iter = 49      errA=0.10208061875343848      err2=0.082723277789802
iter = 50      errA=0.09089016141156545      err2=0.07412367542175122
iter = 51      errA=0.08031238735942914      err2=0.06630587236937836
iter = 52      errA=0.07181637067238537      err2=0.05747638409169887
iter = 53      errA=0.0714318751283485      err2=0.057195634484821935
iter = 54      errA=0.06495794774753857      err2=0.0519534811324809
iter = 55      errA=0.056247322633678244      err2=0.04449928731665509
iter = 56      errA=0.050543474163919536      err2=0.03966516320898334
iter = 57      errA=0.050538423912823024      err2=0.03969382907536954
iter = 58      errA=0.04524551811732161      err2=0.036205886582130274
iter = 59      errA=0.04044241844478745      err2=0.03230739196496654
iter = 60      errA=0.04012174236114841      err2=0.031988135743543124
iter = 61      errA=0.03580966086616883      err2=0.02832702996700421
iter = 62      errA=0.03194487436381245      err2=0.02525407229695584
iter = 63      errA=0.027477108554232695      err2=0.021772009645589934
iter = 64      errA=0.02737010630383663      err2=0.021741493541316236
iter = 65      errA=0.02407094169394259      err2=0.018662335631013962
iter = 66      errA=0.020627029397202064      err2=0.016210253299621752
iter = 67      errA=0.017656477461490724      err2=0.013661966600296784
iter = 68      errA=0.0157630483577472      err2=0.012304879991972753
iter = 69      errA=0.012937375606420073      err2=0.010268201493659678
iter = 70      errA=0.012745960454699707      err2=0.010049080247309224
iter = 71      errA=0.012736767729698019      err2=0.010031607602741802
iter = 72      errA=0.0117258074011967      err2=0.00918116004846995
iter = 73      errA=0.010377302763130005      err2=0.008127354503353243
iter = 74      errA=0.008817828810672853      err2=0.006871129316711483
iter = 75      errA=0.007765579931295605      err2=0.006020834335748536
iter = 76      errA=0.007462889555276262      err2=0.005813700272285858
iter = 77      errA=0.0066638990439020175      err2=0.005316170812677857
iter = 78      errA=0.0055789263265498745      err2=0.004352914899206091
iter = 79      errA=0.00554186865050948      err2=0.004314835884721769
iter = 80      errA=0.0046613417128021735      err2=0.0036836215699069985
iter = 81      errA=0.004038175346948637      err2=0.0031856984705137463
iter = 82      errA=0.003995504575947024      err2=0.0031588493751137027
iter = 83      errA=0.00344246730400618      err2=0.002738157197924514
iter = 84      errA=0.003438239098002002      err2=0.002730670799732563
iter = 85      errA=0.0028216406710984405      err2=0.0022330300943343784
iter = 86      errA=0.0027670051545163003      err2=0.002208866061238884
iter = 87      errA=0.0024195962761605267      err2=0.0019060041544933129
