anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
100 iterations
iter = 1      errA=0.9984896177415479      err2=0.996985671604463
iter = 2      errA=0.9962226224725521      err2=0.9930022977194078
iter = 3      errA=0.9876530285956265      err2=0.9780528323355396
iter = 4      errA=0.9797101215284596      err2=0.96405989120529
iter = 5      errA=0.9714626010433023      err2=0.9513945591678925
iter = 6      errA=0.965163696923804      err2=0.937210161131636
iter = 7      errA=0.9497603897344866      err2=0.9169825016550849
iter = 8      errA=0.9349158874037704      err2=0.8927183171244666
iter = 9      errA=0.9225080143501655      err2=0.8707464632035239
iter = 10      errA=0.919310944625737      err2=0.8628226826547236
iter = 11      errA=0.9146503628774469      err2=0.8555287294134506
iter = 12      errA=0.9003660096994461      err2=0.8354418759446901
iter = 13      errA=0.886813047612086      err2=0.8127134328267367
iter = 14      errA=0.864134439052262      err2=0.7870792180149724
iter = 15      errA=0.8622577273807388      err2=0.7839512810858461
iter = 16      errA=0.8504574372369563      err2=0.7714927710249777
iter = 17      errA=0.8354155835867406      err2=0.7533063336915043
iter = 18      errA=0.8191222838328389      err2=0.7362752043905734
iter = 19      errA=0.8094726104405032      err2=0.7264328482158736
iter = 20      errA=0.7807665339828542      err2=0.6878663840986459
iter = 21      errA=0.776714130134187      err2=0.6830136344038938
iter = 22      errA=0.7467959565359332      err2=0.6437937298213784
iter = 23      errA=0.7307163216469267      err2=0.631496498714432
iter = 24      errA=0.7270354109484262      err2=0.626618424509459
iter = 25      errA=0.7100921959716122      err2=0.6090142535704784
iter = 26      errA=0.709577933720527      err2=0.6086219985463288
iter = 27      errA=0.707875604595758      err2=0.6070531986642617
iter = 28      errA=0.6897822266263324      err2=0.5931180686415614
iter = 29      errA=0.6632386498235374      err2=0.5653028125976636
iter = 30      errA=0.6336681853217028      err2=0.5399892220843854
iter = 31      errA=0.61581409851044      err2=0.5200974583330435
iter = 32      errA=0.6041658352846057      err2=0.5074096480672474
iter = 33      errA=0.6010729525448993      err2=0.5044360812249498
iter = 34      errA=0.6007211105186137      err2=0.5045451023325661
iter = 35      errA=0.589315883149073      err2=0.4965742913302626
iter = 36      errA=0.5734067162468707      err2=0.4857804191693259
iter = 37      errA=0.5524019729071374      err2=0.45946117903137956
iter = 38      errA=0.5517105247757719      err2=0.4580118276485564
iter = 39      errA=0.529919420064677      err2=0.4383015688173508
iter = 40      errA=0.5023803933481858      err2=0.40890425860618557
iter = 41      errA=0.490580455637336      err2=0.4067177738916592
iter = 42      errA=0.4904808646360436      err2=0.4065222822935522
iter = 43      errA=0.48833053057854175      err2=0.40620335490040116
iter = 44      errA=0.45935292589558707      err2=0.3859016156581956
iter = 45      errA=0.4344979855906188      err2=0.359654920383631
iter = 46      errA=0.42843780045226687      err2=0.35365790128310265
iter = 47      errA=0.4195033539420386      err2=0.34649023265211853
iter = 48      errA=0.40814908733841604      err2=0.3373589620995
iter = 49      errA=0.4068593441987192      err2=0.33596257891460796
iter = 50      errA=0.4058223092555101      err2=0.33462712130583777
iter = 51      errA=0.37502852993453856      err2=0.30786762652747635
iter = 52      errA=0.368973319925737      err2=0.3040028638051331
iter = 53      errA=0.3454399758536756      err2=0.2814828088453047
iter = 54      errA=0.34349126419924636      err2=0.27938088046597087
iter = 55      errA=0.3249705525745665      err2=0.2642840877965107
iter = 56      errA=0.32013897074048975      err2=0.26093227253701384
iter = 57      errA=0.31851369770111615      err2=0.25862359329917484
iter = 58      errA=0.29585389910256793      err2=0.23654777443727135
iter = 59      errA=0.2949732559769191      err2=0.23548372644830345
iter = 60      errA=0.28856579122606796      err2=0.2308657122015559
iter = 61      errA=0.2876107198604545      err2=0.23070807045102956
iter = 62      errA=0.2674471855786155      err2=0.21430462911503925
iter = 63      errA=0.26642003068951003      err2=0.21337612015862628
iter = 64      errA=0.24602896975539013      err2=0.19621027655740644
iter = 65      errA=0.24364412833202959      err2=0.1931229147272218
iter = 66      errA=0.23589767309071666      err2=0.1888104803750584
iter = 67      errA=0.22678253083799388      err2=0.18372516189453345
iter = 68      errA=0.21406763746374566      err2=0.1709305076901737
