Avgstr = 9.1561736092116295
CG Iteration #1, relres 0.9656430857656245
CG Iteration #2, relres 0.9101453476844512
CG Iteration #3, relres 0.8780970076812954
CG Iteration #4, relres 0.8477274892539182
CG Iteration #5, relres 0.8029003815250918
CG Iteration #6, relres 0.7460991432899718
CG Iteration #7, relres 0.6982189682668356
CG Iteration #8, relres 0.6604673076784635
CG Iteration #9, relres 0.6132472680785863
CG Iteration #10, relres 0.5487744248478311
CG Iteration #11, relres 0.5038494933484162
CG Iteration #12, relres 0.4311343503433810
CG Iteration #13, relres 0.3764878438168957
CG Iteration #14, relres 0.3342599577086893
CG Iteration #15, relres 0.2912658113860547
CG Iteration #16, relres 0.2315290401997849
CG Iteration #17, relres 0.2037385630043718
CG Iteration #18, relres 0.1654078973061155
CG Iteration #19, relres 0.1391171238175334
CG Iteration #20, relres 0.1181965904182253
CG Iteration #21, relres 0.1137588269780540
CG Iteration #22, relres 0.0987654748520656
CG Iteration #23, relres 0.0876644815464269
CG Iteration #24, relres 0.0839212314131819
CG Iteration #25, relres 0.0686917142891036
CG Iteration #26, relres 0.0592391168108844
CG Iteration #27, relres 0.0480605384447936
CG Iteration #28, relres 0.0460375078247734
CG Iteration #29, relres 0.0387506478955366
CG Iteration #30, relres 0.0326698561983560
CG Iteration #31, relres 0.0283651690916297
CG Iteration #32, relres 0.0254722925844163
CG Iteration #33, relres 0.0223832919526349
CG Iteration #34, relres 0.0186074653741353
CG Iteration #35, relres 0.0156629722863745
CG Iteration #36, relres 0.0130195159813063
CG Iteration #37, relres 0.0123022635993971
CG Iteration #38, relres 0.0102119451055434
CG Iteration #39, relres 0.0085381301934504
CG Iteration #40, relres 0.0082952236786296
CG Iteration #41, relres 0.0069711375057384
CG Iteration #42, relres 0.0068017818576735
CG Iteration #43, relres 0.0063054072590310
CG Iteration #44, relres 0.0057292764135868
CG Iteration #45, relres 0.0045597338142522
CG Iteration #46, relres 0.0039185863424643
CG Iteration #47, relres 0.0032903081659381
CG Iteration #48, relres 0.0031049580707377
CG Iteration #49, relres 0.0024421761463573
CG Iteration #50, relres 0.0020920261980538
CG Iteration #51, relres 0.0018692608636070
CG Iteration #52, relres 0.0015067889216615
CG Iteration #53, relres 0.0012590761912206
CG Iteration #54, relres 0.0011057732816036
CG Iteration #55, relres 0.0009797308278366
CG Iteration #56, relres 0.0009388966447552
CG Iteration #57, relres 0.0008920543654193
CG Iteration #58, relres 0.0007640503548983
CG Iteration #59, relres 0.0006561053190302
CG Iteration #60, relres 0.0006071278677509
CG Iteration #61, relres 0.0005051590199642
CG Iteration #62, relres 0.0004002731700631
CG Iteration #63, relres 0.0003846303940149
CG Iteration #64, relres 0.0002877958151337
CG Iteration #65, relres 0.0002564288839603
CG Iteration #66, relres 0.0002174127673586
CG Iteration #67, relres 0.0001921285394106
CG Iteration #68, relres 0.0001621270249617
CG Iteration #69, relres 0.0001319754591301
CG Iteration #70, relres 0.0001046154113872
CG Iteration #71, relres 0.0001012302698898
CG Iteration #72, relres 0.0000779007105035
CG Iteration #73, relres 0.0000703929445872
CG Iteration #74, relres 0.0000539264229142
CG Iteration #75, relres 0.0000517742628089
CG Iteration #76, relres 0.0000419621042819
CG Iteration #77, relres 0.0000377746116973
CG Iteration #78, relres 0.0000354952864443
CG Iteration #79, relres 0.0000285527423576
CG Iteration #80, relres 0.0000215250292905
CG Iteration #81, relres 0.0000199557439297
CG Iteration #82, relres 0.0000183696502288
CG Iteration #83, relres 0.0000151735807938
CG Iteration #84, relres 0.0000144496267499
CG Iteration #85, relres 0.0000130239788233
CG Iteration #86, relres 0.0000117457454686
CG Iteration #87, relres 0.0000105012717331
CG Iteration #88, relres 0.0000082583239433
CG Iteration #89, relres 0.0000068331981893
CG Iteration #90, relres 0.0000062508589210
CG Iteration #91, relres 0.0000055867262742
CG Iteration #92, relres 0.0000041404461563
CG Iteration #93, relres 0.0000038590270625
CG Iteration #94, relres 0.0000029010652530
CG Iteration #95, relres 0.0000024847893164
CG Iteration #96, relres 0.0000020651098518
CG Iteration #97, relres 0.0000019764953236
CG Iteration #98, relres 0.0000018291488604
CG Iteration #99, relres 0.0000015128343385
CG Iteration #100, relres 0.0000014427938741
CG Iteration #101, relres 0.0000013408501100
CG Iteration #102, relres 0.0000010979438161
CG Iteration #103, relres 0.0000009746880279
n = 1000 iter = 103 time = 0.011s relres = 0.0000009746880279
