anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
100 iterations
iter = 1      errA=0.9779036530746591      err2=0.9656430857656245
iter = 2      errA=0.9366222019853482      err2=0.910145347684451
iter = 3      errA=0.9069177963406868      err2=0.8780970076812948
iter = 4      errA=0.8776800534411408      err2=0.8477274892539183
iter = 5      errA=0.8284327211633172      err2=0.802900381525092
iter = 6      errA=0.7694430910230825      err2=0.7460991432899712
iter = 7      errA=0.7248574861511496      err2=0.698218968266835
iter = 8      errA=0.6917593729859098      err2=0.6604673076784623
iter = 9      errA=0.64571137633859      err2=0.6132472680785849
iter = 10      errA=0.5888652615117965      err2=0.5487744248478345
iter = 11      errA=0.5394072742241695      err2=0.5038494933483647
iter = 12      errA=0.4745316375407571      err2=0.4311343503436676
iter = 13      errA=0.4253417939546196      err2=0.37648784381623507
iter = 14      errA=0.377645743178091      err2=0.33425995767626254
iter = 15      errA=0.33459402929670967      err2=0.29126581151816316
iter = 16      errA=0.276998306705392      err2=0.23152903977197362
iter = 17      errA=0.24096284113162642      err2=0.2037385329705372
iter = 18      errA=0.2007473516432729      err2=0.1654091623291339
iter = 19      errA=0.1674327080346841      err2=0.13910929288724777
iter = 20      errA=0.14352777151966262      err2=0.11783757908296841
iter = 21      errA=0.12204833489132945      err2=0.10027340720730817
iter = 22      errA=0.10501294257974945      err2=0.08719698874404119
iter = 23      errA=0.08396187695936845      err2=0.07097723793954971
iter = 24      errA=0.07317480869711694      err2=0.061179891280199857
iter = 25      errA=0.05998633510948815      err2=0.04974347303923787
iter = 26      errA=0.050972364363373726      err2=0.041069333752761096
iter = 27      errA=0.0436728791139545      err2=0.03475842347141179
iter = 28      errA=0.03665249426376199      err2=0.029538714625421084
iter = 29      errA=0.03058319122643814      err2=0.024584363980517058
iter = 30      errA=0.025751607196845223      err2=0.020294681227761933
iter = 31      errA=0.021480279866361987      err2=0.017293583243309103
iter = 32      errA=0.01738291430203597      err2=0.013699305164045494
iter = 33      errA=0.014458080057743275      err2=0.01157067141134257
iter = 34      errA=0.011874442445535007      err2=0.009505340751979896
iter = 35      errA=0.010107185275702682      err2=0.007938837454573988
iter = 36      errA=0.0084539199108479      err2=0.006740971220880199
iter = 37      errA=0.007717114753583336      err2=0.006132710299433805
iter = 38      errA=0.006838072240582927      err2=0.0055132025011798
iter = 39      errA=0.005734692828906364      err2=0.004625819867312532
iter = 40      errA=0.0044993521167170526      err2=0.003662791784365201
iter = 41      errA=0.0039429148115277275      err2=0.003189899243756307
iter = 42      errA=0.00360898766571078      err2=0.0029334717899265326
iter = 43      errA=0.0028382644142260706      err2=0.0022681284348085927
iter = 44      errA=0.0023869308273015526      err2=0.0018852603691372955
iter = 45      errA=0.0019933613533491706      err2=0.0015686126960640682
iter = 46      errA=0.0019162135040299724      err2=0.0015118966039212817
iter = 47      errA=0.0015890801109863322      err2=0.0012679424601065028
iter = 48      errA=0.0013036243920184363      err2=0.0010346253396633196
iter = 49      errA=0.0010910197065500283      err2=0.0008624445198305569
iter = 50      errA=0.0008389077274872575      err2=0.0006634567052473552
iter = 51      errA=0.0006306551144461614      err2=0.0004979216394428082
iter = 52      errA=0.0004949385630492174      err2=0.00038692881166032584
iter = 53      errA=0.0004556229164818726      err2=0.00035528610768750487
iter = 54      errA=0.0003597702923057519      err2=0.0002824498106234587
iter = 55      errA=0.0002826761151519829      err2=0.0002223434235845157
iter = 56      errA=0.000256165242612252      err2=0.0002013338948341085
iter = 57      errA=0.00021185096151034473      err2=0.00017039115616033433
iter = 58      errA=0.0001606682537426833      err2=0.00012976070112375335
iter = 59      errA=0.00012186828571585891      err2=9.722506772362832e-5
iter = 60      errA=9.02297077826049e-5      err2=7.032117381832127e-5
iter = 61      errA=6.747404265012171e-5      err2=5.3110661929631975e-5
iter = 62      errA=5.234154972103773e-5      err2=4.083175053526753e-5
