anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
100 iterations
iter = 1      errA=0.9779036530746588      err2=0.9656430857656242
iter = 2      errA=0.9366222019853488      err2=0.9101453476844522
iter = 3      errA=0.9069177963406888      err2=0.8780970076812971
iter = 4      errA=0.8776800534411426      err2=0.8477274892539203
iter = 5      errA=0.8284327211633185      err2=0.802900381525093
iter = 6      errA=0.7694430910230806      err2=0.7460991432899704
iter = 7      errA=0.7248574861511022      err2=0.6982189682667801
iter = 8      errA=0.6917593729858595      err2=0.6604673076784064
iter = 9      errA=0.6457113763385866      err2=0.613247268078585
iter = 10      errA=0.5888652615117916      err2=0.5487744248478101
iter = 11      errA=0.5394072742241697      err2=0.5038494933485099
iter = 12      errA=0.47453163754075883      err2=0.43113435034280984
iter = 13      errA=0.42534179395462085      err2=0.37648784381717043
iter = 14      errA=0.37764574317809263      err2=0.33425995775695727
iter = 15      errA=0.33459402929671256      err2=0.29126581129006485
iter = 16      errA=0.27699830670577213      err2=0.2315290393669311
iter = 17      errA=0.24096284125813897      err2=0.20373860931247603
iter = 18      errA=0.20074738849191243      err2=0.16540640520233227
iter = 19      errA=0.1674462619188863      err2=0.13912919364272544
iter = 20      errA=0.14609897937191002      err2=0.11999654574914237
iter = 21      errA=0.14049334627354204      err2=0.11531598220289656
iter = 22      errA=0.12021425899230671      err2=0.09876775612627117
iter = 23      errA=0.10408887909616545      err2=0.08636292172392107
iter = 24      errA=0.0999685515329951      err2=0.08329161791539928
iter = 25      errA=0.08125239793049069      err2=0.06868934530284591
iter = 26      errA=0.07092558178425615      err2=0.059233029487071244
iter = 27      errA=0.05816484296487094      err2=0.04799883691012812
iter = 28      errA=0.049379452088197696      err2=0.03965625978128359
iter = 29      errA=0.04286903936922937      err2=0.034157417909648075
iter = 30      errA=0.0407959201204006      err2=0.03246817068504724
iter = 31      errA=0.03488343554014851      err2=0.02820382204845279
iter = 32      errA=0.029258532267121082      err2=0.023273229841111527
iter = 33      errA=0.027559553454530428      err2=0.021999004009549985
iter = 34      errA=0.023447884447865865      err2=0.018591318737592188
iter = 35      errA=0.019549657953561356      err2=0.01566506566007866
iter = 36      errA=0.016771789761839635      err2=0.013282613260570418
iter = 37      errA=0.015617702828249399      err2=0.012366474754871555
iter = 38      errA=0.013634354427053696      err2=0.010846817640677648
iter = 39      errA=0.012604751602668924      err2=0.010053369755691282
iter = 40      errA=0.010476407701560494      err2=0.008353957236037532
iter = 41      errA=0.008869112666969426      err2=0.006971498270713031
iter = 42      errA=0.008162386093951502      err2=0.006472381806092887
iter = 43      errA=0.0075085672592990725      err2=0.0060576247151348595
iter = 44      errA=0.006418844114918342      err2=0.005096957673500049
iter = 45      errA=0.005676016078714244      err2=0.004558765896354063
iter = 46      errA=0.004779564392841164      err2=0.003915288413018534
iter = 47      errA=0.0039049914892054006      err2=0.003161464635710516
iter = 48      errA=0.0030857329988449914      err2=0.002493232539007054
iter = 49      errA=0.002829707186287332      err2=0.0022720259422610144
iter = 50      errA=0.0025795795111563076      err2=0.0020512392728004726
iter = 51      errA=0.002353297419646367      err2=0.001861812924499017
iter = 52      errA=0.0019220332768307017      err2=0.0015066422112320309
iter = 53      errA=0.0015568852575707014      err2=0.0012484412224404455
iter = 54      errA=0.0013805603843344712      err2=0.0011012919325214183
