Avgstr = 14.6143727453722878
CG Iteration #1, relres 0.9986538984263951
CG Iteration #2, relres 0.9941984342236955
CG Iteration #3, relres 0.9919661621301576
CG Iteration #4, relres 0.9866341158239189
CG Iteration #5, relres 0.9812358018269760
CG Iteration #6, relres 0.9719866193090559
CG Iteration #7, relres 0.9674666292205460
CG Iteration #8, relres 0.9617815960133078
CG Iteration #9, relres 0.9534275716021671
CG Iteration #10, relres 0.9474076518584292
CG Iteration #11, relres 0.9393775824325084
CG Iteration #12, relres 0.9304812261180242
CG Iteration #13, relres 0.9232813423753253
CG Iteration #14, relres 0.9151947196614516
CG Iteration #15, relres 0.9047666782700438
CG Iteration #16, relres 0.8960521805940096
CG Iteration #17, relres 0.8879108880505918
CG Iteration #18, relres 0.8785709390176955
CG Iteration #19, relres 0.8713207403060025
CG Iteration #20, relres 0.8618757334830827
CG Iteration #21, relres 0.8530389527323101
CG Iteration #22, relres 0.8506283139473972
CG Iteration #23, relres 0.8420602907435046
CG Iteration #24, relres 0.8351944925078810
CG Iteration #25, relres 0.8239926966814179
CG Iteration #26, relres 0.8165840848506172
CG Iteration #27, relres 0.8138254423768576
CG Iteration #28, relres 0.8047784849105905
CG Iteration #29, relres 0.7929903831455440
CG Iteration #30, relres 0.7843048259771890
CG Iteration #31, relres 0.7815842084911584
CG Iteration #32, relres 0.7723546417882390
CG Iteration #33, relres 0.7603445905745657
CG Iteration #34, relres 0.7578345585819297
CG Iteration #35, relres 0.7465017431381804
CG Iteration #36, relres 0.7329924625256632
CG Iteration #37, relres 0.7218628523323108
CG Iteration #38, relres 0.7199956638571059
CG Iteration #39, relres 0.7065714882239760
CG Iteration #40, relres 0.7035906021022345
CG Iteration #41, relres 0.6877962179269580
CG Iteration #42, relres 0.6758141513018417
CG Iteration #43, relres 0.6617532835650960
CG Iteration #44, relres 0.6544747596061496
CG Iteration #45, relres 0.6453614891667464
CG Iteration #46, relres 0.6346152964118398
CG Iteration #47, relres 0.6301099443466627
CG Iteration #48, relres 0.6163573085426336
CG Iteration #49, relres 0.6103401858227073
CG Iteration #50, relres 0.6010855746588155
CG Iteration #51, relres 0.5879928601683072
CG Iteration #52, relres 0.5816536961009129
CG Iteration #53, relres 0.5743010156607896
CG Iteration #54, relres 0.5730103303372938
CG Iteration #55, relres 0.5597158071017155
CG Iteration #56, relres 0.5538057503723969
CG Iteration #57, relres 0.5466221537759292
CG Iteration #58, relres 0.5415593579709479
CG Iteration #59, relres 0.5283537174748217
CG Iteration #60, relres 0.5166261686234863
CG Iteration #61, relres 0.5036038227876075
CG Iteration #62, relres 0.4892591984139555
CG Iteration #63, relres 0.4835409221497612
CG Iteration #64, relres 0.4721746278071503
CG Iteration #65, relres 0.4674784680119600
CG Iteration #66, relres 0.4609805911483471
CG Iteration #67, relres 0.4561107287241098
CG Iteration #68, relres 0.4496802651072375
CG Iteration #69, relres 0.4426373029775924
CG Iteration #70, relres 0.4359863845459332
CG Iteration #71, relres 0.4312073798369405
CG Iteration #72, relres 0.4258928482754876
CG Iteration #73, relres 0.4122620328745706
CG Iteration #74, relres 0.3998323838997204
CG Iteration #75, relres 0.3891169750391444
CG Iteration #76, relres 0.3878282041974962
CG Iteration #77, relres 0.3743668035878974
CG Iteration #78, relres 0.3708937077474356
CG Iteration #79, relres 0.3627661217350015
CG Iteration #80, relres 0.3604250001023752
CG Iteration #81, relres 0.3550617758643604
CG Iteration #82, relres 0.3463192332351677
CG Iteration #83, relres 0.3337707224304001
CG Iteration #84, relres 0.3245720295844040
CG Iteration #85, relres 0.3201161682011717
CG Iteration #86, relres 0.3191971599274638
CG Iteration #87, relres 0.3105765910111227
CG Iteration #88, relres 0.3085292044350351
CG Iteration #89, relres 0.3050734270864631
CG Iteration #90, relres 0.2983671036204895
CG Iteration #91, relres 0.2868724045921193
CG Iteration #92, relres 0.2778062060737164
CG Iteration #93, relres 0.2723997994681925
CG Iteration #94, relres 0.2643933216570197
CG Iteration #95, relres 0.2622332555339107
CG Iteration #96, relres 0.2523034641968667
CG Iteration #97, relres 0.2505277072228024
CG Iteration #98, relres 0.2447784021036680
CG Iteration #99, relres 0.2407862518374393
CG Iteration #100, relres 0.2367453501783670
CG Iteration #101, relres 0.2309678136927525
CG Iteration #102, relres 0.2302458174271572
CG Iteration #103, relres 0.2286270827860379
CG Iteration #104, relres 0.2213557987474692
CG Iteration #105, relres 0.2126109328350436
CG Iteration #106, relres 0.2081468765329644
CG Iteration #107, relres 0.2070171799340135
CG Iteration #108, relres 0.2028207312736963
CG Iteration #109, relres 0.1974087748435465
CG Iteration #110, relres 0.1949710590327518
