Avgstr = 500.8905211289721251
CG Iteration #1, relres 0.9969856716044585
CG Iteration #2, relres 0.9930022977194002
CG Iteration #3, relres 0.9780528323355365
CG Iteration #4, relres 0.9640598912053038
CG Iteration #5, relres 0.9513945591670980
CG Iteration #6, relres 0.9372101611451168
CG Iteration #7, relres 0.9169824999718562
CG Iteration #8, relres 0.8927186695953486
CG Iteration #9, relres 0.8706878491495447
CG Iteration #10, relres 0.8650326668766355
CG Iteration #11, relres 0.8554030087511155
CG Iteration #12, relres 0.8354423238121884
CG Iteration #13, relres 0.8127124888827947
CG Iteration #14, relres 0.7871895648385171
CG Iteration #15, relres 0.7851216252662759
CG Iteration #16, relres 0.7714892272093712
CG Iteration #17, relres 0.7533075154301045
CG Iteration #18, relres 0.7297777344460540
CG Iteration #19, relres 0.7264310576227372
CG Iteration #20, relres 0.6846415196223098
CG Iteration #21, relres 0.6825622310660971
CG Iteration #22, relres 0.6438528298488980
CG Iteration #23, relres 0.6305811001360366
CG Iteration #24, relres 0.6287348893620952
CG Iteration #25, relres 0.6090380003212871
CG Iteration #26, relres 0.6086206738267181
CG Iteration #27, relres 0.6083212365132199
CG Iteration #28, relres 0.5931159207123666
CG Iteration #29, relres 0.5653074054236045
CG Iteration #30, relres 0.5398957667871568
CG Iteration #31, relres 0.5265227917017394
CG Iteration #32, relres 0.5079953376071699
CG Iteration #33, relres 0.5048306450581302
CG Iteration #34, relres 0.5049134499540563
CG Iteration #35, relres 0.4867045939042733
CG Iteration #36, relres 0.4856171023215530
CG Iteration #37, relres 0.4582916945780582
CG Iteration #38, relres 0.4582846288387488
CG Iteration #39, relres 0.4373645494372321
CG Iteration #40, relres 0.4337045783171076
CG Iteration #41, relres 0.4056971425446363
CG Iteration #42, relres 0.4057985650080094
CG Iteration #43, relres 0.4050557982778725
CG Iteration #44, relres 0.3859799232685990
CG Iteration #45, relres 0.3591473353676059
CG Iteration #46, relres 0.3442213979251204
CG Iteration #47, relres 0.3363017804271363
CG Iteration #48, relres 0.3356661861357143
CG Iteration #49, relres 0.3348410937890232
CG Iteration #50, relres 0.3263352001552114
CG Iteration #51, relres 0.3162111831973524
CG Iteration #52, relres 0.3052478995163352
CG Iteration #53, relres 0.2814333885097485
CG Iteration #54, relres 0.2777443099307802
CG Iteration #55, relres 0.2642023561216532
CG Iteration #56, relres 0.2462433553379047
CG Iteration #57, relres 0.2401238678195065
CG Iteration #58, relres 0.2346499790018958
CG Iteration #59, relres 0.2306474849686571
CG Iteration #60, relres 0.2292826760362880
CG Iteration #61, relres 0.2289125669277734
CG Iteration #62, relres 0.2143214753664536
CG Iteration #63, relres 0.2071425233235264
CG Iteration #64, relres 0.1959169646874742
CG Iteration #65, relres 0.1891131085813494
CG Iteration #66, relres 0.1892159492562334
CG Iteration #67, relres 0.1831967316846188
CG Iteration #68, relres 0.1758791564555783
CG Iteration #69, relres 0.1655138657502648
CG Iteration #70, relres 0.1599257109572207
CG Iteration #71, relres 0.1595291241357464
CG Iteration #72, relres 0.1410252195255290
CG Iteration #73, relres 0.1410191115913145
CG Iteration #74, relres 0.1364545858570235
CG Iteration #75, relres 0.1293869952997894
CG Iteration #76, relres 0.1287773685564671
CG Iteration #77, relres 0.1272640505483485
CG Iteration #78, relres 0.1218804387090409
CG Iteration #79, relres 0.1184041183681405
CG Iteration #80, relres 0.1144749847336753
CG Iteration #81, relres 0.1130740395592196
CG Iteration #82, relres 0.1128997414986205
CG Iteration #83, relres 0.1124168801907953
CG Iteration #84, relres 0.1091160973690153
CG Iteration #85, relres 0.1014285220708586
CG Iteration #86, relres 0.0958868801036439
CG Iteration #87, relres 0.0937137498857727
CG Iteration #88, relres 0.0933240402582176
CG Iteration #89, relres 0.0851071175754255
CG Iteration #90, relres 0.0846112851917243
CG Iteration #91, relres 0.0771498503693585
CG Iteration #92, relres 0.0764485865775166
CG Iteration #93, relres 0.0755124630033732
CG Iteration #94, relres 0.0753410890272805
CG Iteration #95, relres 0.0682799253221197
CG Iteration #96, relres 0.0682335546696669
CG Iteration #97, relres 0.0681166255556574
CG Iteration #98, relres 0.0662429735716990
CG Iteration #99, relres 0.0601092887919092
CG Iteration #100, relres 0.0589916934028849
CG Iteration #101, relres 0.0541036768629188
CG Iteration #102, relres 0.0524313234867675
CG Iteration #103, relres 0.0506749559024698
CG Iteration #104, relres 0.0493840062257279
CG Iteration #105, relres 0.0492628931783082
CG Iteration #106, relres 0.0465607177798609
CG Iteration #107, relres 0.0450030077733881
CG Iteration #108, relres 0.0428222431613012
CG Iteration #109, relres 0.0403943863193174
CG Iteration #110, relres 0.0401463542161664
CG Iteration #111, relres 0.0396834706175597
CG Iteration #112, relres 0.0386593867087887
CG Iteration #113, relres 0.0351811169657499
CG Iteration #114, relres 0.0352114450085546
CG Iteration #115, relres 0.0349010729298518
CG Iteration #116, relres 0.0326730668074218
CG Iteration #117, relres 0.0323525325879166
CG Iteration #118, relres 0.0323783848129782
CG Iteration #119, relres 0.0313867721184903
CG Iteration #120, relres 0.0310906633383245
CG Iteration #121, relres 0.0297559247561490
CG Iteration #122, relres 0.0267509767747327
CG Iteration #123, relres 0.0265113558205273
CG Iteration #124, relres 0.0264233530262691
CG Iteration #125, relres 0.0264000483828815
CG Iteration #126, relres 0.0238886154716400
CG Iteration #127, relres 0.0238889099086011
CG Iteration #128, relres 0.0231902434755059
CG Iteration #129, relres 0.0214412074133873
CG Iteration #130, relres 0.0214519038737691
CG Iteration #131, relres 0.0213191489894166
CG Iteration #132, relres 0.0191445466000382
CG Iteration #133, relres 0.0190446189875749
CG Iteration #134, relres 0.0181481631582254
CG Iteration #135, relres 0.0181380907028540
CG Iteration #136, relres 0.0180341656514731
CG Iteration #137, relres 0.0168217129844070
CG Iteration #138, relres 0.0150912781316728
CG Iteration #139, relres 0.0148331336559410
CG Iteration #140, relres 0.0148133319599167
CG Iteration #141, relres 0.0129663999430159
CG Iteration #142, relres 0.0126176586755773
CG Iteration #143, relres 0.0125467658114947
CG Iteration #144, relres 0.0118328333694685
CG Iteration #145, relres 0.0118325440789426
CG Iteration #146, relres 0.0116795886067510
CG Iteration #147, relres 0.0116287830378431
CG Iteration #148, relres 0.0110978013194504
CG Iteration #149, relres 0.0097007082787325
CG Iteration #150, relres 0.0094064533545575
CG Iteration #151, relres 0.0092187196061430
CG Iteration #152, relres 0.0091408330365533
CG Iteration #153, relres 0.0091263871901878
CG Iteration #154, relres 0.0091057963807801
CG Iteration #155, relres 0.0090416639379599
CG Iteration #156, relres 0.0089999215386493
CG Iteration #157, relres 0.0085082366237426
CG Iteration #158, relres 0.0083216478446977
CG Iteration #159, relres 0.0082195785055204
CG Iteration #160, relres 0.0080877361328503
CG Iteration #161, relres 0.0079869889688272
CG Iteration #162, relres 0.0078715632769758
CG Iteration #163, relres 0.0068465550683422
CG Iteration #164, relres 0.0068456294978542
CG Iteration #165, relres 0.0065848177437730
CG Iteration #166, relres 0.0065770568869683
CG Iteration #167, relres 0.0057928944148892
CG Iteration #168, relres 0.0057928400663091
CG Iteration #169, relres 0.0055534517902828
CG Iteration #170, relres 0.0051801831118469
CG Iteration #171, relres 0.0051323491590581
CG Iteration #172, relres 0.0046998047860326
CG Iteration #173, relres 0.0046196770729850
CG Iteration #174, relres 0.0045103868764845
CG Iteration #175, relres 0.0044415764791584
CG Iteration #176, relres 0.0044353417335823
CG Iteration #177, relres 0.0041980688390724
CG Iteration #178, relres 0.0040453775299612
CG Iteration #179, relres 0.0038353940512113
CG Iteration #180, relres 0.0038086600698882
CG Iteration #181, relres 0.0036252388403309
CG Iteration #182, relres 0.0036169364468109
CG Iteration #183, relres 0.0035889738220967
CG Iteration #184, relres 0.0033740613359308
CG Iteration #185, relres 0.0032313586743553
CG Iteration #186, relres 0.0031525207532773
CG Iteration #187, relres 0.0031246887288274
CG Iteration #188, relres 0.0028989411383202
CG Iteration #189, relres 0.0027837708970167
CG Iteration #190, relres 0.0027428344212657
CG Iteration #191, relres 0.0024659669120568
CG Iteration #192, relres 0.0022778108544755
CG Iteration #193, relres 0.0022466599595093
CG Iteration #194, relres 0.0022174065883844
CG Iteration #195, relres 0.0021815538531135
CG Iteration #196, relres 0.0021548518156562
CG Iteration #197, relres 0.0021546526313830
CG Iteration #198, relres 0.0021362313949761
CG Iteration #199, relres 0.0021293652466136
CG Iteration #200, relres 0.0020913967663177
CG Iteration #201, relres 0.0020141743811621
CG Iteration #202, relres 0.0020102652360534
CG Iteration #203, relres 0.0018390813522885
CG Iteration #204, relres 0.0018319016103504
CG Iteration #205, relres 0.0016403266027454
CG Iteration #206, relres 0.0015823672636440
CG Iteration #207, relres 0.0015412036261102
CG Iteration #208, relres 0.0014759157101555
CG Iteration #209, relres 0.0014570408193081
CG Iteration #210, relres 0.0014484982629938
CG Iteration #211, relres 0.0014398957371454
CG Iteration #212, relres 0.0013080312743245
CG Iteration #213, relres 0.0012820743225586
