Avgstr = 14.6143727453724850
CG Iteration #1, relres 0.9986538984263955
CG Iteration #2, relres 0.9941984342236933
CG Iteration #3, relres 0.9919661621301560
CG Iteration #4, relres 0.9866341158239137
CG Iteration #5, relres 0.9812358018269730
CG Iteration #6, relres 0.9719866193090568
CG Iteration #7, relres 0.9674666292205470
CG Iteration #8, relres 0.9617815960133113
CG Iteration #9, relres 0.9534275716021615
CG Iteration #10, relres 0.9474076518584361
CG Iteration #11, relres 0.9393775824324597
CG Iteration #12, relres 0.9304812261184190
CG Iteration #13, relres 0.9232813423711509
CG Iteration #14, relres 0.9151947197074518
CG Iteration #15, relres 0.9047666770826981
CG Iteration #16, relres 0.8960522029030461
CG Iteration #17, relres 0.8879103099236110
CG Iteration #18, relres 0.8786014786532089
CG Iteration #19, relres 0.8727473954614192
CG Iteration #20, relres 0.8704029171132498
CG Iteration #21, relres 0.8611705194093821
CG Iteration #22, relres 0.8507534148051541
CG Iteration #23, relres 0.8439364591565879
CG Iteration #24, relres 0.8402834176302657
CG Iteration #25, relres 0.8339772172145220
CG Iteration #26, relres 0.8230225043360523
CG Iteration #27, relres 0.8140222883359376
CG Iteration #28, relres 0.8048103955630753
CG Iteration #29, relres 0.7970394493318776
CG Iteration #30, relres 0.7913151453754493
CG Iteration #31, relres 0.7829406844148992
CG Iteration #32, relres 0.7800904960207444
CG Iteration #33, relres 0.7711653945924455
CG Iteration #34, relres 0.7683309898267753
CG Iteration #35, relres 0.7581885900492845
CG Iteration #36, relres 0.7483629296090314
CG Iteration #37, relres 0.7438730644540142
CG Iteration #38, relres 0.7308308044658527
CG Iteration #39, relres 0.7183828404543718
CG Iteration #40, relres 0.7039423917801693
CG Iteration #41, relres 0.6995606134719183
CG Iteration #42, relres 0.6884989148799617
CG Iteration #43, relres 0.6844223271425739
CG Iteration #44, relres 0.6718882012856716
CG Iteration #45, relres 0.6587669684637785
CG Iteration #46, relres 0.6507368546747094
CG Iteration #47, relres 0.6434481397026420
CG Iteration #48, relres 0.6410335960799008
CG Iteration #49, relres 0.6283719296583533
CG Iteration #50, relres 0.6257505588042570
CG Iteration #51, relres 0.6123476093674628
CG Iteration #52, relres 0.6087601218314594
CG Iteration #53, relres 0.6016584458443746
CG Iteration #54, relres 0.5946544119867870
CG Iteration #55, relres 0.5825737012521152
CG Iteration #56, relres 0.5689137026762184
CG Iteration #57, relres 0.5556538592654919
CG Iteration #58, relres 0.5477551645884324
CG Iteration #59, relres 0.5418246191912255
CG Iteration #60, relres 0.5368180844625782
CG Iteration #61, relres 0.5295036760013424
CG Iteration #62, relres 0.5232752592375577
CG Iteration #63, relres 0.5220487301765809
CG Iteration #64, relres 0.5106464071807081
CG Iteration #65, relres 0.5014450725620599
CG Iteration #66, relres 0.4937298585676756
CG Iteration #67, relres 0.4804095797030381
CG Iteration #68, relres 0.4747378235915403
CG Iteration #69, relres 0.4703881108254957
CG Iteration #70, relres 0.4633141809767884
CG Iteration #71, relres 0.4495211046629212
CG Iteration #72, relres 0.4467168143367300
CG Iteration #73, relres 0.4403143082813289
CG Iteration #74, relres 0.4340418149761445
CG Iteration #75, relres 0.4229608602109013
CG Iteration #76, relres 0.4157298061133305
CG Iteration #77, relres 0.4103277119088791
CG Iteration #78, relres 0.4060494892881342
CG Iteration #79, relres 0.4035906743741424
CG Iteration #80, relres 0.3922880392668878
CG Iteration #81, relres 0.3816699545860064
CG Iteration #82, relres 0.3776515811289072
CG Iteration #83, relres 0.3664112847152731
CG Iteration #84, relres 0.3614289022342297
CG Iteration #85, relres 0.3508143642290397
CG Iteration #86, relres 0.3425328208823006
CG Iteration #87, relres 0.3394694223779487
CG Iteration #88, relres 0.3282330003043293
CG Iteration #89, relres 0.3270196836222638
CG Iteration #90, relres 0.3218854687781984
CG Iteration #91, relres 0.3162408432989580
CG Iteration #92, relres 0.3085006282900606
CG Iteration #93, relres 0.3045931564435975
CG Iteration #94, relres 0.3017303181168580
CG Iteration #95, relres 0.2967672864354603
CG Iteration #96, relres 0.2940280802034736
