iter=10      res2=0.806005      err2=0.748546      errA=0.770442
iter=20      res2=0.652587      err2=0.568752      errA=0.603376
iter=30      res2=0.488035      err2=0.433037      errA=0.449999
iter=40      res2=0.338669      err2=0.313872      errA=0.3165
iter=50      res2=0.22137      err2=0.226047      errA=0.214431
iter=60      res2=0.137002      err2=0.144062      errA=0.135503
iter=70      res2=0.0949605      err2=0.104733      errA=0.0965579
iter=80      res2=0.0594092      err2=0.068637      errA=0.0621799
iter=90      res2=0.0398492      err2=0.0469706      errA=0.0421679
iter=100      res2=0.0269632      err2=0.0310625      errA=0.0283034
iter=110      res2=0.0176869      err2=0.0203705      errA=0.018748
iter=120      res2=0.0122347      err2=0.0136214      errA=0.0128676
iter=130      res2=0.00829783      err2=0.00966474      errA=0.00891469
iter=140      res2=0.00568327      err2=0.00667704      errA=0.00610354
iter=150      res2=0.00345612      err2=0.00409099      errA=0.00370461
iter=160      res2=0.00243442      err2=0.00289772      errA=0.00261591
iter=170      res2=0.00161043      err2=0.00187944      errA=0.0017151
iter=180      res2=0.00114864      err2=0.00132866      errA=0.0012095
iter=190      res2=0.00081525      err2=0.000887564      errA=0.000833163
iter=200      res2=0.000547235      err2=0.000607386      errA=0.000562668
iter=210      res2=0.000368175      err2=0.000403391      errA=0.000375257
iter=220      res2=0.000266804      err2=0.000289948      errA=0.000271178
iter=230      res2=0.000171439      err2=0.00018582      errA=0.000173077
iter=240      res2=0.000119782      err2=0.00013059      errA=0.000120885
iter=250      res2=8.53626e-05      err2=9.25687e-05      errA=8.59434e-05
iter=260      res2=5.82122e-05      err2=6.22709e-05      errA=5.84454e-05
iter=270      res2=3.92405e-05      err2=4.2896e-05      errA=3.98391e-05
iter=280      res2=2.6876e-05      err2=2.86772e-05      errA=2.71208e-05
iter=290      res2=1.81772e-05      err2=1.97525e-05      errA=1.85491e-05
iter=300      res2=1.26422e-05      err2=1.42105e-05      errA=1.31141e-05
iter=310      res2=8.34469e-06      err2=9.47883e-06      errA=8.72203e-06
iter=320      res2=5.40534e-06      err2=6.13298e-06      errA=5.61415e-06
iter=330      res2=3.84893e-06      err2=4.26667e-06      errA=3.92782e-06
iter=340      res2=2.55081e-06      err2=2.8223e-06      errA=2.59867e-06
iter=350      res2=1.78605e-06      err2=1.89494e-06      errA=1.79514e-06
iter=360      res2=1.32032e-06      err2=1.38467e-06      errA=1.33281e-06
iter=370      res2=1.00982e-06      err2=1.06125e-06      errA=1.01725e-06
iter=380      res2=7.52243e-07      err2=8.33803e-07      errA=7.8248e-07
iter=390      res2=6.31461e-07      err2=6.83625e-07      errA=6.49608e-07
iter=400      res2=5.69916e-07      err2=6.24858e-07      errA=5.88952e-07
iter=410      res2=5.44859e-07      err2=5.93124e-07      errA=5.59129e-07
iter=420      res2=5.13551e-07      err2=5.71169e-07      errA=5.38713e-07
iter=430      res2=5.0855e-07      err2=5.65165e-07      errA=5.33375e-07
iter=440      res2=5.04488e-07      err2=5.67265e-07      errA=5.34642e-07
iter=450      res2=5.05013e-07      err2=5.68778e-07      errA=5.34151e-07
iter=460      res2=5.06895e-07      err2=5.67419e-07      errA=5.33788e-07
iter=470      res2=5.08559e-07      err2=5.67182e-07      errA=5.34417e-07
iter=480      res2=5.08636e-07      err2=5.67091e-07      errA=5.34483e-07
iter=490      res2=5.08197e-07      err2=5.67024e-07      errA=5.34629e-07
iter=500      res2=5.08391e-07      err2=5.67092e-07      errA=5.3462e-07
iter=510      res2=5.08813e-07      err2=5.67118e-07      errA=5.34645e-07
iter=520      res2=5.08518e-07      err2=5.67105e-07      errA=5.34627e-07
iter=530      res2=5.0851e-07      err2=5.67107e-07      errA=5.34625e-07
iter=540      res2=5.08314e-07      err2=5.67104e-07      errA=5.34617e-07
iter=550      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=560      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=570      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=580      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=590      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=600      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=610      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=620      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=630      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
iter=640      res2=5.08521e-07      err2=5.67104e-07      errA=5.34615e-07
