Avgstr = 2.0131324672785844
CG Iteration #1, relres 0.9988012527286472
CG Iteration #2, relres 0.9931938634295538
CG Iteration #3, relres 0.9827794793439432
CG Iteration #4, relres 0.9607304870467234
CG Iteration #5, relres 0.9369580406947394
CG Iteration #6, relres 0.9061216525308065
CG Iteration #7, relres 0.8666366313683721
CG Iteration #8, relres 0.8189049852734462
CG Iteration #9, relres 0.7712285146984122
CG Iteration #10, relres 0.7134406305454374
CG Iteration #11, relres 0.6537790528269095
CG Iteration #12, relres 0.5809784071095704
CG Iteration #13, relres 0.5080598413293096
CG Iteration #14, relres 0.4569600679419742
CG Iteration #15, relres 0.4507599361170084
CG Iteration #16, relres 0.3907783908333257
CG Iteration #17, relres 0.3431586519336233
CG Iteration #18, relres 0.3069312512324161
CG Iteration #19, relres 0.2977491106513517
CG Iteration #20, relres 0.2644392211555062
CG Iteration #21, relres 0.2340541518826252
CG Iteration #22, relres 0.2014105365991923
CG Iteration #23, relres 0.1874366621916179
CG Iteration #24, relres 0.1603750892168564
CG Iteration #25, relres 0.1443263289055949
CG Iteration #26, relres 0.1396025997791709
CG Iteration #27, relres 0.1331484036966846
CG Iteration #28, relres 0.1227682947251406
CG Iteration #29, relres 0.1114718845859897
CG Iteration #30, relres 0.0975014008120963
CG Iteration #31, relres 0.0866081179740044
CG Iteration #32, relres 0.0762388402320823
CG Iteration #33, relres 0.0695363965200932
CG Iteration #34, relres 0.0627234627181721
CG Iteration #35, relres 0.0596763187196297
CG Iteration #36, relres 0.0504730414689999
CG Iteration #37, relres 0.0472885028600211
CG Iteration #38, relres 0.0444912782647146
CG Iteration #39, relres 0.0396783423715947
CG Iteration #40, relres 0.0333530191718856
CG Iteration #41, relres 0.0277327258334370
CG Iteration #42, relres 0.0236836911123732
CG Iteration #43, relres 0.0224069953005578
CG Iteration #44, relres 0.0187911615555395
CG Iteration #45, relres 0.0166566875773228
CG Iteration #46, relres 0.0150393801919137
CG Iteration #47, relres 0.0120465020387986
CG Iteration #48, relres 0.0118462801672456
CG Iteration #49, relres 0.0105576797912527
CG Iteration #50, relres 0.0099049926578713
CG Iteration #51, relres 0.0094633534069175
CG Iteration #52, relres 0.0081418094131793
CG Iteration #53, relres 0.0066160224038130
