Avgstr = 1.5443800173293762
CG Iteration #1, relres 0.9914921346668296
CG Iteration #2, relres 0.9671657981496535
CG Iteration #3, relres 0.9452177507171753
CG Iteration #4, relres 0.9210061554649902
CG Iteration #5, relres 0.8917052528751812
CG Iteration #6, relres 0.8602844862072185
CG Iteration #7, relres 0.8189138418001056
CG Iteration #8, relres 0.7443336492337180
CG Iteration #9, relres 0.6836383611921059
CG Iteration #10, relres 0.6112259120853651
CG Iteration #11, relres 0.5323317765652651
CG Iteration #12, relres 0.4494018557456696
CG Iteration #13, relres 0.3794008236085337
CG Iteration #14, relres 0.3152815603011884
CG Iteration #15, relres 0.2748468282371549
CG Iteration #16, relres 0.2313601687853333
CG Iteration #17, relres 0.2266896558965465
CG Iteration #18, relres 0.1994735970854938
CG Iteration #19, relres 0.1714953697674653
CG Iteration #20, relres 0.1437486844131486
CG Iteration #21, relres 0.1231840810366038
CG Iteration #22, relres 0.1040481754041137
CG Iteration #23, relres 0.0900958566214222
CG Iteration #24, relres 0.0760076988546002
CG Iteration #25, relres 0.0629748339174077
CG Iteration #26, relres 0.0556630275937111
CG Iteration #27, relres 0.0530712342462538
CG Iteration #28, relres 0.0451515473912988
CG Iteration #29, relres 0.0392536556726058
CG Iteration #30, relres 0.0353041169950317
CG Iteration #31, relres 0.0336966143265887
CG Iteration #32, relres 0.0310636635725055
CG Iteration #33, relres 0.0281697579495898
CG Iteration #34, relres 0.0245428117836282
CG Iteration #35, relres 0.0201563480778291
CG Iteration #36, relres 0.0169925752222507
CG Iteration #37, relres 0.0139443810020835
CG Iteration #38, relres 0.0113417550515086
CG Iteration #39, relres 0.0092386378235112
CG Iteration #40, relres 0.0084491228686834
CG Iteration #41, relres 0.0073456788469528
CG Iteration #42, relres 0.0060706111542157
CG Iteration #43, relres 0.0053779518224155
CG Iteration #44, relres 0.0051607754728931
CG Iteration #45, relres 0.0046730889865306
CG Iteration #46, relres 0.0039969808479320
CG Iteration #47, relres 0.0032313670074387
CG Iteration #48, relres 0.0026569406539078
CG Iteration #49, relres 0.0025698971311440
CG Iteration #50, relres 0.0020576831032991
CG Iteration #51, relres 0.0017175414401556
CG Iteration #52, relres 0.0013819818470452
CG Iteration #53, relres 0.0011045124050426
CG Iteration #54, relres 0.0010136161934606
CG Iteration #55, relres 0.0008505497418950
CG Iteration #56, relres 0.0007124055372329
CG Iteration #57, relres 0.0006911915025091
CG Iteration #58, relres 0.0006406797953936
CG Iteration #59, relres 0.0005189776674584
CG Iteration #60, relres 0.0004201274524768
CG Iteration #61, relres 0.0003431873188032
CG Iteration #62, relres 0.0002799480218751
CG Iteration #63, relres 0.0002149466501548
CG Iteration #64, relres 0.0001778430976828
CG Iteration #65, relres 0.0001629794790936
CG Iteration #66, relres 0.0001538102942906
CG Iteration #67, relres 0.0001309120131034
CG Iteration #68, relres 0.0001085558033173
CG Iteration #69, relres 0.0001045708972723
CG Iteration #70, relres 0.0001006420546672
CG Iteration #71, relres 0.0000804808595583
CG Iteration #72, relres 0.0000688415275317
CG Iteration #73, relres 0.0000613826846823
CG Iteration #74, relres 0.0000566452763154
CG Iteration #75, relres 0.0000473456667858
CG Iteration #76, relres 0.0000397644157201
CG Iteration #77, relres 0.0000379024723716
CG Iteration #78, relres 0.0000311386713165
CG Iteration #79, relres 0.0000249634370688
CG Iteration #80, relres 0.0000202581884758
CG Iteration #81, relres 0.0000187421993391
CG Iteration #82, relres 0.0000182514790250
CG Iteration #83, relres 0.0000150819248683
CG Iteration #84, relres 0.0000126882870933
CG Iteration #85, relres 0.0000119553894230
CG Iteration #86, relres 0.0000108335363940
CG Iteration #87, relres 0.0000085532808789
CG Iteration #88, relres 0.0000069322396858
CG Iteration #89, relres 0.0000061851665498
CG Iteration #90, relres 0.0000053036032605
CG Iteration #91, relres 0.0000043309193246
CG Iteration #92, relres 0.0000036986407971
CG Iteration #93, relres 0.0000035652364200
CG Iteration #94, relres 0.0000032086159055
CG Iteration #95, relres 0.0000026233592743
CG Iteration #96, relres 0.0000024569728168
CG Iteration #97, relres 0.0000023084111439
CG Iteration #98, relres 0.0000019684914407
CG Iteration #99, relres 0.0000018321062024
CG Iteration #100, relres 0.0000014332622286
CG Iteration #101, relres 0.0000012465150636
CG Iteration #102, relres 0.0000011324395791
CG Iteration #103, relres 0.0000010350292602
CG Iteration #104, relres 0.0000009118602972
n = 1000 iter = 104 time = 2.310s relres = 0.0000009118602972
