iter=10      res2=0.941793      err2=0.819922      errA=0.859353
iter=20      res2=0.852158      err2=0.685842      errA=0.745982
iter=30      res2=0.681406      err2=0.576352      errA=0.593273
iter=40      res2=0.488861      err2=0.469013      errA=0.436063
iter=50      res2=0.34977      err2=0.369718      errA=0.320977
iter=60      res2=0.262242      err2=0.284269      errA=0.245464
iter=70      res2=0.176341      err2=0.207952      errA=0.173168
iter=80      res2=0.120083      err2=0.152715      errA=0.12395
iter=90      res2=0.0829073      err2=0.111981      errA=0.08949
iter=100      res2=0.0543982      err2=0.0771915      errA=0.0613527
iter=110      res2=0.0394413      err2=0.0575038      errA=0.0454222
iter=120      res2=0.0295459      err2=0.0436879      errA=0.0348033
iter=130      res2=0.0206359      err2=0.0313956      errA=0.0249428
iter=140      res2=0.0141379      err2=0.0219913      errA=0.0175065
iter=150      res2=0.0104469      err2=0.0166203      errA=0.0131906
iter=160      res2=0.00705348      err2=0.0113935      errA=0.00898287
iter=170      res2=0.00541279      err2=0.00887735      errA=0.00700259
iter=180      res2=0.00370929      err2=0.00592861      errA=0.00476812
iter=190      res2=0.0027306      err2=0.0044073      errA=0.003563
iter=200      res2=0.00201952      err2=0.00328351      errA=0.00264958
iter=210      res2=0.00147664      err2=0.00243016      errA=0.00194932
iter=220      res2=0.00107343      err2=0.00180575      errA=0.00143939
iter=230      res2=0.000779955      err2=0.00130779      errA=0.00104856
iter=240      res2=0.000543973      err2=0.00091531      errA=0.000739201
iter=250      res2=0.000410851      err2=0.000711527      errA=0.000563655
iter=260      res2=0.000288784      err2=0.000521929      errA=0.00040432
iter=270      res2=0.000205616      err2=0.000367693      errA=0.000287034
iter=280      res2=0.000150839      err2=0.000261442      errA=0.000207358
iter=290      res2=0.000114403      err2=0.000195979      errA=0.000155137
iter=300      res2=8.3897e-05      err2=0.000142063      errA=0.000112604
iter=310      res2=6.3147e-05      err2=0.000103272      errA=8.31728e-05
iter=320      res2=4.65241e-05      err2=7.42613e-05      errA=6.05004e-05
iter=330      res2=3.55017e-05      err2=5.58984e-05      errA=4.57843e-05
iter=340      res2=2.57629e-05      err2=3.91024e-05      errA=3.2449e-05
iter=350      res2=2.01129e-05      err2=2.8446e-05      errA=2.45269e-05
iter=360      res2=1.57977e-05      err2=2.03796e-05      errA=1.836e-05
iter=370      res2=1.33454e-05      err2=1.50427e-05      errA=1.45826e-05
iter=380      res2=1.18866e-05      err2=1.15724e-05      errA=1.22145e-05
