=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 64
====DATA = ../graphs/rand_1000_u1000/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 338623.370665
||xbar||_A = 3258.656203
i=  1, err2=0.995909, errA = 0.995436
i=  2, err2=0.98665, errA = 0.988451
i=  3, err2=0.963021, errA = 0.964346
i=  4, err2=0.942191, errA = 0.945805
i=  5, err2=0.930612, errA = 0.930924
i=  6, err2=0.907776, errA = 0.907592
i=  7, err2=0.887006, errA = 0.888344
i=  8, err2=0.854218, errA = 0.854883
i=  9, err2=0.805842, errA = 0.807689
i= 10, err2=0.769182, errA = 0.773071
i= 11, err2=0.731923, errA = 0.734056
i= 12, err2=0.693842, errA = 0.693305
i= 13, err2=0.654226, errA = 0.653752
i= 14, err2=0.618871, errA = 0.614826
i= 15, err2=0.570995, errA = 0.569885
i= 16, err2=0.542443, errA = 0.542464
i= 17, err2=0.51663, errA = 0.515938
i= 18, err2=0.478118, errA = 0.479231
i= 19, err2=0.437846, errA = 0.440126
i= 20, err2=0.411531, errA = 0.41468
i= 21, err2=0.387284, errA = 0.391258
i= 22, err2=0.356405, errA = 0.360635
i= 23, err2=0.330265, errA = 0.333771
i= 24, err2=0.298871, errA = 0.302627
i= 25, err2=0.270864, errA = 0.276476
i= 26, err2=0.247852, errA = 0.253944
i= 27, err2=0.229694, errA = 0.235409
i= 28, err2=0.20536, errA = 0.210839
i= 29, err2=0.18803, errA = 0.192478
i= 30, err2=0.171073, errA = 0.176012
i= 31, err2=0.154302, errA = 0.159288
i= 32, err2=0.138735, errA = 0.142166
i= 33, err2=0.127237, errA = 0.129021
i= 34, err2=0.110369, errA = 0.113012
i= 35, err2=0.0988362, errA = 0.100999
i= 36, err2=0.0914269, errA = 0.0930756
i= 37, err2=0.0803433, errA = 0.0822326
i= 38, err2=0.0737112, errA = 0.07552
i= 39, err2=0.07225, errA = 0.0738662
i= 40, err2=0.0660783, errA = 0.0673064
i= 41, err2=0.0583291, errA = 0.0593219
i= 42, err2=0.0530428, errA = 0.0537079
i= 43, err2=0.0476594, errA = 0.0483189
i= 44, err2=0.0438628, errA = 0.0446557
i= 45, err2=0.037681, errA = 0.038741
i= 46, err2=0.033276, errA = 0.0342336
i= 47, err2=0.0300599, errA = 0.0305771
i= 48, err2=0.0265132, errA = 0.0269961
i= 49, err2=0.0234041, errA = 0.0238529
i= 50, err2=0.0205655, errA = 0.0209985
i= 51, err2=0.0185803, errA = 0.0189396
i= 52, err2=0.0167447, errA = 0.0168833
i= 53, err2=0.0166581, errA = 0.0167471
i= 54, err2=0.0144122, errA = 0.0144948
i= 55, err2=0.0129637, errA = 0.0131737
i= 56, err2=0.012505, errA = 0.0127241
i= 57, err2=0.010853, errA = 0.0109254
i= 58, err2=0.010752, errA = 0.0108181
i= 59, err2=0.0091278, errA = 0.00917695
i= 60, err2=0.00791618, errA = 0.00792736
i= 61, err2=0.00671772, errA = 0.00673095
i= 62, err2=0.00581248, errA = 0.00584625
i= 63, err2=0.00497046, errA = 0.00503142
i= 64, err2=0.00418188, errA = 0.00421198
i= 65, err2=0.00361588, errA = 0.00365472
i= 66, err2=0.0030861, errA = 0.00310507
i= 67, err2=0.00259367, errA = 0.0026254
i= 68, err2=0.00217089, errA = 0.0022013
i= 69, err2=0.00184562, errA = 0.00187512
i= 70, err2=0.00183307, errA = 0.0018554
i= 71, err2=0.00180789, errA = 0.00183165
i= 72, err2=0.00156674, errA = 0.00159239
i= 73, err2=0.00130321, errA = 0.0013251
i= 74, err2=0.00109421, errA = 0.00110537
i= 75, err2=0.000943957, errA = 0.000953143
i= 76, err2=0.000800981, errA = 0.000810785
i= 77, err2=0.000668568, errA = 0.000678918
i= 78, err2=0.000657177, errA = 0.00066732
i= 79, err2=0.000555703, errA = 0.000567313
i= 80, err2=0.000471099, errA = 0.000480952
i= 81, err2=0.000393121, errA = 0.000402597
i= 82, err2=0.000385675, errA = 0.000395439
i= 83, err2=0.000328636, errA = 0.00033651
i= 84, err2=0.000281596, errA = 0.00028644
i= 85, err2=0.000229802, errA = 0.000233234
i= 86, err2=0.000192105, errA = 0.000196282
i= 87, err2=0.000163353, errA = 0.000165572
i= 88, err2=0.000134485, errA = 0.000136882
i= 89, err2=0.000110837, errA = 0.000112349
i= 90, err2=9.40276e-05, errA = 9.60085e-05
i= 91, err2=8.10898e-05, errA = 8.33395e-05
i= 92, err2=7.4639e-05, errA = 7.66143e-05
i= 93, err2=7.44879e-05, errA = 7.63569e-05
i= 94, err2=6.07946e-05, errA = 6.23034e-05
i= 95, err2=5.91651e-05, errA = 6.09105e-05
i= 96, err2=4.9965e-05, errA = 5.13741e-05
i= 97, err2=4.96969e-05, errA = 5.1071e-05
i= 98, err2=4.19246e-05, errA = 4.32105e-05
i= 99, err2=3.54496e-05, errA = 3.64454e-05
i=100, err2=3.31242e-05, errA = 3.40243e-05
