Avgstr = 3.8509005501714029
CG Iteration #1, relres 0.9486475851549340
CG Iteration #2, relres 0.8510177042852592
CG Iteration #3, relres 0.7655922159117954
CG Iteration #4, relres 0.7051298867253748
CG Iteration #5, relres 0.6366091365687475
CG Iteration #6, relres 0.5878575556821732
CG Iteration #7, relres 0.5354505170687734
CG Iteration #8, relres 0.5055627025532945
CG Iteration #9, relres 0.4632568812300284
CG Iteration #10, relres 0.4318673578364957
CG Iteration #11, relres 0.4076355631209149
CG Iteration #12, relres 0.3843380904413643
CG Iteration #13, relres 0.3625147683492841
CG Iteration #14, relres 0.3409964233357965
CG Iteration #15, relres 0.3222691107467593
CG Iteration #16, relres 0.2958254247141043
CG Iteration #17, relres 0.2835874789376011
CG Iteration #18, relres 0.2643853294615476
CG Iteration #19, relres 0.2345830237542910
CG Iteration #20, relres 0.2109657187708218
CG Iteration #21, relres 0.1929626872447918
CG Iteration #22, relres 0.1767259427226614
CG Iteration #23, relres 0.1574107213500500
CG Iteration #24, relres 0.1387383594950069
CG Iteration #25, relres 0.1238752115542722
CG Iteration #26, relres 0.1135497560874817
CG Iteration #27, relres 0.1007556130793454
CG Iteration #28, relres 0.0904987045731622
CG Iteration #29, relres 0.0821113402608736
CG Iteration #30, relres 0.0725372797575960
CG Iteration #31, relres 0.0653532541067795
CG Iteration #32, relres 0.0587721607747609
CG Iteration #33, relres 0.0530204645086122
CG Iteration #34, relres 0.0474453583864038
CG Iteration #35, relres 0.0408544599503545
CG Iteration #36, relres 0.0361304830092841
CG Iteration #37, relres 0.0320703874603397
CG Iteration #38, relres 0.0284878276394798
CG Iteration #39, relres 0.0247211210496879
CG Iteration #40, relres 0.0219614296823711
CG Iteration #41, relres 0.0191927636154926
CG Iteration #42, relres 0.0167644681017839
CG Iteration #43, relres 0.0147535275015797
CG Iteration #44, relres 0.0127940564077975
CG Iteration #45, relres 0.0111953142759854
CG Iteration #46, relres 0.0096309853354340
CG Iteration #47, relres 0.0083673398986922
CG Iteration #48, relres 0.0072473820185479
CG Iteration #49, relres 0.0063587397613997
CG Iteration #50, relres 0.0056606433154695
CG Iteration #51, relres 0.0048737783125858
CG Iteration #52, relres 0.0043212457278127
CG Iteration #53, relres 0.0037436449630846
CG Iteration #54, relres 0.0031864923542047
CG Iteration #55, relres 0.0027227184136026
CG Iteration #56, relres 0.0023724672472773
CG Iteration #57, relres 0.0020042109316833
CG Iteration #58, relres 0.0017591079287292
CG Iteration #59, relres 0.0015178109655836
CG Iteration #60, relres 0.0013119211653263
CG Iteration #61, relres 0.0011100819492568
CG Iteration #62, relres 0.0009326840515339
CG Iteration #63, relres 0.0007794042554648
CG Iteration #64, relres 0.0006559440966226
CG Iteration #65, relres 0.0005526500375070
CG Iteration #66, relres 0.0004633471929388
CG Iteration #67, relres 0.0003894716109672
CG Iteration #68, relres 0.0003322619889951
CG Iteration #69, relres 0.0002746907595720
CG Iteration #70, relres 0.0002338252617991
CG Iteration #71, relres 0.0001993076227385
CG Iteration #72, relres 0.0001663479669705
CG Iteration #73, relres 0.0001372074836594
CG Iteration #74, relres 0.0001132797640923
CG Iteration #75, relres 0.0000962634031141
CG Iteration #76, relres 0.0000815287406772
CG Iteration #77, relres 0.0000696448817140
CG Iteration #78, relres 0.0000580729501721
CG Iteration #79, relres 0.0000493775027980
CG Iteration #80, relres 0.0000427733030032
CG Iteration #81, relres 0.0000358426995351
CG Iteration #82, relres 0.0000311267572226
CG Iteration #83, relres 0.0000261419198374
CG Iteration #84, relres 0.0000220745449580
CG Iteration #85, relres 0.0000192713275976
CG Iteration #86, relres 0.0000164057456886
CG Iteration #87, relres 0.0000139672370422
CG Iteration #88, relres 0.0000117247824095
CG Iteration #89, relres 0.0000098620396415
CG Iteration #90, relres 0.0000082324574294
CG Iteration #91, relres 0.0000069521740528
CG Iteration #92, relres 0.0000057883214163
CG Iteration #93, relres 0.0000048295233856
CG Iteration #94, relres 0.0000040731537425
CG Iteration #95, relres 0.0000032637487932
CG Iteration #96, relres 0.0000027379771750
CG Iteration #97, relres 0.0000022626187417
CG Iteration #98, relres 0.0000018923424205
CG Iteration #99, relres 0.0000015677334035
CG Iteration #100, relres 0.0000013430296352
CG Iteration #101, relres 0.0000011248655854
CG Iteration #102, relres 0.0000009461901852
n = 1000 iter = 102 time = 5.785s relres = 0.0000009461901852
