Avgstr = 3.6555962753570159
CG Iteration #1, relres 0.9574247862925257
CG Iteration #2, relres 0.8572397308693591
CG Iteration #3, relres 0.7949771228401687
CG Iteration #4, relres 0.7274353456809850
CG Iteration #5, relres 0.6524419015296186
CG Iteration #6, relres 0.6083041849574892
CG Iteration #7, relres 0.5647128409794462
CG Iteration #8, relres 0.5096103379508237
CG Iteration #9, relres 0.4884937585168528
CG Iteration #10, relres 0.4458813699805858
CG Iteration #11, relres 0.4269088024108157
CG Iteration #12, relres 0.3924413512973795
CG Iteration #13, relres 0.3771797590626507
CG Iteration #14, relres 0.3462731136966281
CG Iteration #15, relres 0.3287309984049846
CG Iteration #16, relres 0.3041460882606659
CG Iteration #17, relres 0.2817149043722846
CG Iteration #18, relres 0.2645263278021662
CG Iteration #19, relres 0.2320669368568672
CG Iteration #20, relres 0.2152970754186104
CG Iteration #21, relres 0.1932700600148146
CG Iteration #22, relres 0.1671765029257358
CG Iteration #23, relres 0.1466424742951108
CG Iteration #24, relres 0.1302375560500264
CG Iteration #25, relres 0.1180696857497674
CG Iteration #26, relres 0.1064023672051070
CG Iteration #27, relres 0.0936433474555319
CG Iteration #28, relres 0.0898396092560155
CG Iteration #29, relres 0.0813725874909734
CG Iteration #30, relres 0.0704113243610064
CG Iteration #31, relres 0.0621486591538149
CG Iteration #32, relres 0.0586417354672058
CG Iteration #33, relres 0.0504792186575895
CG Iteration #34, relres 0.0436630348219839
CG Iteration #35, relres 0.0421882596651622
CG Iteration #36, relres 0.0360387273657614
CG Iteration #37, relres 0.0342590876212072
CG Iteration #38, relres 0.0312156839747209
CG Iteration #39, relres 0.0294332063359831
CG Iteration #40, relres 0.0269796725031751
CG Iteration #41, relres 0.0259542010883868
CG Iteration #42, relres 0.0232898172190790
CG Iteration #43, relres 0.0226103688493625
CG Iteration #44, relres 0.0202176784908087
CG Iteration #45, relres 0.0190350144172378
CG Iteration #46, relres 0.0175089998765156
CG Iteration #47, relres 0.0153927328429780
CG Iteration #48, relres 0.0147484582501819
CG Iteration #49, relres 0.0127639885692329
CG Iteration #50, relres 0.0117792136559362
