Avgstr = 26.7796303298585912
CG Iteration #1, relres 0.9978310874989637
CG Iteration #2, relres 0.9973071832316380
CG Iteration #3, relres 0.9931687083268006
CG Iteration #4, relres 0.9865827793411269
CG Iteration #5, relres 0.9840868847589153
CG Iteration #6, relres 0.9803476134137538
CG Iteration #7, relres 0.9775823919345983
CG Iteration #8, relres 0.9712411945713412
CG Iteration #9, relres 0.9631278514527898
CG Iteration #10, relres 0.9544694235386618
CG Iteration #11, relres 0.9458413792458239
CG Iteration #12, relres 0.9454187642730429
CG Iteration #13, relres 0.9331232981077399
CG Iteration #14, relres 0.9221536217454671
CG Iteration #15, relres 0.9112380042971432
CG Iteration #16, relres 0.8970547166889770
CG Iteration #17, relres 0.8922755974268657
CG Iteration #18, relres 0.8821358816621363
CG Iteration #19, relres 0.8661908670091565
CG Iteration #20, relres 0.8590347564674216
CG Iteration #21, relres 0.8490232859570693
CG Iteration #22, relres 0.8444597627913487
CG Iteration #23, relres 0.8181263719510541
CG Iteration #24, relres 0.8156662742483014
CG Iteration #25, relres 0.7893222100447354
CG Iteration #26, relres 0.7653860650612538
CG Iteration #27, relres 0.7365827701325528
CG Iteration #28, relres 0.7298608146168587
CG Iteration #29, relres 0.7169234958735516
CG Iteration #30, relres 0.7082206717950159
CG Iteration #31, relres 0.6824785589758026
CG Iteration #32, relres 0.6761612171090592
CG Iteration #33, relres 0.6562461749205311
CG Iteration #34, relres 0.6211249251725819
CG Iteration #35, relres 0.5866924664447654
CG Iteration #36, relres 0.5617195561870829
CG Iteration #37, relres 0.5408233897625622
CG Iteration #38, relres 0.5351921610582911
CG Iteration #39, relres 0.5314618206699601
CG Iteration #40, relres 0.5243929124782437
CG Iteration #41, relres 0.5053772978911794
CG Iteration #42, relres 0.4705033724714200
CG Iteration #43, relres 0.4405208996713314
CG Iteration #44, relres 0.4216861474564423
CG Iteration #45, relres 0.4194577105690401
CG Iteration #46, relres 0.3980095586615965
CG Iteration #47, relres 0.3946219784670940
CG Iteration #48, relres 0.3837663229407883
CG Iteration #49, relres 0.3604572521445479
CG Iteration #50, relres 0.3337186087569572
CG Iteration #51, relres 0.3292288953382696
CG Iteration #52, relres 0.3048733668913614
CG Iteration #53, relres 0.2882800696635518
CG Iteration #54, relres 0.2862045382497534
CG Iteration #55, relres 0.2727105590334654
CG Iteration #56, relres 0.2716714810013985
CG Iteration #57, relres 0.2693541295807041
CG Iteration #58, relres 0.2552522907682049
CG Iteration #59, relres 0.2521161874071156
CG Iteration #60, relres 0.2477421788393129
CG Iteration #61, relres 0.2321658224817239
CG Iteration #62, relres 0.2173544423854172
CG Iteration #63, relres 0.2070621756133424
CG Iteration #64, relres 0.2025871028531599
CG Iteration #65, relres 0.2008388659047250
CG Iteration #66, relres 0.1845717556515011
CG Iteration #67, relres 0.1752753344296683
CG Iteration #68, relres 0.1705397480163603
CG Iteration #69, relres 0.1601720654733729
CG Iteration #70, relres 0.1580413187662505
CG Iteration #71, relres 0.1574980165197531
CG Iteration #72, relres 0.1546693255642518
CG Iteration #73, relres 0.1493216485162677
CG Iteration #74, relres 0.1472389961195099
CG Iteration #75, relres 0.1461539258850566
CG Iteration #76, relres 0.1342222178906191
CG Iteration #77, relres 0.1247618870451143
CG Iteration #78, relres 0.1206462562962534
CG Iteration #79, relres 0.1125283808301582
CG Iteration #80, relres 0.1050047602363057
CG Iteration #81, relres 0.1048168245797347
CG Iteration #82, relres 0.1032009886127840
CG Iteration #83, relres 0.0980234931462130
CG Iteration #84, relres 0.0970442726394663
CG Iteration #85, relres 0.0901789147732020
CG Iteration #86, relres 0.0877782374124453
CG Iteration #87, relres 0.0869038873283803
CG Iteration #88, relres 0.0812109691876621
CG Iteration #89, relres 0.0805447250054325
CG Iteration #90, relres 0.0804193258496560
CG Iteration #91, relres 0.0746422427285280
CG Iteration #92, relres 0.0678333628864808
CG Iteration #93, relres 0.0672621283205500
CG Iteration #94, relres 0.0629881930811836
CG Iteration #95, relres 0.0602695122789396
CG Iteration #96, relres 0.0598554807571198
CG Iteration #97, relres 0.0591359900988022
CG Iteration #98, relres 0.0590343673915153
CG Iteration #99, relres 0.0534922679720468
CG Iteration #100, relres 0.0481667671922570
CG Iteration #101, relres 0.0465452793257523
CG Iteration #102, relres 0.0457689006002652
CG Iteration #103, relres 0.0430829136878396
CG Iteration #104, relres 0.0402677318446097
CG Iteration #105, relres 0.0397389075160961
CG Iteration #106, relres 0.0396628612356913
CG Iteration #107, relres 0.0389572738834132
CG Iteration #108, relres 0.0349301436633660
CG Iteration #109, relres 0.0347332537994433
CG Iteration #110, relres 0.0335121586294981
CG Iteration #111, relres 0.0311726245234848
CG Iteration #112, relres 0.0304719751715635
CG Iteration #113, relres 0.0299217936395385
CG Iteration #114, relres 0.0298849837451388
CG Iteration #115, relres 0.0284542344702464
CG Iteration #116, relres 0.0266005450190336
CG Iteration #117, relres 0.0260371453717374
CG Iteration #118, relres 0.0257135041818204
CG Iteration #119, relres 0.0236475324284004
CG Iteration #120, relres 0.0214667766025629
CG Iteration #121, relres 0.0214281537139847
CG Iteration #122, relres 0.0213832152158032
CG Iteration #123, relres 0.0207060708304291
CG Iteration #124, relres 0.0190023267830307
CG Iteration #125, relres 0.0186867015757768
CG Iteration #126, relres 0.0180874144207267
CG Iteration #127, relres 0.0165412348846336
CG Iteration #128, relres 0.0161275311477233
CG Iteration #129, relres 0.0161190072888569
CG Iteration #130, relres 0.0151242503051725
CG Iteration #131, relres 0.0143355851138173
CG Iteration #132, relres 0.0139684042268132
CG Iteration #133, relres 0.0137161772931412
CG Iteration #134, relres 0.0134069329700274
CG Iteration #135, relres 0.0132566929087344
CG Iteration #136, relres 0.0124484267250123
CG Iteration #137, relres 0.0122139495932259
CG Iteration #138, relres 0.0119921901971728
CG Iteration #139, relres 0.0106641826548572
CG Iteration #140, relres 0.0101942595308956
CG Iteration #141, relres 0.0099902322826786
CG Iteration #142, relres 0.0094149281919126
CG Iteration #143, relres 0.0091674372543649
