Avgstr = 2.1130958893475715
CG Iteration #1, relres 0.9984422160897561
CG Iteration #2, relres 0.9939606484964166
CG Iteration #3, relres 0.9885472328273783
CG Iteration #4, relres 0.9745595092763054
CG Iteration #5, relres 0.9582174957276127
CG Iteration #6, relres 0.9263037674337937
CG Iteration #7, relres 0.9028474313647631
CG Iteration #8, relres 0.8545485410192692
CG Iteration #9, relres 0.7922089080378265
CG Iteration #10, relres 0.7567763822957110
CG Iteration #11, relres 0.6920682476230544
CG Iteration #12, relres 0.6361482495317189
CG Iteration #13, relres 0.5774474959182464
CG Iteration #14, relres 0.5083412173066357
CG Iteration #15, relres 0.4469635281616149
CG Iteration #16, relres 0.3888244745303516
CG Iteration #17, relres 0.3356822351397688
CG Iteration #18, relres 0.2927939476995712
CG Iteration #19, relres 0.2545978983438253
CG Iteration #20, relres 0.2283919519138710
CG Iteration #21, relres 0.1930928012704757
CG Iteration #22, relres 0.1717973375735590
CG Iteration #23, relres 0.1525004118614359
CG Iteration #24, relres 0.1290803673842322
CG Iteration #25, relres 0.1161099048133862
CG Iteration #26, relres 0.1003253203915349
CG Iteration #27, relres 0.0863416469443457
CG Iteration #28, relres 0.0734791772337616
CG Iteration #29, relres 0.0640037447282621
CG Iteration #30, relres 0.0545418209085924
CG Iteration #31, relres 0.0463986738000438
CG Iteration #32, relres 0.0379838179207867
CG Iteration #33, relres 0.0332866826201971
CG Iteration #34, relres 0.0263070663860037
CG Iteration #35, relres 0.0223307952088895
CG Iteration #36, relres 0.0182618723891675
CG Iteration #37, relres 0.0156609023459714
CG Iteration #38, relres 0.0126417916577200
CG Iteration #39, relres 0.0104988840459833
CG Iteration #40, relres 0.0085530978156683
CG Iteration #41, relres 0.0071274808460108
CG Iteration #42, relres 0.0058916923028906
CG Iteration #43, relres 0.0047777555917109
CG Iteration #44, relres 0.0038270228573408
CG Iteration #45, relres 0.0031901948015450
CG Iteration #46, relres 0.0025969888558920
CG Iteration #47, relres 0.0020756288237500
CG Iteration #48, relres 0.0020548158536161
CG Iteration #49, relres 0.0016685138499417
CG Iteration #50, relres 0.0013213396944119
CG Iteration #51, relres 0.0011074346016081
CG Iteration #52, relres 0.0008583245058612
CG Iteration #53, relres 0.0007223607878041
CG Iteration #54, relres 0.0006950174420920
CG Iteration #55, relres 0.0005584990736915
CG Iteration #56, relres 0.0004512132749757
CG Iteration #57, relres 0.0003648745060102
CG Iteration #58, relres 0.0002876085724050
CG Iteration #59, relres 0.0002292537480219
CG Iteration #60, relres 0.0001766783822200
CG Iteration #61, relres 0.0001409774642483
CG Iteration #62, relres 0.0001148007407723
CG Iteration #63, relres 0.0001132299232609
CG Iteration #64, relres 0.0000858241447010
CG Iteration #65, relres 0.0000662785093712
CG Iteration #66, relres 0.0000526677345823
CG Iteration #67, relres 0.0000428843030532
CG Iteration #68, relres 0.0000330418110640
CG Iteration #69, relres 0.0000263209616467
CG Iteration #70, relres 0.0000250902344028
CG Iteration #71, relres 0.0000198443968624
CG Iteration #72, relres 0.0000154275162547
CG Iteration #73, relres 0.0000117323423307
CG Iteration #74, relres 0.0000094426332615
CG Iteration #75, relres 0.0000074035050808
CG Iteration #76, relres 0.0000072252011766
CG Iteration #77, relres 0.0000057092471408
CG Iteration #78, relres 0.0000043707568880
CG Iteration #79, relres 0.0000034280375904
CG Iteration #80, relres 0.0000028609270443
CG Iteration #81, relres 0.0000026984994774
CG Iteration #82, relres 0.0000020225994911
CG Iteration #83, relres 0.0000015362017768
CG Iteration #84, relres 0.0000011195534200
CG Iteration #85, relres 0.0000008311469597
n = 1000 iter = 85 time = 2.336s relres = 0.0000008311469597
