Avgstr = 23.5611800020828177
CG Iteration #1, relres 0.9856133540128912
CG Iteration #2, relres 0.9779797060743479
CG Iteration #3, relres 0.9713774711955592
CG Iteration #4, relres 0.9497035372772812
CG Iteration #5, relres 0.9356782042823464
CG Iteration #6, relres 0.8951667190836667
CG Iteration #7, relres 0.8739173247507900
CG Iteration #8, relres 0.8558977729865380
CG Iteration #9, relres 0.8416221290196804
CG Iteration #10, relres 0.8127883273006795
CG Iteration #11, relres 0.7782893134754931
CG Iteration #12, relres 0.7430125803370039
CG Iteration #13, relres 0.7191110856605667
CG Iteration #14, relres 0.6793926915045430
CG Iteration #15, relres 0.6779311720064274
CG Iteration #16, relres 0.6548279764637299
CG Iteration #17, relres 0.6129784800664621
CG Iteration #18, relres 0.5867679840257178
CG Iteration #19, relres 0.5821581214425856
CG Iteration #20, relres 0.5534034966774443
CG Iteration #21, relres 0.5348385734392594
CG Iteration #22, relres 0.5045620443859138
CG Iteration #23, relres 0.4896285484017232
CG Iteration #24, relres 0.4794608288465315
CG Iteration #25, relres 0.4595779255058596
CG Iteration #26, relres 0.4572347032729886
CG Iteration #27, relres 0.4444788738868430
CG Iteration #28, relres 0.4187566486699769
CG Iteration #29, relres 0.3969083846972998
CG Iteration #30, relres 0.3890292873580041
CG Iteration #31, relres 0.3704063571450125
CG Iteration #32, relres 0.3425150084392466
CG Iteration #33, relres 0.3409597720857533
CG Iteration #34, relres 0.3124645183126383
CG Iteration #35, relres 0.3012623205394661
CG Iteration #36, relres 0.2855693094845932
CG Iteration #37, relres 0.2851014261176874
CG Iteration #38, relres 0.2601392221460858
CG Iteration #39, relres 0.2566117516574310
CG Iteration #40, relres 0.2379387469677358
CG Iteration #41, relres 0.2354819580376042
CG Iteration #42, relres 0.2214298667456339
CG Iteration #43, relres 0.2032188661993399
CG Iteration #44, relres 0.1824118406814487
CG Iteration #45, relres 0.1738991191552589
CG Iteration #46, relres 0.1664311900911654
CG Iteration #47, relres 0.1658404580685520
CG Iteration #48, relres 0.1541740359878242
CG Iteration #49, relres 0.1524585722585289
CG Iteration #50, relres 0.1392447026982054
CG Iteration #51, relres 0.1317342368838852
CG Iteration #52, relres 0.1261258260876830
CG Iteration #53, relres 0.1156201442731313
CG Iteration #54, relres 0.1135031634114880
CG Iteration #55, relres 0.1070978951044935
CG Iteration #56, relres 0.1030065835062434
CG Iteration #57, relres 0.1028747938457586
CG Iteration #58, relres 0.0993580021571302
CG Iteration #59, relres 0.0913969499155258
CG Iteration #60, relres 0.0911291848216263
CG Iteration #61, relres 0.0884797760576814
CG Iteration #62, relres 0.0819888550035184
CG Iteration #63, relres 0.0796367813325320
CG Iteration #64, relres 0.0762945216979538
CG Iteration #65, relres 0.0733480432147770
CG Iteration #66, relres 0.0688425826485317
CG Iteration #67, relres 0.0652527185345251
CG Iteration #68, relres 0.0651919432152138
CG Iteration #69, relres 0.0597410132120673
CG Iteration #70, relres 0.0592715482782259
CG Iteration #71, relres 0.0550809479495475
CG Iteration #72, relres 0.0535081750751780
CG Iteration #73, relres 0.0487277573047347
CG Iteration #74, relres 0.0485937691682740
CG Iteration #75, relres 0.0468626867429778
CG Iteration #76, relres 0.0462892746348121
