Avgstr = 3.6555962753570044
CG Iteration #1, relres 0.9574247862925256
CG Iteration #2, relres 0.8572397308693582
CG Iteration #3, relres 0.7949771228401682
CG Iteration #4, relres 0.7274353456809850
CG Iteration #5, relres 0.6524419015296183
CG Iteration #6, relres 0.6083041849574888
CG Iteration #7, relres 0.5647128409794459
CG Iteration #8, relres 0.5096103379508237
CG Iteration #9, relres 0.4884937585168527
CG Iteration #10, relres 0.4458813699805859
CG Iteration #11, relres 0.4269088024108159
CG Iteration #12, relres 0.3924413512973796
CG Iteration #13, relres 0.3771797590626506
CG Iteration #14, relres 0.3462731136966276
CG Iteration #15, relres 0.3287309984049850
CG Iteration #16, relres 0.3041460882606644
CG Iteration #17, relres 0.2817149043722945
CG Iteration #18, relres 0.2645263278021546
CG Iteration #19, relres 0.2320669368569359
CG Iteration #20, relres 0.2152970754180890
CG Iteration #21, relres 0.1932700600157854
CG Iteration #22, relres 0.1671765029096242
CG Iteration #23, relres 0.1466424746291419
CG Iteration #24, relres 0.1302375539770860
CG Iteration #25, relres 0.1180697728290555
CG Iteration #26, relres 0.1063999343195200
CG Iteration #27, relres 0.0936469999497170
CG Iteration #28, relres 0.0824853761944038
CG Iteration #29, relres 0.0713899565601740
CG Iteration #30, relres 0.0604890504499385
CG Iteration #31, relres 0.0523497682681125
CG Iteration #32, relres 0.0442517144676773
CG Iteration #33, relres 0.0375943069166003
CG Iteration #34, relres 0.0328970394294627
CG Iteration #35, relres 0.0288576371158350
CG Iteration #36, relres 0.0252655906194495
CG Iteration #37, relres 0.0225459368356742
CG Iteration #38, relres 0.0196830032388662
CG Iteration #39, relres 0.0173532526795550
CG Iteration #40, relres 0.0152636218011955
CG Iteration #41, relres 0.0130709709360430
CG Iteration #42, relres 0.0110933307032702
CG Iteration #43, relres 0.0097015476637763
CG Iteration #44, relres 0.0084228338558286
CG Iteration #45, relres 0.0074369422966775
CG Iteration #46, relres 0.0072529392351913
CG Iteration #47, relres 0.0064339645157201
CG Iteration #48, relres 0.0057410485713198
CG Iteration #49, relres 0.0056020805787737
CG Iteration #50, relres 0.0048728430958703
CG Iteration #51, relres 0.0042894406513455
CG Iteration #52, relres 0.0041761145567806
CG Iteration #53, relres 0.0036279309689233
CG Iteration #54, relres 0.0031759990395827
CG Iteration #55, relres 0.0028816792358145
CG Iteration #56, relres 0.0026672239109143
CG Iteration #57, relres 0.0023525364145263
CG Iteration #58, relres 0.0022995569285414
CG Iteration #59, relres 0.0020200724642256
CG Iteration #60, relres 0.0019243154952613
CG Iteration #61, relres 0.0017284669330876
CG Iteration #62, relres 0.0015951565932456
CG Iteration #63, relres 0.0014749592496472
CG Iteration #64, relres 0.0013228934136517
CG Iteration #65, relres 0.0012529447563315
CG Iteration #66, relres 0.0010686215732483
CG Iteration #67, relres 0.0009235771178851
CG Iteration #68, relres 0.0008716522035792
CG Iteration #69, relres 0.0007723549144564
CG Iteration #70, relres 0.0006772649551559
CG Iteration #71, relres 0.0005858691934362
CG Iteration #72, relres 0.0005314040490013
CG Iteration #73, relres 0.0004958918242611
CG Iteration #74, relres 0.0004248631531801
CG Iteration #75, relres 0.0003936243971972
CG Iteration #76, relres 0.0003541206783131
CG Iteration #77, relres 0.0002976061320534
CG Iteration #78, relres 0.0002522620340090
CG Iteration #79, relres 0.0002073528824527
CG Iteration #80, relres 0.0001761650354546
CG Iteration #81, relres 0.0001496253598476
CG Iteration #82, relres 0.0001273275782077
CG Iteration #83, relres 0.0001092731514536
CG Iteration #84, relres 0.0001016361461172
CG Iteration #85, relres 0.0000881966421254
CG Iteration #86, relres 0.0000756125145804
CG Iteration #87, relres 0.0000727957301036
CG Iteration #88, relres 0.0000628046079453
CG Iteration #89, relres 0.0000531525770316
CG Iteration #90, relres 0.0000493136506631
CG Iteration #91, relres 0.0000448592399515
CG Iteration #92, relres 0.0000386028220533
CG Iteration #93, relres 0.0000333805510523
CG Iteration #94, relres 0.0000295886615642
CG Iteration #95, relres 0.0000282323756274
CG Iteration #96, relres 0.0000243185425101
CG Iteration #97, relres 0.0000203752141010
CG Iteration #98, relres 0.0000171026728489
CG Iteration #99, relres 0.0000147819927542
CG Iteration #100, relres 0.0000142678979062
CG Iteration #101, relres 0.0000122920527860
CG Iteration #102, relres 0.0000112169707553
CG Iteration #103, relres 0.0000098444237184
CG Iteration #104, relres 0.0000094723924335
CG Iteration #105, relres 0.0000079739066022
CG Iteration #106, relres 0.0000077482488897
CG Iteration #107, relres 0.0000065034643688
CG Iteration #108, relres 0.0000062970558513
CG Iteration #109, relres 0.0000053436245260
CG Iteration #110, relres 0.0000045569248400
CG Iteration #111, relres 0.0000038326927931
CG Iteration #112, relres 0.0000035161693497
CG Iteration #113, relres 0.0000031263313042
CG Iteration #114, relres 0.0000025685848055
CG Iteration #115, relres 0.0000021865254446
CG Iteration #116, relres 0.0000020899477004
CG Iteration #117, relres 0.0000017767842485
CG Iteration #118, relres 0.0000015071401462
CG Iteration #119, relres 0.0000012391594394
CG Iteration #120, relres 0.0000010072310585
CG Iteration #121, relres 0.0000009354401039
n = 1000 iter = 121 time = 2.813s relres = 0.0000009354401039
