iter=10      res2=0.78172      err2=0.682835      errA=0.730718
iter=20      res2=0.435343      err2=0.394836      errA=0.40779
iter=30      res2=0.197965      err2=0.190896      errA=0.191048
iter=40      res2=0.0748303      err2=0.0772343      errA=0.0751734
iter=50      res2=0.0354494      err2=0.0365571      errA=0.0356678
iter=60      res2=0.0135811      err2=0.013853      errA=0.0136053
iter=70      res2=0.00635439      err2=0.00659438      errA=0.00641085
iter=80      res2=0.00332624      err2=0.00331      errA=0.00328513
iter=90      res2=0.00152778      err2=0.00150901      errA=0.0014987
iter=100      res2=0.000506566      err2=0.000502367      errA=0.000498187
iter=110      res2=0.000259518      err2=0.000258943      errA=0.000254963
iter=120      res2=0.000111875      err2=0.00010967      errA=0.000109446
iter=130      res2=5.07478e-05      err2=5.1113e-05      errA=5.04566e-05
iter=140      res2=2.28686e-05      err2=2.41976e-05      errA=2.33593e-05
iter=150      res2=8.00266e-06      err2=8.17096e-06      errA=7.99092e-06
iter=160      res2=3.82487e-06      err2=3.78584e-06      errA=3.75832e-06
iter=170      res2=1.72805e-06      err2=1.70956e-06      errA=1.69667e-06
iter=180      res2=7.18528e-07      err2=7.34499e-07      errA=7.19248e-07
iter=190      res2=3.10682e-07      err2=3.22811e-07      errA=3.13492e-07
iter=200      res2=1.33396e-07      err2=1.37486e-07      errA=1.34326e-07
iter=210      res2=4.25028e-08      err2=4.26886e-08      errA=4.22094e-08
iter=220      res2=2.12583e-08      err2=2.17836e-08      errA=2.13232e-08
iter=230      res2=9.69729e-09      err2=9.97905e-09      errA=9.73685e-09
iter=240      res2=3.73511e-09      err2=3.69014e-09      errA=3.67255e-09
iter=250      res2=1.70111e-09      err2=1.73509e-09      errA=1.69863e-09
iter=260      res2=9.14409e-10      err2=9.31438e-10      errA=9.14483e-10
