iter=10      res2=0.925112      err2=0.917259      errA=0.920854
iter=20      res2=0.86588      err2=0.826849      errA=0.845325
iter=30      res2=0.823971      err2=0.757714      errA=0.790035
iter=40      res2=0.799563      err2=0.716117      errA=0.758592
iter=50      res2=0.778927      err2=0.684113      errA=0.731607
iter=60      res2=0.750059      err2=0.643245      errA=0.696924
iter=70      res2=0.733015      err2=0.616507      errA=0.67623
iter=80      res2=0.708733      err2=0.585434      errA=0.647988
iter=90      res2=0.684562      err2=0.561621      errA=0.624103
iter=100      res2=0.661431      err2=0.540853      errA=0.602095
iter=110      res2=0.623179      err2=0.506348      errA=0.565676
iter=120      res2=0.595561      err2=0.484337      errA=0.539672
iter=130      res2=0.572886      err2=0.4617      errA=0.515987
iter=140      res2=0.542574      err2=0.439059      errA=0.488594
iter=150      res2=0.519016      err2=0.419822      errA=0.467397
iter=160      res2=0.488138      err2=0.397066      errA=0.440249
iter=170      res2=0.462814      err2=0.376047      errA=0.417189
iter=180      res2=0.443674      err2=0.361112      errA=0.399723
iter=190      res2=0.420217      err2=0.345012      errA=0.379968
iter=200      res2=0.400843      err2=0.330858      errA=0.362614
iter=210      res2=0.378735      err2=0.315703      errA=0.343734
iter=220      res2=0.357416      err2=0.300044      errA=0.324851
iter=230      res2=0.336928      err2=0.285261      errA=0.307795
iter=240      res2=0.313462      err2=0.270149      errA=0.288771
iter=250      res2=0.295444      err2=0.257025      errA=0.273635
iter=260      res2=0.274949      err2=0.242038      errA=0.256223
iter=270      res2=0.255522      err2=0.226082      errA=0.238909
iter=280      res2=0.239194      err2=0.214012      errA=0.224778
iter=290      res2=0.222154      err2=0.201565      errA=0.21019
iter=300      res2=0.207068      err2=0.190012      errA=0.197124
iter=310      res2=0.194605      err2=0.178769      errA=0.185489
iter=320      res2=0.184516      err2=0.170058      errA=0.176139
iter=330      res2=0.171744      err2=0.158947      errA=0.164403
iter=340      res2=0.159571      err2=0.149244      errA=0.153561
iter=350      res2=0.150856      err2=0.141758      errA=0.145293
iter=360      res2=0.139904      err2=0.132479      errA=0.135318
iter=370      res2=0.131222      err2=0.125141      errA=0.127465
iter=380      res2=0.123329      err2=0.117872      errA=0.119954
iter=390      res2=0.116321      err2=0.111336      errA=0.113215
iter=400      res2=0.106741      err2=0.101814      errA=0.103855
iter=410      res2=0.0999279      err2=0.0957026      errA=0.0974563
iter=420      res2=0.0919556      err2=0.0887321      errA=0.0900549
iter=430      res2=0.0855001      err2=0.0830185      errA=0.0839924
iter=440      res2=0.0812575      err2=0.079036      errA=0.0799379
iter=450      res2=0.0759858      err2=0.0736582      errA=0.0746666
iter=460      res2=0.0718532      err2=0.0694406      errA=0.0705374
iter=470      res2=0.0679759      err2=0.0655505      errA=0.0665432
iter=480      res2=0.0644103      err2=0.0621394      errA=0.0631091
iter=490      res2=0.0601452      err2=0.0575621      errA=0.0587516
iter=500      res2=0.056121      err2=0.0534243      errA=0.0546842
iter=510      res2=0.0529143      err2=0.0503882      errA=0.0516201
iter=520      res2=0.050166      err2=0.0478352      errA=0.0489801
iter=530      res2=0.0469587      err2=0.0445415      errA=0.0457087
iter=540      res2=0.0441566      err2=0.0418814      errA=0.0430041
iter=550      res2=0.0416134      err2=0.0394682      errA=0.0405009
iter=560      res2=0.0392445      err2=0.0369321      errA=0.0380864
iter=570      res2=0.0374436      err2=0.0352537      errA=0.036384
iter=580      res2=0.0346053      err2=0.0328658      errA=0.0337433
iter=590      res2=0.0324784      err2=0.0311886      errA=0.0318405
iter=600      res2=0.0304997      err2=0.0296988      errA=0.0300712
iter=610      res2=0.0283002      err2=0.0273545      errA=0.0278356
iter=620      res2=0.0268139      err2=0.0258533      errA=0.0263331
iter=630      res2=0.025333      err2=0.0241869      errA=0.024776
iter=640      res2=0.0235452      err2=0.0224867      errA=0.0230154
iter=650      res2=0.022036      err2=0.0210657      errA=0.0215373
iter=660      res2=0.0205603      err2=0.0197617      errA=0.0201722
iter=670      res2=0.0192962      err2=0.0187479      errA=0.018975
iter=680      res2=0.0182289      err2=0.0177771      errA=0.0179607
iter=690      res2=0.0170282      err2=0.0167564      errA=0.0168524
iter=700      res2=0.0159194      err2=0.0156825      errA=0.0157849
iter=710      res2=0.0149835      err2=0.014765      errA=0.0148697
iter=720      res2=0.0140958      err2=0.0140007      errA=0.0140321
iter=730      res2=0.0131292      err2=0.0130147      errA=0.013039
iter=740      res2=0.0124      err2=0.0121762      errA=0.0122578
iter=750      res2=0.0116071      err2=0.0113501      errA=0.0114418
iter=760      res2=0.0108926      err2=0.0106612      errA=0.0107339
iter=770      res2=0.0101736      err2=0.00979989      errA=0.00996058
iter=780      res2=0.00969661      err2=0.0092623      errA=0.00944947
iter=790      res2=0.00916589      err2=0.00866705      errA=0.0088911
iter=800      res2=0.0085737      err2=0.00801143      errA=0.00826889
iter=810      res2=0.00813338      err2=0.00754164      errA=0.00780579
iter=820      res2=0.00751464      err2=0.00701867      errA=0.00723582
iter=830      res2=0.00707637      err2=0.00667981      errA=0.00683968
iter=840      res2=0.00669726      err2=0.00621249      errA=0.00642779
iter=850      res2=0.00631005      err2=0.00586635      errA=0.00606458
iter=860      res2=0.00603318      err2=0.00551491      errA=0.00574555
iter=870      res2=0.00567003      err2=0.00516742      errA=0.00538451
iter=880      res2=0.005394      err2=0.00486062      errA=0.00510454
iter=890      res2=0.00512425      err2=0.00465636      errA=0.00486422
iter=900      res2=0.00485302      err2=0.00443362      errA=0.00461037
iter=910      res2=0.00455294      err2=0.00416798      errA=0.00431993
iter=920      res2=0.00427426      err2=0.00389605      errA=0.00404472
iter=930      res2=0.00402518      err2=0.00368577      errA=0.00381977
iter=940      res2=0.00382084      err2=0.003501      errA=0.00362116
iter=950      res2=0.00359897      err2=0.00328898      errA=0.00340902
iter=960      res2=0.00342018      err2=0.00310607      errA=0.00323436
iter=970      res2=0.00321673      err2=0.00290247      errA=0.00303697
iter=980      res2=0.00303723      err2=0.00272387      errA=0.00286188
iter=990      res2=0.00288481      err2=0.00258537      errA=0.00271845
