======= 128 bit precision
0.3275599229923135 error after 1 iterations
0.21051926537725593 error after 2 iterations
0.11527702834521061 error after 3 iterations
0.07914043175936898 error after 4 iterations
0.05264960475861547 error after 5 iterations
0.05440608513552838 error after 6 iterations
0.04105601502457765 error after 7 iterations
0.03901453871126408 error after 8 iterations
0.033861524278455464 error after 9 iterations
0.03004047762020139 error after 10 iterations
0.026209348985554815 error after 11 iterations
0.020454046820435803 error after 12 iterations
0.01676528653734882 error after 13 iterations
0.017242521808311297 error after 14 iterations
0.018542236680407127 error after 15 iterations
0.015181251151993855 error after 16 iterations
0.01342711472653207 error after 17 iterations
0.010694950224030494 error after 18 iterations
0.010189423909844293 error after 19 iterations
0.009928721742108949 error after 20 iterations
0.008625360570549417 error after 21 iterations
0.00735733166747236 error after 22 iterations
0.007387050636261051 error after 23 iterations
0.006594732590133843 error after 24 iterations
0.006039306823675475 error after 25 iterations
0.0055368897633648675 error after 26 iterations
0.00547009365060081 error after 27 iterations
0.004901145494076616 error after 28 iterations
0.004686732304878409 error after 29 iterations
0.004233722653001845 error after 30 iterations
0.004059662956546602 error after 31 iterations
0.0031217594771765413 error after 32 iterations
0.0027826107096603474 error after 33 iterations
0.0031843435303850172 error after 34 iterations
0.0033776802988050125 error after 35 iterations
0.0026250524641318663 error after 36 iterations
0.0026159970514373137 error after 37 iterations
0.0031277632153507958 error after 38 iterations
0.0021944231988724476 error after 39 iterations
0.0035359006855319773 error after 40 iterations
0.0028474562340589527 error after 41 iterations
0.002022882757925011 error after 42 iterations
0.0019591613126167693 error after 43 iterations
0.002633108231905539 error after 44 iterations
0.002783875540125248 error after 45 iterations
0.001756116172952737 error after 46 iterations
0.0025284013931503938 error after 47 iterations
0.001426944078601046 error after 48 iterations
0.0013618382534657024 error after 49 iterations
0.0021294333855685433 error after 50 iterations
0.0018199495758381013 error after 51 iterations
0.002096716310303751 error after 52 iterations
0.0016067086280916844 error after 53 iterations
0.0014390947464018628 error after 54 iterations
0.002783719855281339 error after 55 iterations
0.0013169814098366224 error after 56 iterations
0.0014863516104170857 error after 57 iterations
0.0014080531902918361 error after 58 iterations
0.0007042952036581623 error after 59 iterations
0.0017090367062641417 error after 60 iterations
0.0010323236511743067 error after 61 iterations
0.001727778708640105 error after 62 iterations
0.0011030431126315197 error after 63 iterations
0.002131269953581531 error after 64 iterations
0.0006676672730659793 error after 65 iterations
0.0012569034635493937 error after 66 iterations
0.000710344467120755 error after 67 iterations
0.0012249555118986665 error after 68 iterations
0.001076538971242994 error after 69 iterations
0.0005601839198345489 error after 70 iterations
0.0012531324073633697 error after 71 iterations
0.0013084554695374812 error after 72 iterations
0.0005775395422768791 error after 73 iterations
0.0005578974230200777 error after 74 iterations
0.0007123965882714276 error after 75 iterations
0.0010205721459732434 error after 76 iterations
0.0009868171272000383 error after 77 iterations
0.0014418051524239894 error after 78 iterations
0.0008246298803315351 error after 79 iterations
0.0014289299060242348 error after 80 iterations
0.0011147089223773417 error after 81 iterations
0.00034525418429214944 error after 82 iterations
0.0009133638435866874 error after 83 iterations
0.0012700285864224818 error after 84 iterations
0.0005428247217898193 error after 85 iterations
0.0006164961948496272 error after 86 iterations
0.001366634783771006 error after 87 iterations
0.0006583481183022395 error after 88 iterations
0.0006481884065682422 error after 89 iterations
0.0004519495251472254 error after 90 iterations
0.0013373519482959562 error after 91 iterations
0.0005883063786049891 error after 92 iterations
0.0003681205513984519 error after 93 iterations
0.0004972296244335959 error after 94 iterations
0.0004966858031302496 error after 95 iterations
0.0004321772226923943 error after 96 iterations
0.0007507203194494086 error after 97 iterations
0.0005619196033044247 error after 98 iterations
0.0004364066139387322 error after 99 iterations
0.00036844320650477924 error after 100 iterations
0.00133857932384746 error after 101 iterations
0.000655525741859482 error after 102 iterations
0.0003665051261405062 error after 103 iterations
0.0003671641921644333 error after 104 iterations
0.0006853406726809266 error after 105 iterations
0.00037676793704250687 error after 106 iterations
0.00037407209940928785 error after 107 iterations
0.0008211223899241828 error after 108 iterations
0.0008371184953322058 error after 109 iterations
0.00022987766005138447 error after 110 iterations
0.0013710661695432282 error after 111 iterations
0.0007517002409708 error after 112 iterations
0.00040082888889011645 error after 113 iterations
0.00016852631183805785 error after 114 iterations
0.00048458755292839884 error after 115 iterations
0.0005107156609514793 error after 116 iterations
0.0007680068017932852 error after 117 iterations
0.00015670120493110087 error after 118 iterations
0.000407435025301888 error after 119 iterations
0.0007711050952999676 error after 120 iterations
0.0001870136098681653 error after 121 iterations
0.0006749026808069662 error after 122 iterations
0.0004454702912673599 error after 123 iterations
0.00017344961131428866 error after 124 iterations
0.0005150169164115016 error after 125 iterations
0.0005193042318918849 error after 126 iterations
0.00029502278733135076 error after 127 iterations
0.00024005376904259388 error after 128 iterations
0.00028877136291157623 error after 129 iterations
0.0005396796876248162 error after 130 iterations
0.0007156441950663931 error after 131 iterations
0.0002634621073736023 error after 132 iterations
0.00010942596458394232 error after 133 iterations
0.0002430374412021185 error after 134 iterations
0.00040479708179897697 error after 135 iterations
0.0004455355823843615 error after 136 iterations
0.00043402598888108226 error after 137 iterations
0.0002413266190746558 error after 138 iterations
0.0002692501910366374 error after 139 iterations
