
CG using MATLAB default precision
iteration   1, residue = 2.11994e+08
iteration   2, residue = 1.36246e+08
iteration   3, residue = 7.46062e+07
iteration   4, residue = 5.12189e+07
iteration   5, residue = 3.40743e+07
iteration   6, residue = 3.52111e+07
iteration   7, residue = 2.65711e+07
iteration   8, residue = 2.52498e+07
iteration   9, residue = 2.19148e+07
iteration  10, residue = 1.94419e+07
iteration  11, residue = 1.69624e+07
iteration  12, residue = 1.32377e+07
iteration  13, residue = 1.08503e+07
iteration  14, residue = 1.11592e+07
iteration  15, residue = 1.20004e+07
iteration  16, residue = 9.82516e+06
iteration  17, residue = 8.6899e+06
iteration  18, residue = 6.92167e+06
iteration  19, residue = 6.5945e+06
iteration  20, residue = 6.42577e+06
iteration  21, residue = 5.58225e+06
iteration  22, residue = 4.76159e+06
iteration  23, residue = 4.78083e+06
iteration  24, residue = 4.26805e+06
iteration  25, residue = 3.90858e+06
iteration  26, residue = 3.58342e+06
iteration  27, residue = 3.54019e+06
iteration  28, residue = 3.17197e+06
iteration  29, residue = 3.03321e+06
iteration  30, residue = 2.74002e+06
iteration  31, residue = 2.62737e+06
iteration  32, residue = 2.02037e+06
iteration  33, residue = 1.80088e+06
iteration  34, residue = 2.06088e+06
iteration  35, residue = 2.186e+06
iteration  36, residue = 1.69891e+06
iteration  37, residue = 1.69328e+06
iteration  38, residue = 2.03597e+06
iteration  39, residue = 1.66684e+06
iteration  40, residue = 2.17899e+06
iteration  41, residue = 1.5747e+06
iteration  42, residue = 2.42356e+06
iteration  43, residue = 1.32473e+06
iteration  44, residue = 1.35291e+06
iteration  45, residue = 1.56649e+06
iteration  46, residue = 1.77071e+06
iteration  47, residue = 1.1278e+06
iteration  48, residue = 1.64712e+06
iteration  49, residue = 897010
iteration  50, residue = 905692
iteration  51, residue = 1.4019e+06
iteration  52, residue = 944539
iteration  53, residue = 1.12654e+06
iteration  54, residue = 1.70609e+06
iteration  55, residue = 916623
iteration  56, residue = 1.50388e+06
iteration  57, residue = 910900
iteration  58, residue = 1.13386e+06
iteration  59, residue = 746741
iteration  60, residue = 704447
iteration  61, residue = 541301
iteration  62, residue = 708067
iteration  63, residue = 983881
iteration  64, residue = 744926
iteration  65, residue = 1.19058e+06
iteration  66, residue = 398447
iteration  67, residue = 1.167e+06
iteration  68, residue = 698777
iteration  69, residue = 587128
iteration  70, residue = 569889
iteration  71, residue = 1.04679e+06
iteration  72, residue = 451814
iteration  73, residue = 491008
iteration  74, residue = 779454
iteration  75, residue = 357202
iteration  76, residue = 663702
iteration  77, residue = 366700
iteration  78, residue = 787751
iteration  79, residue = 1.30636e+06
iteration  80, residue = 506322
iteration  81, residue = 772256
iteration  82, residue = 545072
iteration  83, residue = 717382
iteration  84, residue = 625414
iteration  85, residue = 254694
iteration  86, residue = 367709
iteration  87, residue = 520294
iteration  88, residue = 289866
iteration  89, residue = 665571
iteration  90, residue = 485103
iteration  91, residue = 378615
iteration  92, residue = 380408
iteration  93, residue = 596131
iteration  94, residue = 812595
iteration  95, residue = 891763
iteration  96, residue = 238788
iteration  97, residue = 278819
iteration  98, residue = 577839
iteration  99, residue = 640392
iteration 100, residue = 308365

