=========CG using MATLAB default precision=====
====DATA = ../graphs/se_1/
====error given as ||Ax - b||_2^2 and ||x - xbar||_A^2
i=  1, err2=4.49413e+16, errA = 2.55712e+08
i=  2, err2=1.8563e+16, errA = 1.15593e+08
i=  3, err2=5.56608e+15, errA = 5.85703e+07
i=  4, err2=2.62338e+15, errA = 3.85554e+07
i=  5, err2=1.16106e+15, errA = 2.96578e+07
i=  6, err2=1.23982e+15, errA = 2.33921e+07
i=  7, err2=7.06021e+14, errA = 1.80715e+07
i=  8, err2=6.37554e+14, errA = 1.53813e+07
i=  9, err2=4.80261e+14, errA = 1.20379e+07
i= 10, err2=3.77988e+14, errA = 9.1896e+06
i= 11, err2=2.87724e+14, errA = 7.54084e+06
i= 12, err2=1.75236e+14, errA = 6.33451e+06
i= 13, err2=1.1773e+14, errA = 5.64971e+06
i= 14, err2=1.24528e+14, errA = 4.92144e+06
i= 15, err2=1.44009e+14, errA = 4.30377e+06
i= 16, err2=9.65337e+13, errA = 3.70024e+06
i= 17, err2=7.55143e+13, errA = 3.2282e+06
i= 18, err2=4.79095e+13, errA = 2.94585e+06
i= 19, err2=4.34874e+13, errA = 2.47701e+06
i= 20, err2=4.12905e+13, errA = 2.20665e+06
i= 21, err2=3.11615e+13, errA = 2.00495e+06
i= 22, err2=2.26728e+13, errA = 1.80632e+06
i= 23, err2=2.28563e+13, errA = 1.67593e+06
i= 24, err2=1.82162e+13, errA = 1.49049e+06
i= 25, err2=1.5277e+13, errA = 1.41167e+06
i= 26, err2=1.28409e+13, errA = 1.31772e+06
i= 27, err2=1.2533e+13, errA = 1.21324e+06
i= 28, err2=1.00614e+13, errA = 1.13875e+06
i= 29, err2=9.20035e+12, errA = 1.0478e+06
i= 30, err2=7.50773e+12, errA = 984296
i= 31, err2=6.9031e+12, errA = 901017
i= 32, err2=4.0819e+12, errA = 845652
i= 33, err2=3.24316e+12, errA = 808671
i= 34, err2=4.24721e+12, errA = 772503
i= 35, err2=4.7786e+12, errA = 727844
i= 36, err2=2.88629e+12, errA = 690362
i= 37, err2=2.86719e+12, errA = 632922
i= 38, err2=4.14518e+12, errA = 594068
i= 39, err2=2.77837e+12, errA = 563887
i= 40, err2=4.74799e+12, errA = 552208
i= 41, err2=2.47967e+12, errA = 512306
i= 42, err2=5.87365e+12, errA = 479725
i= 43, err2=1.75492e+12, errA = 466665
i= 44, err2=1.83036e+12, errA = 446147
i= 45, err2=2.45388e+12, errA = 406777
i= 46, err2=3.13541e+12, errA = 397188
i= 47, err2=1.27193e+12, errA = 380710
i= 48, err2=2.71302e+12, errA = 370264
i= 49, err2=8.04628e+11, errA = 362700
i= 50, err2=8.20279e+11, errA = 350761
i= 51, err2=1.96532e+12, errA = 345929
i= 52, err2=8.92154e+11, errA = 326044
i= 53, err2=1.2691e+12, errA = 303316
i= 54, err2=2.91073e+12, errA = 293928
i= 55, err2=8.40197e+11, errA = 278747
i= 56, err2=2.26166e+12, errA = 261741
i= 57, err2=8.29739e+11, errA = 255011
i= 58, err2=1.28564e+12, errA = 239572
i= 59, err2=5.57621e+11, errA = 235696
i= 60, err2=4.96246e+11, errA = 229725
i= 61, err2=2.93006e+11, errA = 228209
i= 62, err2=5.01358e+11, errA = 217659
i= 63, err2=9.68021e+11, errA = 214690
i= 64, err2=5.54915e+11, errA = 203108
i= 65, err2=1.41749e+12, errA = 197250
i= 66, err2=1.5876e+11, errA = 189153
i= 67, err2=1.36188e+12, errA = 183913
i= 68, err2=4.88289e+11, errA = 177133
i= 69, err2=3.4472e+11, errA = 175930
i= 70, err2=3.24773e+11, errA = 164934
i= 71, err2=1.09578e+12, errA = 161664
i= 72, err2=2.04136e+11, errA = 158285
i= 73, err2=2.41088e+11, errA = 157149
i= 74, err2=6.07549e+11, errA = 150843
i= 75, err2=1.27594e+11, errA = 148758
i= 76, err2=4.40501e+11, errA = 145246
i= 77, err2=1.34469e+11, errA = 144343
i= 78, err2=6.20551e+11, errA = 142253
i= 79, err2=1.70659e+12, errA = 134126
i= 80, err2=2.56361e+11, errA = 130031
i= 81, err2=5.96379e+11, errA = 127032
i= 82, err2=2.97103e+11, errA = 119414
i= 83, err2=5.14637e+11, errA = 117839
i= 84, err2=3.91143e+11, errA = 114413
i= 85, err2=6.48692e+10, errA = 112665
i= 86, err2=1.3521e+11, errA = 112001
i= 87, err2=2.70706e+11, errA = 104718
i= 88, err2=8.40222e+10, errA = 103415
i= 89, err2=4.42985e+11, errA = 98937.2
i= 90, err2=2.35325e+11, errA = 97185.9
i= 91, err2=1.43349e+11, errA = 96293.1
i= 92, err2=1.4471e+11, errA = 93476.6
i= 93, err2=3.55373e+11, errA = 92103.2
i= 94, err2=6.60311e+11, errA = 89945.1
i= 95, err2=7.95241e+11, errA = 84541.2
i= 96, err2=5.70197e+10, errA = 82953.5
i= 97, err2=7.77399e+10, errA = 82589.2
i= 98, err2=3.33897e+11, errA = 81710.7
i= 99, err2=4.10102e+11, errA = 75354.6
i=100, err2=9.50887e+10, errA = 73178.5
i=101, err2=7.47326e+10, errA = 72900.2
i=102, err2=6.54161e+11, errA = 71372.2
i=103, err2=3.14426e+11, errA = 67740.3
i=104, err2=6.49748e+10, errA = 65716.5
i=105, err2=5.3244e+10, errA = 65485.2
i=106, err2=7.18078e+11, errA = 63594.9
i=107, err2=3.06004e+11, errA = 61136.1
i=108, err2=4.49949e+10, errA = 58808.1
i=109, err2=7.47423e+10, errA = 58422.4
i=110, err2=1.60842e+11, errA = 57894.6
i=111, err2=5.90483e+11, errA = 56101.4
i=112, err2=2.88049e+10, errA = 53533.8
i=113, err2=3.18374e+11, errA = 51738.6
i=114, err2=2.16852e+11, errA = 49822.8
i=115, err2=4.79853e+10, errA = 48605.3
i=116, err2=5.4292e+10, errA = 48437.5
i=117, err2=1.26862e+11, errA = 47392.3
i=118, err2=1.58049e+11, errA = 41940.5
i=119, err2=2.01326e+10, errA = 41528.8
i=120, err2=1.47802e+10, errA = 41295.1
i=121, err2=3.57713e+11, errA = 40389.6
i=122, err2=9.99579e+10, errA = 39288.6
i=123, err2=1.89784e+10, errA = 38218.1
i=124, err2=1.84883e+10, errA = 38115.4
i=125, err2=8.52425e+10, errA = 37019.3
i=126, err2=2.1948e+11, errA = 36356.2
i=127, err2=3.54024e+10, errA = 35644.7
i=128, err2=3.12434e+10, errA = 35478.1
i=129, err2=1.82768e+11, errA = 34987.7
i=130, err2=1.07201e+11, errA = 33723.6
i=131, err2=1.781e+11, errA = 32565.5
i=132, err2=2.06848e+10, errA = 32227.3
i=133, err2=3.46315e+10, errA = 32076.5
i=134, err2=1.03331e+11, errA = 31612.6
i=135, err2=1.41924e+11, errA = 31007.7
i=136, err2=8.10207e+10, errA = 28842.9
i=137, err2=3.46674e+10, errA = 28638.6
i=138, err2=3.09217e+10, errA = 28316.1
i=139, err2=3.04525e+10, errA = 28203.8
i=140, err2=6.96842e+10, errA = 27932.5
i=141, err2=8.51105e+10, errA = 26640.9
i=142, err2=3.51202e+10, errA = 26392.2
i=143, err2=8.90708e+09, errA = 26102.6
i=144, err2=1.00291e+10, errA = 26035.1
i=145, err2=3.53618e+10, errA = 25922.3
i=146, err2=5.66032e+10, errA = 25501.4
i=147, err2=2.56406e+11, errA = 24806.8
i=148, err2=5.97906e+10, errA = 23546.5
i=149, err2=1.86953e+10, errA = 23257.1
i=150, err2=3.16949e+10, errA = 22873.9
i=151, err2=2.1589e+10, errA = 22796
i=152, err2=6.17284e+10, errA = 22496.8
i=153, err2=7.10708e+10, errA = 21808.5
i=154, err2=4.7209e+10, errA = 21484.4
i=155, err2=8.25219e+09, errA = 20833.3
i=156, err2=1.55266e+10, errA = 20690.2
i=157, err2=1.2024e+10, errA = 20608.7
i=158, err2=1.26486e+10, errA = 20568.9
i=159, err2=1.07922e+11, errA = 20092.7
i=160, err2=5.08679e+10, errA = 19482.7
i=161, err2=6.45518e+10, errA = 18874.3
i=162, err2=2.71616e+10, errA = 18721.7
i=163, err2=9.37824e+09, errA = 18603.6
i=164, err2=3.25036e+10, errA = 18476.4
i=165, err2=9.63249e+09, errA = 18238.5
i=166, err2=8.48296e+10, errA = 17698.2
i=167, err2=1.11391e+11, errA = 17262
i=168, err2=1.08573e+10, errA = 16897.8
i=169, err2=4.55879e+10, errA = 16634.6
i=170, err2=9.5512e+09, errA = 16515.1
i=171, err2=2.37816e+10, errA = 16241.5
i=172, err2=4.42521e+10, errA = 15990.6
i=173, err2=3.9e+10, errA = 15810.4
i=174, err2=1.14854e+10, errA = 15330.7
i=175, err2=1.43468e+10, errA = 15282.4
i=176, err2=1.81952e+10, errA = 15154.4
i=177, err2=2.06157e+10, errA = 15069.4
i=178, err2=1.40207e+10, errA = 14980
i=179, err2=2.12326e+10, errA = 14906
i=180, err2=4.81594e+10, errA = 14737.4
i=181, err2=1.50948e+10, errA = 14379.1
i=182, err2=7.50219e+10, errA = 14062.4
i=183, err2=5.12709e+09, errA = 13813
i=184, err2=1.3411e+10, errA = 13759
i=185, err2=3.08688e+10, errA = 13467.4
i=186, err2=5.37632e+10, errA = 13199.6
i=187, err2=4.46456e+10, errA = 12972.6
i=188, err2=8.90764e+10, errA = 12693.4
i=189, err2=5.76703e+09, errA = 12267.7
i=190, err2=4.0629e+09, errA = 12240.8
i=191, err2=3.04728e+10, errA = 12121.8
i=192, err2=1.75661e+10, errA = 12035.1
i=193, err2=1.12424e+10, errA = 11817.5
i=194, err2=7.33898e+09, errA = 11190.6
i=195, err2=1.14267e+10, errA = 11051.6
i=196, err2=2.87971e+09, errA = 11023.3
i=197, err2=7.35454e+09, errA = 11005.6
i=198, err2=3.77047e+10, errA = 10774.3
i=199, err2=4.77487e+09, errA = 10525
i=200, err2=3.98809e+09, errA = 10487.1
i=201, err2=5.85084e+09, errA = 10441.5
i=202, err2=6.7157e+09, errA = 10409.3
i=203, err2=6.46473e+09, errA = 10379.4
i=204, err2=2.02238e+09, errA = 10359.5
i=205, err2=1.24276e+10, errA = 10281.7
i=206, err2=1.07255e+10, errA = 10230.9
i=207, err2=1.23868e+10, errA = 10168.5
i=208, err2=5.34947e+10, errA = 9846.01
i=209, err2=5.4534e+09, errA = 9679.25
i=210, err2=1.59468e+09, errA = 9665.9
i=211, err2=4.75714e+09, errA = 9639.84
i=212, err2=1.459e+10, errA = 9543.94
i=213, err2=3.03723e+10, errA = 9295.23
i=214, err2=6.17812e+09, errA = 9231.59
i=215, err2=1.85175e+10, errA = 9177.53
i=216, err2=4.96828e+09, errA = 9091.01
i=217, err2=1.08458e+10, errA = 9033.94
i=218, err2=8.59241e+09, errA = 8983.73
i=219, err2=5.69421e+09, errA = 8937.81
i=220, err2=1.07461e+10, errA = 8893.47
i=221, err2=3.49049e+09, errA = 8865.45
i=222, err2=2.12342e+10, errA = 8639.08
i=223, err2=1.10727e+10, errA = 8543.73
i=224, err2=2.26785e+09, errA = 8508.09
i=225, err2=3.07067e+09, errA = 8474.57
i=226, err2=1.77875e+10, errA = 8404.38
i=227, err2=3.53244e+09, errA = 8325.59
i=228, err2=1.05946e+10, errA = 8271.72
i=229, err2=7.81697e+09, errA = 8238.66
i=230, err2=2.71636e+10, errA = 8008.1
i=231, err2=1.16364e+09, errA = 7902.07
i=232, err2=2.18632e+09, errA = 7896.55
i=233, err2=1.17934e+09, errA = 7885.49
i=234, err2=8.53396e+09, errA = 7846.59
i=235, err2=1.68678e+10, errA = 7710.67
i=236, err2=2.2031e+09, errA = 7603.33
i=237, err2=7.37851e+09, errA = 7556.76
i=238, err2=1.03708e+10, errA = 7513.13
i=239, err2=2.35573e+10, errA = 7429.16
i=240, err2=8.1423e+09, errA = 7293.42
i=241, err2=6.41894e+09, errA = 7258.3
i=242, err2=4.33483e+10, errA = 7064.12
i=243, err2=6.38011e+10, errA = 6857.84
i=244, err2=1.37354e+09, errA = 6581.85
i=245, err2=3.57047e+09, errA = 6572.29
i=246, err2=2.6648e+09, errA = 6543.67
i=247, err2=3.26865e+10, errA = 6453.03
i=248, err2=2.66534e+10, errA = 6326.72
i=249, err2=1.80053e+10, errA = 6113.32
i=250, err2=2.64438e+09, errA = 6056.8
i=251, err2=2.34145e+09, errA = 6012.06
i=252, err2=4.20264e+09, errA = 5998.8
i=253, err2=8.81584e+09, errA = 5922.42
i=254, err2=1.13429e+09, errA = 5897.41
i=255, err2=7.05452e+09, errA = 5876.05
i=256, err2=1.23278e+10, errA = 5828.93
i=257, err2=4.42655e+10, errA = 5586.18
i=258, err2=9.20852e+09, errA = 5485
i=259, err2=7.61299e+09, errA = 5407.05
i=260, err2=1.71117e+09, errA = 5392.17
i=261, err2=1.59228e+09, errA = 5381.47
i=262, err2=3.50854e+10, errA = 5247.37
i=263, err2=9.81298e+09, errA = 5103.83
i=264, err2=3.38661e+09, errA = 5053.75
i=265, err2=2.02763e+09, errA = 5017.9
i=266, err2=3.09648e+09, errA = 5003.48
i=267, err2=6.8265e+09, errA = 4972.43
i=268, err2=4.02138e+09, errA = 4909.33
i=269, err2=1.61704e+09, errA = 4869.14
i=270, err2=6.45448e+09, errA = 4841
i=271, err2=2.40167e+09, errA = 4823.73
i=272, err2=1.54468e+09, errA = 4810.91
i=273, err2=1.7119e+09, errA = 4759.56
i=274, err2=1.04572e+09, errA = 4755.27
i=275, err2=1.92584e+09, errA = 4729.23
i=276, err2=1.06008e+09, errA = 4724.96
i=277, err2=1.05579e+10, errA = 4683.14
i=278, err2=3.01095e+09, errA = 4524.64
i=279, err2=1.24864e+09, errA = 4514.39
i=280, err2=3.86006e+09, errA = 4496.33
i=281, err2=2.95686e+09, errA = 4474.21
i=282, err2=2.97667e+09, errA = 4459.97
i=283, err2=2.10085e+09, errA = 4438.83
i=284, err2=1.60436e+09, errA = 4427.65
i=285, err2=8.23602e+08, errA = 4423.68
i=286, err2=4.89561e+09, errA = 4393
i=287, err2=1.84245e+09, errA = 4380.66
i=288, err2=3.77676e+09, errA = 4366.55
i=289, err2=6.56627e+09, errA = 4240.9
i=290, err2=4.76103e+09, errA = 4178.7
i=291, err2=1.18569e+09, errA = 4165.82
i=292, err2=2.29089e+09, errA = 4156.03
