anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 1      errA=791.8281143235492      err2_a=0.16231692340838844      err2_b=1.6647952117639437
iter = 2      errA=269.38846839796304      err2_a=0.01234596802256795      err2_b=2.0133816869037644
iter = 3      errA=101.17513501821846      err2_a=0.003220468529573175      err2_b=2.29712305780794
iter = 4      errA=59.70811422485626      err2_a=0.001897655276529403      err2_b=2.249365680195383
iter = 5      errA=33.18109177579094      err2_a=0.001004133740612334      err2_b=2.518743851669452
iter = 6      errA=21.324210302373217      err2_a=0.00014349039671881177      err2_b=2.6064275627038334
iter = 7      errA=8.410005798240949      err2_a=4.018038709774067e-5      err2_b=1.8842612149192586
iter = 8      errA=8.406044702137208      err2_a=0.00014896385570436222      err2_b=1.884283024391736
iter = 9      errA=7.49564838471667      err2_a=9.558403447794535e-6      err2_b=1.8954752229709626
iter = 10      errA=2.208429446125025      err2_a=6.93706806527309e-5      err2_b=2.2455700893545645
iter = 11      errA=2.184742021806474      err2_a=4.7062222383950757e-7      err2_b=2.247524637533547
iter = 12      errA=2.0514759534024383      err2_a=4.049985009675957e-7      err2_b=2.1429360456340554
iter = 13      errA=2.0514250378407475      err2_a=8.638261890190596e-6      err2_b=2.1428326139169185
iter = 14      errA=1.50665041440777      err2_a=5.830592254675949e-5      err2_b=1.1575323452471116
iter = 15      errA=0.057748702463791074      err2_a=2.9340137301010415e-6      err2_b=0.001734433135174864
iter = 16      errA=0.0006065645610376204      err2_a=1.2068473028767642e-7      err2_b=9.241524535314482e-7
iter = 17      errA=0.0002282812483899976      err2_a=9.325124678073537e-9      err2_b=1.135032003726901e-6
iter = 18      errA=2.511913200036461e-5      err2_a=6.304310200474118e-10      err2_b=2.58391639466351e-7
iter = 19      errA=1.833961910450398e-5      err2_a=7.498789297190707e-9      err2_b=1.3509530796233283e-7
iter = 20      errA=6.1610516733602584e-9      err2_a=6.058945070694512e-14      err2_b=1.0069454372241442e-8
iter = 21      errA=2.2955119571078963e-9      err2_a=8.019004168273806e-15      err2_b=9.857831855181924e-9
iter = 22      errA=2.0001175729384636e-9      err2_a=6.207848913980894e-15      err2_b=9.819431884703178e-9
iter = 23      errA=1.997978249620545e-9      err2_a=9.862697515130275e-15      err2_b=9.819567013938525e-9
iter = 24      errA=1.997296387354798e-9      err2_a=1.7890669506618084e-15      err2_b=9.81968686295314e-9
iter = 25      errA=1.997294088858668e-9      err2_a=6.304700187195853e-18      err2_b=9.819686379783218e-9
iter = 26      errA=1.9972940931320272e-9      err2_a=6.288962610561155e-18      err2_b=9.819686379133309e-9
iter = 27      errA=1.9972989789785595e-9      err2_a=6.275456166912159e-18      err2_b=9.819699555672969e-9
iter = 28      errA=1.9972989789969915e-9      err2_a=6.28411521178109e-18      err2_b=9.819699555732407e-9
iter = 29      errA=1.9972988741371817e-9      err2_a=6.3690906436130225e-18      err2_b=9.81969882866282e-9
iter = 30      errA=1.997298725767775e-9      err2_a=6.311544800025373e-18      err2_b=9.819697798219923e-9
iter = 31      errA=1.9972986845736045e-9      err2_a=6.722569587247973e-18      err2_b=9.819697514965859e-9
iter = 32      errA=1.997295392446494e-9      err2_a=6.384963995515733e-18      err2_b=9.819674901813734e-9
iter = 33      errA=1.9972924440076817e-9      err2_a=6.2970418293462334e-18      err2_b=9.81965459166669e-9
iter = 34      errA=1.997292443775154e-9      err2_a=6.2941773649184524e-18      err2_b=9.819654590029978e-9
iter = 35      errA=1.9972924419364488e-9      err2_a=6.2780709207309846e-18      err2_b=9.819654577982568e-9
iter = 36      errA=1.997292439034265e-9      err2_a=6.2772826450314054e-18      err2_b=9.819654559303101e-9
iter = 37      errA=1.997292438953096e-9      err2_a=6.294934845753119e-18      err2_b=9.819654558739092e-9
iter = 38      errA=1.9972924381773894e-9      err2_a=6.287349880879044e-18      err2_b=9.819654553470442e-9
iter = 39      errA=1.997291945867776e-9      err2_a=7.80488983537377e-18      err2_b=9.8196516281015e-9
iter = 40      errA=1.9972892621299266e-9      err2_a=7.692367663443953e-18      err2_b=9.819635682052425e-9
iter = 41      errA=1.997256620830718e-9      err2_a=6.329910863907618e-18      err2_b=9.81944181359847e-9
iter = 42      errA=1.9972564439089326e-9      err2_a=6.8863282671466666e-18      err2_b=9.819440765470086e-9
iter = 43      errA=1.99725166806235e-9      err2_a=6.373565532466341e-18      err2_b=9.819412476928918e-9
iter = 44      errA=1.9972393784212234e-9      err2_a=7.709854054954773e-18      err2_b=9.819339568966747e-9
iter = 45      errA=1.9972388248390514e-9      err2_a=6.809513199028781e-18      err2_b=9.819336285449835e-9
iter = 46      errA=1.997237817995676e-9      err2_a=6.401825088238878e-18      err2_b=9.819330316190627e-9
iter = 47      errA=1.997230124537516e-9      err2_a=6.439013258348045e-18      err2_b=9.81928467027573e-9
iter = 48      errA=1.9972300170908387e-9      err2_a=6.5595873277586024e-18      err2_b=9.819284033014732e-9
iter = 49      errA=1.9972184896757584e-9      err2_a=6.316040964370263e-18      err2_b=9.819215677587759e-9
iter = 50      errA=1.9972176444315917e-9      err2_a=7.34200488820196e-18      err2_b=9.819210659654282e-9
iter = 51      errA=1.9972171795017417e-9      err2_a=6.432648481998884e-18      err2_b=9.81920789920072e-9
iter = 52      errA=1.9972168839102337e-9      err2_a=6.296322185141929e-18      err2_b=9.81920614176184e-9
iter = 53      errA=1.9972168839067195e-9      err2_a=6.288008257496533e-18      err2_b=9.819206141736205e-9
iter = 54      errA=1.9972168819837144e-9      err2_a=6.294345249753927e-18      err2_b=9.819206129701491e-9
iter = 55      errA=1.997216881810977e-9      err2_a=6.296508419472382e-18      err2_b=9.819206128557828e-9
iter = 56      errA=1.9972168779855323e-9      err2_a=6.294738762165166e-18      err2_b=9.81920610358383e-9
iter = 57      errA=1.9972168739910556e-9      err2_a=6.296356772479262e-18      err2_b=9.819206077299763e-9
iter = 58      errA=1.997216873967238e-9      err2_a=6.288073046990946e-18      err2_b=9.819206077104148e-9
iter = 59      errA=1.9972168720828467e-9      err2_a=6.2878099811546194e-18      err2_b=9.819206065679173e-9
iter = 60      errA=1.9972168720829514e-9      err2_a=6.2878099811546194e-18      err2_b=9.819206065676913e-9
iter = 61      errA=1.9972168720085916e-9      err2_a=6.287850058093431e-18      err2_b=9.819206065402214e-9
iter = 62      errA=1.997216871948041e-9      err2_a=6.2946596840736655e-18      err2_b=9.819206065168369e-9
iter = 63      errA=1.9972168715230787e-9      err2_a=6.28781386370974e-18      err2_b=9.819206063556113e-9
iter = 64      errA=1.997216871274182e-9      err2_a=6.28589144624494e-18      err2_b=9.819206062736446e-9
iter = 65      errA=1.997216813952461e-9      err2_a=6.287839740537818e-18      err2_b=9.819205869941848e-9
iter = 66      errA=1.9972168130758946e-9      err2_a=6.2860021210016e-18      err2_b=9.8192058670045e-9
iter = 67      errA=1.9972168107973023e-9      err2_a=6.296488239223059e-18      err2_b=9.819205859482215e-9
iter = 68      errA=1.9972168007020105e-9      err2_a=6.295641581762361e-18      err2_b=9.819205825434563e-9
iter = 69      errA=1.9972167978926867e-9      err2_a=6.2859612848120685e-18      err2_b=9.819205815910139e-9
iter = 70      errA=1.9972167965278135e-9      err2_a=6.287979876551401e-18      err2_b=9.819205811476146e-9
iter = 71      errA=1.99721679409675e-9      err2_a=6.287945089185018e-18      err2_b=9.819205803687804e-9
iter = 72      errA=1.9972167939009803e-9      err2_a=6.296301835027145e-18      err2_b=9.819205803159156e-9
iter = 73      errA=1.9972167938579235e-9      err2_a=6.2880501043697e-18      err2_b=9.8192058030327e-9
iter = 74      errA=1.997216792993163e-9      err2_a=6.279482556050796e-18      err2_b=9.819205800846232e-9
iter = 75      errA=1.997216792993122e-9      err2_a=6.279482556050796e-18      err2_b=9.81920580084633e-9
iter = 76      errA=1.9972167929933683e-9      err2_a=6.277494294169638e-18      err2_b=9.819205800852573e-9
iter = 77      errA=1.99721679306138e-9      err2_a=6.2942684101314e-18      err2_b=9.819205801505273e-9
iter = 78      errA=1.997216793091496e-9      err2_a=6.2962955298010735e-18      err2_b=9.819205801773658e-9
iter = 79      errA=1.997216793153102e-9      err2_a=6.2961667866036915e-18      err2_b=9.819205802328354e-9
iter = 80      errA=1.997216793154671e-9      err2_a=6.285792046470025e-18      err2_b=9.819205802359636e-9
iter = 81      errA=1.997216793326474e-9      err2_a=6.2858265525524986e-18      err2_b=9.819205804233111e-9
iter = 82      errA=1.9972167933303096e-9      err2_a=6.288462685794643e-18      err2_b=9.819205804281586e-9
iter = 83      errA=1.9972167933477375e-9      err2_a=6.286543963370766e-18      err2_b=9.819205804445736e-9
iter = 84      errA=1.9972167933538086e-9      err2_a=6.2974942433696695e-18      err2_b=9.819205804501887e-9
iter = 85      errA=1.9972167934554062e-9      err2_a=6.288591612269694e-18      err2_b=9.819205805371611e-9
iter = 86      errA=1.997216793455391e-9      err2_a=6.288591612269694e-18      err2_b=9.819205805372787e-9
iter = 87      errA=1.9972167934745228e-9      err2_a=6.297570954447741e-18      err2_b=9.819205805533605e-9
iter = 88      errA=1.997216793557933e-9      err2_a=6.295448897080102e-18      err2_b=9.819205806165905e-9
iter = 89      errA=1.9972167935909828e-9      err2_a=6.297503476989763e-18      err2_b=9.819205806398788e-9
iter = 90      errA=1.9972167936051156e-9      err2_a=6.2885353485694915e-18      err2_b=9.819205806496438e-9
iter = 91      errA=1.9972167936204643e-9      err2_a=6.295416471639577e-18      err2_b=9.819205806625576e-9
iter = 92      errA=1.9972167936345855e-9      err2_a=6.2776594664102625e-18      err2_b=9.819205806710208e-9
iter = 93      errA=1.9972167936649005e-9      err2_a=6.294175312318486e-18      err2_b=9.819205806929867e-9
iter = 94      errA=1.9972167937808153e-9      err2_a=6.294145099149835e-18      err2_b=9.819205807772114e-9
iter = 95      errA=1.9972167938366223e-9      err2_a=6.287979740771234e-18      err2_b=9.819205808209251e-9
iter = 96      errA=1.9972167938387564e-9      err2_a=6.2965571290847006e-18      err2_b=9.819205808222463e-9
iter = 97      errA=1.997216793838702e-9      err2_a=6.2965571290847006e-18      err2_b=9.819205808223515e-9
iter = 98      errA=1.9972167938556524e-9      err2_a=6.294141847357799e-18      err2_b=9.819205808333376e-9
iter = 99      errA=1.997216793872611e-9      err2_a=6.294397620974184e-18      err2_b=9.819205808427807e-9
iter = 100      errA=1.9972167939045843e-9      err2_a=6.285820926595142e-18      err2_b=9.819205808608242e-9
iter = 101      errA=1.997216793921349e-9      err2_a=6.28601483299066e-18      err2_b=9.819205808702699e-9
iter = 102      errA=1.9972167939235586e-9      err2_a=6.28601483348347e-18      err2_b=9.81920580871341e-9
iter = 103      errA=1.99721679394131e-9      err2_a=6.2962482361265124e-18      err2_b=9.819205808844256e-9
iter = 104      errA=1.9972167939576223e-9      err2_a=6.296377254939439e-18      err2_b=9.819205808977973e-9
iter = 105      errA=1.9972167940490233e-9      err2_a=6.288063619684348e-18      err2_b=9.819205809610042e-9
iter = 106      errA=1.997216794101195e-9      err2_a=6.2963121145478355e-18      err2_b=9.819205809982844e-9
iter = 107      errA=1.997216794104868e-9      err2_a=6.288093068661266e-18      err2_b=9.819205810035719e-9
iter = 108      errA=1.997216794135133e-9      err2_a=6.2941723889023255e-18      err2_b=9.819205810212606e-9
iter = 109      errA=1.9972167941559914e-9      err2_a=6.285823365749508e-18      err2_b=9.819205810366053e-9
iter = 110      errA=1.997216794242787e-9      err2_a=6.29472396178083e-18      err2_b=9.819205810929643e-9
iter = 111      errA=1.997216794381902e-9      err2_a=6.294107839200218e-18      err2_b=9.819205811808254e-9
iter = 112      errA=1.997216794400318e-9      err2_a=6.288028700292959e-18      err2_b=9.819205811946958e-9
iter = 113      errA=1.9972167944307808e-9      err2_a=6.294236904309651e-18      err2_b=9.81920581215079e-9
iter = 114      errA=1.9972167944493712e-9      err2_a=6.285789384402838e-18      err2_b=9.819205812286714e-9
iter = 115      errA=1.9972167944882396e-9      err2_a=6.296737819940006e-18      err2_b=9.819205812534527e-9
iter = 116      errA=1.997216794679279e-9      err2_a=6.2880638567441025e-18      err2_b=9.819205813755709e-9
iter = 117      errA=1.9972167947528696e-9      err2_a=6.2880616142140105e-18      err2_b=9.819205814228497e-9
iter = 118      errA=1.997216794769117e-9      err2_a=6.2963772928386375e-18      err2_b=9.81920581435753e-9
iter = 119      errA=1.9972167948051255e-9      err2_a=6.296381462675139e-18      err2_b=9.819205814587437e-9
iter = 120      errA=1.9972167948230236e-9      err2_a=6.296377288399982e-18      err2_b=9.819205814699954e-9
iter = 121      errA=1.997216794970194e-9      err2_a=6.288619088360075e-18      err2_b=9.819205815672964e-9
iter = 122      errA=1.9972167951811994e-9      err2_a=6.2882229044822816e-18      err2_b=9.819205817022035e-9
iter = 123      errA=1.9972167952008806e-9      err2_a=6.288160282781496e-18      err2_b=9.819205817121277e-9
iter = 124      errA=1.997216795308204e-9      err2_a=6.296344929533695e-18      err2_b=9.819205817810803e-9
iter = 125      errA=1.997216795885343e-9      err2_a=6.296832322169717e-18      err2_b=9.819205821487493e-9
iter = 126      errA=1.9972167960063357e-9      err2_a=6.2963449295315096e-18      err2_b=9.819205822248796e-9
iter = 127      errA=1.997216796101144e-9      err2_a=6.294761167067846e-18      err2_b=9.819205822864903e-9
iter = 128      errA=1.9972167961720733e-9      err2_a=6.296538485271957e-18      err2_b=9.819205823318903e-9
iter = 129      errA=1.9972167962070527e-9      err2_a=6.28809575037676e-18      err2_b=9.819205823542607e-9
iter = 130      errA=1.997216796489912e-9      err2_a=6.29644456471993e-18      err2_b=9.819205825330996e-9
iter = 131      errA=1.9972167965979865e-9      err2_a=6.2880612681825025e-18      err2_b=9.8192058259993e-9
iter = 132      errA=1.9972167966002865e-9      err2_a=6.294696471848901e-18      err2_b=9.819205826007215e-9
iter = 133      errA=1.9972167966690653e-9      err2_a=6.296344971018118e-18      err2_b=9.819205826419697e-9
iter = 134      errA=1.9972167966987524e-9      err2_a=6.28589277923833e-18      err2_b=9.819205826593985e-9
