Avgstr = 2663456154357.2724609375000000
CG Iteration #1, relres 0.8489640190440783
CG Iteration #2, relres 0.3967631710108184
CG Iteration #3, relres 0.1941757827214882
CG Iteration #4, relres 0.1791412862056354
CG Iteration #5, relres 0.1235487811697411
CG Iteration #6, relres 0.0650964706281668
CG Iteration #7, relres 0.0453191905668160
CG Iteration #8, relres 0.0367307264849223
CG Iteration #9, relres 0.0364286004199971
CG Iteration #10, relres 0.0429292405623276
CG Iteration #11, relres 0.0266692786008544
CG Iteration #12, relres 0.0204631860270822
CG Iteration #13, relres 0.0164394606784189
CG Iteration #14, relres 0.0140840889223113
CG Iteration #15, relres 0.0169620916986284
CG Iteration #16, relres 0.0146651959308432
CG Iteration #17, relres 0.0144598791492213
CG Iteration #18, relres 0.0157872489865551
CG Iteration #19, relres 0.0095774361507167
CG Iteration #20, relres 0.0102984271044187
CG Iteration #21, relres 0.0106690829182547
CG Iteration #22, relres 0.0111026086621754
CG Iteration #23, relres 0.0084296796609990
CG Iteration #24, relres 0.0099003071349012
CG Iteration #25, relres 0.0101968086840927
CG Iteration #26, relres 0.0103626875892424
CG Iteration #27, relres 0.0078725140709707
CG Iteration #28, relres 0.0071097898499421
CG Iteration #29, relres 0.0031703103297942
CG Iteration #30, relres 0.0025288202202652
CG Iteration #31, relres 0.0034335953583287
CG Iteration #32, relres 0.0060136748135635
CG Iteration #33, relres 0.0034808559643652
CG Iteration #34, relres 0.0033979161838741
CG Iteration #35, relres 0.0030850651389942
CG Iteration #36, relres 0.0032559580847657
CG Iteration #37, relres 0.0030489153665771
CG Iteration #38, relres 0.0021102057141237
CG Iteration #39, relres 0.0024960466779629
CG Iteration #40, relres 0.0021192974164248
CG Iteration #41, relres 0.0045849760712115
CG Iteration #42, relres 0.0020997413185270
CG Iteration #43, relres 0.0023129074763215
CG Iteration #44, relres 0.0032892191798071
CG Iteration #45, relres 0.0024462237420603
CG Iteration #46, relres 0.0020191963704471
CG Iteration #47, relres 0.0018285595356917
CG Iteration #48, relres 0.0022049084354878
CG Iteration #49, relres 0.0015449945004893
CG Iteration #50, relres 0.0026511698882927
CG Iteration #51, relres 0.0026633633106981
CG Iteration #52, relres 0.0012127394246708
CG Iteration #53, relres 0.0014217649891149
CG Iteration #54, relres 0.0011188976806803
CG Iteration #55, relres 0.0015543457621729
CG Iteration #56, relres 0.0034899337810798
CG Iteration #57, relres 0.0012495393668300
CG Iteration #58, relres 0.0012370764707387
CG Iteration #59, relres 0.0012281000146655
CG Iteration #60, relres 0.0023094721861644
CG Iteration #61, relres 0.0022036886887963
CG Iteration #62, relres 0.0020284952631947
CG Iteration #63, relres 0.0011012936587365
CG Iteration #64, relres 0.0015249412322325
CG Iteration #65, relres 0.0010103210711267
CG Iteration #66, relres 0.0013993083742833
CG Iteration #67, relres 0.0014541642644263
CG Iteration #68, relres 0.0012958543605016
CG Iteration #69, relres 0.0007179236738113
CG Iteration #70, relres 0.0011496261189925
CG Iteration #71, relres 0.0007359736994460
CG Iteration #72, relres 0.0021150769087841
CG Iteration #73, relres 0.0015486614608010
CG Iteration #74, relres 0.0014809961786938
CG Iteration #75, relres 0.0011340107243886
CG Iteration #76, relres 0.0005590329760746
CG Iteration #77, relres 0.0006170742030334
CG Iteration #78, relres 0.0008079011619910
CG Iteration #79, relres 0.0016551862566869
CG Iteration #80, relres 0.0013751413471615
CG Iteration #81, relres 0.0005862762742759
CG Iteration #82, relres 0.0004227384221497
CG Iteration #83, relres 0.0005405184712649
CG Iteration #84, relres 0.0005051753261986
CG Iteration #85, relres 0.0014925664152969
CG Iteration #86, relres 0.0016555676247966
CG Iteration #87, relres 0.0017951287763550
CG Iteration #88, relres 0.0003260499450451
CG Iteration #89, relres 0.0004740696812221
CG Iteration #90, relres 0.0003611548306543
CG Iteration #91, relres 0.0012180320440957
CG Iteration #92, relres 0.0011025634904100
CG Iteration #93, relres 0.0003725017739750
CG Iteration #94, relres 0.0003698350849097
CG Iteration #95, relres 0.0003219030604616
CG Iteration #96, relres 0.0004254283188413
CG Iteration #97, relres 0.0016812392108655
CG Iteration #98, relres 0.0010055041017021
CG Iteration #99, relres 0.0004768600902357
CG Iteration #100, relres 0.0003144488671018
