======= 64 bit precision
0.16231692340398407 error after 1 iterations
0.012345968024152271 error after 2 iterations
0.0032204685299156736 error after 3 iterations
0.0018976552766705854 error after 4 iterations
0.0010041337406845067 error after 5 iterations
0.00014349058112064577 error after 6 iterations
0.0013825912730678958 error after 7 iterations
3.881197914387338e-5 error after 8 iterations
9.584353342928554e-6 error after 9 iterations
0.00011797089529909549 error after 10 iterations
4.704640568752244e-7 error after 11 iterations
0.00012403384975400673 error after 12 iterations
4.0574334208945216e-7 error after 13 iterations
4.8391370101919954e-6 error after 14 iterations
5.172470997361695e-5 error after 15 iterations
0.00016275838329565142 error after 16 iterations
3.516810535640228e-5 error after 17 iterations
4.897850265195119e-6 error after 18 iterations
1.1488027341594607e-7 error after 19 iterations
1.353569520717254e-13 error after 20 iterations
8.671116627153856e-13 error after 21 iterations
1.3191065703501012e-12 error after 22 iterations
4.3663012470476304e-14 error after 23 iterations
3.664600899271597e-15 error after 24 iterations
2.5281364806243175e-15 error after 25 iterations
1.198690173049773e-16 error after 26 iterations


======= 128 bit precision
0.16231692340398407 error after 1 iterations
0.012345968024152271 error after 2 iterations
0.0032204685299156727 error after 3 iterations
0.0018976552766705845 error after 4 iterations
0.001004133740684506 error after 5 iterations
0.00014349058112598186 error after 6 iterations
0.0013826125260980322 error after 7 iterations
3.8811978670605986e-5 error after 8 iterations
9.584437052310299e-6 error after 9 iterations
0.00011779866308103486 error after 10 iterations
4.704029894447315e-7 error after 11 iterations
0.00019454131410866693 error after 12 iterations
4.04170696228783e-7 error after 13 iterations
5.103065015354364e-6 error after 14 iterations
4.850608923976986e-5 error after 15 iterations
6.491815319513395e-5 error after 16 iterations
7.792530732742852e-6 error after 17 iterations
1.7200806571586938e-6 error after 18 iterations
5.7867285421057675e-8 error after 19 iterations
2.3281820044670367e-13 error after 20 iterations
6.415000132924357e-12 error after 21 iterations
1.4928341339476283e-14 error after 22 iterations
3.6555239310003116e-14 error after 23 iterations
7.223492705228633e-16 error after 24 iterations


======= 256 bit precision
0.16231692340398407 error after 1 iterations
0.012345968024152271 error after 2 iterations
0.0032204685299156727 error after 3 iterations
0.0018976552766705845 error after 4 iterations
0.001004133740684506 error after 5 iterations
0.00014349058112598186 error after 6 iterations
0.0013826125260980322 error after 7 iterations
3.8811978670605986e-5 error after 8 iterations
9.584437052310299e-6 error after 9 iterations
0.00011779866308103486 error after 10 iterations
4.704029894447315e-7 error after 11 iterations
0.00019454131410866693 error after 12 iterations
4.04170696228783e-7 error after 13 iterations
5.103065015354364e-6 error after 14 iterations
4.850608923976986e-5 error after 15 iterations
6.491815319513395e-5 error after 16 iterations
7.792530732742852e-6 error after 17 iterations
1.7200806571586938e-6 error after 18 iterations
5.7867285421057675e-8 error after 19 iterations
2.3281820044670367e-13 error after 20 iterations
6.415000132924357e-12 error after 21 iterations
1.4928341339476283e-14 error after 22 iterations
3.6555239310003116e-14 error after 23 iterations
7.223492705228633e-16 error after 24 iterations


======= 512 bit precision
0.16231692340398407 error after 1 iterations
0.012345968024152271 error after 2 iterations
0.0032204685299156727 error after 3 iterations
0.0018976552766705845 error after 4 iterations
0.001004133740684506 error after 5 iterations
0.00014349058112598186 error after 6 iterations
0.0013826125260980322 error after 7 iterations
3.8811978670605986e-5 error after 8 iterations
9.584437052310299e-6 error after 9 iterations
0.00011779866308103486 error after 10 iterations
4.704029894447315e-7 error after 11 iterations
0.00019454131410866693 error after 12 iterations
4.04170696228783e-7 error after 13 iterations
5.103065015354364e-6 error after 14 iterations
4.850608923976986e-5 error after 15 iterations
6.491815319513395e-5 error after 16 iterations
7.792530732742852e-6 error after 17 iterations
1.7200806571586938e-6 error after 18 iterations
5.7867285421057675e-8 error after 19 iterations
2.3281820044670367e-13 error after 20 iterations
6.415000132924357e-12 error after 21 iterations
1.4928341339476283e-14 error after 22 iterations
3.6555239310003116e-14 error after 23 iterations
7.223492705228633e-16 error after 24 iterations


======= 1024 bit precision
0.16231692340398407 error after 1 iterations
0.012345968024152271 error after 2 iterations
0.0032204685299156727 error after 3 iterations
0.0018976552766705845 error after 4 iterations
0.001004133740684506 error after 5 iterations
0.00014349058112598186 error after 6 iterations
0.0013826125260980322 error after 7 iterations
3.8811978670605986e-5 error after 8 iterations
9.584437052310299e-6 error after 9 iterations
0.00011779866308103486 error after 10 iterations
4.704029894447315e-7 error after 11 iterations
0.00019454131410866693 error after 12 iterations
4.04170696228783e-7 error after 13 iterations
5.103065015354364e-6 error after 14 iterations
4.850608923976986e-5 error after 15 iterations
6.491815319513395e-5 error after 16 iterations
7.792530732742852e-6 error after 17 iterations
1.7200806571586938e-6 error after 18 iterations
5.7867285421057675e-8 error after 19 iterations
2.3281820044670367e-13 error after 20 iterations
6.415000132924357e-12 error after 21 iterations
1.4928341339476283e-14 error after 22 iterations
3.6555239310003116e-14 error after 23 iterations
7.223492705228633e-16 error after 24 iterations


