=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/test/1/
====error given as ||Ax - b||_2^2
i=  1, err2=2.65521e+12, errA = 626992
i=  2, err2=1.53611e+10, errA = 72570.1
i=  3, err2=1.04522e+09, errA = 10236.4
i=  4, err2=3.62916e+08, errA = 3565.06
i=  5, err2=1.01614e+08, errA = 1100.98
i=  6, err2=2.07551e+06, errA = 454.722
i=  7, err2=3.23428e+09, errA = 312.773
i=  8, err2=151692, errA = 70.7195
i=  9, err2=28016.4, errA = 56.1888
i= 10, err2=13613.2, errA = 56.1799
i= 11, err2=63.5288, errA = 4.7731
i= 12, err2=25.2244, errA = 4.7731
i= 13, err2=156.659, errA = 4.2091
i= 14, err2=580.811, errA = 4.20867
i= 15, err2=21.9068, errA = 4.2085
i= 16, err2=29.7713, errA = 4.2085
i= 17, err2=76.9757, errA = 4.20828
i= 18, err2=1911.84, errA = 4.1975
i= 19, err2=60949.9, errA = 1.19165
i= 20, err2=448432, errA = 1.17743
i= 21, err2=191.521, errA = 4.38289e-05
i= 22, err2=0.0336024, errA = 2.87122e-06
i= 23, err2=0.0198865, errA = 2.38478e-09
i= 24, err2=1.31096e-05, errA = 1.83612e-09
i= 25, err2=2.58584e-05, errA = 1.6794e-09
i= 26, err2=1.11663e-05, errA = 4.71151e-12
i= 27, err2=1.1801e-05, errA = 3.85822e-12
i= 28, err2=9.90474e-07, errA = 2.5818e-12
i= 29, err2=3.96673e-11, errA = 1.04599e-14
i= 30, err2=1.90073e-09, errA = 9.44984e-15
i= 31, err2=1.04795e-12, errA = 9.79624e-15
i= 32, err2=8.98259e-12, errA = 9.92258e-15
i= 33, err2=1.73954e-08, errA = 1.11024e-14
i= 34, err2=4.79828e-11, errA = 4.75593e-15
i= 35, err2=2.94338e-10, errA = 4.01943e-15
i= 36, err2=9.26081e-10, errA = 4.0299e-15
i= 37, err2=1.54806e-11, errA = 4.63722e-15
i= 38, err2=4.20263e-12, errA = 4.47531e-15
i= 39, err2=2.52365e-11, errA = 4.52611e-15
i= 40, err2=7.36753e-12, errA = 4.20868e-15
i= 41, err2=6.28151e-14, errA = 4.297e-15
i= 42, err2=1.4782e-14, errA = 4.29353e-15
i= 43, err2=6.52614e-13, errA = 4.29636e-15
i= 44, err2=2.39539e-14, errA = 4.30794e-15
i= 45, err2=1.12082e-13, errA = 4.29608e-15
i= 46, err2=5.04473e-13, errA = 4.28419e-15
i= 47, err2=6.95093e-14, errA = 4.29733e-15
i= 48, err2=5.73682e-15, errA = 4.30072e-15
i= 49, err2=1.9116e-14, errA = 4.29215e-15
i= 50, err2=1.77326e-15, errA = 4.29382e-15
i= 51, err2=2.14164e-14, errA = 4.29175e-15
i= 52, err2=3.30905e-13, errA = 4.26576e-15
i= 53, err2=1.50715e-13, errA = 4.27524e-15
i= 54, err2=3.37531e-14, errA = 4.28671e-15
i= 55, err2=3.64242e-13, errA = 4.27978e-15
i= 56, err2=2.54155e-14, errA = 4.29754e-15
i= 57, err2=5.23927e-15, errA = 4.29977e-15
i= 58, err2=3.96708e-14, errA = 4.2909e-15
i= 59, err2=1.26331e-13, errA = 4.2903e-15
i= 60, err2=5.15937e-15, errA = 4.29799e-15
i= 61, err2=7.25763e-14, errA = 4.29897e-15
i= 62, err2=2.67989e-15, errA = 4.29536e-15
i= 63, err2=7.54809e-13, errA = 4.28656e-15
i= 64, err2=4.75348e-14, errA = 4.30207e-15
i= 65, err2=1.46139e-13, errA = 4.29514e-15
i= 66, err2=8.0853e-14, errA = 4.28583e-15
i= 67, err2=3.68004e-12, errA = 4.24344e-15
i= 68, err2=1.71942e-13, errA = 4.26506e-15
i= 69, err2=2.01768e-11, errA = 4.26963e-15
i= 70, err2=9.53125e-12, errA = 4.1261e-15
i= 71, err2=1.21892e-11, errA = 4.20268e-15
i= 72, err2=2.23553e-13, errA = 4.25379e-15
i= 73, err2=6.51862e-12, errA = 4.28719e-15
i= 74, err2=2.23754e-13, errA = 4.25742e-15
i= 75, err2=1.56903e-13, errA = 4.27482e-15
i= 76, err2=6.13806e-14, errA = 4.2828e-15
i= 77, err2=3.54049e-12, errA = 4.30159e-15
i= 78, err2=6.02353e-14, errA = 4.27736e-15
i= 79, err2=3.44642e-13, errA = 4.28946e-15
i= 80, err2=3.69521e-13, errA = 4.30378e-15
i= 81, err2=1.10857e-13, errA = 4.27815e-15
i= 82, err2=2.35278e-13, errA = 4.27045e-15
i= 83, err2=1.05666e-12, errA = 4.28091e-15
i= 84, err2=3.37241e-14, errA = 4.2949e-15
i= 85, err2=4.42865e-13, errA = 4.30966e-15
i= 86, err2=1.91657e-13, errA = 4.29856e-15
i= 87, err2=9.10471e-15, errA = 4.27917e-15
i= 88, err2=7.84516e-15, errA = 4.28072e-15
i= 89, err2=8.68171e-14, errA = 4.26856e-15
i= 90, err2=2.32595e-14, errA = 4.27216e-15
i= 91, err2=7.00922e-14, errA = 4.25851e-15
i= 92, err2=4.51368e-13, errA = 4.26768e-15
i= 93, err2=4.97684e-14, errA = 4.27482e-15
i= 94, err2=4.65376e-14, errA = 4.27907e-15
i= 95, err2=6.51277e-13, errA = 4.26998e-15
i= 96, err2=2.55187e-15, errA = 4.28097e-15
i= 97, err2=9.07582e-15, errA = 4.27891e-15
i= 98, err2=6.21907e-15, errA = 4.27651e-15
i= 99, err2=2.17764e-14, errA = 4.27544e-15
i=100, err2=5.52359e-16, errA = 4.27768e-15
i=101, err2=2.48878e-14, errA = 4.27545e-15
i=102, err2=1.13903e-15, errA = 4.27699e-15
i=103, err2=2.20282e-15, errA = 4.27716e-15
i=104, err2=2.52379e-16, errA = 4.27852e-15
i=105, err2=7.01048e-15, errA = 4.27807e-15
i=106, err2=1.10977e-16, errA = 4.27944e-15
i=107, err2=1.61961e-15, errA = 4.27888e-15
i=108, err2=5.44746e-15, errA = 4.27788e-15
i=109, err2=1.01229e-15, errA = 4.2788e-15
i=110, err2=3.96728e-15, errA = 4.2757e-15
i=111, err2=1.75479e-13, errA = 4.26993e-15
i=112, err2=2.58649e-15, errA = 4.27533e-15
i=113, err2=3.99339e-14, errA = 4.27699e-15
i=114, err2=2.54429e-14, errA = 4.2697e-15
i=115, err2=2.08675e-15, errA = 4.28012e-15
i=116, err2=1.67462e-15, errA = 4.27932e-15
i=117, err2=7.79678e-14, errA = 4.27093e-15
i=118, err2=3.23553e-14, errA = 4.27292e-15
i=119, err2=3.00541e-14, errA = 4.28015e-15
i=120, err2=1.36841e-15, errA = 4.27836e-15
i=121, err2=3.43738e-14, errA = 4.276e-15
