=========CG using MATLAB default precision=====
====DATA = ../graphs/se_2/
====error given as ||Ax - b||_2^2 and ||x - xbar||_A^2
i=  1, err2=2.65521e+12, errA = 626992
i=  2, err2=1.53611e+10, errA = 72570.1
i=  3, err2=1.04522e+09, errA = 10236.4
i=  4, err2=3.62916e+08, errA = 3565.06
i=  5, err2=1.01614e+08, errA = 1100.98
i=  6, err2=2.07535e+06, errA = 454.722
i=  7, err2=3.44919e+09, errA = 277.724
i=  8, err2=151692, errA = 70.7195
i=  9, err2=51480.7, errA = 56.1938
i= 10, err2=11188.3, errA = 56.1805
i= 11, err2=79.8122, errA = 4.7731
i= 12, err2=25.3354, errA = 4.7731
i= 13, err2=114.842, errA = 4.20896
i= 14, err2=436.315, errA = 4.20862
i= 15, err2=35.0214, errA = 4.2085
i= 16, err2=20.6003, errA = 4.2085
i= 17, err2=1174.06, errA = 4.20405
i= 18, err2=10593.8, errA = 4.1535
i= 19, err2=3.20779e+06, errA = 0.515299
i= 20, err2=24170.2, errA = 0.423689
i= 21, err2=9.15279, errA = 3.14347e-06
i= 22, err2=0.0139397, errA = 1.18343e-06
i= 23, err2=2.96095, errA = 1.09451e-06
i= 24, err2=1.7319e-05, errA = 7.03432e-11
i= 25, err2=1.70525e-08, errA = 3.28317e-12
i= 26, err2=4.40792e-06, errA = 3.06561e-12
i= 27, err2=1.23136e-06, errA = 2.8095e-12
i= 28, err2=2.38531e-07, errA = 2.24212e-12
i= 29, err2=1.14201e-09, errA = 8.69966e-15
i= 30, err2=2.68782e-08, errA = 1.02836e-14
i= 31, err2=1.68993e-12, errA = 4.55872e-15
i= 32, err2=7.02614e-14, errA = 4.50719e-15
i= 33, err2=7.79116e-14, errA = 4.50193e-15
i= 34, err2=4.88497e-11, errA = 4.38467e-15
i= 35, err2=2.03897e-12, errA = 4.44745e-15
i= 36, err2=7.71213e-12, errA = 4.39407e-15
i= 37, err2=4.80657e-12, errA = 4.32437e-15
i= 38, err2=1.89636e-10, errA = 4.25424e-15
i= 39, err2=2.46537e-12, errA = 4.44881e-15
i= 40, err2=9.99045e-11, errA = 4.51088e-15
i= 41, err2=8.71951e-11, errA = 4.00262e-15
i= 42, err2=5.62908e-10, errA = 3.84831e-15
i= 43, err2=1.04819e-11, errA = 4.21061e-15
i= 44, err2=3.53911e-10, errA = 4.45559e-15
i= 45, err2=2.98226e-12, errA = 4.23431e-15
i= 46, err2=4.45758e-12, errA = 4.23035e-15
i= 47, err2=1.03032e-13, errA = 4.2933e-15
i= 48, err2=1.90148e-12, errA = 4.31166e-15
i= 49, err2=1.18711e-13, errA = 4.29472e-15
i= 50, err2=1.7343e-13, errA = 4.28963e-15
i= 51, err2=3.33087e-13, errA = 4.31827e-15
i= 52, err2=4.19808e-12, errA = 4.34915e-15
i= 53, err2=4.03578e-13, errA = 4.33711e-15
i= 54, err2=2.68785e-13, errA = 4.32646e-15
i= 55, err2=5.35768e-12, errA = 4.26863e-15
i= 56, err2=1.04156e-14, errA = 4.29179e-15
i= 57, err2=1.4346e-14, errA = 4.29258e-15
i= 58, err2=1.81356e-15, errA = 4.28824e-15
i= 59, err2=4.97198e-13, errA = 4.27366e-15
i= 60, err2=1.02215e-14, errA = 4.27991e-15
i= 61, err2=7.54034e-15, errA = 4.28533e-15
i= 62, err2=3.62654e-13, errA = 4.27978e-15
i= 63, err2=8.95765e-15, errA = 4.29121e-15
i= 64, err2=3.12218e-14, errA = 4.28699e-15
i= 65, err2=3.96118e-14, errA = 4.28254e-15
i= 66, err2=1.12579e-13, errA = 4.28476e-15
i= 67, err2=6.87719e-15, errA = 4.28942e-15
i= 68, err2=2.53712e-13, errA = 4.28615e-15
i= 69, err2=6.36931e-14, errA = 4.27883e-15
i= 70, err2=2.83623e-15, errA = 4.28913e-15
i= 71, err2=2.51339e-16, errA = 4.28994e-15
i= 72, err2=1.96256e-15, errA = 4.28907e-15
i= 73, err2=2.51799e-15, errA = 4.28649e-15
i= 74, err2=1.00472e-14, errA = 4.28822e-15
i= 75, err2=5.40664e-16, errA = 4.28744e-15
i= 76, err2=1.49663e-14, errA = 4.28625e-15
i= 77, err2=4.27352e-14, errA = 4.2912e-15
i= 78, err2=9.1873e-14, errA = 4.29545e-15
i= 79, err2=5.38033e-14, errA = 4.28281e-15
i= 80, err2=1.55177e-14, errA = 4.27877e-15
i= 81, err2=2.8594e-13, errA = 4.26618e-15
i= 82, err2=1.44876e-13, errA = 4.26405e-15
i= 83, err2=1.41065e-12, errA = 4.28184e-15
i= 84, err2=6.84667e-14, errA = 4.28066e-15
i= 85, err2=2.74723e-14, errA = 4.27789e-15
i= 86, err2=9.44783e-14, errA = 4.28354e-15
i= 87, err2=4.92502e-14, errA = 4.29109e-15
i= 88, err2=6.35315e-13, errA = 4.30268e-15
i= 89, err2=2.24057e-14, errA = 4.295e-15
i= 90, err2=1.54433e-14, errA = 4.292e-15
i= 91, err2=1.68639e-14, errA = 4.28741e-15
i= 92, err2=1.05451e-14, errA = 4.28851e-15
i= 93, err2=2.5326e-13, errA = 4.29403e-15
i= 94, err2=1.35727e-14, errA = 4.2889e-15
i= 95, err2=1.57317e-14, errA = 4.28776e-15
i= 96, err2=1.2326e-14, errA = 4.2921e-15
i= 97, err2=1.34721e-14, errA = 4.29466e-15
i= 98, err2=7.37902e-13, errA = 4.30664e-15
i= 99, err2=1.33074e-13, errA = 4.2993e-15
i=100, err2=2.62511e-13, errA = 4.2869e-15
i=101, err2=4.56445e-14, errA = 4.27901e-15
i=102, err2=9.58228e-14, errA = 4.28248e-15
i=103, err2=1.41402e-12, errA = 4.2773e-15
i=104, err2=2.31096e-13, errA = 4.25853e-15
i=105, err2=3.76831e-13, errA = 4.2654e-15
i=106, err2=2.37967e-14, errA = 4.27766e-15
i=107, err2=2.4771e-13, errA = 4.28598e-15
i=108, err2=3.5313e-13, errA = 4.30635e-15
i=109, err2=5.62548e-13, errA = 4.29399e-15
i=110, err2=9.72797e-14, errA = 4.28477e-15
i=111, err2=6.97329e-14, errA = 4.289e-15
i=112, err2=1.68496e-12, errA = 4.28262e-15
i=113, err2=5.67458e-13, errA = 4.25825e-15
i=114, err2=6.58347e-13, errA = 4.27566e-15
i=115, err2=2.56572e-14, errA = 4.28939e-15
i=116, err2=3.29491e-13, errA = 4.29992e-15
i=117, err2=1.27304e-13, errA = 4.3004e-15
i=118, err2=5.13506e-13, errA = 4.28025e-15
i=119, err2=1.52158e-14, errA = 4.28106e-15
i=120, err2=1.34838e-13, errA = 4.28405e-15
i=121, err2=2.10983e-13, errA = 4.26251e-15
