Avgstr = 2663456154357.2446289062500000
CG Iteration #1, relres 0.8489640190440777
CG Iteration #2, relres 0.3967631710108184
CG Iteration #3, relres 0.1941757827214886
CG Iteration #4, relres 0.1791412862056355
CG Iteration #5, relres 0.1235487811697413
CG Iteration #6, relres 0.0650964706281669
CG Iteration #7, relres 0.0453191905667753
CG Iteration #8, relres 0.0367307259789459
CG Iteration #9, relres 0.0364115084307052
CG Iteration #10, relres 0.0267796057961409
CG Iteration #11, relres 0.0205800977749327
CG Iteration #12, relres 0.0164817314162063
CG Iteration #13, relres 0.0141073783034970
CG Iteration #14, relres 0.0169582426051244
CG Iteration #15, relres 0.0146177648765959
CG Iteration #16, relres 0.0145529217905722
CG Iteration #17, relres 0.0095846843982841
CG Iteration #18, relres 0.0102833222929600
CG Iteration #19, relres 0.0106359240697603
CG Iteration #20, relres 0.0112187599979608
CG Iteration #21, relres 0.0084518296825966
CG Iteration #22, relres 0.0094721076382793
CG Iteration #23, relres 0.0079172644873952
CG Iteration #24, relres 0.0069784525216954
CG Iteration #25, relres 0.0033020985160683
CG Iteration #26, relres 0.0025340791201874
CG Iteration #27, relres 0.0033947911848029
CG Iteration #28, relres 0.0035235516443891
CG Iteration #29, relres 0.0027799616368923
CG Iteration #30, relres 0.0032590400514757
CG Iteration #31, relres 0.0034027714707845
CG Iteration #32, relres 0.0019793021568276
CG Iteration #33, relres 0.0021523987295912
CG Iteration #34, relres 0.0024446561217497
CG Iteration #35, relres 0.0019856951888014
CG Iteration #36, relres 0.0018270469634974
CG Iteration #37, relres 0.0016105776950358
CG Iteration #38, relres 0.0020564442338628
CG Iteration #39, relres 0.0016373169647039
CG Iteration #40, relres 0.0011662932114392
CG Iteration #41, relres 0.0013710289858712
CG Iteration #42, relres 0.0013577991318747
CG Iteration #43, relres 0.0008907502411070
CG Iteration #44, relres 0.0008223904110916
CG Iteration #45, relres 0.0006442884873860
CG Iteration #46, relres 0.0005908358223355
CG Iteration #47, relres 0.0004852369515547
CG Iteration #48, relres 0.0005496104470959
CG Iteration #49, relres 0.0004624286716748
CG Iteration #50, relres 0.0004598299266990
CG Iteration #51, relres 0.0002604035522665
CG Iteration #52, relres 0.0002657109650516
CG Iteration #53, relres 0.0002575442028979
CG Iteration #54, relres 0.0002394208804464
CG Iteration #55, relres 0.0001976871330590
CG Iteration #56, relres 0.0002067287897183
CG Iteration #57, relres 0.0001866450846089
CG Iteration #58, relres 0.0001212414644004
CG Iteration #59, relres 0.0000825488037459
CG Iteration #60, relres 0.0001013399324538
CG Iteration #61, relres 0.0001011134823146
CG Iteration #62, relres 0.0000700567784221
CG Iteration #63, relres 0.0000620288846815
CG Iteration #64, relres 0.0000508246657024
CG Iteration #65, relres 0.0000497991447019
CG Iteration #66, relres 0.0000480266222553
CG Iteration #67, relres 0.0000285043863948
CG Iteration #68, relres 0.0000366689634968
CG Iteration #69, relres 0.0000351351525054
CG Iteration #70, relres 0.0000223164788268
CG Iteration #71, relres 0.0000365314885325
CG Iteration #72, relres 0.0000195194687005
CG Iteration #73, relres 0.0000220135609577
CG Iteration #74, relres 0.0000165356905033
CG Iteration #75, relres 0.0000140148018594
CG Iteration #76, relres 0.0000100190275360
CG Iteration #77, relres 0.0000122515500086
CG Iteration #78, relres 0.0000094156396705
CG Iteration #79, relres 0.0000092325159382
CG Iteration #80, relres 0.0000076366022548
CG Iteration #81, relres 0.0000137337708831
CG Iteration #82, relres 0.0000080099680693
CG Iteration #83, relres 0.0000068785111378
CG Iteration #84, relres 0.0000069825668810
CG Iteration #85, relres 0.0000053317265239
CG Iteration #86, relres 0.0000060225905293
CG Iteration #87, relres 0.0000057786257961
CG Iteration #88, relres 0.0000046130909961
CG Iteration #89, relres 0.0000035973353323
CG Iteration #90, relres 0.0000215891742636
CG Iteration #91, relres 0.0000041067236996
CG Iteration #92, relres 0.0000051881197864
CG Iteration #93, relres 0.0000048509815561
CG Iteration #94, relres 0.0000037581280361
CG Iteration #95, relres 0.0000045472148721
CG Iteration #96, relres 0.0000037478295763
CG Iteration #97, relres 0.0000024754060733
CG Iteration #98, relres 0.0000024784429453
CG Iteration #99, relres 0.0000021034098666
CG Iteration #100, relres 0.0000020667254192
CG Iteration #101, relres 0.0000016037408660
CG Iteration #102, relres 0.0000015436296334
CG Iteration #103, relres 0.0000017468924986
CG Iteration #104, relres 0.0000019019706552
CG Iteration #105, relres 0.0000016459880526
CG Iteration #106, relres 0.0000012546715785
CG Iteration #107, relres 0.0000008525429228
n = 1000 iter = 107 time = 1.718s relres = 0.0000008525429228
