 lemon@Arch:~/335final$ ./treepcgsolver ~/TreePCG/graphs/se_3
Avgstr = 92.3536294681973260
CG Iteration #1, relres 0.9999999304370883
CG Iteration #2, relres 0.9999933162239847
CG Iteration #3, relres 0.9999721289666549
CG Iteration #4, relres 0.9998176433944872
CG Iteration #5, relres 0.9987188032693550
CG Iteration #6, relres 0.9976344764500596
CG Iteration #7, relres 0.9943478005545839
CG Iteration #8, relres 0.9893615772432147
CG Iteration #9, relres 0.9878865419942731
CG Iteration #10, relres 0.9820267346554955
CG Iteration #11, relres 0.9719686587156369
CG Iteration #12, relres 0.9485478210038299
CG Iteration #13, relres 0.9069079836493118
CG Iteration #14, relres 0.8713049651048566
CG Iteration #15, relres 0.8675695995515550
CG Iteration #16, relres 0.8583789992189474
CG Iteration #17, relres 0.7930226931751411
CG Iteration #18, relres 0.7666330633700961
CG Iteration #19, relres 0.7274431116818393
CG Iteration #20, relres 0.6571161038576958
CG Iteration #21, relres 0.6511273206201590
CG Iteration #22, relres 0.5454684268494178
CG Iteration #23, relres 0.4574525956913333
CG Iteration #24, relres 0.4120556804627769
CG Iteration #25, relres 0.4028942779654968
CG Iteration #26, relres 0.3893826726978977
CG Iteration #27, relres 0.3339565429509614
CG Iteration #28, relres 0.3318723682610533
CG Iteration #29, relres 0.2657734090233451
CG Iteration #30, relres 0.2501987110668457
CG Iteration #31, relres 0.2265718849076918
CG Iteration #32, relres 0.2051356392237545
CG Iteration #33, relres 0.1730645420302162
CG Iteration #34, relres 0.1728593918822952
CG Iteration #35, relres 0.1666120535976114
CG Iteration #36, relres 0.1661071861975668
CG Iteration #37, relres 0.1386723656080891
CG Iteration #38, relres 0.1163429668881579
CG Iteration #39, relres 0.1016118026936962
CG Iteration #40, relres 0.1014800160061418
CG Iteration #41, relres 0.0950975138473520
CG Iteration #42, relres 0.0812804072506135
CG Iteration #43, relres 0.0802285982246625
CG Iteration #44, relres 0.0797656361352283
CG Iteration #45, relres 0.0761854353312901
CG Iteration #46, relres 0.0696297470634507
CG Iteration #47, relres 0.0695789988148490
CG Iteration #48, relres 0.0666165239023915
CG Iteration #49, relres 0.0568563494323697
CG Iteration #50, relres 0.0466884168961141
CG Iteration #51, relres 0.0445430067482040
CG Iteration #52, relres 0.0444901516664994
CG Iteration #53, relres 0.0426971653864426
CG Iteration #54, relres 0.0396340223297723
CG Iteration #55, relres 0.0395937578587631
CG Iteration #56, relres 0.0342711343235765
CG Iteration #57, relres 0.0341693908381831
CG Iteration #58, relres 0.0295675363154857
CG Iteration #59, relres 0.0293067639047413
CG Iteration #60, relres 0.0286933720198711
CG Iteration #61, relres 0.0278091072973896
CG Iteration #62, relres 0.0272447116900164
CG Iteration #63, relres 0.0239129543548577
CG Iteration #64, relres 0.0232148567160781
CG Iteration #65, relres 0.0213357586787120
CG Iteration #66, relres 0.0211955809480564
CG Iteration #67, relres 0.0201801781867797
CG Iteration #68, relres 0.0178451751584125
CG Iteration #69, relres 0.0168960494215736
CG Iteration #70, relres 0.0168631311236047
CG Iteration #71, relres 0.0153837881268035
CG Iteration #72, relres 0.0150158670441734
CG Iteration #73, relres 0.0148666116399996
CG Iteration #74, relres 0.0136089635611253
CG Iteration #75, relres 0.0128331506992634
CG Iteration #76, relres 0.0122972802406444
CG Iteration #77, relres 0.0113995908690860
CG Iteration #78, relres 0.0113386426657451
CG Iteration #79, relres 0.0112851681659823
CG Iteration #80, relres 0.0109385625760596
CG Iteration #81, relres 0.0101150182562090
CG Iteration #82, relres 0.0099688963855112
CG Iteration #83, relres 0.0099551173141917
CG Iteration #84, relres 0.0099498584608228
CG Iteration #85, relres 0.0099372867385889
CG Iteration #86, relres 0.0098764698947583
CG Iteration #87, relres 0.0092590458076993
CG Iteration #88, relres 0.0086866687391274
CG Iteration #89, relres 0.0084851193202824
CG Iteration #90, relres 0.0084832953553751
CG Iteration #91, relres 0.0081517743932117
CG Iteration #92, relres 0.0078354027574556
CG Iteration #93, relres 0.0077672150167567
CG Iteration #94, relres 0.0076764752335190
CG Iteration #95, relres 0.0076181144413729
CG Iteration #96, relres 0.0075600500772398
CG Iteration #97, relres 0.0070444074740248
CG Iteration #98, relres 0.0070386855445780
CG Iteration #99, relres 0.0065658772344474
CG Iteration #100, relres 0.0064273973570515
CG Iteration #101, relres 0.0062742646071982
CG Iteration #102, relres 0.0062737736648295
CG Iteration #103, relres 0.0060957937103547
CG Iteration #104, relres 0.0060465009491705
CG Iteration #105, relres 0.0058483677036041
CG Iteration #106, relres 0.0055992942490220
CG Iteration #107, relres 0.0054923370641382
CG Iteration #108, relres 0.0054919582465476
CG Iteration #109, relres 0.0053950048310373
CG Iteration #110, relres 0.0053820117822272
CG Iteration #111, relres 0.0053393342351781
CG Iteration #112, relres 0.0053066810134289
CG Iteration #113, relres 0.0051967206464592
CG Iteration #114, relres 0.0050133471795244
CG Iteration #115, relres 0.0050128903959208
CG Iteration #116, relres 0.0049871848291608
CG Iteration #117, relres 0.0049536170024049
CG Iteration #118, relres 0.0046029576996453
CG Iteration #119, relres 0.0045095636117239
CG Iteration #120, relres 0.0045088158702787
CG Iteration #121, relres 0.0043455901105264
CG Iteration #122, relres 0.0043448337899486
CG Iteration #123, relres 0.0043310206924577
CG Iteration #124, relres 0.0043005791083478
CG Iteration #125, relres 0.0041192355442928
CG Iteration #126, relres 0.0041123582848675
CG Iteration #127, relres 0.0040845864014862
CG Iteration #128, relres 0.0040223119155819
CG Iteration #129, relres 0.0039772776309595
CG Iteration #130, relres 0.0039222141057631
CG Iteration #131, relres 0.0039130061003763
CG Iteration #132, relres 0.0039117224377731
CG Iteration #133, relres 0.0039010238799016
CG Iteration #134, relres 0.0038567920413936
CG Iteration #135, relres 0.0038363487252883
CG Iteration #136, relres 0.0037508082806273
CG Iteration #137, relres 0.0037491711067070
CG Iteration #138, relres 0.0036119052590949
CG Iteration #139, relres 0.0035817170485008
CG Iteration #140, relres 0.0035776049702648
CG Iteration #141, relres 0.0035542105180498
CG Iteration #142, relres 0.0035517125220809
CG Iteration #143, relres 0.0035098653104445
CG Iteration #144, relres 0.0034080526311641
CG Iteration #145, relres 0.0034035479526831
CG Iteration #146, relres 0.0034033552985955
CG Iteration #147, relres 0.0033753172774245
CG Iteration #148, relres 0.0032701124593791
CG Iteration #149, relres 0.0032688820073471
CG Iteration #150, relres 0.0032284760052326
CG Iteration #151, relres 0.0032279835772809
CG Iteration #152, relres 0.0032164964368242
CG Iteration #153, relres 0.0031730336713529
CG Iteration #154, relres 0.0031339837390592
CG Iteration #155, relres 0.0031289392613875
CG Iteration #156, relres 0.0030927990645421
CG Iteration #157, relres 0.0030675293327362
CG Iteration #158, relres 0.0030632227763076
CG Iteration #159, relres 0.0030236627945370
CG Iteration #160, relres 0.0030150029665414
CG Iteration #161, relres 0.0030146215996207
CG Iteration #162, relres 0.0030076291497810
CG Iteration #163, relres 0.0029840744429988
CG Iteration #164, relres 0.0029793271349234
CG Iteration #165, relres 0.0029767245936006
CG Iteration #166, relres 0.0029494876649523
CG Iteration #167, relres 0.0029040055670179
CG Iteration #168, relres 0.0028190961837239
CG Iteration #169, relres 0.0027880872761750
CG Iteration #170, relres 0.0027841993566559
CG Iteration #171, relres 0.0027825550116059
CG Iteration #172, relres 0.0027695130918384
CG Iteration #173, relres 0.0027563800835285
CG Iteration #174, relres 0.0027437246676938
CG Iteration #175, relres 0.0027362234506169
CG Iteration #176, relres 0.0027277849533098
CG Iteration #177, relres 0.0027277693018253
CG Iteration #178, relres 0.0026856354345296
CG Iteration #179, relres 0.0026643597615941
CG Iteration #180, relres 0.0026606078050283
CG Iteration #181, relres 0.0026602419696111
CG Iteration #182, relres 0.0026317573900451
CG Iteration #183, relres 0.0026255864123957
CG Iteration #184, relres 0.0025991398584152
CG Iteration #185, relres 0.0025946567577758
CG Iteration #186, relres 0.0025894269616208
CG Iteration #187, relres 0.0025464540733317
CG Iteration #188, relres 0.0025451246171661
CG Iteration #189, relres 0.0025450344795052
CG Iteration #190, relres 0.0025445167066019
CG Iteration #191, relres 0.0025369523915458
CG Iteration #192, relres 0.0025223631742828
CG Iteration #193, relres 0.0025201565610402
CG Iteration #194, relres 0.0024751561335998
CG Iteration #195, relres 0.0024740596513584
CG Iteration #196, relres 0.0024740314555585
CG Iteration #197, relres 0.0024709568434462
CG Iteration #198, relres 0.0024442770922286
CG Iteration #199, relres 0.0024418405549385
CG Iteration #200, relres 0.0024105407695015
CG Iteration #201, relres 0.0024054643954628
CG Iteration #202, relres 0.0024023553510810
CG Iteration #203, relres 0.0023974561626289
CG Iteration #204, relres 0.0023953180573705
CG Iteration #205, relres 0.0023741303899144
CG Iteration #206, relres 0.0023628864975248
CG Iteration #207, relres 0.0023548417387199
CG Iteration #208, relres 0.0023546710138952
CG Iteration #209, relres 0.0023544266611478
CG Iteration #210, relres 0.0023508335667805
CG Iteration #211, relres 0.0023099602565805
CG Iteration #212, relres 0.0023037870048495
CG Iteration #213, relres 0.0023018681384517
CG Iteration #214, relres 0.0023009763396898
CG Iteration #215, relres 0.0023008927471780
CG Iteration #216, relres 0.0022990945807272
CG Iteration #217, relres 0.0022838318015014
CG Iteration #218, relres 0.0022588961480099
CG Iteration #219, relres 0.0022573461305177
