anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
100 iterations
iter = 1      errA=368786.4723134506      err2_a=0.0015984716948259066      err2_b=76418.4803272942
iter = 2      errA=33913.33937976307      err2_a=0.00034604099532179475      err2_b=105.15665778809236
iter = 3      errA=25999.73382479245      err2_a=0.0002491224008777025      err2_b=3367.029942362317
iter = 4      errA=6197.663874357179      err2_a=0.0001196282068884944      err2_b=494.8118520067675
iter = 5      errA=5418.517373634704      err2_a=0.00011269528005175067      err2_b=198.99855777876624
iter = 6      errA=5418.095931264743      err2_a=0.00011269068488232222      err2_b=198.7640786465548
iter = 7      errA=4954.3838657400465      err2_a=0.00010235360871887948      err2_b=281.73732708587676
iter = 8      errA=1558.2223020545443      err2_a=2.9833594455972356e-5      err2_b=190.2119947588373
iter = 9      errA=1027.4932372948738      err2_a=2.2722098317620074e-5      err2_b=65.66789597380932
iter = 10      errA=1024.680440895828      err2_a=2.2692088319479038e-5      err2_b=64.10263282467744
iter = 11      errA=685.3083591389847      err2_a=1.4595750473744382e-5      err2_b=51.202937620243254
iter = 12      errA=346.0028458601224      err2_a=5.804993217180837e-6      err2_b=44.11679362860423
iter = 13      errA=292.99987637013226      err2_a=4.667315161651129e-6      err2_b=42.851808371899736
iter = 14      errA=132.824758843004      err2_a=2.3896375837058127e-6      err2_b=9.5523149453341
iter = 15      errA=128.51950269900846      err2_a=2.3340932589976233e-6      err2_b=8.106473674266876
iter = 16      errA=71.88667191353846      err2_a=1.2531087293375656e-6      err2_b=6.324255687755834
iter = 17      errA=69.54086912956012      err2_a=1.1963522222185834e-6      err2_b=6.763514868658248
iter = 18      errA=35.70290633069249      err2_a=5.883959991062026e-7      err2_b=3.027131772037981
iter = 19      errA=15.814999020407681      err2_a=2.570759534690002e-7      err2_b=1.5142414215769127
iter = 20      errA=7.51698461803795      err2_a=1.3869030312157127e-7      err2_b=0.5420628590550358
iter = 21      errA=7.515414262413903      err2_a=1.3867478731656354e-7      err2_b=0.5413272180304249
iter = 22      errA=4.102989899165598      err2_a=7.665164968442989e-8      err2_b=0.4090564328100082
iter = 23      errA=3.4757065379701864      err2_a=6.708790011305483e-8      err2_b=0.2573042065204844
iter = 24      errA=1.483887369129239      err2_a=2.8484161678525295e-8      err2_b=0.14445049094270626
iter = 25      errA=1.3990735108212988      err2_a=2.753484626165067e-8      err2_b=0.10752505816294411
iter = 26      errA=1.3546385131209084      err2_a=2.683791940734218e-8      err2_b=0.09673187335378862
iter = 27      errA=0.5138931459761603      err2_a=1.1342886860356323e-8      err2_b=0.033435459297749284
iter = 28      errA=0.41751304963412833      err2_a=8.77688857194294e-9      err2_b=0.0484622988576034
iter = 29      errA=0.26826881729252894      err2_a=5.855745144488814e-9      err2_b=0.024332271667714445
iter = 30      errA=0.2160187923770694      err2_a=4.719660112831306e-9      err2_b=0.017428757314039537
iter = 31      errA=0.0866927134014404      err2_a=1.8039521656612726e-9      err2_b=0.005990245388052197
iter = 32      errA=0.0866889204834782      err2_a=1.803860911767447e-9      err2_b=0.00599063107860089
iter = 33      errA=0.031995360576226026      err2_a=6.903406493458882e-10      err2_b=0.001475325386841702
iter = 34      errA=0.011428238689071835      err2_a=2.1602896924517511e-10      err2_b=0.0007406053181645254
iter = 35      errA=0.01110400566502836      err2_a=2.0864257320964825e-10      err2_b=0.0007692196515556944
iter = 36      errA=0.011102630736460454      err2_a=2.0860915788539085e-10      err2_b=0.0007694604358712453
iter = 37      errA=0.00483918101862812      err2_a=8.248366534451947e-11      err2_b=0.0004897403400250871
iter = 38      errA=0.003409527551138857      err2_a=5.919522527973221e-11      err2_b=0.00027435479033224283
iter = 39      errA=0.0033043762455750108      err2_a=5.6765296383299515e-11      err2_b=0.00029659420316392943
iter = 40      errA=0.0026444038203231363      err2_a=4.324908469604652e-11      err2_b=0.00031707090059721483
iter = 41      errA=0.0013199461946478146      err2_a=2.30202921089771e-11      err2_b=7.396288494179651e-5
iter = 42      errA=0.00047035195457901716      err2_a=7.690861284694869e-12      err2_b=3.1709454649032544e-5
iter = 43      errA=0.00046959571428046226      err2_a=7.68387694458106e-12      err2_b=3.125653486740979e-5
iter = 44      errA=0.00016520636597146563      err2_a=2.9444533704494407e-12      err2_b=9.25313756521349e-6
iter = 45      errA=0.00016123145443863772      err2_a=2.8723563809980983e-12      err2_b=9.499815715572273e-6
iter = 46      errA=0.0001536762887135435      err2_a=2.6796378907796924e-12      err2_b=1.2914516888540611e-5
iter = 47      errA=5.8331662202560095e-5      err2_a=1.0704229467002763e-12      err2_b=5.0427057676104425e-6
iter = 48      errA=2.4003020502021874e-5      err2_a=4.321087822767712e-13      err2_b=4.518179038067767e-6
iter = 49      errA=1.7909890094811588e-5      err2_a=3.2174231042419436e-13      err2_b=4.183862254070944e-6
iter = 50      errA=1.7564532866555544e-5      err2_a=3.1532829466318695e-13      err2_b=4.148495227698332e-6
iter = 51      errA=1.3990350992630307e-5      err2_a=2.4075323728453047e-13      err2_b=4.064768159960288e-6
iter = 52      errA=8.147601974636815e-6      err2_a=1.1300771550750091e-13      err2_b=3.834894119734087e-6
iter = 53      errA=8.150626564669348e-6      err2_a=1.1299813009925507e-13      err2_b=3.835179540324049e-6
iter = 54      errA=7.883475389797337e-6      err2_a=1.0543223706984865e-13      err2_b=3.8249998888983956e-6
iter = 55      errA=7.717770886843706e-6      err2_a=1.0197951360331176e-13      err2_b=3.81983551018749e-6
iter = 56      errA=7.72131772696768e-6      err2_a=1.0194284592761037e-13      err2_b=3.820260616250099e-6
iter = 57      errA=6.461440439445652e-6      err2_a=3.604236327041334e-14      err2_b=3.836709213735832e-6
iter = 58      errA=6.337034669570251e-6      err2_a=1.940296963784502e-14      err2_b=3.839370904231106e-6
iter = 59      errA=6.3462218201432895e-6      err2_a=1.879185826930454e-14      err2_b=3.840150275130128e-6
iter = 60      errA=6.349962582412799e-6      err2_a=1.5597554721135117e-14      err2_b=3.83903576911145e-6
iter = 61      errA=6.349490763232733e-6      err2_a=1.5596412248225248e-14      err2_b=3.839001990498602e-6
iter = 62      errA=6.325319849170502e-6      err2_a=1.5018112851073052e-14      err2_b=3.837253842576277e-6
iter = 63      errA=6.32540382519768e-6      err2_a=1.466315358348505e-14      err2_b=3.8371470906676276e-6
iter = 64      errA=6.3253125965638145e-6      err2_a=1.466307241539443e-14      err2_b=3.8371406758048705e-6
iter = 65      errA=6.324862673339566e-6      err2_a=1.4492793564714572e-14      err2_b=3.837460635493821e-6
iter = 66      errA=6.324711306081502e-6      err2_a=1.4461864940355686e-14      err2_b=3.837560226800295e-6
iter = 67      errA=6.322408639982982e-6      err2_a=1.4446671626334765e-14      err2_b=3.837454967045429e-6
iter = 68      errA=6.319986633815975e-6      err2_a=1.441471204884894e-14      err2_b=3.837458770036284e-6
iter = 69      errA=6.3200121819824545e-6      err2_a=1.4414892817393365e-14      err2_b=3.837460607748398e-6
iter = 70      errA=6.322860698436912e-6      err2_a=1.440090024042108e-14      err2_b=3.837633707302456e-6
iter = 71      errA=6.3233271663396794e-6      err2_a=1.440111662307835e-14      err2_b=3.837666030812422e-6
iter = 72      errA=6.3245213784928245e-6      err2_a=1.4400079455582646e-14      err2_b=3.837745325872785e-6
iter = 73      errA=6.324043687370361e-6      err2_a=1.4398586707142734e-14      err2_b=3.837712293265678e-6
iter = 74      errA=6.324024035361869e-6      err2_a=1.4398187212562164e-14      err2_b=3.8377108897840295e-6
iter = 75      errA=6.3228794195841716e-6      err2_a=1.4396676515960145e-14      err2_b=3.837636991607601e-6
iter = 76      errA=6.322838753500724e-6      err2_a=1.439708983391011e-14      err2_b=3.837634115185779e-6
iter = 77      errA=6.322755330589031e-6      err2_a=1.4397408618138266e-14      err2_b=3.837619529986592e-6
iter = 78      errA=6.322705993482425e-6      err2_a=1.439700778384575e-14      err2_b=3.837615327027911e-6
iter = 79      errA=6.32292162018948e-6      err2_a=1.439694333220705e-14      err2_b=3.837623506319798e-6
iter = 80      errA=6.3229190356323835e-6      err2_a=1.439736667765587e-14      err2_b=3.837623319372231e-6
iter = 81      errA=6.322885766502102e-6      err2_a=1.4397298829683862e-14      err2_b=3.8376218444525235e-6
iter = 82      errA=6.322901716672886e-6      err2_a=1.4397273116649622e-14      err2_b=3.837625899237325e-6
iter = 83      errA=6.3229038652065515e-6      err2_a=1.4396709358994407e-14      err2_b=3.837626057893475e-6
iter = 84      errA=6.322871668646631e-6      err2_a=1.43977443972229e-14      err2_b=3.837625128977429e-6
iter = 85      errA=6.322870526048418e-6      err2_a=1.4397358271569774e-14      err2_b=3.837625048078392e-6
iter = 86      errA=6.322894224103868e-6      err2_a=1.4397181512261997e-14      err2_b=3.8376267638354e-6
iter = 87      errA=6.322895786322318e-6      err2_a=1.4397411466399574e-14      err2_b=3.837626873466129e-6
iter = 88      errA=6.322949628491413e-6      err2_a=1.4397671476102478e-14      err2_b=3.8376306501402275e-6
iter = 89      errA=6.322943225213564e-6      err2_a=1.4397610407123674e-14      err2_b=3.8376301895655466e-6
iter = 90      errA=6.322944539148171e-6      err2_a=1.43979367890273e-14      err2_b=3.837630284056765e-6
iter = 91      errA=6.322953419672557e-6      err2_a=1.4397639827773656e-14      err2_b=3.837630919466105e-6
iter = 92      errA=6.322950874275136e-6      err2_a=1.4397416906671162e-14      err2_b=3.837630971383916e-6
iter = 93      errA=6.322919840902876e-6      err2_a=1.4397797949790864e-14      err2_b=3.837629284081175e-6
iter = 94      errA=6.322922239566874e-6      err2_a=1.4397967875755825e-14      err2_b=3.837629714428527e-6
iter = 95      errA=6.322933376718429e-6      err2_a=1.4398096428138513e-14      err2_b=3.8376306883249335e-6
iter = 96      errA=6.322933490515507e-6      err2_a=1.4398337005952937e-14      err2_b=3.837630808474104e-6
iter = 97      errA=6.3229250705906765e-6      err2_a=1.4398373635258185e-14      err2_b=3.837630304593815e-6
