anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
10000 iterations
iter = 1      errA=1.6839410310708833e9      err2_a=0.3239088538756316      err2_b=429.4073538195899
iter = 2      errA=1.1633359180029173e9      err2_a=0.18834104867175408      err2_b=557.2972056152015
iter = 3      errA=8.849508844835873e8      err2_a=0.11981833571100187      err2_b=702.6492645940178
iter = 4      errA=7.49142081420407e8      err2_a=0.08439099769875975      err2_b=739.0587567794873
iter = 5      errA=6.355031475357715e8      err2_a=0.06563462335061625      err2_b=747.7319994730049
iter = 6      errA=5.572625184393357e8      err2_a=0.05282328006737314      err2_b=710.5462951490404
iter = 7      errA=4.9984709835634094e8      err2_a=0.04552151754800357      err2_b=662.0301420929411
iter = 8      errA=4.450539127993751e8      err2_a=0.041245175766325054      err2_b=630.8851010340455
iter = 9      errA=3.945417675864717e8      err2_a=0.03377535503642969      err2_b=606.5948132982983
iter = 10      errA=3.613788252907611e8      err2_a=0.03169471703473964      err2_b=606.6518085511711
iter = 11      errA=3.276388523301241e8      err2_a=0.02646988234418021      err2_b=612.3422943242647
iter = 12      errA=3.042252209833676e8      err2_a=0.024817158855943742      err2_b=609.8044310532669
iter = 13      errA=2.8169164331721187e8      err2_a=0.01972777346871142      err2_b=604.7029719994198
iter = 14      errA=2.629401539262908e8      err2_a=0.020073860076890243      err2_b=601.9822338146097
iter = 15      errA=2.4593004362958086e8      err2_a=0.01567979527242076      err2_b=610.0866680733043
iter = 16      errA=2.3145209844716552e8      err2_a=0.01616155233724389      err2_b=620.4654893658773
iter = 17      errA=2.1666974993584818e8      err2_a=0.013820428131824726      err2_b=632.13728426201
iter = 18      errA=2.0438769849638993e8      err2_a=0.012538407784716717      err2_b=635.6664234697315
iter = 19      errA=1.9402592017248738e8      err2_a=0.012574540492763698      err2_b=647.6139334892899
iter = 20      errA=1.8290821402932963e8      err2_a=0.010275702840338451      err2_b=662.7984426868043
iter = 21      errA=1.7579226117706293e8      err2_a=0.00977013059070163      err2_b=666.8300049173475
iter = 22      errA=1.679617268686941e8      err2_a=0.009560146690948915      err2_b=674.828996421336
iter = 23      errA=1.61110787682255e8      err2_a=0.00846359503724561      err2_b=682.3006192769578
iter = 24      errA=1.5426572073761806e8      err2_a=0.008130484205439563      err2_b=682.8943942913462
iter = 25      errA=1.493688730037673e8      err2_a=0.00733691402523291      err2_b=683.9585467980794
iter = 26      errA=1.4382945238272452e8      err2_a=0.006835847953095955      err2_b=677.0410506931067
iter = 27      errA=1.39137439201879e8      err2_a=0.006883347723090582      err2_b=675.3504163181333
iter = 28      errA=1.3479131114547813e8      err2_a=0.006441381591616245      err2_b=668.5005046413098
iter = 29      errA=1.3108235925880003e8      err2_a=0.0061343915394661995      err2_b=665.8205952177154
iter = 30      errA=1.26388600270507e8      err2_a=0.00629830659607592      err2_b=669.18270774963
iter = 31      errA=1.2091578283258216e8      err2_a=0.006672944310443221      err2_b=674.6607434041372
iter = 32      errA=1.1636208830981036e8      err2_a=0.005360292344028879      err2_b=680.7979280834851
iter = 33      errA=1.1249231914939001e8      err2_a=0.005700748150712721      err2_b=687.2659895894111
iter = 34      errA=1.0824366533210538e8      err2_a=0.004998460060746073      err2_b=698.8254666224105
iter = 35      errA=1.0477567086322044e8      err2_a=0.005233205496820945      err2_b=711.1444165840198
iter = 36      errA=1.0168099420929663e8      err2_a=0.004518302096620623      err2_b=721.5464862114203
iter = 37      errA=9.878588528852478e7      err2_a=0.004219855438118713      err2_b=733.4466868152628
iter = 38      errA=9.58081236527192e7      err2_a=0.004600945522377669      err2_b=752.2895471186431
iter = 39      errA=9.31917776387446e7      err2_a=0.004049783569828452      err2_b=765.7372171949773
iter = 40      errA=9.015911935730575e7      err2_a=0.004249231038849939      err2_b=780.0675767055599
iter = 41      errA=8.731434368664965e7      err2_a=0.004145660451059629      err2_b=796.6896307048844
iter = 42      errA=8.468592473378015e7      err2_a=0.003924012847720153      err2_b=815.086875821239
iter = 43      errA=8.237606088985081e7      err2_a=0.0032464648194479202      err2_b=829.4516370382279
iter = 44      errA=8.040415445672284e7      err2_a=0.003388865472215488      err2_b=842.4304445892747
iter = 45      errA=7.849443348666629e7      err2_a=0.0034297687330515155      err2_b=863.6552261999329
iter = 46      errA=7.645386164222239e7      err2_a=0.0034084115864105036      err2_b=889.9052712562489
iter = 47      errA=7.438340906842232e7      err2_a=0.002763984413794522      err2_b=919.2438966554495
iter = 48      errA=7.261265619744433e7      err2_a=0.002676243990476677      err2_b=945.8926485304636
iter = 49      errA=7.121755573229529e7      err2_a=0.002731616291659195      err2_b=965.7655962187374
iter = 50      errA=6.97251359166777e7      err2_a=0.0027561161452428215      err2_b=985.7734461184225
iter = 51      errA=6.791652940672763e7      err2_a=0.0026973212506834626      err2_b=1010.8277331485951
iter = 52      errA=6.643487529750893e7      err2_a=0.002486678636401913      err2_b=1030.1394807345632
iter = 53      errA=6.500544517248414e7      err2_a=0.002675640671048655      err2_b=1048.6847646942335
iter = 54      errA=6.355682026026356e7      err2_a=0.002273256825469712      err2_b=1069.3443198030188
iter = 55      errA=6.240462978794317e7      err2_a=0.0023672215626610333      err2_b=1086.601969686331
iter = 56      errA=6.084047786898676e7      err2_a=0.002494125527319725      err2_b=1111.4591868718428
iter = 57      errA=5.96446495669426e7      err2_a=0.0022394679013893865      err2_b=1129.1950482790046
iter = 58      errA=5.854700338713942e7      err2_a=0.001900170798649025      err2_b=1141.0827797506633
iter = 59      errA=5.7606317153583795e7      err2_a=0.001802766989019498      err2_b=1149.9607821859731
iter = 60      errA=5.681374285367e7      err2_a=0.0018956604358820357      err2_b=1157.161654441694
iter = 61      errA=5.597092788022914e7      err2_a=0.0017510932262319655      err2_b=1162.0651460887498
iter = 62      errA=5.498704858169608e7      err2_a=0.0017283741437822836      err2_b=1171.1836888922505
iter = 63      errA=5.4037299782010846e7      err2_a=0.001793988210959061      err2_b=1179.6785004901421
iter = 64      errA=5.325892523203493e7      err2_a=0.0017791862959131504      err2_b=1188.2450075505224
iter = 65      errA=5.238464031559137e7      err2_a=0.0016870227929306793      err2_b=1198.0309436177106
iter = 66      errA=5.155884273202436e7      err2_a=0.001689652000109252      err2_b=1205.1515879814253
iter = 67      errA=5.077249149596213e7      err2_a=0.0015766084509728872      err2_b=1212.901590283742
iter = 68      errA=5.004102757148743e7      err2_a=0.0016953601785082177      err2_b=1223.1292334605328
iter = 69      errA=4.916199376273874e7      err2_a=0.0017123724486636505      err2_b=1235.9859023934268
iter = 70      errA=4.82916021771122e7      err2_a=0.0014608381234208223      err2_b=1247.0085955944467
iter = 71      errA=4.7588549751149625e7      err2_a=0.0015933477120435692      err2_b=1260.1557945279985
iter = 72      errA=4.699572958564649e7      err2_a=0.0014429710574274323      err2_b=1270.7337039193687
iter = 73      errA=4.633600012565536e7      err2_a=0.0013061936926480936      err2_b=1283.643289591411
iter = 74      errA=4.566625626338929e7      err2_a=0.0012814968041659207      err2_b=1297.4086909902946
iter = 75      errA=4.512244291311726e7      err2_a=0.001392018113949898      err2_b=1307.6426694192658
iter = 76      errA=4.450774208646894e7      err2_a=0.0013139045461638733      err2_b=1321.6730362075875
iter = 77      errA=4.40114158388504e7      err2_a=0.00122416044741425      err2_b=1332.5791024502882
iter = 78      errA=4.345548597578157e7      err2_a=0.0012239958024582809      err2_b=1342.9080565858847
iter = 79      errA=4.28577686697325e7      err2_a=0.0012877709286992231      err2_b=1352.898353409081
iter = 80      errA=4.2229662078660995e7      err2_a=0.0012648822614315647      err2_b=1360.9076321483315
iter = 81      errA=4.169592553121011e7      err2_a=0.001277496170299842      err2_b=1365.9404504297017
iter = 82      errA=4.1174032624591745e7      err2_a=0.0010366086689139501      err2_b=1368.8686569853442
iter = 83      errA=4.0645619547569476e7      err2_a=0.0011460488410184055      err2_b=1372.1337860442034
iter = 84      errA=4.0080602381593555e7      err2_a=0.0012164696953711421      err2_b=1377.4160282378796
iter = 85      errA=3.9503630604834266e7      err2_a=0.0011035192750734968      err2_b=1382.8904501874772
iter = 86      errA=3.909740879579137e7      err2_a=0.0009870383290683479      err2_b=1386.825369345619
iter = 87      errA=3.867181119718581e7      err2_a=0.0010362512046508904      err2_b=1388.6718715574195
iter = 88      errA=3.819086847018155e7      err2_a=0.0010509069260884892      err2_b=1390.090670682512
iter = 89      errA=3.7728938731759325e7      err2_a=0.0011151827888610086      err2_b=1390.1392909597462
iter = 90      errA=3.727667106398776e7      err2_a=0.0010627604933881353      err2_b=1390.168232426162
iter = 91      errA=3.685139556893693e7      err2_a=0.0009945536924917783      err2_b=1392.165842720988
iter = 92      errA=3.6334270237878375e7      err2_a=0.0011139125142333025      err2_b=1393.9643349558874
iter = 93      errA=3.590224377526008e7      err2_a=0.0010731633761047604      err2_b=1394.4687520560224
iter = 94      errA=3.542754280792383e7      err2_a=0.0008547565135125325      err2_b=1394.2518654687597
iter = 95      errA=3.501675980570562e7      err2_a=0.0008973542594937299      err2_b=1394.826466028709
iter = 96      errA=3.462753586834393e7      err2_a=0.000866209161559055      err2_b=1393.8881511374595
iter = 97      errA=3.424283867025736e7      err2_a=0.0008678854210654571      err2_b=1392.6820856697404
iter = 98      errA=3.381189249170284e7      err2_a=0.0008442977535041778      err2_b=1391.6736330214012
iter = 99      errA=3.3396831993218243e7      err2_a=0.000826986793788005      err2_b=1389.2681101345938
iter = 100      errA=3.3021362658856127e7      err2_a=0.0007257299550168467      err2_b=1384.0968123708146
iter = 101      errA=3.2732762151627958e7      err2_a=0.0007984320328949235      err2_b=1381.1170472152078
iter = 102      errA=3.242769142425758e7      err2_a=0.0007101295777772055      err2_b=1377.3938278886053
iter = 103      errA=3.2049912841084443e7      err2_a=0.0007637451320874997      err2_b=1372.401091588504
iter = 104      errA=3.1651416706345893e7      err2_a=0.0008096276750916677      err2_b=1367.8381515361814
iter = 105      errA=3.1326041738398187e7      err2_a=0.0006748033060942744      err2_b=1364.2524530463813
iter = 106      errA=3.1050105725041717e7      err2_a=0.0006921062613552482      err2_b=1362.0670321330158
iter = 107      errA=3.0798016193286747e7      err2_a=0.0008339263128090672      err2_b=1360.346050754965
iter = 108      errA=3.0597919273584336e7      err2_a=0.0007808579795266871      err2_b=1358.9216209836366
iter = 109      errA=3.0297029162036303e7      err2_a=0.0007233254158294692      err2_b=1358.1666936991883
iter = 110      errA=3.000554517508691e7      err2_a=0.000658339823603493      err2_b=1356.3192348963182
iter = 111      errA=2.9669888544782113e7      err2_a=0.0006807962999495545      err2_b=1351.7357830914507
iter = 112      errA=2.938641148050337e7      err2_a=0.0007195340197947526      err2_b=1348.1356311065663
iter = 113      errA=2.9052045210621655e7      err2_a=0.0007108624057774235      err2_b=1343.625990942582
iter = 114      errA=2.8760361585582905e7      err2_a=0.0006003021895109561      err2_b=1339.3301381370086
iter = 115      errA=2.8509491256993588e7      err2_a=0.0005903013421856256      err2_b=1335.204057271172
iter = 116      errA=2.827145941522576e7      err2_a=0.0005554162599590418      err2_b=1332.59964542721
iter = 117      errA=2.796523149643349e7      err2_a=0.000609021008421399      err2_b=1330.6218274960897
iter = 118      errA=2.777252643833836e7      err2_a=0.0008012881472929502      err2_b=1327.716346408487
iter = 119      errA=2.7558706973353367e7      err2_a=0.0006115201715730682      err2_b=1324.0830807665675
iter = 120      errA=2.7292267258583225e7      err2_a=0.0005993301099839575      err2_b=1319.5871097747279
iter = 121      errA=2.7048878137466278e7      err2_a=0.0006199186128821704      err2_b=1314.6664385921515
iter = 122      errA=2.678814283908096e7      err2_a=0.0005352209450305764      err2_b=1311.4436996783095
iter = 123      errA=2.6599180189946577e7      err2_a=0.0005300989775377405      err2_b=1310.24777267825
iter = 124      errA=2.641800283233303e7      err2_a=0.0005020856609057577      err2_b=1309.5625222491237
iter = 125      errA=2.617913179455942e7      err2_a=0.0004764052229952371      err2_b=1308.3467021383267
iter = 126      errA=2.5969055476839397e7      err2_a=0.0006044354340429248      err2_b=1308.251228319824
iter = 127      errA=2.575808453969673e7      err2_a=0.0005155229869312924      err2_b=1307.373827086145
iter = 128      errA=2.5557149514609132e7      err2_a=0.0004927722426928719      err2_b=1305.881933365583
iter = 129      errA=2.535970750407114e7      err2_a=0.0004122584450317879      err2_b=1304.4813023164168
iter = 130      errA=2.5213499548055883e7      err2_a=0.0004331662819757697      err2_b=1303.4323152089664
iter = 131      errA=2.505126173440855e7      err2_a=0.0004403015007715409      err2_b=1302.6993365173457
iter = 132      errA=2.4853000565864224e7      err2_a=0.00047116032740425695      err2_b=1301.2808759687423
iter = 133      errA=2.4635615734951332e7      err2_a=0.0004982514160335572      err2_b=1300.0749985119155
iter = 134      errA=2.439604803861766e7      err2_a=0.0005365729901371681      err2_b=1299.3201527940246
iter = 135      errA=2.4183784719310686e7      err2_a=0.0004634124113928816      err2_b=1297.6864145944603
iter = 136      errA=2.394686464912747e7      err2_a=0.0004478544144569368      err2_b=1295.5085529763294
iter = 137      errA=2.373891816135045e7      err2_a=0.0004196470143093667      err2_b=1292.2561875654199
iter = 138      errA=2.3552618107577723e7      err2_a=0.0004983407234503963      err2_b=1289.5204316915617
iter = 139      errA=2.3325510952386223e7      err2_a=0.00048822507769146216      err2_b=1285.3205087414642
iter = 140      errA=2.3150393420875177e7      err2_a=0.0005253109488325826      err2_b=1281.9437026379132
iter = 141      errA=2.3003543906133946e7      err2_a=0.0006056310442537993      err2_b=1279.3546484380888
