Avgstr = 173.1238887224470773
CG Iteration #1, relres 0.9999224777912545
CG Iteration #2, relres 0.9998481125296105
CG Iteration #3, relres 0.9996307920298252
CG Iteration #4, relres 0.9994985892431989
CG Iteration #5, relres 0.9992382358313777
CG Iteration #6, relres 0.9990047986821162
CG Iteration #7, relres 0.9985307581698032
CG Iteration #8, relres 0.9975931500669085
CG Iteration #9, relres 0.9965078150286617
CG Iteration #10, relres 0.9956056741256536
CG Iteration #11, relres 0.9947563874048888
CG Iteration #12, relres 0.9934553319886502
CG Iteration #13, relres 0.9925572655494216
CG Iteration #14, relres 0.9921679338795942
CG Iteration #15, relres 0.9908251980212256
CG Iteration #16, relres 0.9891166276532439
CG Iteration #17, relres 0.9875751587460386
CG Iteration #18, relres 0.9864499502439887
CG Iteration #19, relres 0.9857924261571248
CG Iteration #20, relres 0.9834184229499086
CG Iteration #21, relres 0.9832368036972368
CG Iteration #22, relres 0.9822326273152181
CG Iteration #23, relres 0.9819121646924253
CG Iteration #24, relres 0.9818036215152068
CG Iteration #25, relres 0.9796386090365991
CG Iteration #26, relres 0.9774041767230497
CG Iteration #27, relres 0.9752877614442255
CG Iteration #28, relres 0.9733014739095706
CG Iteration #29, relres 0.9726907875083188
CG Iteration #30, relres 0.9702974931854368
CG Iteration #31, relres 0.9694446818666547
CG Iteration #32, relres 0.9676503206059489
CG Iteration #33, relres 0.9675694331949626
CG Iteration #34, relres 0.9654243237192826
CG Iteration #35, relres 0.9624926467339062
CG Iteration #36, relres 0.9622253074003776
CG Iteration #37, relres 0.9611214950188609
CG Iteration #38, relres 0.9601943020030996
CG Iteration #39, relres 0.9573514377812851
CG Iteration #40, relres 0.9567761877148294
CG Iteration #41, relres 0.9545052804512651
CG Iteration #42, relres 0.9535854869669597
CG Iteration #43, relres 0.9532984793845689
CG Iteration #44, relres 0.9507271705961023
CG Iteration #45, relres 0.9487329845059367
CG Iteration #46, relres 0.9486062083538992
CG Iteration #47, relres 0.9451572639196636
CG Iteration #48, relres 0.9422233361884225
CG Iteration #49, relres 0.9412757602215716
CG Iteration #50, relres 0.9387211705962092
CG Iteration #51, relres 0.9384991728982477
CG Iteration #52, relres 0.9375887258149012
CG Iteration #53, relres 0.9372501949848965
CG Iteration #54, relres 0.9351280063209620
CG Iteration #55, relres 0.9324212861542110
CG Iteration #56, relres 0.9319694256714134
CG Iteration #57, relres 0.9302396873945089
CG Iteration #58, relres 0.9284955553292137
CG Iteration #59, relres 0.9283731820241040
CG Iteration #60, relres 0.9251263788571509
CG Iteration #61, relres 0.9225600887112260
CG Iteration #62, relres 0.9222011058012624
CG Iteration #63, relres 0.9220437409514803
CG Iteration #64, relres 0.9181588068658526
CG Iteration #65, relres 0.9155024349381585
CG Iteration #66, relres 0.9140881094931433
CG Iteration #67, relres 0.9131422399499138
CG Iteration #68, relres 0.9114566685865487
CG Iteration #69, relres 0.9086124614663187
CG Iteration #70, relres 0.9080623110893024
CG Iteration #71, relres 0.9075681646269224
CG Iteration #72, relres 0.9072237098325202
CG Iteration #73, relres 0.9071656702574249
CG Iteration #74, relres 0.9043556392443795
CG Iteration #75, relres 0.9024377694077996
CG Iteration #76, relres 0.9018373955213050
CG Iteration #77, relres 0.8987006649293761
CG Iteration #78, relres 0.8961061961849279
CG Iteration #79, relres 0.8946754893197921
CG Iteration #80, relres 0.8916813179721936
CG Iteration #81, relres 0.8914422895403549
CG Iteration #82, relres 0.8880423412926637
CG Iteration #83, relres 0.8876940191083211
CG Iteration #84, relres 0.8875342905818341
CG Iteration #85, relres 0.8862818793197247
CG Iteration #86, relres 0.8835957280435609
CG Iteration #87, relres 0.8832351113522270
CG Iteration #88, relres 0.8828974863302923
CG Iteration #89, relres 0.8804111749329757
CG Iteration #90, relres 0.8792126476083219
CG Iteration #91, relres 0.8791713474038871
CG Iteration #92, relres 0.8760049376108389
CG Iteration #93, relres 0.8723656988461148
CG Iteration #94, relres 0.8702298178530699
CG Iteration #95, relres 0.8695744776136256
CG Iteration #96, relres 0.8693530000474547
CG Iteration #97, relres 0.8686422781076579
CG Iteration #98, relres 0.8657947705778123
CG Iteration #99, relres 0.8656468373544726
CG Iteration #100, relres 0.8651751191511693
CG Iteration #101, relres 0.8641865973829882
CG Iteration #102, relres 0.8628233342709763
CG Iteration #103, relres 0.8615930137805281
CG Iteration #104, relres 0.8608959763852042
CG Iteration #105, relres 0.8588533420477605
CG Iteration #106, relres 0.8555976085041728
CG Iteration #107, relres 0.8531261635193782
CG Iteration #108, relres 0.8525439703303127
CG Iteration #109, relres 0.8516976018061357
CG Iteration #110, relres 0.8515150099950060
CG Iteration #111, relres 0.8507323191525268
CG Iteration #112, relres 0.8481339688793388
CG Iteration #113, relres 0.8466238095837363
CG Iteration #114, relres 0.8461847149883210
CG Iteration #115, relres 0.8429464986011893
CG Iteration #116, relres 0.8403551920142104
CG Iteration #117, relres 0.8392874146834781
CG Iteration #118, relres 0.8391348661047250
CG Iteration #119, relres 0.8382851963866151
CG Iteration #120, relres 0.8371720560041319
CG Iteration #121, relres 0.8366843806055380
CG Iteration #122, relres 0.8351547349370009
CG Iteration #123, relres 0.8345422375671069
CG Iteration #124, relres 0.8336089885892040
CG Iteration #125, relres 0.8296234099436762
CG Iteration #126, relres 0.8287505371416821
CG Iteration #127, relres 0.8270976881558263
CG Iteration #128, relres 0.8262948548639805
CG Iteration #129, relres 0.8260106476931605
CG Iteration #130, relres 0.8240983205763508
CG Iteration #131, relres 0.8221977816948405
CG Iteration #132, relres 0.8207132413018405
CG Iteration #133, relres 0.8188944534448187
CG Iteration #134, relres 0.8167868787626498
CG Iteration #135, relres 0.8162553385620802
CG Iteration #136, relres 0.8158508597000549
CG Iteration #137, relres 0.8157537488838117
CG Iteration #138, relres 0.8139434724915722
CG Iteration #139, relres 0.8122410996196188
CG Iteration #140, relres 0.8118975782468739
CG Iteration #141, relres 0.8114913701681252
CG Iteration #142, relres 0.8100220484870260
CG Iteration #143, relres 0.8083847914900608
CG Iteration #144, relres 0.8080558706207822
CG Iteration #145, relres 0.8047808176965529
CG Iteration #146, relres 0.8040804682913820
CG Iteration #147, relres 0.8008532838600776
CG Iteration #148, relres 0.8003639018884633
CG Iteration #149, relres 0.7971580428751948
CG Iteration #150, relres 0.7961091303076611
CG Iteration #151, relres 0.7932867992372957
CG Iteration #152, relres 0.7919810053523691
CG Iteration #153, relres 0.7894661197368741
CG Iteration #154, relres 0.7893489022760735
CG Iteration #155, relres 0.7892768489071859
CG Iteration #156, relres 0.7879825071647956
CG Iteration #157, relres 0.7874642914838984
CG Iteration #158, relres 0.7850746627728202
CG Iteration #159, relres 0.7845140736385374
CG Iteration #160, relres 0.7835538389319164
CG Iteration #161, relres 0.7826690836336713
CG Iteration #162, relres 0.7809256466970143
CG Iteration #163, relres 0.7804838802891367
CG Iteration #164, relres 0.7768841912178410
CG Iteration #165, relres 0.7767940582156084
CG Iteration #166, relres 0.7758908780528312
CG Iteration #167, relres 0.7746488417469538
CG Iteration #168, relres 0.7713038140400913
CG Iteration #169, relres 0.7702425235358012
CG Iteration #170, relres 0.7690845527535327
CG Iteration #171, relres 0.7684618405120499
CG Iteration #172, relres 0.7681470898193759
CG Iteration #173, relres 0.7671563611398354
CG Iteration #174, relres 0.7664763527883960
CG Iteration #175, relres 0.7664425341787541
CG Iteration #176, relres 0.7650777712172823
CG Iteration #177, relres 0.7620511929210756
CG Iteration #178, relres 0.7615904824123465
CG Iteration #179, relres 0.7583285913365927
CG Iteration #180, relres 0.7581073779614247
CG Iteration #181, relres 0.7563131768004441
CG Iteration #182, relres 0.7556089103131183
CG Iteration #183, relres 0.7554288767510604
CG Iteration #184, relres 0.7539519329208231
CG Iteration #185, relres 0.7530370706105681
CG Iteration #186, relres 0.7525844949299482
CG Iteration #187, relres 0.7513343035637949
CG Iteration #188, relres 0.7502787437641687
CG Iteration #189, relres 0.7493919429441354
CG Iteration #190, relres 0.7482332380854555
CG Iteration #191, relres 0.7475016486687845
CG Iteration #192, relres 0.7464523575816614
CG Iteration #193, relres 0.7464100122151015
CG Iteration #194, relres 0.7456177202563508
CG Iteration #195, relres 0.7446344920083015
CG Iteration #196, relres 0.7416071501002660
CG Iteration #197, relres 0.7388301251089380
CG Iteration #198, relres 0.7387492485244985
CG Iteration #199, relres 0.7349296390499280
CG Iteration #200, relres 0.7338912561918461
CG Iteration #201, relres 0.7338134087092609
CG Iteration #202, relres 0.7337060079645568
CG Iteration #203, relres 0.7332646546386002
CG Iteration #204, relres 0.7320999645575461
CG Iteration #205, relres 0.7292917409407761
CG Iteration #206, relres 0.7287315769211757
CG Iteration #207, relres 0.7279814743950566
CG Iteration #208, relres 0.7270590949182183
CG Iteration #209, relres 0.7251727777117242
CG Iteration #210, relres 0.7250225469785833
CG Iteration #211, relres 0.7244272883886498
CG Iteration #212, relres 0.7240203388766141
CG Iteration #213, relres 0.7222521106826867
CG Iteration #214, relres 0.7208025495926093
CG Iteration #215, relres 0.7189059085191541
CG Iteration #216, relres 0.7181164815703416
CG Iteration #217, relres 0.7168395419588768
CG Iteration #218, relres 0.7157266567923484
CG Iteration #219, relres 0.7153485991526342
CG Iteration #220, relres 0.7149395562946150
CG Iteration #221, relres 0.7139670171078223
CG Iteration #222, relres 0.7117516411337343
CG Iteration #223, relres 0.7117012921191528
CG Iteration #224, relres 0.7111577511671870
CG Iteration #225, relres 0.7107185061940152
CG Iteration #226, relres 0.7101922783405645
CG Iteration #227, relres 0.7091936130158549
CG Iteration #228, relres 0.7066958791591991
CG Iteration #229, relres 0.7066271364464743
CG Iteration #230, relres 0.7062223901873358
CG Iteration #231, relres 0.7037809053602567
CG Iteration #232, relres 0.7036282896082655
CG Iteration #233, relres 0.7023154349589749
CG Iteration #234, relres 0.7018051232770381
CG Iteration #235, relres 0.6990641294607899
CG Iteration #236, relres 0.6990191784265368
CG Iteration #237, relres 0.6974127802653260
CG Iteration #238, relres 0.6973109115063737
CG Iteration #239, relres 0.6951232642336997
CG Iteration #240, relres 0.6943711216475598
CG Iteration #241, relres 0.6938934587909281
CG Iteration #242, relres 0.6916007672519734
CG Iteration #243, relres 0.6898701471184195
CG Iteration #244, relres 0.6895700983960906
CG Iteration #245, relres 0.6878475256717398
CG Iteration #246, relres 0.6872807946829708
CG Iteration #247, relres 0.6872609827802733
CG Iteration #248, relres 0.6868291618011628
CG Iteration #249, relres 0.6866308968039346
CG Iteration #250, relres 0.6853217893229453
CG Iteration #251, relres 0.6835523240032969
CG Iteration #252, relres 0.6821927254888637
CG Iteration #253, relres 0.6800737566519395
CG Iteration #254, relres 0.6793268426637871
CG Iteration #255, relres 0.6787413516537834
CG Iteration #256, relres 0.6786702679940564
CG Iteration #257, relres 0.6776330225533541
CG Iteration #258, relres 0.6774123980573193
CG Iteration #259, relres 0.6765789389519861
CG Iteration #260, relres 0.6744601837942061
CG Iteration #261, relres 0.6738033749929961
CG Iteration #262, relres 0.6737364352124604
CG Iteration #263, relres 0.6728631016037728
CG Iteration #264, relres 0.6714560861583945
CG Iteration #265, relres 0.6698279050804039
CG Iteration #266, relres 0.6697690592581671
CG Iteration #267, relres 0.6688990463884734
CG Iteration #268, relres 0.6666096507190480
CG Iteration #269, relres 0.6660826910567879
CG Iteration #270, relres 0.6652892903345506
CG Iteration #271, relres 0.6635093911216141
CG Iteration #272, relres 0.6634147636083000
CG Iteration #273, relres 0.6625001284154933
CG Iteration #274, relres 0.6618057647111206
CG Iteration #275, relres 0.6613072487339443
CG Iteration #276, relres 0.6610938200326740
CG Iteration #277, relres 0.6603731580297786
CG Iteration #278, relres 0.6602637211011089
CG Iteration #279, relres 0.6582320699305081
CG Iteration #280, relres 0.6578748672728660
CG Iteration #281, relres 0.6548907684493266
CG Iteration #282, relres 0.6545104027968885
CG Iteration #283, relres 0.6532733313973366
CG Iteration #284, relres 0.6527899746041568
CG Iteration #285, relres 0.6519253363815829
CG Iteration #286, relres 0.6502939750105211
CG Iteration #287, relres 0.6486933282217197
CG Iteration #288, relres 0.6473297663399278
CG Iteration #289, relres 0.6468519656793128
CG Iteration #290, relres 0.6456954345637919
CG Iteration #291, relres 0.6455700422859055
CG Iteration #292, relres 0.6453831758945107
CG Iteration #293, relres 0.6448727022362493
CG Iteration #294, relres 0.6431060958882996
CG Iteration #295, relres 0.6426311919415212
CG Iteration #296, relres 0.6418207588260834
CG Iteration #297, relres 0.6406995466586801
CG Iteration #298, relres 0.6400896287056679
CG Iteration #299, relres 0.6394654792787030
CG Iteration #300, relres 0.6389522296358051
CG Iteration #301, relres 0.6363295879853444
CG Iteration #302, relres 0.6363000634562181
CG Iteration #303, relres 0.6351195120119886
CG Iteration #304, relres 0.6346957033378312
CG Iteration #305, relres 0.6339114155505663
CG Iteration #306, relres 0.6335597101938253
CG Iteration #307, relres 0.6319579778191642
CG Iteration #308, relres 0.6311613357865492
CG Iteration #309, relres 0.6300273528271304
CG Iteration #310, relres 0.6299921557565176
CG Iteration #311, relres 0.6275289537767399
CG Iteration #312, relres 0.6274392356474560
CG Iteration #313, relres 0.6270584116084872
CG Iteration #314, relres 0.6265961825697647
CG Iteration #315, relres 0.6263182210128756
CG Iteration #316, relres 0.6238271028285850
CG Iteration #317, relres 0.6219061366308932
CG Iteration #318, relres 0.6202245824667546
CG Iteration #319, relres 0.6194407374336929
CG Iteration #320, relres 0.6193406041831493
CG Iteration #321, relres 0.6192815607175397
CG Iteration #322, relres 0.6190334972337085
CG Iteration #323, relres 0.6173316196089911
CG Iteration #324, relres 0.6162954036923565
CG Iteration #325, relres 0.6160052259545490
CG Iteration #326, relres 0.6150075011788865
CG Iteration #327, relres 0.6134659431178169
CG Iteration #328, relres 0.6125573216043483
CG Iteration #329, relres 0.6116363236704437
CG Iteration #330, relres 0.6115452406725842
CG Iteration #331, relres 0.6109919656102805
CG Iteration #332, relres 0.6104168650602609
CG Iteration #333, relres 0.6101702642587442
CG Iteration #334, relres 0.6081406050387345
CG Iteration #335, relres 0.6078295724444588
CG Iteration #336, relres 0.6075742802372912
CG Iteration #337, relres 0.6051628968029481
CG Iteration #338, relres 0.6046629068786733
CG Iteration #339, relres 0.6028874246214970
CG Iteration #340, relres 0.6028507687081694
CG Iteration #341, relres 0.6027418614143825
CG Iteration #342, relres 0.6020771072044586
CG Iteration #343, relres 0.6015149109579785
CG Iteration #344, relres 0.5999456950070760
CG Iteration #345, relres 0.5980843663333513
CG Iteration #346, relres 0.5972733564976187
CG Iteration #347, relres 0.5970619504856689
CG Iteration #348, relres 0.5966213343879184
CG Iteration #349, relres 0.5947636573946304
CG Iteration #350, relres 0.5938387452573427
CG Iteration #351, relres 0.5934867642583719
CG Iteration #352, relres 0.5929420638465472
CG Iteration #353, relres 0.5921930008121761
CG Iteration #354, relres 0.5916951992295598
CG Iteration #355, relres 0.5892609524372160
CG Iteration #356, relres 0.5890470263977075
CG Iteration #357, relres 0.5888845586091398
CG Iteration #358, relres 0.5880552664979254
CG Iteration #359, relres 0.5877465834394765
CG Iteration #360, relres 0.5864496699977040
CG Iteration #361, relres 0.5858984843412407
CG Iteration #362, relres 0.5845325904999775
CG Iteration #363, relres 0.5831857767697025
CG Iteration #364, relres 0.5829574110667993
CG Iteration #365, relres 0.5827318453324219
CG Iteration #366, relres 0.5807497519587946
CG Iteration #367, relres 0.5799446559951096
CG Iteration #368, relres 0.5794418620200570
CG Iteration #369, relres 0.5783562298371776
CG Iteration #370, relres 0.5782275226053682
CG Iteration #371, relres 0.5767255229810315
CG Iteration #372, relres 0.5766069427578144
CG Iteration #373, relres 0.5763307040652936
CG Iteration #374, relres 0.5762244913554257
