Avgstr = 173.1238887224390623
CG Iteration #1, relres 0.9999224777912616
CG Iteration #2, relres 0.9998481125296098
CG Iteration #3, relres 0.9996307920298279
CG Iteration #4, relres 0.9994985892432036
CG Iteration #5, relres 0.9992382358313852
CG Iteration #6, relres 0.9990047986821261
CG Iteration #7, relres 0.9985307581698120
CG Iteration #8, relres 0.9975931500669957
CG Iteration #9, relres 0.9965078150223811
CG Iteration #10, relres 0.9956056743631385
CG Iteration #11, relres 0.9947563801698047
CG Iteration #12, relres 0.9934556813965879
CG Iteration #13, relres 0.9922083856940431
CG Iteration #14, relres 0.9908566164189575
CG Iteration #15, relres 0.9891599080930281
CG Iteration #16, relres 0.9876049250843452
CG Iteration #17, relres 0.9858724598180043
CG Iteration #18, relres 0.9834381231880057
CG Iteration #19, relres 0.9822792940517363
CG Iteration #20, relres 0.9801113669818748
CG Iteration #21, relres 0.9777664206053013
CG Iteration #22, relres 0.9757286062571255
CG Iteration #23, relres 0.9736036467940687
CG Iteration #24, relres 0.9727822841779816
CG Iteration #25, relres 0.9706536468980883
CG Iteration #26, relres 0.9684485567747514
CG Iteration #27, relres 0.9660139018417033
CG Iteration #28, relres 0.9630939926968425
CG Iteration #29, relres 0.9614295101321639
CG Iteration #30, relres 0.9612014334195289
CG Iteration #31, relres 0.9577876529806594
CG Iteration #32, relres 0.9553810987005356
CG Iteration #33, relres 0.9526014182995142
CG Iteration #34, relres 0.9509532017869891
CG Iteration #35, relres 0.9499813077604576
CG Iteration #36, relres 0.9466817354188422
CG Iteration #37, relres 0.9434106559147436
CG Iteration #38, relres 0.9431878946766756
CG Iteration #39, relres 0.9402441281058588
CG Iteration #40, relres 0.9369553903586660
CG Iteration #41, relres 0.9343408007637951
CG Iteration #42, relres 0.9305367768803943
CG Iteration #43, relres 0.9280035878031494
CG Iteration #44, relres 0.9279424797502328
CG Iteration #45, relres 0.9273736008881501
CG Iteration #46, relres 0.9244164336544978
CG Iteration #47, relres 0.9207050993323895
CG Iteration #48, relres 0.9180734466359391
CG Iteration #49, relres 0.9142807275528955
CG Iteration #50, relres 0.9100694629296874
CG Iteration #51, relres 0.9076399823999574
CG Iteration #52, relres 0.9065719808483470
CG Iteration #53, relres 0.9061154910665288
CG Iteration #54, relres 0.9027672378160380
CG Iteration #55, relres 0.8994349608491607
CG Iteration #56, relres 0.8961350913023012
CG Iteration #57, relres 0.8926287076724482
CG Iteration #58, relres 0.8919159929633355
CG Iteration #59, relres 0.8883368823700091
CG Iteration #60, relres 0.8856165969730571
CG Iteration #61, relres 0.8847809912467453
CG Iteration #62, relres 0.8818587930528775
CG Iteration #63, relres 0.8812558265632153
CG Iteration #64, relres 0.8791504581127465
CG Iteration #65, relres 0.8766796220527532
CG Iteration #66, relres 0.8754326724154680
CG Iteration #67, relres 0.8748386160159952
CG Iteration #68, relres 0.8721038572973679
CG Iteration #69, relres 0.8684117882896637
CG Iteration #70, relres 0.8649957702438387
CG Iteration #71, relres 0.8629688350226105
CG Iteration #72, relres 0.8612840283806315
