Avgstr = 4.4400231222699187
CG Iteration #1, relres 0.9998223905432122
CG Iteration #2, relres 0.9974858530430667
CG Iteration #3, relres 0.9958839494986556
CG Iteration #4, relres 0.9922115703490356
CG Iteration #5, relres 0.9865936659710848
CG Iteration #6, relres 0.9811373529196389
CG Iteration #7, relres 0.9726924765335307
CG Iteration #8, relres 0.9624200878902347
CG Iteration #9, relres 0.9513438509892902
CG Iteration #10, relres 0.9429148466406649
CG Iteration #11, relres 0.9352571912209654
CG Iteration #12, relres 0.9242853058233006
CG Iteration #13, relres 0.9151607658852497
CG Iteration #14, relres 0.9039511408148888
CG Iteration #15, relres 0.8874202075788797
CG Iteration #16, relres 0.8738975120899016
CG Iteration #17, relres 0.8593595213363926
CG Iteration #18, relres 0.8480109606558837
CG Iteration #19, relres 0.8382112498973325
CG Iteration #20, relres 0.8288763694395367
CG Iteration #21, relres 0.8155860680082225
CG Iteration #22, relres 0.8052877667586602
CG Iteration #23, relres 0.7923611456097061
CG Iteration #24, relres 0.7812952307872651
CG Iteration #25, relres 0.7699491896229734
CG Iteration #26, relres 0.7691721181262269
CG Iteration #27, relres 0.7576077255453584
CG Iteration #28, relres 0.7470232163222339
CG Iteration #29, relres 0.7362775559502590
CG Iteration #30, relres 0.7248314247158881
CG Iteration #31, relres 0.7153139860626487
CG Iteration #32, relres 0.7062220994275901
CG Iteration #33, relres 0.6943845443184827
CG Iteration #34, relres 0.6876204065225979
CG Iteration #35, relres 0.6845034908401224
CG Iteration #36, relres 0.6753754768852447
CG Iteration #37, relres 0.6674214336997876
CG Iteration #38, relres 0.6577747951862433
CG Iteration #39, relres 0.6495817297957577
CG Iteration #40, relres 0.6414007665591697
CG Iteration #41, relres 0.6349352980861084
CG Iteration #42, relres 0.6253599676324720
CG Iteration #43, relres 0.6150752738518649
CG Iteration #44, relres 0.6071661507484372
CG Iteration #45, relres 0.6043628276475647
CG Iteration #46, relres 0.5971826928549647
CG Iteration #47, relres 0.5910157976160068
CG Iteration #48, relres 0.5898601099669547
CG Iteration #49, relres 0.5821965281676467
CG Iteration #50, relres 0.5759149629109063
CG Iteration #51, relres 0.5680965151790432
CG Iteration #52, relres 0.5611673800319444
CG Iteration #53, relres 0.5535751155972354
CG Iteration #54, relres 0.5459725718959495
CG Iteration #55, relres 0.5390372792653151
CG Iteration #56, relres 0.5318374679162646
CG Iteration #57, relres 0.5253967353398197
CG Iteration #58, relres 0.5218127968191293
CG Iteration #59, relres 0.5170949191829179
CG Iteration #60, relres 0.5098192310040096
CG Iteration #61, relres 0.5046477601434191
CG Iteration #62, relres 0.5024759583390533
CG Iteration #63, relres 0.5011818712928144
CG Iteration #64, relres 0.4957672196626822
CG Iteration #65, relres 0.4898341705066406
CG Iteration #66, relres 0.4836250165311832
CG Iteration #67, relres 0.4767583314924754
CG Iteration #68, relres 0.4704035642198550
CG Iteration #69, relres 0.4663489295353526
CG Iteration #70, relres 0.4652831154244974
CG Iteration #71, relres 0.4586042489570626
CG Iteration #72, relres 0.4529995031222521
CG Iteration #73, relres 0.4475913490241037
CG Iteration #74, relres 0.4435988535639936
CG Iteration #75, relres 0.4400282364810248
CG Iteration #76, relres 0.4339541236812155
CG Iteration #77, relres 0.4280157168483607
CG Iteration #78, relres 0.4249255968652987
CG Iteration #79, relres 0.4207500821495929
CG Iteration #80, relres 0.4135307837819758
CG Iteration #81, relres 0.4108892710588684
CG Iteration #82, relres 0.4067979128699946
CG Iteration #83, relres 0.4006844488509295
CG Iteration #84, relres 0.3941072730967936
CG Iteration #85, relres 0.3867033773008406
CG Iteration #86, relres 0.3811802450799917
CG Iteration #87, relres 0.3746505763830690
CG Iteration #88, relres 0.3742907048646875
CG Iteration #89, relres 0.3699045268295399
CG Iteration #90, relres 0.3694094952499845
CG Iteration #91, relres 0.3673698292111154
CG Iteration #92, relres 0.3619829000196120
CG Iteration #93, relres 0.3568882544937070
CG Iteration #94, relres 0.3507103857521226
CG Iteration #95, relres 0.3447785208849312
CG Iteration #96, relres 0.3428068800894741
CG Iteration #97, relres 0.3389853259143320
CG Iteration #98, relres 0.3331847700316054
CG Iteration #99, relres 0.3276178303204896
CG Iteration #100, relres 0.3232653520323677
CG Iteration #101, relres 0.3216154257854140
CG Iteration #102, relres 0.3161847724012173
CG Iteration #103, relres 0.3132565778451123
CG Iteration #104, relres 0.3105591349526362
CG Iteration #105, relres 0.3049314716710942
CG Iteration #106, relres 0.2990540794376539
CG Iteration #107, relres 0.2963196889257721
CG Iteration #108, relres 0.2923135319867397
CG Iteration #109, relres 0.2916251987253469
CG Iteration #110, relres 0.2867878107505738
CG Iteration #111, relres 0.2844070350160813
CG Iteration #112, relres 0.2806533146124435
CG Iteration #113, relres 0.2802582949001486
CG Iteration #114, relres 0.2760761148452238
CG Iteration #115, relres 0.2745515553586485
CG Iteration #116, relres 0.2684850858707707
CG Iteration #117, relres 0.2662868155966381
CG Iteration #118, relres 0.2622450968760152
CG Iteration #119, relres 0.2569908627119896
CG Iteration #120, relres 0.2529951883694344
CG Iteration #121, relres 0.2503936188896257
CG Iteration #122, relres 0.2478752589676834
CG Iteration #123, relres 0.2446516555865405
CG Iteration #124, relres 0.2396574260729339
CG Iteration #125, relres 0.2372121051947646
CG Iteration #126, relres 0.2336289093100301
CG Iteration #127, relres 0.2294164408297007
CG Iteration #128, relres 0.2278985225677284
CG Iteration #129, relres 0.2235015167711240
CG Iteration #130, relres 0.2233611996487561
CG Iteration #131, relres 0.2220329692084679
CG Iteration #132, relres 0.2169499061425080
CG Iteration #133, relres 0.2143134682876675
CG Iteration #134, relres 0.2108842432822114
CG Iteration #135, relres 0.2055266340328452
CG Iteration #136, relres 0.2041084253419086
CG Iteration #137, relres 0.2001633602835327
CG Iteration #138, relres 0.1956948433061918
CG Iteration #139, relres 0.1954343536759577
CG Iteration #140, relres 0.1941801687841216
CG Iteration #141, relres 0.1901195740049567
CG Iteration #142, relres 0.1855203112545528
CG Iteration #143, relres 0.1843795406517761
CG Iteration #144, relres 0.1833349067403091
CG Iteration #145, relres 0.1796571930091894
CG Iteration #146, relres 0.1782520095007699
CG Iteration #147, relres 0.1756245444161812
CG Iteration #148, relres 0.1751720239858059
CG Iteration #149, relres 0.1713611285691247
CG Iteration #150, relres 0.1691196865733837
CG Iteration #151, relres 0.1688641318899789
CG Iteration #152, relres 0.1670174806345159
CG Iteration #153, relres 0.1660600498477532
CG Iteration #154, relres 0.1625119169062864
CG Iteration #155, relres 0.1598922809368498
CG Iteration #156, relres 0.1577468816862684
CG Iteration #157, relres 0.1537825772770386
CG Iteration #158, relres 0.1524717749398708
CG Iteration #159, relres 0.1496751070733753
CG Iteration #160, relres 0.1477393517863327
CG Iteration #161, relres 0.1460309112393928
CG Iteration #162, relres 0.1432294475195675
CG Iteration #163, relres 0.1421209657346338
CG Iteration #164, relres 0.1398914222064350
CG Iteration #165, relres 0.1392574826863884
CG Iteration #166, relres 0.1390114580693639
CG Iteration #167, relres 0.1364748287212166
CG Iteration #168, relres 0.1354710546588184
CG Iteration #169, relres 0.1334447326565877
CG Iteration #170, relres 0.1324620238823880
CG Iteration #171, relres 0.1323121988914226
CG Iteration #172, relres 0.1302829455074573
CG Iteration #173, relres 0.1282581516118214
CG Iteration #174, relres 0.1274290256997516
CG Iteration #175, relres 0.1269188299955271
CG Iteration #176, relres 0.1249332157652319
CG Iteration #177, relres 0.1238500161666919
CG Iteration #178, relres 0.1225334463724427
CG Iteration #179, relres 0.1206926645714979
CG Iteration #180, relres 0.1203822093983353
CG Iteration #181, relres 0.1195757441086461
CG Iteration #182, relres 0.1180408193772320
CG Iteration #183, relres 0.1175969144710273
CG Iteration #184, relres 0.1167188740054783
CG Iteration #185, relres 0.1151107237623611
CG Iteration #186, relres 0.1141533989320925
CG Iteration #187, relres 0.1128258667053526
CG Iteration #188, relres 0.1115705055702952
CG Iteration #189, relres 0.1108620668432733
CG Iteration #190, relres 0.1095479000415598
CG Iteration #191, relres 0.1087303601598183
CG Iteration #192, relres 0.1085669550724980
CG Iteration #193, relres 0.1084047013360786
CG Iteration #194, relres 0.1082037643461564
CG Iteration #195, relres 0.1074395888144569
CG Iteration #196, relres 0.1063743088692522
CG Iteration #197, relres 0.1044674193244333
CG Iteration #198, relres 0.1033249828594552
CG Iteration #199, relres 0.1024264094679514
CG Iteration #200, relres 0.1017141840122977
CG Iteration #201, relres 0.1001260144069222
CG Iteration #202, relres 0.0985432593842172
CG Iteration #203, relres 0.0976235314076838
CG Iteration #204, relres 0.0962510109983603
CG Iteration #205, relres 0.0957755707560844
CG Iteration #206, relres 0.0943078174262514
CG Iteration #207, relres 0.0925110646537120
CG Iteration #208, relres 0.0912330462326349
CG Iteration #209, relres 0.0901666563625267
CG Iteration #210, relres 0.0885010443121388
CG Iteration #211, relres 0.0881796085533581
CG Iteration #212, relres 0.0879114882616989
CG Iteration #213, relres 0.0870957569635092
CG Iteration #214, relres 0.0868198014734923
CG Iteration #215, relres 0.0861625254654282
CG Iteration #216, relres 0.0856297337698877
CG Iteration #217, relres 0.0839354850913776
CG Iteration #218, relres 0.0825372545197999
CG Iteration #219, relres 0.0821997689884930
CG Iteration #220, relres 0.0804715216661188
CG Iteration #221, relres 0.0791952013331760
CG Iteration #222, relres 0.0783353761001994
CG Iteration #223, relres 0.0777177894116048
CG Iteration #224, relres 0.0766107081762265
CG Iteration #225, relres 0.0755022343433969
CG Iteration #226, relres 0.0748983162573753
CG Iteration #227, relres 0.0734002838759612
CG Iteration #228, relres 0.0729647362453337
CG Iteration #229, relres 0.0719698980539978
CG Iteration #230, relres 0.0708041296681977
CG Iteration #231, relres 0.0706473316995135
CG Iteration #232, relres 0.0694551690803875
CG Iteration #233, relres 0.0689837534316576
CG Iteration #234, relres 0.0689375536085944
CG Iteration #235, relres 0.0674452620975861
CG Iteration #236, relres 0.0672278277150436
CG Iteration #237, relres 0.0667418319286760
CG Iteration #238, relres 0.0658033934131907
CG Iteration #239, relres 0.0655497437986718
CG Iteration #240, relres 0.0641350485906500
CG Iteration #241, relres 0.0637394683753715
CG Iteration #242, relres 0.0627323409509210
CG Iteration #243, relres 0.0617897648324312
CG Iteration #244, relres 0.0604961467992835
CG Iteration #245, relres 0.0604089879936633
CG Iteration #246, relres 0.0599903744968479
CG Iteration #247, relres 0.0587419161209621
CG Iteration #248, relres 0.0576821104470432
CG Iteration #249, relres 0.0572927841869067
CG Iteration #250, relres 0.0561083934290820
CG Iteration #251, relres 0.0547692622474844
CG Iteration #252, relres 0.0538268383324149
CG Iteration #253, relres 0.0533477743402312
CG Iteration #254, relres 0.0526510643702240
CG Iteration #255, relres 0.0524383826442795
CG Iteration #256, relres 0.0516387379616898
CG Iteration #257, relres 0.0504581953385176
CG Iteration #258, relres 0.0500182999620475
CG Iteration #259, relres 0.0492234537959809
CG Iteration #260, relres 0.0484282833068097
CG Iteration #261, relres 0.0476262432367255
CG Iteration #262, relres 0.0465889522600331
CG Iteration #263, relres 0.0457976400721771
CG Iteration #264, relres 0.0454794077665849
CG Iteration #265, relres 0.0445947972372146
CG Iteration #266, relres 0.0443098775383711
CG Iteration #267, relres 0.0434589913223082
CG Iteration #268, relres 0.0434002288002805
CG Iteration #269, relres 0.0429343978938518
CG Iteration #270, relres 0.0422773808523302
CG Iteration #271, relres 0.0419637454376019
CG Iteration #272, relres 0.0417808301463479
CG Iteration #273, relres 0.0414831650303849
CG Iteration #274, relres 0.0409474295814728
CG Iteration #275, relres 0.0408000455715755
CG Iteration #276, relres 0.0405931777292337
CG Iteration #277, relres 0.0401803877234284
CG Iteration #278, relres 0.0399522830060082
CG Iteration #279, relres 0.0396301849943606
CG Iteration #280, relres 0.0395198061479169
CG Iteration #281, relres 0.0387874767134676
CG Iteration #282, relres 0.0385932345630878
CG Iteration #283, relres 0.0383130151369790
CG Iteration #284, relres 0.0378404370192812
CG Iteration #285, relres 0.0371472044395679
CG Iteration #286, relres 0.0368453717111291
CG Iteration #287, relres 0.0363162254197656
CG Iteration #288, relres 0.0360968012808355
CG Iteration #289, relres 0.0355423015733575
CG Iteration #290, relres 0.0351864882838250
CG Iteration #291, relres 0.0350022333852677
CG Iteration #292, relres 0.0347333498950455
CG Iteration #293, relres 0.0342390426780891
CG Iteration #294, relres 0.0336758236621532
CG Iteration #295, relres 0.0334176833349233
CG Iteration #296, relres 0.0333404600626990
CG Iteration #297, relres 0.0331600539349499
CG Iteration #298, relres 0.0328522311888033
CG Iteration #299, relres 0.0324367476573826
CG Iteration #300, relres 0.0319937615226416
CG Iteration #301, relres 0.0317633533438860
CG Iteration #302, relres 0.0312063727813038
CG Iteration #303, relres 0.0309929161222932
CG Iteration #304, relres 0.0305385590222344
CG Iteration #305, relres 0.0303565811003077
CG Iteration #306, relres 0.0299887168272490
CG Iteration #307, relres 0.0297280867842571
CG Iteration #308, relres 0.0295658964083140
CG Iteration #309, relres 0.0291454588658649
CG Iteration #310, relres 0.0287759197884560
CG Iteration #311, relres 0.0282977220276725
CG Iteration #312, relres 0.0280882338539201
CG Iteration #313, relres 0.0276711359485992
CG Iteration #314, relres 0.0276358552435621
CG Iteration #315, relres 0.0270830372814090
CG Iteration #316, relres 0.0266494759083261
CG Iteration #317, relres 0.0266346348481208
CG Iteration #318, relres 0.0265092477047960
CG Iteration #319, relres 0.0264066895388520
CG Iteration #320, relres 0.0261962982081074
CG Iteration #321, relres 0.0258204032241803
CG Iteration #322, relres 0.0256335979616388
CG Iteration #323, relres 0.0254806064407791
CG Iteration #324, relres 0.0253380934866750
CG Iteration #325, relres 0.0251340240390558
CG Iteration #326, relres 0.0248927957267927
CG Iteration #327, relres 0.0245294968462700
CG Iteration #328, relres 0.0242048886545458
CG Iteration #329, relres 0.0239298688441512
CG Iteration #330, relres 0.0238180453399502
CG Iteration #331, relres 0.0235360330788759
CG Iteration #332, relres 0.0233900009255083
CG Iteration #333, relres 0.0231992061162489
CG Iteration #334, relres 0.0227519171097172
CG Iteration #335, relres 0.0223585287289226
CG Iteration #336, relres 0.0220650930768350
CG Iteration #337, relres 0.0218533602779272
CG Iteration #338, relres 0.0218259441850467
CG Iteration #339, relres 0.0215593455906511
CG Iteration #340, relres 0.0214763513225411
CG Iteration #341, relres 0.0212954765585890
CG Iteration #342, relres 0.0210377597490958
CG Iteration #343, relres 0.0206159728697415
CG Iteration #344, relres 0.0205492988966969
CG Iteration #345, relres 0.0203869436958936
CG Iteration #346, relres 0.0200676235261991
CG Iteration #347, relres 0.0196002585455630
CG Iteration #348, relres 0.0195078684261989
CG Iteration #349, relres 0.0194622655583162
CG Iteration #350, relres 0.0192779729922418
CG Iteration #351, relres 0.0190943485714889
CG Iteration #352, relres 0.0186477016497413
CG Iteration #353, relres 0.0185189611945012
CG Iteration #354, relres 0.0182386065873148
CG Iteration #355, relres 0.0177731964745541
CG Iteration #356, relres 0.0174214278752188
CG Iteration #357, relres 0.0171890249591464
CG Iteration #358, relres 0.0170102553118855
CG Iteration #359, relres 0.0168814783366828
CG Iteration #360, relres 0.0168517043786124
CG Iteration #361, relres 0.0166252774456632
CG Iteration #362, relres 0.0165271027816376
CG Iteration #363, relres 0.0163189084284841
CG Iteration #364, relres 0.0162042307183256
CG Iteration #365, relres 0.0158481444795520
CG Iteration #366, relres 0.0157630710313015
CG Iteration #367, relres 0.0154427306290946
CG Iteration #368, relres 0.0151761283660228
CG Iteration #369, relres 0.0150104293459040
CG Iteration #370, relres 0.0148961415869139
CG Iteration #371, relres 0.0147329644782760
CG Iteration #372, relres 0.0145110400582943
CG Iteration #373, relres 0.0141377291831561
CG Iteration #374, relres 0.0138023334118711
CG Iteration #375, relres 0.0137938223201058
CG Iteration #376, relres 0.0136310920510561
CG Iteration #377, relres 0.0134261351556298
CG Iteration #378, relres 0.0131631854401338
CG Iteration #379, relres 0.0129964698968338
CG Iteration #380, relres 0.0129749695116189
CG Iteration #381, relres 0.0129239336516665
CG Iteration #382, relres 0.0127463249949986
CG Iteration #383, relres 0.0126790503010305
CG Iteration #384, relres 0.0126291709827839
CG Iteration #385, relres 0.0123175206391298
CG Iteration #386, relres 0.0121372274931790
CG Iteration #387, relres 0.0118820990708009
CG Iteration #388, relres 0.0116324110296207
CG Iteration #389, relres 0.0115733463160350
CG Iteration #390, relres 0.0114117565386264
CG Iteration #391, relres 0.0113090153779873
CG Iteration #392, relres 0.0111186577896442
CG Iteration #393, relres 0.0109627328700080
CG Iteration #394, relres 0.0109185716395309
CG Iteration #395, relres 0.0107508017267122
CG Iteration #396, relres 0.0106147543227116
CG Iteration #397, relres 0.0104769799056253
CG Iteration #398, relres 0.0103646116745484
CG Iteration #399, relres 0.0102340845377315
CG Iteration #400, relres 0.0102168640336459
CG Iteration #401, relres 0.0101335511413466
CG Iteration #402, relres 0.0101240356407436
CG Iteration #403, relres 0.0100476884635490
CG Iteration #404, relres 0.0098713606202217
CG Iteration #405, relres 0.0097107135952717
CG Iteration #406, relres 0.0096385456959661
CG Iteration #407, relres 0.0095460295302732
CG Iteration #408, relres 0.0094445610635500
CG Iteration #409, relres 0.0094147787397766
CG Iteration #410, relres 0.0093572851458948
CG Iteration #411, relres 0.0092001638877348
CG Iteration #412, relres 0.0091085488558114
CG Iteration #413, relres 0.0089540207339273
CG Iteration #414, relres 0.0088580105504133
CG Iteration #415, relres 0.0088013976672135
CG Iteration #416, relres 0.0087814727150394
CG Iteration #417, relres 0.0086758967391840
CG Iteration #418, relres 0.0086233697880887
CG Iteration #419, relres 0.0084848686398126
CG Iteration #420, relres 0.0084463269971882
CG Iteration #421, relres 0.0083127394752128
CG Iteration #422, relres 0.0083067330135819
CG Iteration #423, relres 0.0082629210036243
CG Iteration #424, relres 0.0080916797561061
CG Iteration #425, relres 0.0080428757416555
CG Iteration #426, relres 0.0079121301432075
CG Iteration #427, relres 0.0077462157515906
CG Iteration #428, relres 0.0077419959830082
CG Iteration #429, relres 0.0076531837562467
CG Iteration #430, relres 0.0075764197982718
CG Iteration #431, relres 0.0075423384550504
CG Iteration #432, relres 0.0074467485277160
CG Iteration #433, relres 0.0073839700653544
CG Iteration #434, relres 0.0072954652583259
CG Iteration #435, relres 0.0072312333306601
CG Iteration #436, relres 0.0071474335677880
CG Iteration #437, relres 0.0071138095353469
CG Iteration #438, relres 0.0069972431458072
CG Iteration #439, relres 0.0068474922286954
CG Iteration #440, relres 0.0068246357995129
CG Iteration #441, relres 0.0066998957918184
CG Iteration #442, relres 0.0066975137063567
CG Iteration #443, relres 0.0066357341721137
CG Iteration #444, relres 0.0065954948052497
CG Iteration #445, relres 0.0064952839626517
CG Iteration #446, relres 0.0064690787932725
CG Iteration #447, relres 0.0063659552260192
CG Iteration #448, relres 0.0063517247300737
CG Iteration #449, relres 0.0062916963790900
CG Iteration #450, relres 0.0062670397099532
CG Iteration #451, relres 0.0062514545195387
CG Iteration #452, relres 0.0061474688697303
CG Iteration #453, relres 0.0061093028645645
CG Iteration #454, relres 0.0060723533722241
CG Iteration #455, relres 0.0059834850361954
CG Iteration #456, relres 0.0059761878051034
CG Iteration #457, relres 0.0059347084862880
CG Iteration #458, relres 0.0058934814958638
CG Iteration #459, relres 0.0057898792802670
CG Iteration #460, relres 0.0056747859085713
CG Iteration #461, relres 0.0055922529675745
CG Iteration #462, relres 0.0055368264703101
CG Iteration #463, relres 0.0054662046115422
CG Iteration #464, relres 0.0054648498571559
CG Iteration #465, relres 0.0053627596704921
CG Iteration #466, relres 0.0053083529788550
CG Iteration #467, relres 0.0052917874883717
CG Iteration #468, relres 0.0051779141110007
CG Iteration #469, relres 0.0051506389962861
CG Iteration #470, relres 0.0050550587085548
CG Iteration #471, relres 0.0049996426099688
CG Iteration #472, relres 0.0049308218482828
CG Iteration #473, relres 0.0048704530467835
CG Iteration #474, relres 0.0047600925890906
CG Iteration #475, relres 0.0047380138683895
CG Iteration #476, relres 0.0046431936847835
CG Iteration #477, relres 0.0045928659689224
CG Iteration #478, relres 0.0045391058899981
CG Iteration #479, relres 0.0045038943870372
CG Iteration #480, relres 0.0044932899467955
CG Iteration #481, relres 0.0044302053652535
CG Iteration #482, relres 0.0043580765091574
CG Iteration #483, relres 0.0043228106384998
CG Iteration #484, relres 0.0043148535028534
CG Iteration #485, relres 0.0043125507718812
CG Iteration #486, relres 0.0042253930137126
CG Iteration #487, relres 0.0041758797965319
CG Iteration #488, relres 0.0041007364235361
CG Iteration #489, relres 0.0040296069252895
CG Iteration #490, relres 0.0039606935848631
CG Iteration #491, relres 0.0039455944031734
CG Iteration #492, relres 0.0038891466420944
CG Iteration #493, relres 0.0038460668568711
CG Iteration #494, relres 0.0037690667601415
CG Iteration #495, relres 0.0037357278178392
CG Iteration #496, relres 0.0037218678124803
CG Iteration #497, relres 0.0036449138577808
CG Iteration #498, relres 0.0036205701706038
CG Iteration #499, relres 0.0035447049037571
CG Iteration #500, relres 0.0035236978251722
CG Iteration #501, relres 0.0035066911871667
CG Iteration #502, relres 0.0034464086736932
CG Iteration #503, relres 0.0034057313378272
CG Iteration #504, relres 0.0033825610592706
CG Iteration #505, relres 0.0033638310925585
CG Iteration #506, relres 0.0033266188057074
CG Iteration #507, relres 0.0033212576249052
CG Iteration #508, relres 0.0033014735821528
CG Iteration #509, relres 0.0032444960906964
CG Iteration #510, relres 0.0032263630385040
CG Iteration #511, relres 0.0031575101160017
CG Iteration #512, relres 0.0031426470602130
CG Iteration #513, relres 0.0030734403337898
CG Iteration #514, relres 0.0030620191361243
CG Iteration #515, relres 0.0029992188892221
CG Iteration #516, relres 0.0029683677663459
CG Iteration #517, relres 0.0029298954975891
CG Iteration #518, relres 0.0029197246562850
CG Iteration #519, relres 0.0029019823543009
CG Iteration #520, relres 0.0028635706199116
CG Iteration #521, relres 0.0028355952313780
CG Iteration #522, relres 0.0028154532243192
CG Iteration #523, relres 0.0027719269208238
CG Iteration #524, relres 0.0027305579600487
CG Iteration #525, relres 0.0027168241368381
CG Iteration #526, relres 0.0027130173523079
CG Iteration #527, relres 0.0026657170149076
CG Iteration #528, relres 0.0026580156850903
CG Iteration #529, relres 0.0026120608164655
CG Iteration #530, relres 0.0025893562378770
CG Iteration #531, relres 0.0025618290335335
CG Iteration #532, relres 0.0025319596132732
CG Iteration #533, relres 0.0025264155580989
CG Iteration #534, relres 0.0025134147417198
CG Iteration #535, relres 0.0024967130990545
CG Iteration #536, relres 0.0024706059091901
CG Iteration #537, relres 0.0024505204838825
CG Iteration #538, relres 0.0024333748764883
CG Iteration #539, relres 0.0024061831732713
CG Iteration #540, relres 0.0023866148953772
CG Iteration #541, relres 0.0023690266034931
CG Iteration #542, relres 0.0023415769185209
CG Iteration #543, relres 0.0023183880788300
CG Iteration #544, relres 0.0023054429679422
CG Iteration #545, relres 0.0022647064139797
CG Iteration #546, relres 0.0022496695417926
CG Iteration #547, relres 0.0022450452449244
CG Iteration #548, relres 0.0022296068751236
CG Iteration #549, relres 0.0021832362010721
CG Iteration #550, relres 0.0021720170827756
CG Iteration #551, relres 0.0021350077331571
CG Iteration #552, relres 0.0021222026683756
CG Iteration #553, relres 0.0020851454467473
CG Iteration #554, relres 0.0020825139594099
CG Iteration #555, relres 0.0020548440159587
CG Iteration #556, relres 0.0020146801007529
CG Iteration #557, relres 0.0019730971742705
CG Iteration #558, relres 0.0019680551015268
CG Iteration #559, relres 0.0019500538297595
CG Iteration #560, relres 0.0019424714037441
CG Iteration #561, relres 0.0019212009084787
CG Iteration #562, relres 0.0018981695265023
CG Iteration #563, relres 0.0018648947948293
CG Iteration #564, relres 0.0018325686876732
CG Iteration #565, relres 0.0018197647978457
CG Iteration #566, relres 0.0017963778822512
CG Iteration #567, relres 0.0017883512039815
CG Iteration #568, relres 0.0017755726003729
CG Iteration #569, relres 0.0017622800824859
CG Iteration #570, relres 0.0017350464490612
CG Iteration #571, relres 0.0017076263629842
CG Iteration #572, relres 0.0016907769367816
CG Iteration #573, relres 0.0016647473751469
CG Iteration #574, relres 0.0016297145175068
CG Iteration #575, relres 0.0015982799805586
