Avgstr = 19.7361009544288670
CG Iteration #1, relres 0.9995208484163316
CG Iteration #2, relres 0.9981847280307211
CG Iteration #3, relres 0.9968306140521385
CG Iteration #4, relres 0.9936569155729806
CG Iteration #5, relres 0.9908315231875919
CG Iteration #6, relres 0.9855547601489210
CG Iteration #7, relres 0.9819014598766579
CG Iteration #8, relres 0.9787103745060021
CG Iteration #9, relres 0.9742031121068135
CG Iteration #10, relres 0.9688607200361972
CG Iteration #11, relres 0.9613924249902470
CG Iteration #12, relres 0.9552839673027189
CG Iteration #13, relres 0.9496998044709390
CG Iteration #14, relres 0.9426172623241907
CG Iteration #15, relres 0.9362453739602890
CG Iteration #16, relres 0.9349165816749357
CG Iteration #17, relres 0.9296784956542871
CG Iteration #18, relres 0.9246583322820531
CG Iteration #19, relres 0.9181044296084300
CG Iteration #20, relres 0.9151209820573522
CG Iteration #21, relres 0.9119474279072174
CG Iteration #22, relres 0.9056151266970500
CG Iteration #23, relres 0.8994568329298906
CG Iteration #24, relres 0.8952801382004003
CG Iteration #25, relres 0.8871167400764522
CG Iteration #26, relres 0.8776869745430455
CG Iteration #27, relres 0.8721802791132461
CG Iteration #28, relres 0.8692312358418514
CG Iteration #29, relres 0.8610766656505794
CG Iteration #30, relres 0.8592817764587860
CG Iteration #31, relres 0.8520413452542734
CG Iteration #32, relres 0.8435622240200605
CG Iteration #33, relres 0.8419253226132475
CG Iteration #34, relres 0.8332682439037009
CG Iteration #35, relres 0.8323144669188907
CG Iteration #36, relres 0.8267637797498364
CG Iteration #37, relres 0.8178126237729408
CG Iteration #38, relres 0.8114424894603059
CG Iteration #39, relres 0.8107948484433674
CG Iteration #40, relres 0.8038175856484934
CG Iteration #41, relres 0.7959442884649165
CG Iteration #42, relres 0.7895896685239004
CG Iteration #43, relres 0.7831355942583811
CG Iteration #44, relres 0.7806603327596636
CG Iteration #45, relres 0.7742490427566048
CG Iteration #46, relres 0.7683458423109211
CG Iteration #47, relres 0.7674009729123266
CG Iteration #48, relres 0.7625390641735440
CG Iteration #49, relres 0.7595112558567301
CG Iteration #50, relres 0.7588482201480155
CG Iteration #51, relres 0.7566940613754863
CG Iteration #52, relres 0.7518434501163163
CG Iteration #53, relres 0.7485633274064661
CG Iteration #54, relres 0.7441532796881234
CG Iteration #55, relres 0.7383605643981119
CG Iteration #56, relres 0.7366542600272610
CG Iteration #57, relres 0.7331090614916767
CG Iteration #58, relres 0.7284765086392463
CG Iteration #59, relres 0.7246548644995693
CG Iteration #60, relres 0.7201437046311716
CG Iteration #61, relres 0.7168859706903358
CG Iteration #62, relres 0.7159180515769388
CG Iteration #63, relres 0.7126202336650137
CG Iteration #64, relres 0.7099120637294253
CG Iteration #65, relres 0.7059736844018327
CG Iteration #66, relres 0.7017624851175170
CG Iteration #67, relres 0.6993721726193833
CG Iteration #68, relres 0.6931182372225496
CG Iteration #69, relres 0.6885750739814709
CG Iteration #70, relres 0.6852662415606818
CG Iteration #71, relres 0.6808767008844012
CG Iteration #72, relres 0.6798674913470506
CG Iteration #73, relres 0.6791329572069765
CG Iteration #74, relres 0.6745684229701452
CG Iteration #75, relres 0.6689214197997807
CG Iteration #76, relres 0.6635721552985734
CG Iteration #77, relres 0.6588600884529017
CG Iteration #78, relres 0.6580058947222587
CG Iteration #79, relres 0.6563073557443940
CG Iteration #80, relres 0.6509301501335663
CG Iteration #81, relres 0.6462589762227715
CG Iteration #82, relres 0.6432015398660649
CG Iteration #83, relres 0.6407855131395062
CG Iteration #84, relres 0.6402965967021895
CG Iteration #85, relres 0.6365681681412309
CG Iteration #86, relres 0.6331228628847430
CG Iteration #87, relres 0.6307768794294887
CG Iteration #88, relres 0.6280508639299814
CG Iteration #89, relres 0.6228343040896551
CG Iteration #90, relres 0.6188177456208123
CG Iteration #91, relres 0.6173088439711334
CG Iteration #92, relres 0.6132443741700768
CG Iteration #93, relres 0.6123041275247832
CG Iteration #94, relres 0.6099499020115331
CG Iteration #95, relres 0.6085954544083385
CG Iteration #96, relres 0.6061229869939230
CG Iteration #97, relres 0.6035569063291111
CG Iteration #98, relres 0.6006103296103754
CG Iteration #99, relres 0.5980603227559583
CG Iteration #100, relres 0.5951615311324648
CG Iteration #101, relres 0.5923898571867257
CG Iteration #102, relres 0.5891793813736839
CG Iteration #103, relres 0.5866605515850120
CG Iteration #104, relres 0.5852207862006497
CG Iteration #105, relres 0.5802772103551707
CG Iteration #106, relres 0.5792138239491809
CG Iteration #107, relres 0.5783151992155704
CG Iteration #108, relres 0.5746806378727037
CG Iteration #109, relres 0.5696026616291560
CG Iteration #110, relres 0.5691163107577756
CG Iteration #111, relres 0.5636815209435987
CG Iteration #112, relres 0.5624995167247057
CG Iteration #113, relres 0.5584848994100933
CG Iteration #114, relres 0.5534642714403378
CG Iteration #115, relres 0.5506274154237304
CG Iteration #116, relres 0.5473930099492187
CG Iteration #117, relres 0.5446005245028686
