anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 1      errA=89.00900819927148      err2_a=0.9969856819036348      err2_b=91.1657970602333
iter = 2      errA=88.80569583893289      err2_a=0.9929898625136404      err2_b=90.99497353305027
iter = 3      errA=88.0429202740372      err2_a=0.9781147538480103      err2_b=91.59316046361901
iter = 4      errA=87.33711334649131      err2_a=0.9641119692413515      err2_b=91.7556225213027
iter = 5      errA=86.6297732251228      err2_a=0.9521211226711647      err2_b=91.55663820043674
iter = 6      errA=86.0411621350799      err2_a=0.9373861232435773      err2_b=92.15135465284366
iter = 7      errA=84.66885558669924      err2_a=0.9170867191030255      err2_b=91.5867249829107
iter = 8      errA=83.34930198095455      err2_a=0.8930313414580314      err2_b=92.49449166205717
iter = 9      errA=82.21774750133731      err2_a=0.8699777352424364      err2_b=92.49878317899243
iter = 10      errA=81.1029337948047      err2_a=0.8477094471920741      err2_b=93.2389329477007
iter = 11      errA=80.26751509994682      err2_a=0.8356204347306578      err2_b=93.3197407056718
iter = 12      errA=79.07074064321708      err2_a=0.8128226613755501      err2_b=93.41452720561705
iter = 13      errA=77.05378516668654      err2_a=0.7871283722090872      err2_b=93.62562147195048
iter = 14      errA=75.86561605310739      err2_a=0.7720856501988644      err2_b=93.2348790189559
iter = 15      errA=74.53560443651374      err2_a=0.7541179216141045      err2_b=92.41096789361313
iter = 16      errA=72.20301593031145      err2_a=0.7271765599007722      err2_b=91.16847535443875
iter = 17      errA=69.44712790463196      err2_a=0.6858021140176297      err2_b=89.4096779432061
iter = 18      errA=66.61786336798758      err2_a=0.6444374087251143      err2_b=88.27134113093135
iter = 19      errA=66.59783359621254      err2_a=0.6443628710043469      err2_b=88.26441144780469
iter = 20      errA=65.04207612140478      err2_a=0.6301599918913016      err2_b=86.56462597871187
iter = 21      errA=63.40832191104685      err2_a=0.6099966103278277      err2_b=85.54981165910857
iter = 22      errA=61.8254411886346      err2_a=0.5965803470018296      err2_b=83.4820165173739
iter = 23      errA=59.233233747920195      err2_a=0.5665065681429013      err2_b=81.66301536384933
iter = 24      errA=56.75302562161878      err2_a=0.5435463442764901      err2_b=79.11508924862835
iter = 25      errA=55.49851022978603      err2_a=0.5270708961898177      err2_b=77.87101241158088
iter = 26      errA=54.10903996982016      err2_a=0.5099719356198403      err2_b=76.26626701403161
iter = 27      errA=51.46660457088723      err2_a=0.48940473840920784      err2_b=72.13554798323445
iter = 28      errA=49.52560454996729      err2_a=0.46281851280298414      err2_b=70.40820352462264
iter = 29      errA=47.6122546166654      err2_a=0.44167866272422224      err2_b=67.5358535224015
iter = 30      errA=44.28626092158243      err2_a=0.4100224885922986      err2_b=63.175457189456544
iter = 31      errA=43.809798201719985      err2_a=0.4060740052746989      err2_b=62.512934168515315
